date,open,high,low,close,volume
2007-08-02,14.0000,17.1000,13.6300,16.7500,18495200
2007-08-03,16.3000,17.0000,15.2500,15.7500,1704500
2007-08-06,15.8000,16.1865,15.2800,16.1800,852900
2007-08-07,16.0300,17.0000,15.9800,17.0000,694200
2007-08-08,17.0100,17.4400,16.1500,16.5000,1256900
2007-08-09,16.4900,16.4900,16.0200,16.0700,593500
2007-08-10,15.8200,16.3000,15.1500,15.6900,1423800
2007-08-13,15.7400,15.9500,15.3600,15.4500,287700
2007-08-14,15.1500,15.5000,14.6000,14.8800,355400
2007-08-15,14.7800,15.0000,14.5000,14.8400,215700
2007-08-16,14.6200,14.7500,14.2000,14.2700,416800
2007-08-17,14.9700,15.3500,13.0100,14.0000,1555200
2007-08-20,14.0000,14.9700,13.9500,14.5200,468700
2007-08-21,14.6500,14.9100,13.9200,14.6200,234500
2007-08-22,14.8500,15.7000,14.7000,15.6400,174700
2007-08-23,15.5600,16.6400,15.4500,16.3600,1508200
2007-08-24,16.8100,16.9300,16.0000,16.9300,811400
2007-08-27,16.6800,16.6800,15.7400,16.5300,109800
2007-08-28,16.7300,16.7300,15.7500,16.2500,178200
2007-08-29,16.1500,16.2500,15.7000,16.2500,193700
2007-08-30,16.2500,16.8500,16.0000,16.3500,491300
2007-08-31,16.5000,16.6800,16.2800,16.5200,164300
2007-09-04,16.5100,16.7500,15.9500,16.0100,136200
2007-09-05,16.0000,16.0000,15.4000,15.5200,103000
2007-09-06,15.4200,15.5300,14.8700,15.3600,150500
2007-09-07,15.2500,15.2800,14.5800,14.6900,245000
2007-09-10,14.4800,14.8400,14.3700,14.5800,380300
2007-09-11,14.6500,15.0000,14.5000,14.6100,235600
2007-09-12,14.5500,15.2300,14.5300,14.9500,409300
2007-09-13,14.9400,14.9400,14.3500,14.7500,441500
2007-09-14,14.4000,14.7500,14.3800,14.5600,64800
2007-09-17,14.4500,14.6800,14.2600,14.3900,30000
2007-09-18,14.3900,15.4400,14.3100,14.5700,105900
