date,open,high,low,close,volume
2002-12-10,1.5776,1.5837,1.5677,1.5714,0
2002-12-11,1.5715,1.5773,1.5683,1.5766,0
2002-12-12,1.5763,1.5822,1.5721,1.5815,0
2002-12-13,1.5813,1.5909,1.5768,1.5893,0
2002-12-16,1.5889,1.5935,1.5848,1.5919,0
2002-12-17,1.5917,1.6018,1.5891,1.5983,0
2002-12-18,1.5982,1.6028,1.5952,1.6004,0
2002-12-19,1.6004,1.6059,1.5978,1.6035,0
2002-12-20,1.6034,1.6050,1.5995,1.6026,0
2002-12-23,1.6025,1.6066,1.5864,1.5916,0
2002-12-24,1.5912,1.5972,1.5891,1.5947,0
2002-12-25,1.5948,1.5980,1.5920,1.5953,0
2002-12-26,1.5942,1.5995,1.5935,1.5994,0
2002-12-27,1.5993,1.6039,1.5983,1.6033,0
2002-12-30,1.6031,1.6057,1.6009,1.6050,0
2002-12-31,1.6051,1.6137,1.5997,1.6109,0
2003-01-01,1.6112,1.6121,1.6089,1.6107,0
2003-01-02,1.6106,1.6112,1.5914,1.5926,0
2003-01-03,1.5929,1.6089,1.5900,1.6069,0
2003-01-06,1.6091,1.6160,1.6061,1.6078,0
2003-01-07,1.6080,1.6087,1.6016,1.6038,0
2003-01-08,1.6040,1.6148,1.5961,1.6116,0
2003-01-09,1.6115,1.6163,1.6024,1.6054,0
2003-01-10,1.6053,1.6147,1.6038,1.6091,0
2003-01-13,1.6077,1.6095,1.5988,1.6001,0
2003-01-14,1.6002,1.6117,1.5983,1.6053,0
2003-01-15,1.6057,1.6072,1.5953,1.6038,0
2003-01-16,1.6037,1.6150,1.6014,1.6114,0
2003-01-17,1.6110,1.6198,1.6082,1.6134,0
2003-01-20,1.6120,1.6122,1.6034,1.6090,0
2003-01-21,1.6088,1.6175,1.6012,1.6155,0
2003-01-22,1.6159,1.6189,1.6086,1.6174,0
2003-01-23,1.6179,1.6241,1.6148,1.6219,0
2003-01-24,1.6219,1.6354,1.6205,1.6339,0
2003-01-27,1.6340,1.6411,1.6280,1.6359,0
2003-01-28,1.6361,1.6415,1.6301,1.6395,0
2003-01-29,1.6392,1.6495,1.6387,1.6467,0
2003-01-30,1.6466,1.6532,1.6394,1.6520,0
2003-01-31,1.6526,1.6569,1.6420,1.6466,0
2003-02-03,1.6478,1.6482,1.6356,1.6406,0
2003-02-04,1.6405,1.6499,1.6398,1.6483,0
2003-02-05,1.6484,1.6536,1.6383,1.6435,0
2003-02-06,1.6437,1.6476,1.6335,1.6370,0
2003-02-07,1.6369,1.6416,1.6232,1.6313,0
2003-02-10,1.6313,1.6354,1.6263,1.6276,0
2003-02-11,1.6280,1.6290,1.6138,1.6181,0
2003-02-12,1.6179,1.6222,1.6127,1.6156,0
2003-02-13,1.6155,1.6242,1.6148,1.6207,0
2003-02-14,1.6207,1.6229,1.6097,1.6114,0
2003-02-17,1.6101,1.6117,1.5967,1.5990,0
2003-02-18,1.5993,1.6035,1.5898,1.5911,0
2003-02-19,1.5907,1.5977,1.5892,1.5974,0
2003-02-20,1.5971,1.6019,1.5907,1.5936,0
2003-02-21,1.5933,1.5977,1.5768,1.5790,0
2003-02-24,1.5755,1.5876,1.5737,1.5849,0
