date,open,high,low,close,volume
2015-05-04,38.0000,42.0000,37.9800,42.0000,765
2015-05-05,55.0000,94.8600,55.0000,55.0000,435
2015-05-06,55.0000,55.0000,55.0000,55.0000,125
2015-05-07,65.0000,66.0000,40.0000,40.0000,2844
2015-05-08,50.0000,59.0000,49.0000,49.0000,14807
2015-05-11,57.9500,57.9500,50.0000,50.0000,2756
2015-05-12,50.0100,50.0100,49.0000,49.9500,2286
2015-05-13,49.0000,49.0000,49.0000,49.0000,327
2015-05-14,49.0000,49.0000,44.0000,45.0000,19894
2015-05-15,45.0000,45.0000,38.0000,38.0000,2320
2015-05-18,38.0000,38.0000,27.1500,27.1500,4950
2015-05-19,28.0000,29.5000,27.9000,29.0000,4308
2015-05-20,29.5000,32.2500,29.2500,31.5000,4859
2015-05-21,31.0000,32.0000,30.5000,32.0000,2882
2015-05-22,32.0000,33.1000,31.9000,31.9000,4971
2015-05-26,31.9200,32.0000,31.9200,32.0000,1148
2015-05-27,31.5100,31.5100,30.5500,30.5500,404
2015-05-28,30.5500,33.0000,30.5000,33.0000,1140
2015-05-29,31.9500,33.0000,31.9500,33.0000,463
2015-06-01,33.0000,33.0000,30.6500,30.6500,1046
2015-06-02,30.6500,30.6500,28.5200,29.1500,1408
2015-06-03,30.0000,30.0000,29.0000,29.0000,414
2015-06-04,29.2500,29.2500,29.2000,29.2000,1926
2015-06-05,29.2500,29.2500,29.2000,29.2000,875
2015-06-08,29.5000,29.5000,29.0000,29.2500,1866
2015-06-09,29.1500,29.1500,28.5000,29.0000,737
2015-06-10,29.1000,29.5000,29.1000,29.2500,796
2015-06-11,29.2500,29.2500,29.0100,29.1500,1329
2015-06-12,29.0100,29.0100,28.9100,28.9400,1838
2015-06-15,29.1000,29.1000,28.9500,29.0000,1156
2015-06-16,29.0450,29.1000,28.5000,29.0000,4750
2015-06-17,29.1000,30.0000,29.0000,29.0000,21115
2015-06-18,29.1500,29.1500,28.8500,29.0000,1713
2015-06-19,29.0000,29.0000,28.6000,28.6200,1772
2015-06-22,28.9000,28.9000,28.5500,28.5500,2325
2015-06-23,28.6000,28.6000,28.0000,28.0000,2376
2015-06-24,28.9900,28.9900,28.3200,28.5000,1965
2015-06-25,28.5000,28.5000,28.5000,28.5000,165
2015-06-26,29.0000,29.0000,29.0000,29.0000,3019
2015-06-29,29.9500,29.9500,29.0000,29.0900,22701
2015-06-30,29.5000,30.5000,29.4000,30.1200,2396
2015-07-01,30.0100,30.5000,29.3100,30.3500,3468
2015-07-02,30.3500,30.4000,30.3500,30.3500,2258
2015-07-06,30.6000,30.6000,30.1000,30.5000,4836
2015-07-07,30.6000,30.6000,29.4100,30.5000,6217
2015-07-08,30.6000,30.6000,30.5000,30.6000,7372
2015-07-09,30.6000,32.0000,30.4500,30.4500,6067
2015-07-10,30.6000,30.7500,30.5100,30.6000,27256
2015-07-13,30.6000,30.6000,30.3300,30.3300,5740
2015-07-14,30.6000,30.6000,30.4500,30.5000,9471
2015-07-15,30.5100,30.6000,30.4800,30.5000,14385
2015-07-16,30.4800,30.5000,29.4100,30.5000,5269
2015-07-17,30.5000,30.5000,30.4500,30.4500,3139
2015-07-20,30.1000,30.2999,30.1000,30.1100,3331
2015-07-21,30.6000,30.6000,30.4000,30.4000,6248
2015-07-22,30.4000,30.5000,30.1600,30.5000,3548
