date,open,high,low,close,volume
2006-05-22,36.5200,37.2900,35.8700,37.2300,197100
2006-05-23,37.7500,39.2200,37.7500,37.9600,620900
2006-05-24,37.1300,37.5700,35.8700,36.5200,638600
2006-05-25,37.1800,38.3200,36.9800,38.3200,367000
2006-05-26,38.7400,38.7400,37.7703,38.5504,269400
2006-05-30,39.5000,39.7200,38.1100,38.1700,559100
2006-05-31,38.9000,39.1300,38.1200,38.8500,350700
2006-06-01,37.6500,38.5800,37.1700,38.5300,641300
2006-06-02,39.3100,39.3900,38.8000,39.1300,277300
2006-06-05,39.3600,40.2700,38.0950,38.1300,436000
2006-06-06,38.0300,38.0300,36.7160,37.0100,663600
2006-06-07,36.0700,37.5500,35.8200,36.1400,484100
2006-06-08,35.2700,35.3800,33.6200,35.2700,812800
2006-06-09,35.7500,36.1900,34.8600,35.1300,542200
2006-06-12,35.0000,35.6300,33.7600,33.7800,584700
2006-06-13,32.9700,33.1500,31.8200,32.2000,1580900
2006-06-14,32.8500,33.5000,32.2500,33.0300,646800
2006-06-15,34.4000,35.0500,34.0000,34.9400,882200
2006-06-16,35.0000,35.0000,34.3000,34.5700,602300
2006-06-19,34.2700,34.4700,33.5700,33.6000,366100
2006-06-20,33.9100,34.7300,33.6000,34.3400,388500
2006-06-21,34.6000,36.0400,34.6000,35.8600,551000
2006-06-22,36.0000,36.2100,35.1700,35.6400,590000
2006-06-23,35.1700,36.5000,35.1500,36.2800,467800
2006-06-26,36.7500,36.8000,36.1500,36.6300,301500
2006-06-27,36.9700,37.0500,35.4400,35.4800,469200
2006-06-28,35.7000,35.9300,35.0000,35.3100,415200
2006-06-29,35.9500,37.9600,35.9400,37.9600,588500
2006-06-30,38.7000,39.0600,38.3200,38.7000,1069400
2006-07-03,39.4000,40.2300,39.3200,40.2300,561200
2006-07-05,40.2000,40.4600,38.8500,39.3700,685600
2006-07-06,39.5000,39.9900,39.0400,39.7300,411100
2006-07-07,39.6800,39.8800,38.9500,39.0300,500500
2006-07-10,38.3900,39.1300,38.2500,38.6700,401400
2006-07-11,39.1500,39.7600,38.7900,39.7600,512700
2006-07-12,40.1100,40.4600,39.3700,39.4900,519500
2006-07-13,39.4800,39.5000,38.2800,38.3300,647700
2006-07-14,38.9000,39.1300,38.3400,38.9700,459500
2006-07-17,38.3200,38.6722,37.4000,37.4000,777700
2006-07-18,37.8900,37.9600,36.4300,37.0000,800200
2006-07-19,36.9000,38.5100,36.9000,38.4400,515300
2006-07-20,38.2100,38.3300,36.8300,36.8300,415200
2006-07-21,37.0800,37.3000,35.8100,35.8100,646200
2006-07-24,35.5000,36.8200,35.1900,36.6900,1086500
2006-07-25,36.8300,37.7900,36.4200,37.6900,949400
2006-07-26,37.4900,38.3900,37.1800,38.3600,361800
2006-07-27,39.3500,39.3700,37.3700,37.5000,518000
2006-07-28,37.7800,38.7800,37.6901,38.7800,371400
2006-07-31,38.7300,38.8600,38.2300,38.7600,233900
2006-08-01,38.5900,39.7500,38.3000,39.7500,536600
2006-08-02,40.3400,40.7000,39.8100,40.6600,944300
2006-08-03,40.2900,40.4500,39.5600,39.9100,496400
2006-08-04,40.6700,40.7700,39.5400,39.5901,501700
2006-08-07,39.8000,40.4200,39.7200,40.1200,279900
2006-08-08,39.9900,40.4500,39.5654,39.7200,361100
2006-08-09,40.0400,40.8640,39.8000,40.5800,631000
2006-08-10,40.3000,40.3800,39.1900,39.7500,745600
2006-08-11,40.1000,40.2400,38.6800,38.6900,512100
2006-08-14,38.5200,38.8400,37.8800,38.0400,420300
2006-08-15,38.1500,38.7200,38.1500,38.5600,298300
2006-08-16,39.2300,39.4616,39.0629,39.1900,199600
