date,open,high,low,close,volume
2000-07-25,17.4800,17.7500,16.7500,17.5000,126200
2000-07-26,17.2500,17.5600,17.1900,17.5000,28900
2000-07-27,17.5000,17.6300,17.3800,17.5000,61200
2000-07-28,17.5600,17.5600,17.1300,17.3800,146100
2000-07-31,17.5000,17.6900,16.8800,17.6900,178400
2000-08-01,17.5600,18.4400,17.2500,17.5000,87400
2000-08-02,17.7500,18.0000,17.6900,17.6900,34800
2000-08-03,17.6300,17.6700,17.2500,17.3800,60800
2000-08-04,17.3800,17.5000,17.2500,17.2500,48600
2000-08-07,17.2500,17.4400,17.0600,17.2500,52500
2000-08-08,17.1300,17.5600,17.1300,17.2500,107500
2000-08-09,17.3100,17.4400,16.7500,16.9400,147500
2000-08-10,16.8100,17.1300,16.3800,16.3800,184700
2000-08-11,16.5600,16.5600,15.7500,16.0000,312500
2000-08-14,15.9400,16.0000,15.5600,15.5600,117300
2000-08-15,15.5600,15.5600,15.1900,15.3800,242800
2000-08-16,15.2500,15.2500,14.6900,14.7500,288500
2000-08-17,14.5000,15.8800,14.5000,15.5000,488900
2000-08-18,15.4400,15.4400,15.0600,15.2500,183400
2000-08-21,15.2500,15.2500,15.0000,15.0000,11600
2000-08-22,15.0000,15.8100,14.9400,15.6900,129700
2000-08-23,15.5600,16.2500,15.2500,16.0000,319200
2000-08-24,15.9400,16.3800,15.8100,16.3800,214800
2000-08-25,16.3800,16.5600,16.2500,16.5000,99700
2000-08-28,16.3800,16.5000,16.3100,16.5000,46600
2000-08-29,16.3800,16.6300,16.2500,16.5000,338200
2000-08-30,16.5000,16.7500,16.3800,16.7500,100800
2000-08-31,16.7500,18.0000,16.5600,17.6300,433900
2000-09-01,17.7500,18.1300,17.6900,17.6900,217800
2000-09-05,17.8800,17.8800,17.4400,17.4400,43800
2000-09-06,17.5000,17.6300,17.1400,17.3100,50900
2000-09-07,17.5000,17.7500,16.6900,16.7500,293100
2000-09-08,16.6900,16.8100,16.6900,16.8100,4100
2000-09-11,16.7500,16.8100,16.6300,16.6300,22300
2000-09-12,16.5000,16.7500,16.5000,16.6300,51800
2000-09-13,16.5600,16.6300,16.1300,16.5000,37700
2000-09-14,16.6300,16.6300,16.3100,16.3100,32600
2000-09-15,16.5000,16.5600,16.5000,16.5000,84200
2000-09-18,16.3800,16.5000,16.2500,16.2500,62700
2000-09-19,16.2500,16.2500,15.5000,15.9400,191200
2000-09-20,15.8100,15.8100,15.1300,15.2500,214200
2000-09-21,15.2500,15.4400,15.2500,15.3800,365800
2000-09-22,15.1900,15.5000,14.8800,15.0600,373000
2000-09-25,15.3100,15.3800,15.1300,15.3800,87500
2000-09-26,15.0600,15.6300,15.0600,15.3100,111300
2000-09-27,15.2500,15.2700,15.0000,15.0000,112500
2000-09-28,15.0000,15.2500,14.8800,15.1900,69900
2000-09-29,15.3100,15.3100,15.0000,15.0000,38300
2000-10-02,15.3800,15.3800,14.8100,14.8800,21800
2000-10-03,15.2500,15.2500,14.6300,14.6900,213600
2000-10-04,14.8100,14.8800,14.6300,14.7500,67500
2000-10-05,14.6900,14.7500,14.5000,14.6900,188800
2000-10-06,14.6900,14.6900,14.0000,14.1300,76400
2000-10-09,14.0000,14.0000,13.6900,13.8800,10100
2000-10-10,13.9400,14.0000,13.5600,14.0000,171100
2000-10-11,14.0000,14.3100,13.6300,14.2500,548800
2000-10-12,14.2500,14.3100,13.5000,13.5000,1614500
2000-10-13,13.6300,13.8100,13.3800,13.6300,181500
