date,open,high,low,close,volume
1999-11-01,33.5000,33.8100,33.5000,33.8100,12385
1999-11-02,33.8800,33.8800,33.2500,33.2500,48267
1999-11-03,33.3800,34.1900,33.3800,34.1300,24800
1999-11-04,34.2500,34.3100,34.2500,34.2500,12178
1999-11-05,34.3800,34.4400,34.2500,34.3100,28563
1999-11-08,34.4400,34.9400,34.4400,34.8100,30400
1999-11-09,34.8100,35.0600,34.8100,34.9400,46163
1999-11-10,34.8100,35.1300,34.8100,35.0600,18963
1999-11-11,35.0600,35.1900,34.8800,35.1300,7230
1999-11-12,35.2500,36.0000,35.2500,35.7500,46578
1999-11-15,35.8800,36.1900,35.3800,35.5000,25630
1999-11-16,35.5000,35.7500,35.5000,35.6300,17600
1999-11-17,35.5600,35.8800,35.5600,35.7500,26044
1999-11-18,35.7500,35.7500,35.3100,35.4400,21600
1999-11-19,35.3100,35.3100,34.0000,34.1300,30578
1999-11-22,33.8100,33.8100,33.3800,33.5600,48385
1999-11-23,33.5600,33.8100,32.1300,32.2500,49778
1999-11-24,32.2500,32.9400,32.0900,32.8100,256800
1999-11-26,33.0000,33.1300,32.8800,32.8800,10578
1999-11-29,33.0000,33.1900,32.6900,33.1900,37867
1999-11-30,33.0600,33.1900,32.6900,32.9400,14667
1999-12-01,33.0000,34.0000,32.9400,33.9400,31585
1999-12-02,33.8100,33.9400,33.6900,33.7500,27467
1999-12-03,34.0000,34.5600,33.8800,34.5600,32030
1999-12-06,34.4400,34.4400,34.0000,34.3100,65244
1999-12-07,34.2500,34.4400,34.2500,34.3800,22252
1999-12-08,34.3100,34.5000,34.3100,34.5000,69185
1999-12-09,34.3800,34.4400,33.6900,34.2600,35052
1999-12-10,33.5600,33.5600,32.7500,33.1900,34963
1999-12-13,33.2500,33.2500,32.1900,32.4400,82667
1999-12-14,32.4400,32.4400,31.5000,31.8800,102578
1999-12-15,31.8100,33.5000,31.7500,33.5000,46252
1999-12-16,33.6300,34.3800,33.5000,34.3800,35230
1999-12-17,34.1200,34.5000,33.5600,33.5600,53600
1999-12-20,33.6900,34.5600,33.6300,34.5000,28385
1999-12-21,34.7500,34.7500,34.3800,34.5000,19378
1999-12-22,34.5600,35.4400,34.5600,35.1900,23230
1999-12-23,35.1900,35.2500,34.6900,34.7500,23467
1999-12-27,34.5600,35.1300,34.5600,35.0000,37185
1999-12-28,35.0600,35.5000,35.0000,35.4400,23763
1999-12-29,35.5000,35.5600,35.2500,35.4400,9867
1999-12-30,35.5600,36.1600,35.5600,35.8800,60178
1999-12-31,35.7500,35.8800,35.3800,35.8800,28652
2000-01-03,35.8100,35.8100,33.5600,34.0000,78667
2000-01-04,33.8100,33.9400,32.8100,33.0600,21600
2000-01-05,33.0000,33.0000,32.7500,32.8100,11200
2000-01-06,32.8800,32.9400,32.5600,32.8800,9867
2000-01-07,32.6300,34.1300,32.6300,34.1300,37067
2000-01-10,33.9400,34.1300,33.7500,34.0000,11763
2000-01-11,34.0000,34.0000,33.2500,33.4400,23644
2000-01-12,33.3100,33.3800,32.5000,32.8100,37778
2000-01-13,32.8800,32.8800,32.5600,32.6300,25363
2000-01-14,32.4400,32.4400,31.5000,31.5000,54963
2000-01-18,31.2500,31.2500,30.5600,31.0600,64800
2000-01-19,30.8800,30.8800,30.5600,30.5600,64830
2000-01-20,30.7500,30.8100,30.5600,30.7500,37244
2000-01-21,30.6900,30.9400,30.5600,30.6300,75644
2000-01-24,30.5000,31.0600,30.5000,30.6900,48652
2000-01-25,30.5600,30.5600,29.9400,30.1300,125363
2000-01-26,30.2500,30.6900,30.2500,30.4400,43378
2000-01-27,30.5000,30.8800,30.4400,30.5600,47378
2000-01-28,30.5000,30.6900,30.4400,30.6300,44178
2000-01-31,30.7500,31.0600,30.7500,30.7500,29867
2000-02-01,30.7500,31.0600,30.7500,31.0000,44830
2000-02-02,30.9400,31.2500,30.9400,31.1300,118578
2000-02-03,31.2500,31.2500,31.0600,31.1300,33600
2000-02-04,31.0600,31.1900,31.0000,31.0000,75052
2000-02-07,31.0000,31.0600,30.6300,30.6300,101630
2000-02-08,30.6300,30.6900,30.4400,30.6900,15763
2000-02-09,30.6300,30.8800,30.6300,30.6900,83763
2000-02-10,30.8100,30.8100,30.5000,30.5600,58430
2000-02-11,30.5600,30.8100,30.5000,30.5000,32030
2000-02-14,30.6300,30.7500,30.5000,30.7500,40000
2000-02-15,30.6300,30.6900,30.4400,30.6300,116385
2000-02-16,30.5600,30.6300,30.5000,30.5000,13600
2000-02-17,30.5000,30.6300,30.3100,30.3100,29363
2000-02-18,30.3800,30.5000,30.3100,30.3800,32000
2000-02-22,30.3800,30.6900,30.1300,30.6900,184830
2000-02-23,30.6300,30.7500,30.4400,30.6900,108178
