date,open,high,low,close,volume
2020-09-25,5.7500,5.7500,4.3500,5.0000,459525
2020-09-28,5.0000,5.0800,4.9000,4.9100,44251
2020-09-29,4.9400,4.9419,4.0661,4.6000,124851
2020-09-30,4.7500,4.9800,4.3400,4.6000,26979
2020-10-01,4.7499,4.7900,4.5000,4.5750,6774
2020-10-02,4.5000,4.5000,4.2500,4.2900,17312
2020-10-05,4.3100,4.4900,4.2600,4.2800,24927
2020-10-06,4.3409,4.5000,4.2700,4.5000,2250
2020-10-07,4.3700,4.4999,4.3700,4.4999,3666
2020-10-08,4.4700,4.9200,4.4700,4.8999,16221
2020-10-09,5.3150,5.3150,4.8000,5.0000,11226
2020-10-12,5.0000,5.0000,4.7550,4.8000,4168
2020-10-13,4.5000,4.7900,4.3650,4.4800,7855
2020-10-14,4.6303,4.7900,4.4000,4.7900,3697
2020-10-15,4.7600,4.7900,4.4001,4.4300,4936
2020-10-16,4.5696,4.7850,4.5696,4.7850,1490
2020-10-19,4.5400,4.7899,4.1000,4.5950,13620
2020-10-20,4.4500,4.7900,4.2500,4.7450,6792
2020-10-21,4.3300,4.3300,4.2500,4.3200,2949
2020-10-22,4.3100,4.4100,4.1720,4.1950,5399
2020-10-23,4.0100,4.2000,4.0100,4.1950,3095
2020-10-26,4.1200,4.1200,4.0100,4.0600,4151
2020-10-27,4.1950,4.1950,4.0000,4.0612,10272
2020-10-28,4.0000,4.0000,3.8200,3.8500,4248
2020-10-29,4.0400,4.0900,3.4800,3.6700,6382
2020-10-30,3.7500,3.9200,3.5100,3.5100,7256
2020-11-02,3.5500,3.5500,3.4172,3.5100,5711
2020-11-03,3.4900,3.5000,3.3650,3.5000,1919
2020-11-04,3.5000,3.6900,3.2620,3.6900,4791
2020-11-05,3.6900,3.6900,3.6500,3.6500,3833
2020-11-06,3.6100,3.9169,3.4300,3.8850,4478
2020-11-09,4.0700,4.1900,3.7500,4.1900,3349
2020-11-10,4.2300,4.2400,4.2300,4.2300,1796
2020-11-11,4.2000,4.2000,4.1048,4.1900,911
2020-11-12,4.2000,4.2000,3.8000,4.0500,5027
