date,open,high,low,close,volume
2002-02-13,19.2500,20.1200,19.0500,20.1000,9527000
2002-02-14,20.3500,20.3900,19.8500,20.0000,1377700
2002-02-15,20.0500,20.0500,19.7000,19.9000,1048700
2002-02-19,19.8000,19.8000,18.7500,19.1000,926300
2002-02-20,19.7500,19.7500,19.0500,19.7500,861600
2002-02-21,19.6800,19.8500,19.5000,19.7000,872100
2002-02-22,19.8500,19.8500,19.2000,19.3500,440700
2002-02-25,19.3000,19.6500,19.0800,19.5000,431700
2002-02-26,19.4000,19.7000,19.0900,19.5000,345200
2002-02-27,19.3500,19.3600,19.0000,19.1500,511400
2002-02-28,19.2000,19.4500,19.1000,19.1000,343900
2002-03-01,19.0500,19.5500,18.9800,19.3700,239200
2002-03-04,19.4500,19.8100,19.4200,19.7000,397600
2002-03-05,19.6000,19.6500,19.1600,19.2500,430600
2002-03-06,19.2400,19.4300,19.2000,19.3500,164600
2002-03-07,19.3500,20.6000,19.3500,20.4200,337600
2002-03-08,20.3000,21.0000,20.3000,20.9000,200100
2002-03-11,20.8000,21.4000,20.7500,21.1700,682800
2002-03-12,21.9000,21.9000,21.0000,21.2000,727400
2002-03-13,21.2000,21.5000,20.6500,21.0200,632900
2002-03-14,21.2000,21.2000,20.8400,21.0000,212100
2002-03-15,21.0000,21.1000,19.9000,20.3500,213500
2002-03-18,20.4000,20.4000,19.0500,19.3000,275900
2002-03-19,19.4500,19.5000,18.6000,18.7000,403700
2002-03-20,18.5500,18.5500,17.0000,18.0200,1154500
2002-03-21,19.2500,19.2500,18.0200,18.7500,553400
2002-03-22,18.7500,19.5900,18.5100,19.3000,311800
2002-03-25,19.5000,19.8100,19.1800,19.7200,946400
2002-03-26,20.0000,20.1000,19.7800,19.9800,227100
2002-03-27,21.0000,21.0000,19.9000,20.6000,171200
2002-03-28,20.5000,20.6000,20.1000,20.2000,214300
2002-04-01,20.0500,20.0500,19.0000,19.0500,235000
2002-04-02,19.0000,19.0000,18.3500,18.6400,262300
2002-04-03,18.6500,18.8000,18.4400,18.6000,70900
2002-04-04,18.5500,19.0500,18.5500,18.9500,95400
2002-04-05,18.9500,19.4000,18.4900,18.4900,104700
2002-04-08,18.6000,18.6000,17.7700,18.3000,194800
2002-04-09,18.2000,19.2000,18.2000,18.9500,445300
2002-04-10,18.9000,19.0500,18.7500,18.9200,162800
2002-04-11,18.9100,18.9100,18.5000,18.5000,180500
2002-04-12,18.6500,18.6500,18.0600,18.2500,154500
2002-04-15,18.2000,18.5700,18.1900,18.5600,194900
2002-04-16,18.7500,19.2000,18.7500,19.0000,153200
2002-04-17,19.2500,20.2500,19.2500,19.8100,418600
2002-04-18,19.8100,20.1500,19.7400,19.8100,123100
2002-04-19,19.8100,20.3500,19.8100,20.2700,80800
2002-04-22,20.1500,20.1500,19.8100,20.0000,96600
2002-04-23,19.9500,20.2500,19.5000,19.5500,103100
2002-04-24,19.5200,19.6100,19.4000,19.4100,133100
2002-04-25,19.4100,19.4100,19.1700,19.4000,215900
2002-04-26,19.3000,19.5800,19.2500,19.2500,206700
2002-04-29,19.1500,19.1500,18.8000,18.9000,320300
2002-04-30,18.7500,19.3000,18.7000,19.0500,861800
2002-05-01,19.3000,20.5000,19.3000,20.5000,209000
2002-05-02,20.4000,20.9900,20.4000,20.8300,414500
2002-05-03,20.8000,20.8100,20.5600,20.8000,57900
2002-05-06,20.7900,22.5900,20.7900,21.7500,268300
2002-05-07,21.6500,22.0000,21.4500,21.5000,56600
2002-05-08,21.7000,22.5000,21.7000,22.4000,82300
2002-05-09,22.5000,23.2000,22.5000,22.8500,105900
2002-05-10,23.0000,23.4300,22.0000,22.0600,87000
2002-05-13,22.0700,22.0700,20.8500,21.5000,241200
2002-05-14,22.0000,22.4000,20.8000,20.8000,494800
2002-05-15,20.7000,21.0000,19.8500,19.8500,728700
2002-05-16,19.8500,20.7000,19.8500,20.6000,660800
2002-05-17,20.7500,21.5000,20.7500,21.2300,543900
2002-05-20,21.2300,21.5000,21.1000,21.3800,292000
2002-05-21,22.6000,22.6500,20.4500,20.5000,484000
2002-05-22,20.4600,21.5000,20.3000,21.2500,230900
2002-05-23,21.2500,22.7000,21.2500,22.4100,269700
2002-05-24,22.3400,23.7000,22.3400,23.4600,276500
2002-05-28,23.5500,24.2900,23.3000,24.2100,260300
2002-05-29,24.2100,24.2100,23.5000,23.6000,591000
2002-05-30,23.6000,23.6000,23.1500,23.2600,492700
2002-05-31,23.2600,24.3000,23.2600,24.1900,338500
