date,open,high,low,close,volume
2018-01-31,0.2500,0.2500,0.2500,0.2500,38000
2018-09-18,0.2500,0.2500,0.2500,0.2500,10000
2018-09-26,0.2450,0.2450,0.2450,0.2450,50000
2019-01-08,0.2100,0.2100,0.2100,0.2100,40000
2019-01-09,0.2100,0.2100,0.2100,0.2100,40000
2019-01-10,0.2190,0.2190,0.2190,0.2190,40000
2019-01-14,0.2080,0.2080,0.2080,0.2080,40000
2019-01-16,0.2150,0.2150,0.2150,0.2150,40000
2019-01-23,0.2080,0.2080,0.2080,0.2080,35000
2019-01-31,0.2700,0.2700,0.2700,0.2700,25000
2019-02-06,0.2600,0.2600,0.2600,0.2600,10000
2019-03-27,0.1900,0.1900,0.1900,0.1900,25000
2019-04-12,0.2300,0.2300,0.2300,0.2300,5000
2019-06-04,0.1800,0.1800,0.1800,0.1800,15000
2019-06-10,0.1800,0.1800,0.1800,0.1800,180
2020-01-16,1.0700,1.0700,1.0700,1.0700,620
2020-01-17,0.0850,0.0850,0.0850,0.0850,180
2020-01-21,0.1100,0.1100,0.1100,0.1100,2800
2020-01-22,0.1150,0.1150,0.1150,0.1150,1000
2020-01-23,0.1200,0.1200,0.1200,0.1200,17000
2020-01-24,0.1100,0.1100,0.1100,0.1100,600
2020-01-30,0.1100,0.1100,0.1100,0.1100,2000
2020-02-03,0.0900,0.0900,0.0900,0.0900,10000
2020-02-07,0.0950,0.0950,0.0950,0.0950,10000
2020-02-13,0.0850,0.1500,0.0850,0.1500,35000
2020-02-14,0.1150,0.1150,0.1150,0.1150,1000
2020-02-18,0.1150,0.1150,0.0750,0.1150,23000
2020-02-19,0.1150,0.1150,0.1150,0.1150,800
2020-02-20,0.1100,0.1100,0.1100,0.1100,7000
2020-02-24,0.1050,0.1050,0.1050,0.1050,1000
2020-02-26,0.1050,0.1050,0.0650,0.0650,7500
2020-02-27,0.0250,0.0250,0.0250,0.0250,1000
2020-03-02,0.1050,0.1050,0.1050,0.1050,4000
2020-03-05,0.1050,0.1050,0.1050,0.1050,1
2020-03-06,0.0900,0.0900,0.0900,0.0900,3000
2020-03-09,0.0900,0.0900,0.0900,0.0900,66
2020-03-12,0.0800,0.0800,0.0800,0.0800,100
2020-03-13,0.0450,0.0450,0.0450,0.0450,100
2020-03-18,0.0950,0.0950,0.0525,0.0950,22700
2020-03-19,0.0800,0.0800,0.0800,0.0800,200
2020-03-23,0.0800,0.0800,0.0800,0.0800,100
2020-03-24,0.0800,0.0800,0.0100,0.0100,3400
2020-03-25,0.0800,0.0800,0.0800,0.0800,18920
2020-03-26,0.0800,0.0800,0.0800,0.0800,65
2020-03-31,0.0800,0.0800,0.0800,0.0800,1
2020-04-01,0.0800,0.0800,0.0800,0.0800,2
2020-04-07,0.0800,0.0800,0.0800,0.0800,600
2020-04-08,0.0800,0.0800,0.0800,0.0800,65
2020-04-09,0.0800,0.0800,0.0800,0.0800,15
2020-04-22,0.0800,0.0800,0.0800,0.0800,1
2020-04-27,0.0610,0.0610,0.0610,0.0610,300
2020-04-28,0.1250,0.1250,0.1250,0.1250,620
2020-05-01,0.1200,0.1200,0.0350,0.0350,925
2020-05-04,0.1200,0.1200,0.0900,0.0900,18600
2020-05-05,0.0900,0.0900,0.0900,0.0900,1
2020-05-06,0.0450,0.1200,0.0450,0.1200,300
2020-05-07,0.1150,0.1150,0.1150,0.1150,5000
2020-05-11,0.1050,0.1050,0.1049,0.1050,11500
2020-05-13,0.1050,0.1050,0.1000,0.1000,10900
2020-05-14,0.1000,0.1000,0.1000,0.1000,11300
2020-05-15,0.1300,0.1500,0.1000,0.1000,43949
2020-05-18,0.1450,0.1450,0.1450,0.1450,4999
2020-05-20,0.1400,0.1400,0.1092,0.1400,7313
2020-05-21,0.1325,0.1350,0.1325,0.1350,4640
2020-05-26,0.1300,0.1300,0.0251,0.0351,6381
2020-05-27,0.1299,0.1299,0.0251,0.0251,4710
2020-05-28,0.1300,0.1300,0.1200,0.1300,300
2020-05-29,0.1225,0.1250,0.1225,0.1250,4000
2020-06-01,0.1125,0.1800,0.0600,0.1160,21682
2020-06-03,0.1160,0.1160,0.1160,0.1160,91
2020-06-04,0.1150,0.1150,0.1120,0.1120,800
2020-06-05,0.1120,0.1120,0.0300,0.1120,11559
2020-06-08,0.1120,0.1120,0.1120,0.1120,1000
2020-06-09,0.0401,0.0401,0.0400,0.0400,4500
2020-06-11,0.0450,0.0450,0.0450,0.0450,22500
2020-06-15,0.1120,0.1120,0.1120,0.1120,100
2020-06-16,0.1120,0.1120,0.1120,0.1120,1000
2020-06-24,0.1120,0.1120,0.0412,0.0412,6100
2020-06-26,0.0412,0.0412,0.0412,0.0412,50
2020-06-29,0.0350,0.0350,0.0350,0.0350,100
2020-06-30,0.1080,0.1080,0.0351,0.0351,893
2020-07-06,0.1080,0.1080,0.1080,0.1080,5100
2020-07-07,0.1080,0.1080,0.1080,0.1080,300
2020-07-08,0.0375,0.0375,0.0375,0.0375,100
2020-07-10,0.0350,0.0350,0.0350,0.0350,32800
2020-07-14,0.0350,0.0350,0.0350,0.0350,100
2020-07-15,0.1080,0.1080,0.1080,0.1080,20000
2020-07-16,0.1060,0.1060,0.0350,0.0406,20800
2020-07-17,0.0350,0.0350,0.0350,0.0350,1100
2020-07-22,0.0350,0.0350,0.0350,0.0350,100
2020-07-23,0.0350,0.0350,0.0350,0.0350,100
2020-07-24,0.0350,0.0350,0.0350,0.0350,0
2020-07-27,0.0350,0.0350,0.0350,0.0350,0
2020-07-28,0.0350,0.0350,0.0350,0.0350,0
2020-07-29,0.0350,0.0350,0.0350,0.0350,0
2020-07-30,0.0350,0.0350,0.0350,0.0350,0
2020-07-31,0.1000,0.1100,0.0675,0.1050,42698
2020-08-03,0.1000,0.1000,0.1000,0.1000,11100
2020-08-04,0.0580,0.0580,0.0350,0.0350,200
2020-08-05,0.0350,0.0980,0.0350,0.0899,1950
2020-08-06,0.0980,0.0980,0.0980,0.0980,280
2020-08-07,0.0500,0.0500,0.0350,0.0350,12000
2020-08-10,0.1100,0.1100,0.1100,0.1100,1066
2020-08-11,0.1000,0.1000,0.1000,0.1000,200
2020-08-12,0.0950,0.0950,0.0950,0.0950,999
2020-08-13,0.0950,0.0950,0.0950,0.0950,0
2020-08-14,0.0949,0.0949,0.0949,0.0949,100
2020-08-17,0.0949,0.0949,0.0949,0.0949,0
2020-08-18,0.0950,0.0950,0.0950,0.0950,100
2020-08-19,0.0950,0.0950,0.0950,0.0950,1000
2020-08-20,0.0950,0.0950,0.0950,0.0950,0
2020-08-21,0.0950,0.0950,0.0950,0.0950,0
2020-08-24,0.0950,0.0950,0.0950,0.0950,0
2020-08-25,0.0950,0.0950,0.0950,0.0950,1200
2020-08-26,0.0950,0.0950,0.0950,0.0950,0
2020-08-27,0.0950,0.0950,0.0950,0.0950,0
2020-08-28,0.0949,0.0949,0.0949,0.0949,1000
2020-08-31,0.0949,0.0949,0.0949,0.0949,0
2020-09-01,0.0949,0.0949,0.0949,0.0949,0
2020-09-02,0.0949,0.0949,0.0949,0.0949,0
2020-09-03,0.0950,0.0950,0.0950,0.0950,600
2020-09-04,0.0950,0.0950,0.0950,0.0950,50
2020-09-08,0.0850,0.0850,0.0351,0.0351,550
2020-09-09,0.0351,0.0351,0.0351,0.0351,0
2020-09-10,0.0350,0.0350,0.0350,0.0350,318275
2020-09-11,0.0350,0.0350,0.0350,0.0350,0
2020-09-14,0.0280,0.0280,0.0280,0.0280,1000
2020-09-15,0.0280,0.0280,0.0280,0.0280,0
2020-09-16,0.0280,0.0280,0.0280,0.0280,0
2020-09-17,0.0280,0.0280,0.0280,0.0280,0
2020-09-18,0.0280,0.0280,0.0280,0.0280,0
2020-09-21,0.0280,0.0280,0.0280,0.0280,0
2020-09-22,0.0280,0.0280,0.0280,0.0280,0
2020-09-23,0.0950,0.0950,0.0280,0.0280,500
2020-09-24,0.0615,0.0946,0.0615,0.0946,15400
2020-09-25,0.0946,0.0946,0.0946,0.0946,0
2020-09-28,0.0946,0.0946,0.0946,0.0946,0
2020-09-29,0.0946,0.0946,0.0946,0.0946,0
2020-09-30,0.0946,0.0946,0.0946,0.0946,1
2020-10-01,0.0946,0.0946,0.0946,0.0946,4700
2020-10-02,0.0946,0.0946,0.0946,0.0946,800
2020-10-05,0.0946,0.0946,0.0946,0.0946,0
2020-10-06,0.0946,0.0946,0.0946,0.0946,5000
2020-10-07,0.0946,0.0946,0.0946,0.0946,0
2020-10-08,0.0846,0.0946,0.0830,0.0900,60209
2020-10-09,0.0515,0.0930,0.0515,0.0930,51000
2020-10-12,0.0930,0.0930,0.0930,0.0930,0
2020-10-13,0.0930,0.0930,0.0930,0.0930,0
2020-10-14,0.0930,0.0930,0.0930,0.0930,0
2020-10-15,0.0930,0.0930,0.0930,0.0930,0
2020-10-16,0.0930,0.0930,0.0930,0.0930,0
2020-10-19,0.0930,0.0930,0.0930,0.0930,0
2020-10-20,0.3620,0.3620,0.3620,0.3620,283
2020-10-21,0.2788,0.2788,0.2788,0.2788,283
2020-10-22,0.2788,0.2788,0.2788,0.2788,0
2020-10-23,0.2788,0.2788,0.2788,0.2788,0
2020-10-26,0.2788,0.2788,0.2788,0.2788,0
2020-10-27,0.2788,0.2788,0.2788,0.2788,0
2020-10-28,0.2788,0.2788,0.2788,0.2788,0
2020-10-29,0.2788,0.2788,0.2788,0.2788,0
2021-03-02,0.1100,0.1100,0.1100,0.1100,200
2021-03-03,0.1100,0.1100,0.1100,0.1100,48
