date,open,high,low,close,volume
2019-06-06,9.7500,9.7500,9.7500,9.7500,17000
2019-06-07,9.7500,9.7500,9.7500,9.7500,0
2019-06-10,9.7500,9.7500,9.7500,9.7500,0
2019-06-11,9.7500,9.7500,9.7500,9.7500,0
2019-06-12,9.7500,9.7500,9.7500,9.7500,0
2019-06-13,9.7500,9.7500,9.7500,9.7500,20
2019-06-14,9.7500,9.7500,9.7500,9.7500,1
2019-06-17,9.7500,9.7500,9.7500,9.7500,0
2019-06-18,9.7500,9.7500,9.7500,9.7500,0
2019-06-19,9.7500,9.7500,9.7500,9.7500,0
2019-06-20,9.7500,9.7500,9.7500,9.7500,0
2019-06-21,9.7500,9.7500,9.7500,9.7500,0
2019-06-24,9.7000,9.7000,9.7000,9.7000,25000
2019-06-25,9.7200,9.7200,9.7200,9.7200,50001
2019-06-26,9.7200,9.7300,9.7000,9.7300,150000
2019-06-27,9.7500,9.7500,9.7278,9.7278,500
2019-06-28,9.7278,9.7278,9.7278,9.7278,0
2019-07-01,9.7278,9.7278,9.7278,9.7278,0
2019-07-02,9.7278,9.7278,9.7278,9.7278,0
2019-07-03,9.7200,9.7500,9.7200,9.7500,200
2019-07-05,9.7500,9.7500,9.6250,9.7500,26800
2019-07-08,9.7500,9.7500,9.7500,9.7500,25000
2019-07-09,9.7500,9.7500,9.7500,9.7500,0
2019-07-10,9.7500,9.7500,9.7500,9.7500,0
2019-07-11,9.7500,9.7500,9.7500,9.7500,0
2019-07-12,9.7500,9.7500,9.7500,9.7500,0
2019-07-15,9.7700,9.7700,9.7500,9.7700,35000
2019-07-16,9.8000,9.8000,9.8000,9.8000,7000
2019-07-17,9.8000,9.8000,9.8000,9.8000,0
2019-07-18,9.8000,9.8000,9.8000,9.8000,0
2019-07-19,9.7763,9.7763,9.7500,9.7500,7231
2019-07-22,9.7500,9.7500,9.7500,9.7500,0
2019-07-23,9.7800,9.7800,9.7800,9.7800,50000
2019-07-24,9.7800,9.7800,9.7800,9.7800,0
2019-07-25,9.7600,9.7900,9.7500,9.7900,26501
2019-07-26,9.8000,9.8000,9.7700,9.7800,598462
2019-07-29,9.7800,9.7800,9.7800,9.7800,598500
2019-07-30,9.7800,9.7800,9.7800,9.7800,598500
2019-07-31,9.7800,9.7800,9.7800,9.7800,598500
2019-08-01,9.7800,9.7800,9.7800,9.7800,598500
2019-08-02,9.7800,9.7800,9.7800,9.7800,598500
2019-08-05,9.7800,9.7800,9.7800,9.7800,598500
2019-08-06,9.7800,9.7800,9.7800,9.7800,598500
2019-08-07,9.8000,9.8200,9.7900,9.8200,5668
2019-08-08,9.7400,9.7500,9.7400,9.7400,36065
2019-08-09,9.7400,9.7400,9.7400,9.7400,36100
2019-08-12,9.7400,9.7400,9.7400,9.7400,36100
2019-08-13,9.7600,9.7600,9.7500,9.7500,5210
2019-08-14,9.7500,9.7500,9.7500,9.7500,7
2019-08-15,9.7600,9.8000,9.7600,9.8000,5696
2019-08-16,9.7600,9.8400,9.7500,9.8400,10100
2019-08-19,9.8500,9.8500,9.7500,9.7500,400
2019-08-20,9.7400,9.7400,9.7400,9.7400,10024
2019-08-21,9.7400,9.7400,9.7400,9.7400,23
2019-08-22,9.7999,9.8000,9.7999,9.8000,656
2019-08-23,9.7201,9.7500,9.7201,9.7500,5081
2019-08-26,9.8500,9.8500,9.7300,9.7300,200
2019-08-27,9.7300,9.8000,9.7300,9.8000,2395
2019-08-28,9.8000,9.8000,9.8000,9.8000,0
2019-08-29,9.7800,9.7900,9.7700,9.7900,113372
2019-08-30,9.8000,9.8000,9.7900,9.8000,623
2019-09-03,9.7800,9.8000,9.7000,9.7500,1920204
2019-09-04,9.7300,9.7600,9.7300,9.7400,153851
2019-09-05,9.7500,9.7700,9.7300,9.7700,851580
2019-09-06,9.7700,9.7900,9.7700,9.7900,198960
2019-09-09,9.7900,9.7900,9.7800,9.7899,123183
2019-09-10,9.7800,9.7800,9.7800,9.7800,2518
2019-09-11,9.7700,9.7800,9.7200,9.7700,88339
2019-09-12,9.7800,9.7800,9.7700,9.7700,12353
2019-09-13,9.7700,9.7900,9.7500,9.7750,323482
2019-09-16,9.7800,9.8000,9.7650,9.7900,348124
2019-09-17,9.7800,9.8000,9.7800,9.8000,6006
2019-09-18,9.8000,9.8000,9.7700,9.8000,28476
2019-09-19,9.8000,9.8000,9.7975,9.8000,25600
2019-09-20,9.8000,9.8000,9.7700,9.7700,16069
2019-09-23,9.7500,9.8000,9.7500,9.8000,202
2019-09-24,9.8000,9.8100,9.8000,9.8100,150348
2019-09-25,9.8100,9.8100,9.8000,9.8000,9537
2019-09-26,9.8000,9.8000,9.8000,9.8000,16
2019-09-27,9.8200,9.8200,9.8100,9.8100,54194
2019-09-30,9.8100,9.8100,9.8100,9.8100,4
2019-10-01,9.8200,9.8200,9.8200,9.8200,207
2019-10-02,9.8200,9.8200,9.8200,9.8200,6
2019-10-03,9.8200,9.8200,9.8200,9.8200,2
2019-10-04,9.8200,9.8200,9.8200,9.8200,800001
2019-10-07,9.8200,9.8200,9.8200,9.8200,230
2019-10-08,9.7991,9.8000,9.7991,9.8000,311
2019-10-09,9.8000,9.8000,9.8000,9.8000,0
2019-10-10,9.8200,9.8200,9.8200,9.8200,302
2019-10-11,9.7610,9.8200,9.7610,9.8200,113691
2019-10-14,9.7700,9.8100,9.7600,9.7600,63788
2019-10-15,9.7600,9.7600,9.7600,9.7600,2
2019-10-16,9.7900,9.8100,9.7900,9.8000,429906
2019-10-17,9.7900,9.8000,9.7900,9.7900,2407
2019-10-18,9.7900,9.7900,9.7900,9.7900,0
2019-10-21,9.7900,9.7900,9.7900,9.7900,102
2019-10-22,9.7900,9.8100,9.7900,9.7900,40957
2019-10-23,9.7900,9.7900,9.7900,9.7900,10
2019-10-24,9.7900,9.8100,9.7900,9.8100,28000
2019-10-25,9.8100,9.8100,9.8100,9.8100,1
2019-10-28,9.8100,9.8200,9.8000,9.8100,10167
2019-10-29,9.8200,9.8200,9.8000,9.8000,1910
2019-10-30,9.8000,9.8000,9.8000,9.8000,306
2019-10-31,9.8100,9.8100,9.8100,9.8100,599998
2019-11-01,9.8100,9.8100,9.8000,9.8100,603700
2019-11-04,9.8400,9.8400,9.8100,9.8100,1167
2019-11-05,9.8100,9.8100,9.8100,9.8100,5459
2019-11-06,9.8100,9.8100,9.8100,9.8100,18
2019-11-07,9.8100,9.8100,9.8100,9.8100,2
2019-11-08,9.8400,9.8400,9.8400,9.8400,140008
2019-11-11,9.8200,9.8400,9.8200,9.8400,803
2019-11-12,9.8200,9.8200,9.8200,9.8200,200004
2019-11-13,9.8244,9.8300,9.8200,9.8200,1213192
2019-11-14,9.8300,9.8400,9.8300,9.8400,10237
2019-11-15,9.8400,9.8600,9.8400,9.8600,24388
2019-11-18,9.8300,9.8300,9.8300,9.8300,1716
2019-11-19,9.8200,9.8200,9.8200,9.8200,14180
2019-11-20,9.8200,9.8200,9.8200,9.8200,2
2019-11-21,9.8200,9.8200,9.8200,9.8200,50000
2019-11-22,9.8200,9.8200,9.8200,9.8200,0
2019-11-25,9.8300,9.8300,9.8300,9.8300,410
2019-11-26,9.8300,9.8468,9.8300,9.8300,13701
2019-11-27,9.8300,9.8300,9.8300,9.8300,2
2019-11-29,9.8400,9.8400,9.8400,9.8400,2505
2019-12-02,9.8600,9.8600,9.8200,9.8200,30114
2019-12-03,9.8200,9.8200,9.8200,9.8200,10
2019-12-04,9.8200,9.8600,9.8200,9.8400,210102
2019-12-05,9.8400,9.8400,9.8400,9.8400,2
2019-12-06,9.8701,9.8701,9.8701,9.8701,101
2019-12-09,9.8701,9.8701,9.8701,9.8701,0
2019-12-10,9.8701,9.8701,9.8701,9.8701,0
2019-12-11,9.8701,9.8701,9.8701,9.8701,50
2019-12-12,9.8701,9.8701,9.8701,9.8701,0
2019-12-13,9.8700,9.8800,9.8700,9.8800,227
2019-12-16,9.8900,9.8900,9.8700,9.8700,60607
2019-12-17,9.8700,9.8700,9.8700,9.8700,480
2019-12-18,9.8900,9.8900,9.8800,9.8800,37780
2019-12-19,9.8803,9.8803,9.8800,9.8801,1400
2019-12-20,9.8801,9.8801,9.8801,9.8801,11
2019-12-23,9.8801,9.8801,9.8801,9.8801,11
2019-12-24,9.8801,9.8801,9.8801,9.8801,0
2019-12-26,9.8801,9.8801,9.8801,9.8801,1
2019-12-27,9.8801,9.8801,9.8801,9.8801,0
2019-12-30,9.8801,9.8801,9.8801,9.8801,0
2019-12-31,9.8801,9.8801,9.8801,9.8801,0
2020-01-02,9.8801,9.8801,9.8801,9.8801,47
2020-01-03,9.8801,9.8801,9.8801,9.8801,18
2020-01-06,9.9100,9.9100,9.9100,9.9100,247
2020-01-07,9.9200,9.9200,9.9200,9.9200,92917
2020-01-08,10.0000,10.0000,10.0000,10.0000,100
2020-01-09,9.9800,10.0000,9.9500,9.9800,146500
2020-01-10,9.9900,10.1100,9.9900,10.0000,102101
2020-01-13,10.0200,10.0200,10.0200,10.0200,247
2020-01-14,10.0200,10.0200,10.0200,10.0200,1
2020-01-15,10.1000,10.1000,10.1000,10.1000,100
2020-01-16,9.9850,9.9850,9.8700,9.8800,520
2020-01-17,9.8800,9.8800,9.8800,9.8800,0
2020-01-21,10.0270,10.0270,9.9900,9.9900,1100
2020-01-22,10.0000,10.0000,9.8800,9.8800,100400
2020-01-23,9.9500,9.9500,9.9500,9.9500,55911
2020-01-24,9.9500,9.9500,9.9500,9.9500,0
2020-01-27,10.0000,10.0000,9.9400,9.9700,225338
2020-01-28,9.9400,9.9700,9.9400,9.9700,2500
2020-01-29,9.9700,9.9700,9.9700,9.9700,20
2020-01-30,9.9700,10.0300,9.9700,10.0300,616254
2020-01-31,10.0300,10.0300,10.0300,10.0300,109
2020-02-03,10.0300,10.0300,10.0300,10.0300,1
2020-02-04,10.0300,10.0300,10.0300,10.0300,0
2020-02-05,10.0300,10.0300,10.0300,10.0300,0
2020-02-06,10.0300,10.0300,10.0300,10.0300,11
2020-02-07,10.0300,10.0300,10.0300,10.0300,0
2020-02-10,10.0500,10.0500,10.0500,10.0500,470
2020-02-11,10.0500,10.0500,10.0500,10.0500,5
2020-02-12,9.9900,9.9900,9.9800,9.9800,1040
2020-02-13,9.9800,9.9800,9.9800,9.9800,0
2020-02-14,10.0000,10.0600,10.0000,10.0374,21073
2020-02-18,10.0700,10.1400,10.0700,10.1300,549578
2020-02-19,10.1200,10.1600,10.0000,10.1300,67940
2020-02-20,10.1300,10.1333,10.1300,10.1300,11313
2020-02-21,10.1000,10.1500,10.1000,10.1400,592494
2020-02-24,10.1500,10.1500,10.1000,10.1400,568
2020-02-25,10.1400,10.1400,10.1000,10.1400,96998
2020-02-26,10.1400,10.1400,10.1400,10.1400,0
2020-02-27,10.1300,10.1300,10.1300,10.1300,164
2020-02-28,10.0100,10.1300,9.9800,10.1200,213466
2020-03-02,10.1300,10.1300,10.0800,10.1100,10957
2020-03-03,10.1300,10.1300,10.1300,10.1300,0
2020-03-04,10.0000,10.1000,10.0000,10.0100,5966
2020-03-05,10.0263,10.1050,10.0263,10.1050,265237
2020-03-06,10.1300,10.1300,10.0700,10.0700,1065198
2020-03-09,9.9500,9.9500,9.9000,9.9000,80161
2020-03-10,9.9400,9.9400,9.9400,9.9400,158360
2020-03-11,9.9400,10.0500,9.9400,9.9700,233788
2020-03-12,9.9000,9.9500,8.8167,9.8500,456115
2020-03-13,10.0500,10.0500,9.8000,9.8000,2170
2020-03-16,9.6500,9.6500,9.6500,9.6500,1099
2020-03-17,9.5500,9.5500,9.5000,9.5000,116292
2020-03-18,9.4500,9.5000,9.0000,9.3400,1088208
2020-03-19,9.8900,9.8900,9.2500,9.2600,490972
2020-03-20,9.4000,9.4000,9.4000,9.4000,250000
2020-03-23,9.6900,9.6900,9.6900,9.6900,100
2020-03-24,9.6900,9.6900,9.6900,9.6900,240
2020-03-25,9.6200,9.7500,9.6100,9.6100,295840
2020-03-26,9.7000,10.3950,9.5000,9.7800,279190
2020-03-27,9.7800,9.7800,9.7800,9.7800,20
2020-03-30,9.7200,9.8800,9.7200,9.8200,17220
2020-03-31,9.8000,9.8000,9.8000,9.8000,205
2020-04-01,9.8800,9.8800,9.8000,9.8500,14800
2020-04-02,9.8000,9.8500,9.8000,9.8000,86395
2020-04-03,9.7900,9.8521,9.7900,9.8500,380953
2020-04-06,9.8500,9.8500,9.8500,9.8500,500
2020-04-07,9.8500,9.8500,9.8500,9.8500,0
2020-04-08,9.8450,9.8450,9.8400,9.8400,7463
2020-04-09,9.8100,9.8300,9.7500,9.7500,78201
2020-04-13,9.8400,9.8900,9.8350,9.8500,112690
2020-04-14,9.8900,9.9049,9.8600,9.8600,4728
2020-04-15,9.8600,9.8600,9.8600,9.8600,0
2020-04-16,9.8000,9.8900,9.8000,9.8300,636
2020-04-17,9.8600,9.8900,9.8500,9.8900,1789
2020-04-20,9.8900,9.8900,9.8900,9.8900,0
2020-04-21,9.9300,9.9300,9.8600,9.8600,913
2020-04-22,9.9100,9.9300,9.8000,9.9000,330870
2020-04-23,9.8600,9.8600,9.8600,9.8600,1060
2020-04-24,9.8600,9.8600,9.8600,9.8600,0
2020-04-27,10.0000,10.0000,10.0000,10.0000,102
2020-04-28,9.9900,10.0000,9.9000,9.9500,297038
2020-04-29,9.9500,9.9500,9.9500,9.9500,99851
2020-04-30,9.9000,9.9300,9.8300,9.8500,627676
2020-05-01,9.8500,9.8500,9.8500,9.8500,0
2020-05-04,9.8900,9.8900,9.8600,9.8600,125300
2020-05-05,9.8600,9.8600,9.8600,9.8600,0
2020-05-06,9.8500,9.8500,9.7900,9.8300,92907
2020-05-07,9.8300,9.8300,9.8300,9.8300,0
2020-05-08,9.8600,9.8800,9.8600,9.8600,28157
2020-05-11,9.8600,9.8600,9.8600,9.8600,8
2020-05-12,9.9050,9.9300,9.8500,9.9300,299529
2020-05-13,9.9500,9.9500,9.8200,9.8500,76593
2020-05-14,9.9200,10.0000,9.9100,10.0000,3607
2020-05-15,9.9400,9.9500,9.8600,9.9400,1384
2020-05-18,9.9400,9.9400,9.9400,9.9400,11
2020-05-19,9.9400,9.9400,9.9400,9.9400,1
2020-05-20,9.9700,9.9700,9.8500,9.8500,1330
2020-05-21,9.8500,9.8500,9.8500,9.8500,0
2020-05-22,9.9000,9.9800,9.9000,9.9800,1300
2020-05-26,9.9500,9.9500,9.8600,9.9500,1376
2020-05-27,9.9500,9.9500,9.9500,9.9500,86
2020-05-28,9.9500,9.9500,9.9500,9.9500,0
2020-05-29,9.9500,9.9500,9.9500,9.9500,0
2020-06-01,9.9500,9.9800,9.9000,9.9500,200951
2020-06-02,9.9600,9.9600,9.9500,9.9500,772
2020-06-03,9.9200,9.9500,9.8700,9.8800,9096
2020-06-04,9.9500,9.9800,9.9000,9.9800,46640
2020-06-05,9.9168,9.9300,9.9168,9.9300,25729
2020-06-08,9.9000,9.9500,9.9000,9.9000,143636
2020-06-09,9.9300,10.0100,9.9300,9.9500,618668
2020-06-10,9.9500,10.0400,9.9500,10.0400,747978
2020-06-11,10.0050,10.0500,9.9500,9.9600,91672
2020-06-12,10.0400,10.0500,9.9700,9.9700,9959
2020-06-15,10.0000,10.0500,10.0000,10.0500,191143
2020-06-16,10.0500,10.0500,10.0000,10.0000,7974
2020-06-17,10.0500,10.0500,10.0000,10.0300,5054
2020-06-18,10.0600,10.0800,10.0491,10.0800,61452
2020-06-19,10.0800,10.0800,10.0600,10.0600,81947
2020-06-22,10.1100,10.1600,10.1000,10.1300,44677
2020-06-23,10.1300,10.1600,10.1100,10.1100,6270
2020-06-24,10.1200,10.1200,10.1200,10.1200,135018
2020-06-25,10.0700,10.1201,10.0700,10.0700,253509
2020-06-26,10.0800,10.1200,10.0400,10.0900,89804
2020-06-29,14.1000,15.7200,12.6000,14.4000,22098526
2020-06-30,15.9600,17.0000,14.7600,16.3500,14525090
2020-07-01,16.3400,16.5000,14.0500,14.3500,9873391
2020-07-02,14.8600,15.3000,14.1100,14.4500,5755418
2020-07-06,15.0000,15.0500,13.6800,13.7500,4533900
2020-07-07,13.3400,13.6000,12.1200,12.1600,5436210
2020-07-08,12.4700,12.5000,11.8400,12.3000,3278152
2020-07-09,13.7500,14.5199,12.6000,14.0500,12161023
2020-07-10,14.3000,14.5000,13.2100,13.7200,5015697
2020-07-13,13.8400,13.8500,11.9100,12.4000,4673464
2020-07-14,12.1500,12.7400,12.0000,12.6800,2624974
2020-07-15,13.0000,13.1900,12.7100,12.9900,3067685
2020-07-16,12.9900,13.2000,12.8100,12.9000,2818108
2020-07-17,13.6200,14.2199,13.0600,14.0800,3599607
2020-07-20,14.7000,14.7700,14.0200,14.1500,3303064
