date,open,high,low,close,volume
2010-02-11,13.0000,13.2500,12.4000,12.8400,31711667
2010-02-12,12.7600,13.4100,12.7600,13.4100,2911896
2010-02-16,13.4000,13.4200,12.9100,13.3200,166900
2010-02-17,13.2200,14.0000,13.2000,13.3000,400400
2010-02-18,13.1000,13.1500,12.8500,13.0300,402300
2010-02-19,13.0000,13.2300,12.9000,13.2300,325600
2010-02-22,13.2800,13.7000,13.0600,13.0900,189900
2010-02-23,13.0500,13.3000,13.0100,13.0700,110000
2010-02-24,13.0000,13.0500,12.9200,13.0500,36800
2010-02-25,13.0000,13.2000,12.9900,13.2000,192600
2010-02-26,13.0200,13.5400,13.0100,13.4300,72100
2010-03-01,13.5000,13.5500,13.1100,13.2500,92200
2010-03-02,13.2500,13.3800,13.0500,13.2300,100400
2010-03-03,13.1200,13.2600,13.0400,13.1400,39700
2010-03-04,13.0400,13.3500,13.0101,13.2500,53600
2010-03-05,13.2000,13.2000,13.0500,13.1000,44000
2010-03-08,13.1300,13.5500,13.1068,13.4800,32700
2010-03-09,13.3600,13.5800,13.2100,13.5800,30700
2010-03-10,13.4000,13.8300,13.3800,13.7500,76000
2010-03-11,13.5100,14.0900,13.5000,13.9900,127700
2010-03-12,13.8400,14.2000,13.7000,14.1500,147100
2010-03-15,14.0000,15.6900,14.0000,14.9900,413100
2010-03-16,15.3100,15.7900,14.6500,15.3300,289800
2010-03-17,15.2700,15.5000,14.3800,15.4000,168300
2010-03-18,15.3000,15.4500,15.2100,15.3900,38600
2010-03-19,15.1200,15.5000,14.3000,15.4000,204200
2010-03-22,15.2400,15.4500,15.0400,15.1100,96100
2010-03-23,15.1800,15.7300,14.8000,15.1500,171700
2010-03-24,15.1100,15.2600,14.9200,15.1800,56300
2010-03-25,15.0200,15.1800,14.8100,15.0200,50400
2010-03-26,14.9100,15.4400,14.5100,14.7500,265400
2010-03-29,13.5100,14.6150,13.5100,14.4200,351400
2010-03-30,14.7500,15.1900,14.0500,14.1400,254600
2010-03-31,14.2500,14.3900,13.8200,14.0100,1530600
2010-04-01,14.0500,14.3700,13.9450,14.3000,200300
2010-04-05,14.4200,14.5399,14.3200,14.4000,98600
2010-04-06,14.2500,14.8200,14.1500,14.7900,72700
2010-04-07,14.7000,14.9100,14.5500,14.9000,66300
2010-04-08,14.9000,15.4000,14.7700,15.3800,63000
2010-04-09,15.2500,15.3800,15.2000,15.3100,96000
2010-04-12,15.3500,15.5400,15.2000,15.2400,91600
2010-04-13,15.1600,15.4100,14.8400,15.2200,82000
2010-04-14,15.3500,15.5000,15.1000,15.2300,131400
2010-04-15,15.3300,15.4200,15.2000,15.3000,220600
2010-04-16,15.3300,15.5400,15.2100,15.2900,84100
2010-04-19,15.2700,15.4200,14.9700,15.2500,47000
2010-04-20,15.2700,15.2700,15.0600,15.1900,91900
2010-04-21,15.2100,15.4200,15.1500,15.3100,46700
2010-04-22,15.2700,15.4100,15.1700,15.4000,84200
2010-04-23,15.3600,15.3600,15.1900,15.3500,59800
2010-04-26,15.2900,15.3300,15.1500,15.2300,126900
2010-04-27,15.2100,15.2800,15.1000,15.2100,56500
2010-04-28,15.2300,15.2900,15.0000,15.2100,84800
2010-04-29,15.2800,15.2900,15.0000,15.2500,54100
2010-04-30,15.1800,15.4500,15.0300,15.0900,92800
2010-05-03,15.0900,15.2000,14.9600,15.1800,72600
2010-05-04,15.1500,15.1500,14.5800,14.8100,99800
2010-05-05,14.8100,14.8900,14.5700,14.6900,115000
2010-05-06,14.6500,14.9900,13.6000,14.1000,94600
2010-05-07,14.0000,14.0000,13.4100,13.5200,153600
2010-05-10,13.7500,13.9300,13.2900,13.6400,157700
2010-05-11,13.5300,14.2500,13.4900,14.1200,60800
2010-05-12,14.1800,14.2300,13.8700,14.1200,91900
2010-05-13,13.9500,14.1000,13.7000,13.7700,517000
2010-05-14,13.7100,13.8300,13.4100,13.4800,81200
2010-05-17,13.5600,13.5700,13.0100,13.1100,108000
2010-05-18,13.3200,13.3200,12.8100,12.9100,311800
2010-05-19,12.8100,13.1000,12.4600,12.9800,131400
2010-05-20,12.8200,12.8200,12.0300,12.0400,81600
2010-05-21,11.9300,11.9900,11.6700,11.8200,137200
2010-05-24,11.8000,11.8000,11.2900,11.2900,217500
2010-05-25,11.1200,11.1200,10.5700,10.8500,190900
2010-05-26,10.9000,10.9500,10.7400,10.8800,148200
2010-05-27,11.0100,11.0900,10.8500,11.0100,103200
2010-05-28,10.9900,11.0700,10.9300,10.9900,215600
