date,open,high,low,close,volume
2015-02-10,0.2370,0.2490,0.2370,0.2490,155000
2015-02-11,0.2490,0.2490,0.2490,0.2490,0
2015-02-12,0.2490,0.2490,0.2490,0.2490,0
2015-02-13,0.2490,0.2490,0.2490,0.2490,0
2015-02-17,0.2490,0.2490,0.2490,0.2490,0
2015-02-18,0.2490,0.2490,0.2490,0.2490,0
2015-02-19,0.2010,0.2050,0.2010,0.2050,26500
2015-02-20,0.2050,0.2050,0.2050,0.2050,0
2015-02-23,0.2050,0.2050,0.2050,0.2050,0
2015-02-24,0.2050,0.2050,0.2050,0.2050,0
2015-02-25,0.2030,0.2030,0.2030,0.2030,30000
2015-02-26,0.2030,0.2030,0.2030,0.2030,0
2015-02-27,0.1940,0.1940,0.1940,0.1940,50000
2015-03-02,0.1940,0.1940,0.1940,0.1940,0
2015-03-03,0.1940,0.1940,0.1940,0.1940,0
2015-03-04,0.1880,0.1880,0.1880,0.1880,20000
2015-03-05,0.1880,0.1880,0.1880,0.1880,0
2015-03-06,0.1880,0.1880,0.1880,0.1880,0
2015-03-09,0.1880,0.1880,0.1880,0.1880,0
2015-03-10,0.1880,0.1880,0.1880,0.1880,0
2015-03-11,0.1880,0.1880,0.1880,0.1880,0
2015-03-12,0.1821,0.1821,0.1821,0.1821,30000
2015-03-13,0.1821,0.1821,0.1821,0.1821,0
2015-03-16,0.1821,0.1821,0.1821,0.1821,0
2015-03-17,0.1821,0.1821,0.1821,0.1821,0
2015-03-18,0.1821,0.1821,0.1821,0.1821,0
2015-03-19,0.1821,0.1821,0.1821,0.1821,0
2015-03-20,0.1821,0.1821,0.1821,0.1821,0
2015-03-23,0.1821,0.1821,0.1821,0.1821,0
2015-03-24,0.1821,0.1821,0.1821,0.1821,0
2015-03-25,0.1821,0.1821,0.1821,0.1821,0
2015-03-26,0.1821,0.1821,0.1821,0.1821,0
2015-03-27,0.1821,0.1821,0.1821,0.1821,0
2015-03-30,0.1821,0.1821,0.1821,0.1821,0
2015-03-31,0.1821,0.1821,0.1821,0.1821,0
2015-04-01,0.1821,0.1821,0.1821,0.1821,0
2015-04-02,0.1821,0.1821,0.1821,0.1821,0
2015-04-06,0.1821,0.1821,0.1821,0.1821,0
2015-04-07,0.1821,0.1821,0.1821,0.1821,0
2015-04-08,0.1821,0.1821,0.1821,0.1821,0
2015-04-09,0.1821,0.1821,0.1821,0.1821,0
2015-04-10,0.1821,0.1821,0.1821,0.1821,0
2015-04-13,0.1821,0.1821,0.1821,0.1821,0
2015-04-14,0.1821,0.1821,0.1821,0.1821,0
2015-04-15,0.1821,0.1821,0.1821,0.1821,0
2015-04-16,0.1821,0.1821,0.1821,0.1821,0
2015-04-17,0.1821,0.1821,0.1821,0.1821,0
2015-04-20,0.1821,0.1821,0.1821,0.1821,0
2015-04-21,0.1580,0.1580,0.1580,0.1580,50000
2015-04-22,0.1580,0.1580,0.1580,0.1580,0
2015-04-23,0.1580,0.1580,0.1580,0.1580,0
2015-04-24,0.1580,0.1580,0.1580,0.1580,0
2015-04-27,0.1850,0.1850,0.1850,0.1850,5000
2015-04-28,0.1870,0.1870,0.1870,0.1870,5000
2015-04-29,0.1870,0.1870,0.1870,0.1870,0
2015-04-30,0.1870,0.1870,0.1870,0.1870,0
2015-05-01,0.1870,0.1870,0.1870,0.1870,0
2015-05-04,0.1870,0.1870,0.1870,0.1870,0
2015-05-05,0.1870,0.1870,0.1870,0.1870,0
2015-05-06,0.1870,0.1870,0.1870,0.1870,0
2015-05-07,0.1870,0.1870,0.1870,0.1870,0
2015-05-08,0.1870,0.1870,0.1870,0.1870,0
2015-05-11,0.1870,0.1870,0.1870,0.1870,0
2015-05-12,0.1870,0.1870,0.1870,0.1870,0
2015-05-13,0.1870,0.1870,0.1870,0.1870,0
2015-05-14,0.1870,0.1870,0.1870,0.1870,0
2015-05-15,0.1700,0.1700,0.1700,0.1700,2000
2015-05-18,0.1700,0.1700,0.1700,0.1700,0
2015-05-19,0.1700,0.1700,0.1700,0.1700,0
2015-05-20,0.1700,0.1700,0.1700,0.1700,0
2015-05-21,0.1700,0.1700,0.1700,0.1700,0
2015-05-22,0.1700,0.1700,0.1700,0.1700,0
2015-05-26,0.1700,0.1700,0.1700,0.1700,0
2015-05-27,0.1700,0.1700,0.1700,0.1700,0
2015-05-28,0.2460,0.2460,0.2055,0.2055,17000
2015-05-29,0.2055,0.2055,0.2055,0.2055,0
2015-06-01,0.2055,0.2055,0.2055,0.2055,0
2015-06-02,0.2055,0.2055,0.2055,0.2055,0
2015-06-03,0.2055,0.2055,0.2055,0.2055,0
2015-06-04,0.2060,0.2060,0.2060,0.2060,500
2015-06-05,0.2060,0.2060,0.2060,0.2060,0
2015-06-08,0.2060,0.2060,0.2060,0.2060,0
2015-06-09,0.2060,0.2060,0.2060,0.2060,0
2015-06-10,0.2060,0.2060,0.2060,0.2060,0
2015-06-11,0.2060,0.2060,0.2060,0.2060,0
2015-06-12,0.2060,0.2060,0.2060,0.2060,0
2015-06-15,0.2060,0.2060,0.2060,0.2060,0
2015-06-16,0.2060,0.2060,0.2060,0.2060,0
2015-06-17,0.2060,0.2060,0.2060,0.2060,0
2015-06-18,0.2060,0.2060,0.2060,0.2060,0
2015-06-19,0.2060,0.2060,0.2060,0.2060,0
2015-06-22,0.2060,0.2060,0.2060,0.2060,0
2015-06-23,0.2060,0.2060,0.2060,0.2060,0
2015-06-24,0.2060,0.2060,0.2060,0.2060,0
2015-06-25,0.2060,0.2060,0.2060,0.2060,0
2015-06-26,0.2060,0.2060,0.2060,0.2060,0
2015-06-29,0.2060,0.2060,0.2060,0.2060,0
2015-06-30,0.2060,0.2060,0.2060,0.2060,0
2015-07-01,0.2060,0.2060,0.2060,0.2060,0
2015-07-02,0.2060,0.2060,0.2060,0.2060,0
2015-07-06,0.2060,0.2060,0.2060,0.2060,0
2015-07-07,0.2060,0.2060,0.2060,0.2060,0
2015-07-08,0.2060,0.2060,0.2060,0.2060,0
2015-07-09,0.2060,0.2060,0.2060,0.2060,0
2015-07-10,0.2060,0.2060,0.2060,0.2060,0
2015-07-13,0.2060,0.2060,0.2060,0.2060,0
2015-07-14,0.2060,0.2060,0.2060,0.2060,0
2015-07-15,0.2060,0.2060,0.2060,0.2060,0
2015-07-16,0.2060,0.2060,0.2060,0.2060,0
2015-07-17,0.2060,0.2060,0.2060,0.2060,0
2015-07-20,0.2060,0.2060,0.2060,0.2060,0
2015-07-21,0.2060,0.2060,0.2060,0.2060,0
2015-07-22,0.2060,0.2060,0.2060,0.2060,0
2015-07-23,0.2060,0.2060,0.2060,0.2060,0
2015-07-24,0.2160,0.2160,0.2160,0.2160,10000
2015-07-27,0.2160,0.2160,0.2160,0.2160,0
2015-07-28,0.2160,0.2160,0.2160,0.2160,0
2015-07-29,0.2160,0.2160,0.2160,0.2160,0
2015-07-30,0.2160,0.2160,0.2160,0.2160,0
2015-07-31,0.2160,0.2160,0.2160,0.2160,0
2015-08-03,0.2160,0.2160,0.2160,0.2160,0
2015-08-04,0.2160,0.2160,0.2160,0.2160,0
2015-08-05,0.1920,0.1920,0.1920,0.1920,3000
2015-08-06,0.1920,0.1920,0.1920,0.1920,0
2015-08-07,0.1920,0.1920,0.1920,0.1920,0
2015-08-10,0.1920,0.1920,0.1920,0.1920,0
2015-08-11,0.1920,0.1920,0.1920,0.1920,0
2015-08-12,0.1920,0.1920,0.1920,0.1920,0
2015-08-13,0.1920,0.1920,0.1920,0.1920,0
2015-08-14,0.1860,0.1860,0.1860,0.1860,10460
2015-08-17,0.1860,0.1860,0.1860,0.1860,0
2015-08-18,0.1860,0.1860,0.1860,0.1860,0
2015-08-19,0.1860,0.1860,0.1860,0.1860,0
2015-08-20,0.1860,0.1860,0.1860,0.1860,0
2015-08-21,0.1860,0.1860,0.1860,0.1860,0
2015-08-24,0.1860,0.1860,0.1860,0.1860,0
2015-08-25,0.1860,0.1860,0.1860,0.1860,0
2015-08-26,0.1860,0.1860,0.1860,0.1860,0
2015-08-27,0.1910,0.1910,0.1720,0.1720,10000
2015-08-28,0.1800,0.1800,0.1800,0.1800,5000
2015-08-31,0.1800,0.1800,0.1800,0.1800,0
2015-09-01,0.1800,0.1800,0.1800,0.1800,0
2015-09-02,0.1800,0.1800,0.1800,0.1800,0
2015-09-03,0.1800,0.1800,0.1800,0.1800,0
2015-09-04,0.1800,0.1800,0.1800,0.1800,0
2015-09-08,0.1800,0.1800,0.1800,0.1800,0
2015-09-09,0.1800,0.1800,0.1800,0.1800,0
2015-09-10,0.1800,0.1800,0.1800,0.1800,0
2015-09-11,0.1800,0.1800,0.1800,0.1800,0
2015-09-14,0.1800,0.1800,0.1800,0.1800,0
2015-09-15,0.1800,0.1800,0.1800,0.1800,0
2015-09-16,0.1800,0.1800,0.1800,0.1800,0
2015-09-17,0.1800,0.1800,0.1800,0.1800,0
2015-09-18,0.1580,0.1830,0.1580,0.1830,1994
2015-09-21,0.1830,0.1830,0.1830,0.1830,0
2015-09-22,0.1830,0.1830,0.1830,0.1830,0
2015-09-23,0.1600,0.1850,0.1520,0.1520,10100
2015-09-24,0.1832,0.1832,0.1832,0.1832,100
2015-09-25,0.1560,0.1828,0.1560,0.1828,5100
2015-09-28,0.1828,0.1828,0.1828,0.1828,0
2015-09-29,0.1828,0.1828,0.1828,0.1828,0
2015-09-30,0.1600,0.1600,0.1600,0.1600,5000
2015-10-01,0.1600,0.1600,0.1600,0.1600,103
2015-10-02,0.1600,0.1600,0.1600,0.1600,0
2015-10-05,0.1600,0.1600,0.1600,0.1600,0
2015-10-06,0.1600,0.1600,0.1600,0.1600,0
2015-10-07,0.1600,0.1600,0.1600,0.1600,0
2015-10-08,0.1600,0.1600,0.1600,0.1600,0
2015-10-09,0.2000,0.2000,0.2000,0.2000,2500
2015-10-12,0.2000,0.2000,0.2000,0.2000,0
2015-10-13,0.2000,0.2000,0.2000,0.2000,0
2015-10-14,0.1870,0.1870,0.1870,0.1870,10000
2015-10-15,0.1900,0.2080,0.1810,0.1890,6100
2015-10-16,0.1890,0.1890,0.1890,0.1890,0
2015-10-19,0.1890,0.1890,0.1890,0.1890,0
2015-10-20,0.2110,0.2110,0.2000,0.2000,30169
2015-10-21,0.2000,0.2000,0.2000,0.2000,0
2015-10-22,0.2099,0.2112,0.2060,0.2080,17500
2015-10-23,0.2100,0.2100,0.2069,0.2069,6550
2015-10-26,0.2072,0.2072,0.2072,0.2072,140
2015-10-27,0.2000,0.2020,0.2000,0.2020,14000
2015-10-28,0.1953,0.2910,0.1922,0.2610,239500
2015-10-29,0.2869,0.2869,0.2862,0.2862,11700
2015-10-30,0.2756,0.3200,0.2756,0.3200,38600
2015-11-02,0.3150,0.3715,0.3150,0.3154,41730
2015-11-03,0.3178,0.3178,0.2940,0.2940,625
2015-11-04,0.2980,0.2980,0.2950,0.2950,9107
2015-11-05,0.2950,0.2950,0.2635,0.2869,25940
2015-11-06,0.2838,0.2880,0.2838,0.2880,10965
2015-11-09,0.2880,0.2880,0.2880,0.2880,0
2015-11-10,0.2880,0.2880,0.2880,0.2880,0
2015-11-11,0.2500,0.2839,0.2500,0.2839,12000
2015-11-12,0.2839,0.2839,0.2839,0.2839,0
2015-11-13,0.2839,0.2839,0.2839,0.2839,0
2015-11-16,0.2839,0.2839,0.2839,0.2839,0
2015-11-17,0.2839,0.2839,0.2839,0.2839,0
2015-11-18,0.2839,0.2839,0.2839,0.2839,0
2015-11-19,0.2530,0.2530,0.2500,0.2500,11500
2015-11-20,0.2500,0.2500,0.2500,0.2500,0
2015-11-23,0.2573,0.2600,0.2573,0.2600,3500
2015-11-24,0.2640,0.2640,0.2640,0.2640,7000
2015-11-25,0.2640,0.2640,0.2640,0.2640,0
2015-11-27,0.2700,0.2700,0.2687,0.2687,20000
2015-11-30,0.2691,0.2691,0.2691,0.2691,4500
2015-12-01,0.2685,0.2700,0.2685,0.2700,10500
2015-12-02,0.2748,0.2750,0.2716,0.2716,16000
2015-12-03,0.2716,0.2716,0.2716,0.2716,0
2015-12-04,0.2674,0.2674,0.2674,0.2674,10000
2015-12-07,0.2674,0.2674,0.2674,0.2674,0
2015-12-08,0.2560,0.2580,0.2523,0.2580,1574
2015-12-09,0.2519,0.2560,0.2519,0.2560,22800
2015-12-10,0.2386,0.2386,0.2386,0.2386,17000
2015-12-11,0.2300,0.2310,0.2300,0.2310,10000
2015-12-14,0.2310,0.2310,0.2310,0.2310,0
2015-12-15,0.2200,0.2200,0.2200,0.2200,300
2015-12-16,0.2200,0.2200,0.2200,0.2200,0
2015-12-17,0.2200,0.2200,0.2200,0.2200,0
2015-12-18,0.2200,0.2200,0.2200,0.2200,0
2015-12-21,0.2200,0.2200,0.2200,0.2200,0
2015-12-22,0.2200,0.2200,0.2200,0.2200,0
2015-12-23,0.2200,0.2200,0.2200,0.2200,0
2015-12-24,0.1929,0.1965,0.1929,0.1965,3100
2015-12-28,0.1965,0.1965,0.1965,0.1965,0
2015-12-29,0.2250,0.2250,0.2250,0.2250,100
2015-12-30,0.2250,0.2250,0.2250,0.2250,0
2015-12-31,0.2385,0.2385,0.2385,0.2385,100
2016-01-04,0.2238,0.2238,0.2238,0.2238,4000
2016-01-05,0.2243,0.2280,0.2243,0.2280,400
2016-01-06,0.2280,0.2280,0.2280,0.2280,0
2016-01-07,0.2108,0.2108,0.2080,0.2100,10000
2016-01-08,0.2390,0.2390,0.2180,0.2180,600
2016-01-11,0.1986,0.1986,0.1986,0.1986,20000
2016-01-12,0.1935,0.2225,0.1910,0.2225,20900
2016-01-13,0.2142,0.2142,0.2142,0.2142,3000
2016-01-14,0.2142,0.2142,0.2142,0.2142,0
2016-01-15,0.2142,0.2142,0.2142,0.2142,0
2016-01-19,0.2142,0.2142,0.2142,0.2142,0
2016-01-20,0.2100,0.2100,0.2100,0.2100,2200
2016-01-21,0.2100,0.2100,0.2100,0.2100,0
2016-01-22,0.2180,0.2180,0.2180,0.2180,10100
2016-01-25,0.2180,0.2180,0.2180,0.2180,0
2016-01-26,0.2182,0.2182,0.2180,0.2180,5000
2016-01-27,0.2180,0.2180,0.2180,0.2180,0
2016-01-28,0.2180,0.2180,0.2180,0.2180,0
2016-01-29,0.2180,0.2180,0.2180,0.2180,0
2016-02-01,0.2020,0.2020,0.2020,0.2020,10000
2016-02-02,0.2020,0.2020,0.2020,0.2020,0
2016-02-03,0.2020,0.2020,0.2020,0.2020,0
2016-02-04,0.2020,0.2020,0.2020,0.2020,0
2016-02-05,0.2020,0.2020,0.2020,0.2020,0
2016-02-08,0.2020,0.2020,0.2020,0.2020,0
2016-02-09,0.2072,0.2072,0.1870,0.1870,28000
2016-02-10,0.1870,0.1870,0.1870,0.1870,0
2016-02-11,0.1870,0.1870,0.1870,0.1870,0
2016-02-12,0.2000,0.2000,0.2000,0.2000,5000
2016-02-16,0.2000,0.2000,0.2000,0.2000,0
2016-02-17,0.2000,0.2000,0.2000,0.2000,0
2016-02-18,0.2108,0.2108,0.1707,0.1707,137931
2016-02-19,0.1707,0.1707,0.1707,0.1707,0
2016-02-22,0.1707,0.1707,0.1707,0.1707,0
2016-02-23,0.2000,0.2000,0.2000,0.2000,5000
2016-02-24,0.2000,0.2000,0.2000,0.2000,0
2016-02-25,0.2000,0.2000,0.2000,0.2000,0
2016-02-26,0.2000,0.2000,0.2000,0.2000,0
2016-02-29,0.2000,0.2000,0.2000,0.2000,0
2016-03-01,0.2000,0.2000,0.2000,0.2000,0
2016-03-02,0.2100,0.2100,0.2100,0.2100,5000
2016-03-03,0.2100,0.2100,0.2100,0.2100,0
2016-03-04,0.2100,0.2100,0.2100,0.2100,0
2016-03-07,0.2100,0.2100,0.2100,0.2100,0
2016-03-08,0.2129,0.2241,0.2129,0.2241,10103
2016-03-09,0.2241,0.2241,0.2241,0.2241,0
2016-03-10,0.2241,0.2241,0.2241,0.2241,0
2016-03-11,0.2241,0.2241,0.2241,0.2241,0
2016-03-14,0.1970,0.1970,0.1970,0.1970,5250
2016-03-15,0.1970,0.1970,0.1970,0.1970,0
2016-03-16,0.1970,0.1970,0.1970,0.1970,0
2016-03-17,0.1970,0.1970,0.1970,0.1970,0
2016-03-18,0.1970,0.1970,0.1970,0.1970,0
2016-03-21,0.1970,0.1970,0.1970,0.1970,0
2016-03-22,0.1970,0.1970,0.1970,0.1970,0
2016-03-23,0.1970,0.1970,0.1970,0.1970,0
2016-03-24,0.1970,0.1970,0.1970,0.1970,0
2016-03-28,0.1970,0.1970,0.1970,0.1970,0
2016-03-29,0.1932,0.1935,0.1932,0.1935,11000
2016-03-30,0.1935,0.1935,0.1935,0.1935,0
2016-03-31,0.1935,0.1935,0.1935,0.1935,0
2016-04-01,0.1935,0.1935,0.1935,0.1935,0
2016-04-04,0.1935,0.1935,0.1935,0.1935,0
2016-04-05,0.1935,0.1935,0.1935,0.1935,0
2016-04-06,0.1935,0.1935,0.1935,0.1935,0
2016-04-07,0.1935,0.1935,0.1935,0.1935,0
2016-04-08,0.1935,0.1935,0.1935,0.1935,0
2016-04-11,0.1935,0.1935,0.1935,0.1935,0
2016-04-12,0.1935,0.1935,0.1935,0.1935,0
2016-04-13,0.1972,0.2050,0.1972,0.2050,23770
2016-04-14,0.2050,0.2050,0.2050,0.2050,0
2016-04-15,0.2050,0.2050,0.2050,0.2050,0
2016-04-18,0.2099,0.2099,0.2099,0.2099,1000
2016-04-19,0.2234,0.2234,0.2234,0.2234,21300
2016-04-20,0.2182,0.2182,0.2010,0.2010,7261
2016-04-21,0.2000,0.2000,0.2000,0.2000,20000
2016-04-22,0.2000,0.2000,0.2000,0.2000,0
2016-04-25,0.2000,0.2000,0.2000,0.2000,0
2016-04-26,0.2000,0.2000,0.2000,0.2000,0
2016-04-27,0.2000,0.2000,0.2000,0.2000,0
2016-04-28,0.2000,0.2000,0.2000,0.2000,0
2016-04-29,0.2000,0.2000,0.2000,0.2000,0
2016-05-02,0.2000,0.2000,0.2000,0.2000,0
2016-05-03,0.2000,0.2000,0.2000,0.2000,0
2016-05-04,0.2000,0.2000,0.2000,0.2000,0
2016-05-05,0.2082,0.2082,0.2082,0.2082,500
2016-05-06,0.2082,0.2082,0.2082,0.2082,0
2016-05-09,0.2082,0.2082,0.2082,0.2082,0
2016-05-10,0.2082,0.2082,0.2082,0.2082,0
2016-05-11,0.2082,0.2082,0.2082,0.2082,0
2016-05-12,0.2050,0.2130,0.2050,0.2106,253000
2016-05-13,0.2165,0.2185,0.2165,0.2185,3000
2016-05-16,0.2290,0.2690,0.2287,0.2590,218300
2016-05-17,0.2724,0.2840,0.2724,0.2840,43000
2016-05-18,0.2683,0.2745,0.2683,0.2745,151200
2016-05-19,0.2679,0.2695,0.2500,0.2561,43000
2016-05-20,0.2707,0.2870,0.2707,0.2800,128000
2016-05-23,0.2980,0.3400,0.2980,0.3400,65500
2016-05-24,0.2853,0.3130,0.2834,0.3130,28000
2016-05-25,0.3467,0.3467,0.3467,0.3467,25000
2016-05-26,0.3901,0.3940,0.3550,0.3550,51905
2016-05-27,0.3637,0.3856,0.3637,0.3856,46300
2016-05-31,0.3866,0.3925,0.3858,0.3925,32800
2016-06-01,0.3916,0.4080,0.3916,0.4080,18500
2016-06-02,0.3860,0.4222,0.3846,0.4222,15758
2016-06-03,0.5151,0.6200,0.5151,0.5834,86896
2016-06-06,0.6250,0.6998,0.6237,0.6998,44530
2016-06-07,0.7396,0.7480,0.5132,0.5378,57915
2016-06-08,0.6996,0.6996,0.6350,0.6636,12100
2016-06-09,0.5930,0.6100,0.5547,0.5547,31535
2016-06-10,0.5680,0.6215,0.5680,0.6215,22500
2016-06-13,0.5815,0.6300,0.5319,0.6200,33500
2016-06-14,0.5390,0.5887,0.5390,0.5887,16000
2016-06-15,0.5854,0.6148,0.5854,0.6092,3319
2016-06-16,0.6090,0.6090,0.5431,0.5431,19400
2016-06-17,0.5378,0.5397,0.5378,0.5397,5591
2016-06-20,0.5397,0.5397,0.5397,0.5397,0
2016-06-21,0.5101,0.5101,0.5101,0.5101,10000
2016-06-22,0.5450,0.5450,0.4950,0.4950,2500
2016-06-23,0.4892,0.4892,0.4892,0.4892,500
2016-06-24,0.4720,0.4720,0.4500,0.4500,3000
2016-06-27,0.4314,0.4314,0.4077,0.4077,10482
2016-06-28,0.4572,0.4620,0.4572,0.4620,6477
2016-06-29,0.4500,0.4504,0.4500,0.4504,757
2016-06-30,0.4493,0.4514,0.4453,0.4453,11016
2016-07-01,0.4453,0.4453,0.4453,0.4453,0
2016-07-05,0.4200,0.4200,0.4200,0.4200,3200
2016-07-06,0.4200,0.4200,0.4200,0.4200,0
2016-07-07,0.4400,0.4400,0.4400,0.4400,2000
2016-07-08,0.4400,0.4400,0.4400,0.4400,0
2016-07-11,0.4400,0.4600,0.4400,0.4550,21111
2016-07-12,0.4700,0.4700,0.4700,0.4700,5000
2016-07-13,0.4939,0.4939,0.4939,0.4939,1000
2016-07-14,0.4939,0.4939,0.4939,0.4939,0
2016-07-15,0.4685,0.4685,0.4500,0.4500,4000
2016-07-18,0.4500,0.4500,0.4500,0.4500,0
2016-07-19,0.4500,0.4500,0.4500,0.4500,0
2016-07-20,0.4600,0.4600,0.4600,0.4600,4500
2016-07-21,0.4400,0.4410,0.4327,0.4395,30000
2016-07-22,0.4250,0.4280,0.4133,0.4280,28110
2016-07-25,0.3957,0.4058,0.3957,0.4058,5000
2016-07-26,0.4058,0.4058,0.4058,0.4058,0
2016-07-27,0.4058,0.4058,0.4058,0.4058,0
2016-07-28,0.4058,0.4058,0.4058,0.4058,0
2016-07-29,0.5270,0.5270,0.5270,0.5270,3200
2016-08-01,0.5270,0.5270,0.5270,0.5270,0
2016-08-02,0.5270,0.5270,0.5270,0.5270,0
2016-08-03,0.5209,0.5239,0.5000,0.5000,2475
2016-08-04,0.5000,0.5000,0.5000,0.5000,17000
2016-08-05,0.5200,0.5200,0.5058,0.5058,4000
2016-08-08,0.5061,0.5069,0.5061,0.5066,2500
2016-08-09,0.5100,0.5100,0.4897,0.4897,10800
2016-08-10,0.4897,0.4897,0.4897,0.4897,0
2016-08-11,0.5118,0.5130,0.4989,0.4989,9110
2016-08-12,0.4989,0.4989,0.4989,0.4989,0
2016-08-15,0.5161,0.5161,0.5161,0.5161,8000
2016-08-16,0.5161,0.5161,0.5161,0.5161,0
2016-08-17,0.5161,0.5161,0.5161,0.5161,0
2016-08-18,0.5690,0.5690,0.5687,0.5687,1500
2016-08-19,0.6116,0.6118,0.6116,0.6118,9015
2016-08-22,0.6118,0.6118,0.6118,0.6118,0
2016-08-23,0.6118,0.6118,0.6118,0.6118,0
2016-08-24,0.6118,0.6118,0.6118,0.6118,0
2016-08-25,0.6463,0.6628,0.6463,0.6628,9300
2016-08-26,0.7624,0.7624,0.6582,0.6582,3500
2016-08-29,0.6582,0.6582,0.6582,0.6582,0
2016-08-30,0.6614,0.6700,0.6085,0.6378,16415
2016-08-31,0.6528,0.6528,0.6141,0.6141,5900
2016-09-01,0.5958,0.6273,0.5958,0.6273,2000
2016-09-02,0.6273,0.6273,0.6273,0.6273,50
2016-09-06,0.6410,0.6410,0.6264,0.6333,10148
2016-09-07,0.6390,0.7104,0.6390,0.6950,66500
2016-09-08,0.6870,0.7000,0.6870,0.6957,28000
2016-09-09,0.6490,0.6500,0.6490,0.6500,9000
2016-09-12,0.6471,0.6471,0.6471,0.6471,10000
2016-09-13,0.6062,0.6062,0.5791,0.5792,23325
2016-09-14,0.5960,0.6003,0.5629,0.5629,8103
2016-09-15,0.5629,0.5629,0.5629,0.5629,0
2016-09-16,0.6070,0.6070,0.6070,0.6070,142
2016-09-19,0.6070,0.6070,0.6070,0.6070,0
2016-09-20,0.6070,0.6070,0.6070,0.6070,0
2016-09-21,0.6070,0.6070,0.6070,0.6070,0
2016-09-22,0.6070,0.6070,0.6070,0.6070,0
2016-09-23,0.5800,0.5800,0.5800,0.5800,7000
2016-09-26,0.5800,0.5800,0.5727,0.5727,10000
2016-09-27,0.5727,0.5727,0.5727,0.5727,0
2016-09-28,0.5727,0.5727,0.5727,0.5727,0
2016-09-29,0.5727,0.5727,0.5727,0.5727,0
2016-09-30,0.5727,0.5727,0.5727,0.5727,0
2016-10-03,0.5700,0.5700,0.5700,0.5700,4000
2016-10-04,0.5623,0.5690,0.5623,0.5690,4000
2016-10-05,0.5890,0.5890,0.5890,0.5890,900
2016-10-06,0.5230,0.5410,0.5230,0.5400,4500
2016-10-07,0.5400,0.5400,0.5400,0.5400,0
2016-10-10,0.5400,0.5400,0.5400,0.5400,0
2016-10-11,0.5390,0.5720,0.5390,0.5720,5000
2016-10-12,0.5720,0.5720,0.5720,0.5720,25
2016-10-13,0.5720,0.5720,0.5720,0.5720,0
2016-10-14,0.5720,0.5720,0.5720,0.5720,0
2016-10-17,0.5720,0.5720,0.5720,0.5720,0
2016-10-18,0.5720,0.5720,0.5720,0.5720,0
2016-10-19,0.5720,0.5720,0.5720,0.5720,0
2016-10-20,0.5720,0.5720,0.5720,0.5720,0
2016-10-21,0.5720,0.5720,0.5720,0.5720,0
2016-10-24,0.5720,0.5720,0.5720,0.5720,0
2016-10-25,0.5720,0.5720,0.5720,0.5720,0
2016-10-26,0.5720,0.5720,0.5720,0.5720,0
2016-10-27,0.5720,0.5720,0.5720,0.5720,0
2016-10-28,0.5800,0.5800,0.5800,0.5800,9525
2016-10-31,0.5800,0.5950,0.5790,0.5797,36975
2016-11-01,0.5797,0.5797,0.5797,0.5797,0
2016-11-02,0.5797,0.5797,0.5797,0.5797,0
2016-11-03,0.5797,0.5797,0.5797,0.5797,0
2016-11-04,0.5797,0.5797,0.5797,0.5797,0
2016-11-07,0.5390,0.5600,0.5390,0.5600,17667
2016-11-08,0.5600,0.5600,0.5600,0.5600,5000
2016-11-09,0.5600,0.5600,0.5600,0.5600,6500
2016-11-10,0.5470,0.5560,0.5470,0.5560,1975
2016-11-11,0.5561,0.5561,0.5561,0.5561,4000
2016-11-14,0.5561,0.5561,0.5561,0.5561,0
2016-11-15,0.5300,0.5300,0.5300,0.5300,1300
2016-11-16,0.5300,0.5300,0.5300,0.5300,0
2016-11-17,0.5300,0.5314,0.5300,0.5314,2000
2016-11-18,0.5314,0.5314,0.5314,0.5314,0
2016-11-21,0.5314,0.5314,0.5314,0.5314,0
2016-11-22,0.5202,0.5202,0.5130,0.5130,1500
2016-11-23,0.5130,0.5130,0.5130,0.5130,0
2016-11-25,0.5130,0.5130,0.5130,0.5130,0
2016-11-28,0.5130,0.5130,0.5130,0.5130,0
2016-11-29,0.5130,0.5130,0.5130,0.5130,0
2016-11-30,0.5763,0.5790,0.5763,0.5790,11000
2016-12-01,0.5641,0.5641,0.5500,0.5500,14000
2016-12-02,0.5519,0.5519,0.5500,0.5500,8600
2016-12-05,0.5605,0.5680,0.5605,0.5680,4000
2016-12-06,0.5470,0.5470,0.5470,0.5470,1840
2016-12-07,0.5793,0.6016,0.5793,0.5988,69915
2016-12-08,0.6024,0.6300,0.5710,0.5721,33000
2016-12-09,0.5900,0.5900,0.5897,0.5897,5800
2016-12-12,0.6145,0.6150,0.6067,0.6150,19600
2016-12-13,0.5900,0.5900,0.5615,0.5615,27000
