date,open,high,low,close,volume
2014-06-26,28.6500,33.0000,28.6500,31.3400,45837325
2014-06-27,32.9700,40.4700,29.4980,35.7600,45727158
2014-06-30,39.4400,41.1900,37.8300,40.5500,24928679
2014-07-01,45.0000,49.9000,44.4000,48.7999,41795185
2014-07-02,46.9000,46.9800,41.5300,42.0400,29324076
2014-07-03,43.9700,45.2399,40.7400,41.5800,15536583
2014-07-07,42.9800,44.4400,41.7600,43.9601,17032380
2014-07-08,43.8850,44.9900,41.5300,42.2000,10883881
2014-07-09,43.0100,43.7000,41.7500,43.3000,5876831
2014-07-10,41.7300,42.7500,40.6000,41.9400,4992625
2014-07-11,42.4500,42.8800,38.7300,38.8400,9330315
2014-07-14,38.8700,39.1000,36.1000,36.8400,10712412
2014-07-15,39.0900,42.1000,38.2300,41.6300,19856584
2014-07-16,43.8000,44.4400,40.8000,40.9000,11344997
2014-07-17,40.5000,42.1300,40.0000,40.3400,4755012
2014-07-18,41.0700,42.5500,40.4000,41.4300,5215762
2014-07-21,43.2000,43.8000,41.5000,41.5800,9189147
2014-07-22,42.8500,43.2500,42.2000,43.1000,5829201
2014-07-23,43.8300,44.8300,40.8200,41.7400,10362883
2014-07-24,42.3000,42.4000,41.3200,42.1900,3373460
2014-07-25,41.8200,42.4000,41.0600,41.9800,2837865
2014-07-28,42.3000,43.7000,41.2300,43.2500,5882926
2014-07-29,43.6800,44.7500,43.2900,44.0700,5903634
2014-07-30,44.7200,46.3400,44.2500,46.3158,6482058
2014-07-31,45.1000,48.4000,44.6200,47.9700,14661983
2014-08-01,41.9700,44.7900,40.5200,40.9700,13318858
2014-08-04,41.4400,41.8000,38.3500,38.5300,6683634
2014-08-05,38.6400,40.1400,38.3500,38.8700,4017147
2014-08-06,39.3600,40.1300,38.5300,38.7200,2259646
2014-08-07,39.8500,39.8500,38.2700,38.7000,2044925
2014-08-08,39.1600,39.1600,37.2400,37.6500,2423591
2014-08-11,38.6400,38.7700,38.1000,38.2000,1564644
2014-08-12,38.6500,38.6924,37.7000,38.0399,1317728
2014-08-13,38.4900,39.0400,38.0100,38.1900,2162202
2014-08-14,38.2500,39.8200,38.0500,39.4900,2892037
2014-08-15,39.5100,40.2500,38.9000,39.7900,2822459
2014-08-18,40.5000,42.6000,40.0400,41.8500,3903791
2014-08-19,42.3400,43.5000,42.0501,43.3600,4064423
2014-08-20,42.9050,44.6000,42.7600,43.8900,3427176
2014-08-21,44.6000,44.8600,43.0264,43.1700,2689281
2014-08-22,43.0000,43.8300,42.7000,43.2900,1683879
2014-08-25,43.8500,44.3500,43.3010,43.8500,1850319
2014-08-26,44.8000,45.8000,44.5700,45.2900,3781936
