date,open,high,low,close,volume
2020-02-13,4.7000,4.7000,3.6688,3.8600,266516
2020-02-14,3.8200,4.2200,3.8200,3.9500,43128
2020-02-18,3.9800,4.1342,3.9500,4.0600,34337
2020-02-19,4.1000,4.1200,3.5800,3.6600,63339
2020-02-20,3.6700,3.8750,3.1100,3.6900,66206
2020-02-21,3.7800,3.8600,3.3800,3.7000,43985
2020-02-24,3.6900,3.8343,3.3500,3.6500,25684
2020-02-25,3.6700,4.4700,3.6500,3.8600,47479
2020-02-26,3.8900,3.9633,3.4100,3.7000,35013
2020-02-27,4.0000,4.4000,3.7398,4.3300,156233
2020-02-28,4.4400,4.4400,3.8000,4.0800,56646
2020-03-02,3.8000,3.8200,2.8400,3.0788,135958
2020-03-03,3.0500,3.6862,3.0500,3.3900,68045
2020-03-04,3.5500,3.8400,3.4000,3.5000,37223
2020-03-05,3.6000,3.6000,3.2850,3.3700,8766
2020-03-06,3.3100,3.4300,3.1000,3.2400,22426
2020-03-09,3.0700,3.0800,2.7500,2.8100,17810
2020-03-10,2.9610,3.0614,2.9000,3.0500,13289
2020-03-11,3.1900,3.2000,2.8200,2.8900,7336
2020-03-12,2.4800,2.7500,2.0700,2.4500,11957
2020-03-13,2.5230,2.7200,1.9150,2.1900,35720
2020-03-16,1.8800,2.7370,1.8800,2.3800,42221
2020-03-17,2.3200,3.9700,2.3200,3.3500,1261530
2020-03-18,3.5800,5.0900,3.2000,3.6000,3156000
2020-03-19,4.1500,4.7500,2.5600,2.7600,1419994
2020-03-20,2.4900,2.6884,2.0000,2.3000,312976
2020-03-23,2.2000,2.3000,1.7300,2.0500,253709
2020-03-24,2.0900,2.3999,1.9100,1.9400,150024
2020-03-25,1.9000,2.0500,1.7000,1.9500,168691
2020-03-26,1.8800,2.3400,1.6500,2.2500,221178
2020-03-27,2.2000,2.2000,1.8000,1.9500,108677
2020-03-30,2.0900,2.2000,1.8500,1.9000,138852
2020-03-31,1.8800,1.9700,1.6200,1.6600,86589
2020-04-01,1.6200,1.9000,1.6000,1.7000,144113
2020-04-02,1.7400,1.7406,1.5800,1.6500,60725
2020-04-03,1.5200,1.7400,1.4200,1.5700,44770
2020-04-06,1.6400,1.7500,1.4818,1.7400,33812
2020-04-07,1.8236,1.8900,1.6200,1.7300,38252
2020-04-08,1.6600,1.7600,1.6600,1.7000,20814
2020-04-09,1.6100,1.6789,1.4200,1.6500,82228
2020-04-13,1.6800,1.6900,1.5300,1.6800,12497
2020-04-14,1.6700,1.7500,1.5531,1.7400,21667
2020-04-15,1.9600,3.0000,1.8700,2.0200,4098121
2020-04-16,1.9200,2.1600,1.7400,1.9300,335799
