date,open,high,low,close,volume
2018-06-18,17.0000,17.0000,17.0000,17.0000,100
2018-06-19,17.0000,17.0000,17.0000,17.0000,0
2018-06-20,17.0000,17.0000,17.0000,17.0000,0
2018-06-21,17.0000,17.0000,17.0000,17.0000,0
2018-06-22,17.0000,17.0000,17.0000,17.0000,0
2018-06-25,10.8500,15.5000,9.5520,15.5000,7023
2018-06-26,13.1500,13.5000,13.1500,13.5000,1290
2018-06-27,20.1800,20.5000,19.9000,19.9000,900
2018-06-28,19.9000,19.9000,14.4000,14.4000,435
2018-06-29,13.5500,17.8000,13.5500,17.8000,832
2018-07-02,13.5600,14.0600,13.5600,14.0600,524
2018-07-03,14.0600,14.0600,14.0600,14.0600,116
2018-07-05,14.1000,15.6000,14.1000,15.6000,645
2018-07-06,16.0500,16.0500,15.9900,15.9900,1537
2018-07-09,17.5000,17.5000,16.0000,16.0000,2121
2018-07-10,15.9000,16.0000,13.7000,13.7000,3079
2018-07-11,14.3000,14.5000,14.0000,14.0000,300
2018-07-12,13.0400,13.4500,11.3600,11.3600,2574
2018-07-13,11.3600,11.3600,11.3600,11.3600,0
2018-07-16,12.0000,12.0000,12.0000,12.0000,400
2018-07-17,12.0000,12.0000,12.0000,12.0000,9
2018-07-18,11.6960,11.9000,11.3340,11.3340,1328
2018-07-19,11.5000,11.5000,11.4400,11.4400,798
2018-07-20,11.0500,11.0700,10.2710,10.9100,3149
2018-07-23,11.3000,11.3900,10.6400,10.8000,1148
2018-07-24,11.1500,11.2000,11.1500,11.2000,1000
2018-07-25,11.2000,11.2000,11.2000,11.2000,0
2018-07-26,11.2000,11.2000,11.2000,11.2000,0
2018-07-27,10.8400,10.9600,10.7400,10.9000,15957
2018-07-30,10.3500,10.4000,10.2500,10.3600,3844
2018-07-31,10.3000,10.3000,10.2500,10.2500,850
2018-08-01,9.9800,9.9800,9.9100,9.9200,2006
2018-08-02,9.7300,9.8000,9.6500,9.8000,880
2018-08-03,9.6200,9.7400,9.6200,9.7400,918
2018-08-06,9.5600,9.5800,8.5300,8.5300,1666
2018-08-07,9.5000,9.6500,9.5000,9.6200,1855
2018-08-08,9.6200,9.6200,9.6200,9.6200,74
2018-08-09,9.6000,9.6000,9.6000,9.6000,228
2018-08-10,9.0000,9.0000,9.0000,9.0000,375
2018-08-13,8.9770,9.2600,8.9770,9.2600,5300
2018-08-14,8.9473,8.9473,8.9473,8.9473,223
2018-08-15,8.6900,8.8000,8.6900,8.8000,1437
2018-08-16,8.6900,8.7000,8.6900,8.7000,500
2018-08-17,8.6700,8.9000,8.6230,8.9000,3950
2018-08-20,9.3500,16.0000,9.3500,11.6000,144400
2018-08-21,10.6400,10.9490,9.6000,9.7500,65601
2018-08-22,9.7510,9.9000,8.5600,9.3520,26290
2018-08-23,9.0500,9.4900,9.0000,9.2070,11811
2018-08-24,9.3500,9.7700,9.0680,9.5000,11750
2018-08-27,9.2600,9.7310,8.9090,9.6000,9684
2018-08-28,9.5000,9.5480,8.5930,9.4990,8955
2018-08-29,9.2500,10.4000,8.7510,9.8210,23989
2018-08-30,8.6800,9.0400,8.3100,8.5000,39674
2018-08-31,8.5800,8.9400,8.1200,8.7970,5863
2018-09-04,8.9700,8.9700,8.0700,8.0700,8806
2018-09-05,7.9000,7.9900,7.5260,7.6000,8977
2018-09-06,7.6500,7.9050,7.6500,7.6500,4410
2018-09-07,8.0000,8.7500,8.0000,8.5700,1503
2018-09-10,8.7000,8.7000,8.5000,8.5000,2404
2018-09-11,8.3280,8.3750,8.0700,8.0700,2360
2018-09-12,8.0700,8.6200,8.0000,8.0600,4594
2018-09-13,8.1000,8.1700,8.0600,8.0600,1895
2018-09-14,8.0300,8.0550,8.0000,8.0000,3754
2018-09-17,8.0000,8.0000,7.8000,7.8000,3911
2018-09-18,7.9900,7.9900,7.5100,7.5100,6368
2018-09-19,7.5100,8.2600,7.2200,7.3790,3914
2018-09-20,7.4000,7.8340,7.2400,7.8340,2142
2018-09-21,7.3000,7.3100,7.1000,7.3000,11324
2018-09-24,7.3400,7.3400,7.2500,7.2500,835
2018-09-25,7.4230,9.9700,7.1840,7.4930,97700
2018-09-26,7.6500,7.6990,6.9300,7.3400,57721
2018-09-27,7.3500,7.9500,7.3000,7.5480,35631
2018-09-28,7.5000,7.7560,7.4000,7.5500,11661
2018-10-01,7.4000,8.0000,6.9500,7.7270,57188
2018-10-02,7.8400,7.8400,7.2500,7.3000,27122
2018-10-03,7.4300,7.6300,7.3000,7.3500,30888
2018-10-04,7.3000,7.6070,7.2820,7.3000,44796
2018-10-05,7.4930,7.8000,7.2000,7.2000,25224
2018-10-08,7.1500,7.5800,7.1120,7.2700,17896
2018-10-09,7.4600,7.8000,7.0700,7.5000,12668
2018-10-10,7.6390,7.7000,7.5200,7.5200,13097
2018-10-11,7.6000,7.8000,7.5200,7.5800,7778
2018-10-12,7.4900,8.3500,7.2000,7.9000,50809
2018-10-15,7.3500,8.1880,7.1060,7.3600,166180
2018-10-16,7.4600,7.4600,6.5300,6.7310,61878
2018-10-17,6.9100,7.0420,6.6200,7.0000,20295
2018-10-18,7.2500,7.2500,6.6700,7.0600,9277
2018-10-19,6.9700,7.3000,6.9000,6.9200,39799
2018-10-22,7.2100,8.2500,7.0700,7.5030,142016
2018-10-23,7.0100,7.1660,6.8200,6.9910,31164
2018-10-24,6.9000,7.2360,6.7200,6.8900,25611
2018-10-25,7.2000,7.3000,6.8100,6.8700,32060
2018-10-26,6.8700,7.2000,6.8700,6.9930,30723
2018-10-29,7.0300,7.3890,6.7600,7.0530,120079
2018-10-30,6.8300,6.9700,6.4010,6.6700,34635
2018-10-31,6.8000,7.1900,6.6200,6.9560,43585
2018-11-01,6.9600,7.4100,6.7200,7.0000,102841
2018-11-02,6.9900,7.0980,6.8400,6.9000,15889
2018-11-05,7.0800,7.1000,6.6000,6.6000,11180
2018-11-06,6.6900,6.9400,6.6000,6.9140,7727
2018-11-07,7.0500,7.3400,6.8500,7.0700,18407
2018-11-08,7.3020,7.3300,6.8930,7.0000,28839
2018-11-09,7.2500,7.3000,6.9000,7.1000,18703
2018-11-12,7.3100,7.7000,7.0060,7.4750,24384
2018-11-13,7.4040,7.4100,7.2200,7.2460,12871
2018-11-14,7.3000,7.4000,7.0000,7.0000,13591
2018-11-15,7.0000,7.2370,6.8700,7.0200,9571
2018-11-16,6.8900,7.2000,6.6100,6.8450,11080
2018-11-19,6.8400,6.8400,6.5000,6.5200,10612
2018-11-20,6.5000,6.7800,6.5000,6.6000,6742
2018-11-21,6.7400,6.8900,6.6330,6.8170,2267
2018-11-23,6.6000,6.7700,6.6000,6.7700,699
2018-11-26,6.8100,7.1200,6.7530,6.7530,5601
2018-11-27,6.7600,6.8000,6.6942,6.8000,7480
2018-11-28,6.8000,6.8000,6.8000,6.8000,11
2018-11-29,6.8000,6.9800,6.8000,6.8600,3701
2018-11-30,6.8100,6.8100,6.8000,6.8000,437
2018-12-03,6.7300,6.7300,6.5000,6.5700,20347
2018-12-04,6.4100,6.7500,6.4100,6.4400,8033
2018-12-06,6.3300,6.3300,5.7476,5.9800,17066
2018-12-07,6.1000,7.0000,6.0000,6.1000,12665
2018-12-10,6.0600,6.2000,5.8200,6.0000,73017
2018-12-11,5.9800,6.0970,5.6500,5.6500,13426
2018-12-12,5.6500,5.7800,5.3200,5.3700,14421
2018-12-13,5.3960,5.8500,5.3960,5.8210,12302
2018-12-14,5.5100,5.8730,5.5000,5.8730,1765
2018-12-17,5.9800,5.9800,5.5000,5.6300,6906
2018-12-18,5.4700,5.9800,5.3200,5.9000,20249
2018-12-19,5.7100,5.7100,5.4371,5.5000,1292
2018-12-20,5.8000,6.2800,5.6500,6.0000,10379
2018-12-21,5.8400,6.0000,5.4100,5.4100,11674
2018-12-24,5.5880,6.0180,5.5880,6.0180,2752
2018-12-26,6.9600,7.1600,6.8000,6.8000,1615
2018-12-27,5.3700,6.2270,5.3700,6.0000,4608
2018-12-28,6.2000,6.2100,6.2000,6.2000,10655
2018-12-31,6.5720,6.5720,6.2200,6.2400,6985
2019-01-02,5.6000,6.1800,5.6000,6.1000,1248
2019-01-03,5.6000,6.1500,5.4500,6.0000,3842
2019-01-04,6.0700,6.0700,6.0300,6.0300,555
2019-01-07,6.3000,6.3000,6.3000,6.3000,1860
2019-01-08,6.3000,6.5300,6.3000,6.5300,1118
2019-01-09,6.0100,6.1700,6.0000,6.0000,5724
2019-01-10,6.1000,6.4500,6.0100,6.4000,6934
2019-01-11,6.4000,6.4000,6.4000,6.4000,49
2019-01-14,6.4700,6.8000,6.4700,6.5700,2111
2019-01-15,6.5700,6.5700,6.5700,6.5700,2
2019-01-16,6.4130,6.7800,6.3600,6.7600,3396
2019-01-17,6.7600,6.8270,6.5000,6.5000,2174
2019-01-18,6.5000,6.5000,6.5000,6.5000,0
2019-01-22,6.5000,6.5000,6.5000,6.5000,1213
2019-01-23,6.8400,7.0000,6.8400,6.8700,2253
2019-01-24,6.8500,6.8500,6.8500,6.8500,177
2019-01-25,7.0700,7.0700,6.0000,6.0000,1438
2019-01-28,6.8700,6.9500,6.5000,6.8290,19845
2019-01-29,6.7500,6.7500,6.3000,6.3000,1127
2019-01-30,6.2120,6.7000,6.2100,6.4800,1739
2019-01-31,6.6550,6.6550,6.4000,6.5000,3218
2019-02-01,6.4100,6.4100,6.4000,6.4000,666
2019-02-04,6.5000,6.8500,6.5000,6.5000,1205
2019-02-05,6.5500,6.5500,6.1000,6.1300,7158
2019-02-06,6.1300,6.1300,6.1300,6.1300,0
2019-02-07,6.1000,6.1200,6.1000,6.1200,7611
2019-02-08,6.0900,6.1010,6.0900,6.1000,13789
2019-02-11,6.0900,6.0900,6.0900,6.0900,1160
2019-02-12,5.9600,6.0300,5.9500,5.9500,4800
2019-02-13,6.2500,6.2500,6.2000,6.2000,14006
2019-02-14,6.2000,6.2000,6.2000,6.2000,0
2019-02-15,5.9600,6.2900,5.9600,6.2600,408
2019-02-19,5.6700,5.8000,5.5800,5.7400,7537
2019-02-20,5.5700,6.0800,5.5170,6.0400,14170
2019-02-21,5.5800,5.7494,5.5300,5.6000,31678
2019-02-22,5.7000,5.9000,5.6000,5.6000,10648
2019-02-25,5.8700,5.9300,5.5500,5.6381,13681
2019-02-26,5.7400,5.7400,5.4790,5.5500,13130
2019-02-27,5.4700,5.6800,5.4600,5.4600,998
2019-02-28,5.8000,6.2000,5.8000,5.8000,19872
