date,open,high,low,close,volume
2011-11-04,28.0000,31.1400,25.9000,26.1100,49813000
2011-11-07,27.4400,27.7800,24.5900,25.9700,9516000
2011-11-08,26.2000,26.2100,24.7500,24.9000,4266800
2011-11-09,23.5100,24.5600,22.7600,24.0200,4544100
2011-11-10,24.1300,24.9600,23.2000,24.4100,2344000
2011-11-11,24.9600,25.0000,23.6100,24.2500,1316100
2011-11-14,23.4200,24.1600,23.4000,24.0700,1577800
2011-11-15,24.0000,24.7400,23.6800,24.0700,1209800
2011-11-16,24.0200,24.3000,23.7499,24.0300,754500
2011-11-17,23.6000,24.9500,23.6000,24.7700,1622600
2011-11-18,24.6300,26.2500,24.2000,26.1900,2504200
2011-11-21,26.7500,26.9000,23.2800,23.5800,2590100
2011-11-22,24.7500,24.7500,20.0300,20.0700,5227800
2011-11-23,20.0000,20.0000,16.7100,16.9600,7886900
2011-11-25,17.0000,17.6400,16.2000,16.7500,2125100
2011-11-28,17.4400,17.7500,14.8500,15.2400,6018900
2011-11-29,15.2800,16.4400,15.1100,16.0100,3372500
2011-11-30,16.6900,17.7400,16.2100,17.5000,2409400
2011-12-01,17.7700,18.9900,17.3600,18.9500,2153600
2011-12-02,19.5000,20.8200,17.9000,18.9500,3659300
2011-12-05,19.4200,19.4800,18.4000,19.0400,1793900
2011-12-06,18.8000,19.5100,18.8000,19.2400,1670500
2011-12-07,19.4800,21.6700,19.2000,21.1500,3512000
2011-12-08,20.7600,22.9000,20.2500,22.2700,3115200
2011-12-09,22.7300,23.4900,22.0000,23.4800,2728500
2011-12-12,23.3400,23.3400,21.2700,22.2500,2276900
2011-12-13,22.9500,24.5000,22.3000,23.3200,2334900
2011-12-14,23.0000,23.2000,21.1000,22.5500,2341200
2011-12-15,23.5000,23.5000,22.6340,23.0800,1136200
2011-12-16,23.4400,25.1500,21.5000,23.0400,4532000
2011-12-19,23.0100,23.3700,21.6800,22.0000,1129500
2011-12-20,22.5000,22.9000,22.1000,22.7500,1104300
2011-12-21,22.7500,23.2500,22.1100,22.9600,1028400
2011-12-22,23.0500,23.0500,21.6800,22.1000,1296500
2011-12-23,22.1900,22.9800,21.9000,22.8400,1227700
2011-12-27,22.8600,23.5900,22.5800,23.0500,771200
2011-12-28,23.1000,23.4500,22.3000,22.6200,731600
2011-12-29,22.9000,22.9100,21.1600,21.3800,875200
2011-12-30,21.5500,21.6600,20.0100,20.6300,1239800
2012-01-03,20.9500,21.0000,18.8000,19.2700,2516100
2012-01-04,19.1900,19.2300,18.5200,18.7900,1454600
2012-01-05,18.5600,18.6550,17.2100,17.8800,2736000
2012-01-06,17.9000,17.9700,17.5000,17.8100,1461400
2012-01-09,17.4700,18.6000,17.2350,18.3000,1770600
2012-01-10,18.9900,19.3900,18.7800,19.1500,1524900
2012-01-11,18.9200,19.7600,18.3401,19.0000,1684300
2012-01-12,18.6500,19.6600,18.5900,19.2600,1342700
2012-01-13,19.0700,19.3300,18.9000,19.1500,856900
2012-01-17,19.1200,19.8800,18.7000,19.5100,1721200
2012-01-18,19.5300,21.0000,19.2600,20.5700,1851700
2012-01-19,20.5900,21.9900,20.1100,21.1900,1602300
2012-01-20,20.8100,21.2100,20.1900,20.8500,925100
2012-01-23,20.6000,21.3600,20.4000,20.7600,1125200
2012-01-24,20.4700,20.9060,20.2700,20.6000,1076400
2012-01-25,20.3500,20.5700,19.7000,20.0800,1762900
2012-01-26,20.0400,20.2600,19.4500,19.5300,1118800
2012-01-27,19.4000,20.2400,19.3800,20.0400,1241200
2012-01-30,19.9200,20.4400,19.5000,19.6300,2407400
2012-01-31,19.7000,20.4200,19.5700,20.3900,1543200
2012-02-01,20.5000,21.6600,20.0000,21.4900,2290300
2012-02-02,21.6900,24.2200,21.2000,23.0800,5157200
2012-02-03,23.4900,24.7500,23.1500,24.4300,3046900
2012-02-06,24.1500,24.9000,23.3700,23.5100,2493600
2012-02-07,23.3300,24.3500,22.1200,24.1900,2633200
2012-02-08,24.6400,25.8393,23.6500,24.5800,8745000
2012-02-09,21.8300,22.4700,20.1000,21.1700,11126700
2012-02-10,21.1400,21.3900,20.5400,21.0300,2038600
2012-02-13,21.0000,21.0700,18.9300,19.4500,5470300
2012-02-14,19.0200,19.8600,18.9000,19.3500,2283700
2012-02-15,19.4000,19.8300,19.2500,19.5100,1380700
2012-02-16,19.8100,20.4700,19.3300,20.3000,2561100
2012-02-17,20.3100,20.5100,20.1000,20.2600,2491100
2012-02-21,20.5300,20.6300,19.6900,19.8400,1481600
2012-02-22,19.6100,19.8700,19.3500,19.4100,1192100
2012-02-23,19.6200,19.6999,18.8000,19.3900,1516300
2012-02-24,19.3700,19.8000,19.2500,19.5000,1354900
2012-02-27,19.2400,19.7300,19.2100,19.4900,1203600
2012-02-28,19.6000,20.5000,19.4900,19.8700,2474300
2012-02-29,19.9500,20.1800,19.5900,19.7150,1370900
2012-03-01,19.7500,19.8900,19.2900,19.5100,1251700
2012-03-02,19.5700,19.8800,19.1200,19.2000,1353200
2012-03-05,19.1200,19.2100,18.0000,18.1300,3026500
2012-03-06,17.8400,18.5400,17.5000,18.3300,1629600
2012-03-07,18.3800,18.5800,17.3000,17.3200,2313200
2012-03-08,17.5500,17.6000,16.2500,16.9800,4497300
2012-03-09,17.0300,17.5800,16.7700,17.0600,1942300
2012-03-12,17.1300,17.4400,16.6900,16.7400,1291700
2012-03-13,16.7300,17.2300,16.4000,17.0550,1912400
2012-03-14,17.1200,17.3700,16.6600,16.8800,1336100
2012-03-15,17.0100,18.3200,16.7100,17.8400,3595300
2012-03-16,17.8400,18.0800,17.5900,18.0200,2024700
2012-03-19,17.8800,18.3200,17.6600,17.8200,961800
2012-03-20,17.9700,18.1600,17.5300,17.7200,1607900
2012-03-21,17.9200,17.9200,16.9300,17.3000,2360500
2012-03-22,17.1700,17.2700,16.7300,16.8900,2210600
2012-03-23,16.8800,17.0800,16.6400,16.8900,2081400
2012-03-26,17.0500,17.4900,16.7000,17.3800,2232600
2012-03-27,17.5000,18.5000,17.3170,18.2800,2168800
2012-03-28,18.1800,18.7600,17.6000,17.8000,2564000
2012-03-29,17.7600,18.2299,17.5500,17.7000,1126800
2012-03-30,17.8000,18.9800,17.7900,18.3800,2592700
2012-04-02,16.5100,16.5700,15.2500,15.2750,10090300
2012-04-03,15.2800,15.4800,14.9000,15.0200,3501000
2012-04-04,14.7500,15.2300,14.5100,14.5400,3569600
2012-04-05,14.4100,14.7500,14.0100,14.1800,4370800
2012-04-09,14.0000,14.2250,13.5000,13.8900,3238200
2012-04-10,13.8600,13.9500,13.3000,13.5500,3462000
2012-04-11,14.1200,14.1200,12.9500,13.0800,2422500
2012-04-12,14.2900,14.3000,13.2700,13.5600,2819400
2012-04-13,13.5200,13.5500,12.8500,13.1200,1953700
2012-04-16,13.1500,13.2600,12.5500,12.6700,1671900
2012-04-17,12.6500,12.9290,12.2500,12.5800,1851700
2012-04-18,12.3900,12.5500,11.8300,12.0400,2451200
2012-04-19,11.9500,12.2700,11.6800,11.7600,1995200
2012-04-20,11.8100,11.8600,11.0200,11.1300,2392100
2012-04-23,11.4500,11.9300,11.1000,11.8500,5088300
2012-04-24,11.8200,12.0700,11.6000,11.9600,2951900
2012-04-25,12.0400,12.3200,11.9800,12.2700,921300
2012-04-26,12.1000,12.1500,11.8500,11.9200,1002200
2012-04-27,12.0600,12.2600,11.6100,11.9750,1495900
2012-04-30,11.9700,11.9911,10.6400,10.7100,2796000
2012-05-01,11.0000,11.4000,10.5600,10.8650,5178600
2012-05-02,10.8000,11.0000,10.5000,10.5800,3453100
2012-05-03,10.5800,10.7800,9.9300,10.3100,4023400
2012-05-04,10.3100,10.5000,9.8200,9.9700,2540200
2012-05-07,10.1000,10.8000,10.0400,10.4600,2578100
2012-05-08,10.4700,10.5000,10.1000,10.3300,1562400
2012-05-09,10.2200,10.4400,10.0000,10.0700,1211900
2012-05-10,10.2800,10.2850,9.8600,9.8700,1400000
2012-05-11,9.8100,10.1600,9.6300,9.9000,1492000
2012-05-14,10.2200,12.1800,10.0801,11.7350,16455500
2012-05-15,14.8900,14.9300,12.0000,12.1700,24684200
2012-05-16,12.1700,13.2000,12.1600,13.0500,7084000
2012-05-17,12.6600,12.9000,12.1600,12.4100,6664100
2012-05-18,12.4900,12.5000,11.3300,11.5800,5978200
2012-05-21,11.6100,12.7400,10.9010,12.3900,7361000
2012-05-22,12.3800,12.4300,11.7600,11.9500,3009700
2012-05-23,11.6900,12.4000,11.6000,12.0300,3557600
2012-05-24,11.9800,12.1800,11.7500,11.8900,2117400
2012-05-25,12.0000,12.2000,11.9000,12.0500,2256500
2012-05-29,12.0200,12.1500,11.5500,11.7900,3110600
2012-05-30,11.5400,11.6000,10.9100,11.1000,3511600
2012-05-31,10.9500,10.9500,10.2000,10.6400,5984100
2012-06-01,9.7200,10.1000,9.5300,9.6900,23369700
2012-06-04,9.7000,9.7900,8.8000,8.9500,12555200
2012-06-05,9.0000,9.8000,8.9500,9.7850,10736600
2012-06-06,10.0000,10.7400,9.9800,10.6300,13373600
2012-06-07,11.0000,11.0500,10.3500,10.6200,8617600
2012-06-08,10.4200,10.7700,10.2300,10.7600,6372400
2012-06-11,10.8400,10.8800,10.2600,10.3400,5755900
2012-06-12,10.5400,10.5500,9.8200,9.9500,9700600
2012-06-13,9.6800,9.9800,9.5100,9.6000,10268000
2012-06-14,9.2400,9.4600,9.1300,9.4300,7599400
2012-06-15,9.2200,10.1400,9.1000,10.0600,17865200
2012-06-18,10.4200,11.3900,10.3300,11.1500,13654700
2012-06-19,11.0100,11.1500,10.5100,10.9300,12575500
2012-06-20,11.0000,11.1800,10.6000,10.6700,5677300
2012-06-21,10.7600,10.7800,10.3600,10.4990,4396900
2012-06-22,10.5400,10.6200,10.3700,10.4000,3711300
2012-06-25,10.2600,10.3400,9.7400,9.8900,4846600
2012-06-26,10.0000,10.3300,9.9100,10.2500,4365300
2012-06-27,10.1700,10.3700,9.9050,10.1300,5028300
2012-06-28,10.0700,10.0750,9.5900,9.8500,6117600
2012-06-29,10.1500,10.6700,10.0000,10.6300,6679600
2012-07-02,10.4300,10.5000,9.4800,9.5100,12714500
2012-07-03,9.5900,9.5900,8.7200,8.7900,12198600
2012-07-05,8.7800,9.0000,8.5100,8.8200,5855700
2012-07-06,8.7600,8.8200,8.2500,8.4400,7326900
2012-07-09,8.4000,8.8300,8.2800,8.7900,5689000
2012-07-10,8.8200,8.9200,8.2500,8.3100,7576200
2012-07-11,8.3100,8.3100,7.7200,7.7700,12943300
2012-07-12,7.6500,8.0101,7.2499,7.9800,15792900
2012-07-13,7.9800,8.1000,7.7700,7.7900,7319000
2012-07-16,7.9100,8.1600,7.6100,7.6700,7761600
2012-07-17,7.6900,7.7400,7.1700,7.2100,10829100
2012-07-18,7.1800,7.3000,7.0200,7.0700,11355100
2012-07-19,7.3000,7.6100,7.1601,7.4000,7039800
2012-07-20,7.3500,7.5800,7.2950,7.4000,6389900
2012-07-23,7.1400,7.4200,7.0600,7.3800,3275600
2012-07-24,7.3200,7.4900,7.1600,7.2400,3070900
2012-07-25,7.3000,7.3500,7.1200,7.2400,2651900
2012-07-26,6.8800,7.0700,6.5500,6.6100,13653500
2012-07-27,6.5100,8.0500,6.5000,7.5900,20330700
2012-07-30,7.5800,7.8000,6.8100,6.9000,9708900
2012-07-31,7.0300,7.0500,6.6200,6.6600,5311200
2012-08-01,6.6900,6.7200,6.3800,6.4800,8664900
2012-08-02,6.4000,6.6000,6.3500,6.3800,5157300
2012-08-03,6.6000,6.7300,6.4300,6.5900,3068200
2012-08-06,6.6500,7.2900,6.6200,7.2500,8465000
2012-08-07,7.2400,7.3600,6.8900,7.2800,5757000
2012-08-08,7.1000,7.5000,6.9200,6.9300,5079400
2012-08-09,6.9200,6.9900,6.5900,6.6500,5975500
2012-08-10,6.6700,7.6200,6.6600,7.4400,10510000
2012-08-13,7.7500,8.0500,7.2500,7.5500,30853300
2012-08-14,5.8200,6.0000,5.4600,5.5100,62342900
2012-08-15,5.5500,5.6300,5.2800,5.3200,21253300
2012-08-16,5.1800,5.2000,4.9700,5.0000,33092900
2012-08-17,4.8300,4.8599,4.5100,4.7500,39538200
2012-08-20,4.6800,4.8800,4.5000,4.6500,17293300
2012-08-21,4.4300,4.7799,4.3400,4.5400,15585200
2012-08-22,4.5000,4.6400,4.4300,4.5400,10068300
2012-08-23,4.5300,4.7000,4.4900,4.5150,7782300
2012-08-24,4.4800,4.5000,4.4100,4.4400,8460900
2012-08-27,4.4200,4.4700,4.3200,4.4100,9497300
2012-08-28,4.3500,4.5100,4.3500,4.3700,5381300
