date,open,high,low,close,volume
1999-11-01,59.3800,60.1300,59.1900,59.3100,281900
1999-11-02,58.2500,58.8100,57.7500,57.9400,327500
1999-11-03,59.8800,60.8800,59.5000,60.6300,802900
1999-11-04,61.2500,62.7500,60.4400,62.0000,808100
1999-11-05,62.8800,63.2500,60.7500,63.0000,817700
1999-11-08,61.2500,61.9400,61.1900,61.5000,249400
1999-11-09,62.2500,62.5000,61.0000,61.1900,661100
1999-11-10,60.5600,60.6900,59.4400,59.4400,481100
1999-11-11,59.7500,60.6900,59.6900,60.2500,360600
1999-11-12,60.9400,61.1900,60.4400,61.0000,285700
1999-11-15,59.5000,59.5000,58.4400,58.5000,331000
1999-11-16,58.6900,61.1900,58.6300,61.1900,486400
1999-11-17,59.0000,59.2500,58.2500,58.3100,440000
1999-11-18,59.1300,60.0600,58.3100,59.5000,558800
1999-11-19,59.1300,59.3800,58.5000,59.2500,312900
1999-11-22,59.0000,59.1900,58.3100,59.1300,701400
1999-11-23,60.5000,60.6900,59.5000,59.8800,419200
1999-11-24,59.5600,60.1300,59.2500,59.8800,111300
1999-11-26,60.3800,60.9400,60.2500,60.5000,145200
1999-11-29,61.5600,61.9400,61.1900,61.5600,551700
1999-11-30,60.3100,60.3100,59.4400,59.4400,308400
1999-12-01,59.5000,59.6900,58.7500,59.0000,293200
1999-12-02,61.8100,61.9400,60.5000,60.5600,1040100
1999-12-03,60.2500,60.5600,59.5000,59.9400,453000
1999-12-06,59.0000,59.1300,58.4400,58.5000,229400
1999-12-07,59.4400,59.5600,58.1900,58.8100,335200
1999-12-08,57.5000,58.0000,57.0000,57.0600,257500
1999-12-09,57.1900,57.1900,56.0600,56.1300,312900
1999-12-10,54.6300,55.9400,54.2500,55.9400,425000
1999-12-13,54.6300,55.1900,54.0600,54.1300,395900
1999-12-14,53.0600,53.6300,52.6900,52.9400,309700
1999-12-15,53.5600,54.6300,53.5600,53.8100,568800
1999-12-16,54.5000,54.5000,52.8800,53.1900,413400
1999-12-17,54.3800,54.7500,53.7500,54.3100,407100
1999-12-20,54.1300,54.2500,53.1900,53.4400,193500
1999-12-21,53.1900,53.8100,51.3800,52.0000,686400
1999-12-22,53.0600,53.3800,52.2500,53.0600,576000
1999-12-23,54.0000,54.6300,53.4400,54.0000,237900
1999-12-27,53.8800,54.3100,53.2500,53.8800,255000
1999-12-28,53.7500,54.0000,53.0000,53.3100,248700
1999-12-29,55.1300,55.4400,54.5000,54.5600,497600
1999-12-30,56.0600,56.1900,55.5000,55.9400,217600
1999-12-31,56.0000,56.1900,55.7500,55.8800,139400
2000-01-03,55.9400,56.3100,55.0000,55.5600,556100
2000-01-04,55.5600,55.5600,54.0000,54.1300,367200
2000-01-05,54.8800,55.9400,54.5000,55.9400,481700
2000-01-06,55.3800,55.5000,54.0000,55.1300,853800
2000-01-07,55.2500,58.0000,55.0000,58.0000,908700
2000-01-10,58.5000,58.7500,57.3800,58.1300,850900
2000-01-11,57.6900,58.9400,57.5600,57.5600,287200
2000-01-12,59.0000,59.0000,58.1300,58.3100,250600
2000-01-13,57.6900,59.3100,57.4400,58.0000,510500
2000-01-14,60.4400,61.2500,59.3100,60.0000,725800
2000-01-18,55.7500,55.8800,54.0600,54.0600,2574900
2000-01-19,56.1900,57.0000,55.7500,57.0000,1713400
2000-01-20,55.5600,55.6300,54.7500,54.8800,590000
2000-01-21,54.0600,54.5600,54.0000,54.1300,698000
2000-01-24,53.5600,53.6300,52.0000,52.1300,1210300
2000-01-25,51.3100,51.6300,50.2500,51.5600,879300
2000-01-26,51.8100,52.1300,50.3800,51.8800,877700
2000-01-27,51.7500,51.7500,50.6900,51.0000,814000
2000-01-28,51.1900,52.8800,51.0600,52.0000,1096100
2000-01-31,52.5000,53.6900,51.3100,52.7500,725300
2000-02-01,51.2500,51.3800,49.7500,50.9400,974500
2000-02-02,51.1900,52.6300,51.0600,51.8800,625500
2000-02-03,52.1900,52.2500,51.0000,51.3100,397000
2000-02-04,49.6900,50.1300,48.7500,49.3100,918500
2000-02-07,48.2500,49.1300,47.4400,48.3100,1514800
2000-02-08,48.1900,50.1300,48.1900,50.1300,878400
2000-02-09,50.3800,51.6900,50.2500,50.5000,1320300
2000-02-10,52.6300,53.0000,50.5600,50.9400,805500
2000-02-11,48.8100,50.3100,48.0000,48.3100,1000900
2000-02-14,48.1900,48.7500,47.8800,48.6300,598800
2000-02-15,48.5600,49.0600,48.1900,48.6900,445500
2000-02-16,45.5000,47.2500,45.2500,47.2500,1046100
2000-02-17,47.7500,48.1300,46.5000,46.7500,735400
2000-02-18,47.4400,47.5600,45.6300,46.0000,496400
2000-02-22,46.5000,46.7500,46.0000,46.5600,522500
2000-02-23,46.6300,47.0000,46.3100,46.8100,478100
2000-02-24,46.7500,47.5000,46.5000,46.8800,1019900
2000-02-25,47.5600,48.3100,47.0600,47.1300,938100
2000-02-28,47.8800,49.0000,47.5000,48.5000,910400
2000-02-29,48.1900,49.0600,48.0600,48.7500,617100
2000-03-01,49.5600,51.0000,49.5000,50.4400,926100
2000-03-02,50.6900,50.6900,49.3800,50.0000,1070900
2000-03-03,48.9400,48.9400,47.5600,48.4400,795200
2000-03-06,47.9400,48.1300,47.2500,47.5000,531600
2000-03-07,48.5000,48.6300,46.8100,46.8100,1147000
2000-03-08,46.8800,49.5600,46.8800,48.9400,1030300
2000-03-09,49.9400,50.3800,48.9400,50.3100,644800
2000-03-10,51.0000,52.1900,50.7500,51.5000,991600
2000-03-13,53.0000,53.0000,52.2500,52.3100,764500
2000-03-14,53.0000,53.6900,52.8800,52.8800,634800
2000-03-15,55.3100,58.3100,55.3100,58.0000,1397400
2000-03-16,59.5000,59.5000,56.4400,59.2500,1147700
2000-03-17,55.4400,57.6300,55.4400,56.5000,1004900
2000-03-20,56.5600,57.1900,55.8800,55.8800,440700
2000-03-21,57.5000,59.0600,57.5000,59.0000,934300
2000-03-22,59.2500,59.5600,57.7500,58.3800,883800
2000-03-23,57.0000,58.0000,56.9400,57.8100,431300
2000-03-24,58.6900,59.6300,57.3800,57.7500,584800
2000-03-27,56.8100,57.6300,56.1900,56.5600,326100
2000-03-28,54.9400,55.6900,54.3100,55.6900,545000
2000-03-29,55.4400,56.4400,54.8100,56.0000,893500
2000-03-30,55.5000,55.9400,54.9400,54.9400,690500
2000-03-31,56.9400,57.7500,56.5000,57.3100,484400
2000-04-03,58.8100,60.6300,58.7500,60.6300,850900
2000-04-04,61.5000,62.8100,60.6300,61.3800,1425400
2000-04-05,59.8800,62.5000,59.8800,61.8100,1123300
2000-04-06,58.3800,59.0000,57.2500,58.1300,963600
2000-04-07,57.3800,58.0000,57.1300,57.7500,519000
2000-04-10,58.4400,60.7500,58.4400,60.2500,813400
2000-04-11,60.8100,62.3100,60.8100,62.2500,804600
2000-04-12,61.8800,62.5600,61.5000,61.6900,993400
2000-04-13,60.1300,61.4400,60.1300,60.8100,811900
2000-04-14,58.5000,59.0000,56.5000,57.0000,747200
2000-04-17,57.0000,58.0000,56.6300,57.6900,894600
2000-04-18,57.6900,59.8800,57.0000,59.6300,658100
2000-04-19,59.1300,60.1900,58.6300,60.0600,325800
2000-04-20,61.8100,62.0000,60.5600,60.5600,654200
2000-04-24,60.6300,61.0000,60.1900,61.0000,557700
2000-04-25,64.3100,64.4400,63.1300,63.7500,1986600
2000-04-26,62.5600,62.9400,61.0000,61.3100,524800
2000-04-27,58.9400,61.8100,58.8100,61.5600,501600
2000-04-28,61.6300,62.8100,60.8100,62.8100,504300
2000-05-01,62.3100,62.3800,61.5600,61.8100,528000
2000-05-02,60.8800,60.8800,59.5600,60.1900,435200
2000-05-03,58.6900,58.9400,57.2500,57.3800,502800
2000-05-04,57.5000,58.1900,57.5000,57.6900,918200
2000-05-05,57.0000,58.4400,57.0000,58.0000,758300
2000-05-08,58.2500,60.2500,58.0600,59.4800,477300
2000-05-09,60.6900,60.8800,59.5600,59.8800,490800
2000-05-10,59.0000,59.2500,57.6900,58.0800,676300
2000-05-11,58.6300,58.9400,58.1900,58.4400,577000
2000-05-12,59.5000,59.8100,58.6300,58.6900,725500
2000-05-15,58.0600,58.6900,57.6900,58.5000,504800
2000-05-16,59.8100,59.9400,59.1300,59.4400,459300
2000-05-17,59.0600,59.3800,58.7500,59.0000,197500
2000-05-18,59.7500,60.1300,58.9400,59.3100,411300
2000-05-19,59.7500,60.1300,58.9400,59.6900,683600
2000-05-22,60.0000,60.4400,59.1300,59.5600,651400
2000-05-23,58.3100,58.9400,57.9400,58.6900,315300
2000-05-24,58.0600,58.7500,58.0600,58.5000,380400
2000-05-25,57.0000,57.9400,57.0000,57.2500,561800
2000-05-26,57.1300,57.8800,56.3800,57.8100,212100
2000-05-30,58.6300,59.1300,57.6300,58.0000,451200
2000-05-31,57.0600,57.3100,56.3100,56.3100,263200
2000-06-01,57.5000,57.5600,56.3100,56.3800,191300
2000-06-02,57.3100,57.6300,56.3100,56.3100,702400
2000-06-05,55.3800,55.3800,53.2500,53.2500,1582300
2000-06-06,52.9400,53.7500,52.6900,53.6300,925900
2000-06-07,54.5000,55.0600,54.4400,55.0000,1025400
2000-06-08,54.4400,54.5600,53.3800,53.5600,717900
2000-06-09,53.7500,54.0000,53.0000,53.2500,1244600
2000-06-12,53.6900,54.0000,52.8800,53.3100,858800
2000-06-13,54.7500,55.0600,54.2500,55.0600,662800
2000-06-14,55.0600,55.7500,55.0600,55.5000,780200
2000-06-15,55.7500,55.7500,55.0000,55.3100,761400
2000-06-16,55.6900,56.6900,55.5000,56.1300,494200
2000-06-19,57.0000,57.1300,56.3100,56.8800,553400
2000-06-20,56.0600,56.9400,55.9400,56.6900,395700
