date,open,high,low,close,volume
2013-01-31,8.1600,8.2500,7.6200,8.0000,1033555
2013-02-01,8.1300,8.1300,7.9500,8.0000,157582
2013-02-04,8.0000,8.0000,7.7200,7.9500,118997
2013-02-05,7.9000,7.9500,7.6400,7.7300,77211
2013-02-06,7.9300,7.9300,7.6300,7.7500,49911
2013-02-07,7.8000,7.9499,7.6000,7.7600,20455
2013-02-08,7.6500,7.6950,7.4500,7.5000,149921
2013-02-11,7.8000,7.8000,7.4100,7.6200,21504
2013-02-12,7.6200,7.6200,7.2700,7.2700,47070
2013-02-13,7.3000,7.3000,7.1100,7.2500,21294
2013-02-14,7.4900,7.4900,7.3500,7.3800,11260
2013-02-15,7.2600,7.5700,7.2000,7.2000,45597
2013-02-19,7.2600,7.3100,7.2100,7.2100,60897
2013-02-20,7.2000,7.3690,7.2000,7.3000,25250
2013-02-21,7.2200,7.4200,7.1200,7.1200,25252
2013-02-22,7.0500,7.1500,7.0301,7.1200,10136
2013-02-25,7.1300,7.1700,7.0000,7.0600,129771
2013-02-26,7.2500,7.2500,6.8900,6.8900,107450
2013-02-27,6.9000,6.9900,6.5200,6.7400,36545
2013-02-28,6.7600,6.7600,6.5100,6.6000,14776
2013-03-01,6.5900,6.5900,6.5100,6.5700,3351
2013-03-04,6.5500,6.5700,6.4500,6.5000,52747
2013-03-05,6.6500,6.7000,6.5200,6.5900,129295
2013-03-06,6.5100,6.6000,6.3750,6.4000,136471
2013-03-07,6.4900,6.5800,6.4700,6.5800,23967
2013-03-08,6.5500,6.6300,6.5300,6.5300,97750
2013-03-11,6.5000,6.5500,6.4450,6.4900,116692
2013-03-12,6.5000,6.5000,6.3100,6.4400,109941
2013-03-13,6.4600,6.5000,6.1000,6.4200,49086
2013-03-14,6.4000,6.4300,6.3500,6.4000,3441
2013-03-15,6.3820,6.4000,6.3100,6.3600,84290
2013-03-18,5.9300,6.3000,5.9100,6.1900,101750
2013-03-19,6.1700,6.2500,5.9700,6.0400,40853
2013-03-20,5.9600,6.2400,5.9600,6.1200,84234
2013-03-21,6.1300,6.2500,6.0000,6.2400,61958
2013-03-22,6.2480,6.4000,6.2480,6.3000,51553
2013-03-25,6.3799,6.3799,6.0000,6.1000,20715
2013-03-26,6.0000,6.1800,5.9600,6.1000,19000
2013-03-27,6.1100,6.2900,6.0900,6.1700,25623
2013-03-28,6.1500,6.1900,5.9400,6.0000,953605
2013-04-01,5.9700,6.1800,5.9100,6.0500,38241
2013-04-02,6.0500,6.1500,5.9100,6.0800,61359
2013-04-03,6.1000,6.1000,5.9600,6.0000,20658
2013-04-04,6.0200,6.2000,5.9500,6.0000,44367
2013-04-05,5.9200,6.0400,5.9100,5.9300,15638
2013-04-08,5.9800,6.1500,5.9800,6.0000,29826
2013-04-09,6.0300,6.4000,5.9750,6.0000,9938
2013-04-10,6.0400,6.4600,6.0400,6.2500,41734
2013-04-11,6.2300,6.2400,5.9600,5.9700,55876
2013-04-12,5.9600,6.0700,5.9100,5.9200,26716
2013-04-15,5.9000,6.3400,5.9000,6.0700,33733
2013-04-16,6.1100,6.1199,5.9700,6.0500,18020
2013-04-17,6.0100,6.0600,5.9000,5.9200,16523
2013-04-18,5.9600,6.0700,5.8000,5.8600,25462
2013-04-19,5.8700,6.0100,5.8700,5.9700,12809
2013-04-22,5.9700,6.3000,5.8907,6.2200,17453
2013-04-23,6.6400,6.6400,6.0700,6.1900,53978
2013-04-24,6.1700,6.2050,5.8000,5.9800,15673
2013-04-25,6.0100,6.1700,5.9100,6.0100,71770
2013-04-26,6.0100,6.0100,5.8900,6.0000,35885
2013-04-29,5.9200,5.9800,5.9100,5.9600,5080
2013-04-30,6.0000,6.0500,5.9600,6.0000,67124
2013-05-01,6.0000,6.1200,5.9100,5.9200,64693
2013-05-02,5.9700,6.0000,5.9000,6.0000,9250
2013-05-03,6.0800,6.1200,5.9900,6.1000,63732
2013-05-06,6.1200,6.2240,5.9500,6.0000,128183
2013-05-07,5.9000,6.0000,5.8700,5.9600,25085
2013-05-08,5.8600,5.9480,5.8200,5.8900,22735
2013-05-09,5.9000,5.9065,5.7600,5.7600,7608
2013-05-10,5.7900,5.7900,5.5300,5.6100,17469
2013-05-13,5.6200,5.6800,5.5200,5.6000,10703
2013-05-14,5.5310,5.5900,5.5301,5.5900,5971
2013-05-15,5.5300,6.0400,5.5000,5.9000,63917
2013-05-16,5.9000,6.1200,5.9000,6.0700,12915
2013-05-17,6.0800,6.0900,5.7500,5.8200,12245
2013-05-20,5.8000,6.0800,5.7600,5.8000,6010
2013-05-21,5.7900,5.8600,5.7600,5.8500,4219
2013-05-22,5.8400,5.9400,5.6900,5.7300,12931
2013-05-23,5.7000,5.9700,5.5900,5.6900,5039
2013-05-24,5.6100,5.9800,5.5000,5.8500,7729
2013-05-28,5.9400,6.0300,5.8100,5.8900,10371
2013-05-29,5.7200,5.7850,5.6300,5.6700,5914
2013-05-30,5.7000,5.8700,5.6800,5.6800,1502
2013-05-31,5.6400,5.8500,5.4200,5.6600,197034
2013-06-03,5.6600,5.6600,5.5400,5.5900,38668
2013-06-04,5.5500,5.6000,5.4800,5.5600,15688
2013-06-05,5.5700,5.5700,5.4200,5.4400,7572
2013-06-06,5.3600,5.4200,4.9000,5.1500,52555
2013-06-07,5.1700,5.2900,4.9400,5.0600,21276
2013-06-10,5.0550,5.1600,5.0000,5.0500,7009
2013-06-11,5.0100,5.0900,4.8110,4.8900,34849
2013-06-12,4.9400,5.0150,4.8500,4.9000,14150
2013-06-13,4.9500,5.0500,4.9400,5.0300,4704
2013-06-14,5.0300,5.1000,5.0100,5.0200,4251
2013-06-17,5.0800,5.1300,4.9500,4.9800,38666
2013-06-18,5.0300,5.0800,5.0300,5.0800,17766
2013-06-19,5.0696,5.0700,4.9950,5.0100,19720
2013-06-20,4.9600,5.0000,4.9500,4.9600,10739
2013-06-21,4.9900,5.0700,4.9100,4.9500,32632
2013-06-24,5.3300,5.3300,4.9000,4.9000,9648
2013-06-25,4.9000,5.0500,4.8500,5.0300,22417
2013-06-26,5.0600,5.0600,4.8700,4.9900,16052
2013-06-27,5.0299,5.0300,4.9100,5.0100,26885
2013-06-28,5.0100,6.0100,4.9900,5.6600,259878
2013-07-01,5.6900,5.6900,5.1800,5.2500,39983
2013-07-02,5.2300,5.3300,5.1000,5.1300,20422
2013-07-03,5.0900,5.2400,4.9800,5.2400,19867
2013-07-05,5.3000,5.9900,5.0700,5.7800,15122
2013-07-08,5.8100,5.8500,5.6600,5.8200,124991
