date,open,high,low,close,volume
1999-11-01,4.0600,4.0600,4.0600,4.0600,0
1999-11-02,4.7200,4.7200,3.9400,4.0000,4000
1999-11-03,4.0000,4.0000,4.0000,4.0000,0
1999-11-04,4.0000,4.0000,3.9400,3.9400,0
1999-11-05,3.9400,4.6300,3.9400,4.6300,2000
1999-11-08,4.2500,4.2500,3.8800,3.8800,5000
1999-11-09,3.8800,4.1300,3.7500,4.0000,1000
1999-11-10,4.0000,4.0000,3.7500,4.0000,10000
1999-11-11,3.7500,3.8800,3.7500,3.8800,0
1999-11-12,3.7800,4.0000,3.7800,4.0000,2000
1999-11-15,3.8800,4.0000,3.8800,4.0000,2000
1999-11-16,3.6300,4.0000,3.6300,4.0000,5000
1999-11-17,3.7500,3.7500,3.7500,3.7500,2000
1999-11-18,3.7500,3.7500,3.7500,3.7500,1000
1999-11-19,3.7500,3.7500,3.7500,3.7500,2000
1999-11-22,4.0000,4.2500,3.9400,3.9400,19000
1999-11-23,4.0000,4.5000,4.0000,4.5000,13000
1999-11-24,4.5000,4.5000,4.2500,4.3800,6000
1999-11-26,4.2500,4.2500,4.2500,4.2500,0
1999-11-29,4.2500,4.2500,3.7500,4.0000,52000
1999-11-30,4.0000,4.1300,3.8800,3.9400,17000
1999-12-01,4.1300,4.1300,3.8800,3.8800,2000
1999-12-02,3.8800,4.1300,3.8800,3.9400,145000
1999-12-03,4.0000,4.2500,4.0000,4.2500,274000
1999-12-06,4.2500,5.5000,4.2500,5.0000,115000
1999-12-07,5.1900,5.2500,4.1300,4.8800,14000
1999-12-08,4.8800,4.8800,4.5600,4.6300,20000
1999-12-09,5.0000,5.0000,4.3100,4.3100,16000
1999-12-10,4.9400,4.9400,4.8800,4.8800,18000
1999-12-13,4.5600,4.9400,4.3800,4.3800,4000
1999-12-14,4.5000,6.5000,4.5000,5.5000,29000
1999-12-15,5.7500,6.2500,5.1300,5.8800,95000
1999-12-16,5.5000,5.8800,5.5000,5.8800,14000
1999-12-17,5.8800,6.0000,5.8800,6.0000,25000
1999-12-20,6.0000,6.3800,5.4400,5.4400,87000
1999-12-21,5.4400,5.5000,5.0000,5.2500,9000
1999-12-22,5.6900,5.6900,5.0000,5.2500,3000
1999-12-23,5.0000,5.2500,4.8800,5.0000,10000
1999-12-27,4.9400,5.0000,4.8100,5.0000,16000
1999-12-28,5.0000,5.5000,5.0000,5.1300,28000
1999-12-29,5.0000,5.0000,4.5000,4.7500,14000
1999-12-30,4.8800,5.0000,4.6900,5.0000,3000
1999-12-31,4.6900,5.0000,4.6900,5.0000,1000
2000-01-03,5.0000,5.0000,5.0000,5.0000,0
2000-01-04,4.7500,4.8800,4.7500,4.8800,5000
2000-01-05,4.8800,4.8800,4.8800,4.8800,0
2000-01-06,4.8800,4.8800,4.8800,4.8800,12000
2000-01-07,5.1300,5.2500,5.0000,5.2500,2000
2000-01-10,5.2500,5.5000,5.0000,5.0000,8000
2000-01-11,5.0000,5.0000,5.0000,5.0000,0
2000-01-12,5.0000,5.0000,5.0000,5.0000,10000
2000-01-13,5.0000,5.1300,5.0000,5.0000,2000
2000-01-14,5.0000,5.0000,4.9400,4.9400,6000
2000-01-18,4.9400,4.9400,4.9400,4.9400,2000
2000-01-19,5.0000,5.5000,5.0000,5.2500,25000
