date,open,high,low,close,volume
2022-01-07,4.5000,10.3300,4.5000,7.9900,50186513
2022-01-10,7.3500,9.3000,6.2500,6.8100,16526869
2022-01-11,6.5462,7.7999,6.4000,6.7300,7032088
2022-01-12,6.5900,6.6700,5.5500,5.7300,1617662
2022-01-13,5.2000,6.1600,5.0000,5.1200,5735094
2022-01-14,5.0000,6.4900,4.9900,5.7300,10229985
2022-01-18,5.3200,5.7700,5.1300,5.2300,1547927
2022-01-19,5.1700,5.7000,5.0400,5.1500,1144091
2022-01-20,5.1100,5.6400,5.1100,5.1200,761589
2022-01-21,5.1000,5.1700,4.1000,4.1500,571656
2022-01-24,3.8300,4.0500,3.1200,3.4200,1859788
2022-01-25,3.2700,3.5700,3.2700,3.3300,340776
2022-01-26,3.4500,3.4700,3.1200,3.1800,306440
2022-01-27,3.1800,3.2900,2.7700,2.8500,311255
2022-01-28,2.7300,2.9400,2.5400,2.8300,192884
2022-01-31,2.9200,3.5000,2.7800,3.2200,1282429
2022-02-01,3.1800,3.1946,2.8375,2.9000,257378
2022-02-02,2.9300,3.1000,2.8500,2.9000,337296
2022-02-03,2.8200,2.8745,2.6465,2.6800,231595
2022-02-04,2.8000,2.8100,2.5600,2.5900,309280
2022-02-07,2.5500,3.0700,2.4100,2.6900,1977591
