date,open,high,low,close,volume
2015-10-19,18.5000,18.5000,16.4800,16.5500,1581576
2015-10-20,16.2500,16.9300,16.2500,16.8700,709632
2015-10-21,17.2500,17.3500,16.4000,16.4800,78598
2015-10-22,16.7100,17.0500,16.2400,16.9500,110000
2015-10-23,17.2500,17.2500,16.8500,17.0000,59910
2015-10-26,17.1100,17.1100,16.3100,16.4200,514799
2015-10-27,16.5600,16.7500,15.6000,15.7300,636017
2015-10-28,15.9000,16.3500,15.8450,16.2800,296321
2015-10-29,16.0100,16.2700,15.5500,15.9500,290446
2015-10-30,15.9000,16.1000,14.7200,14.7200,2449278
2015-11-02,14.9900,15.1700,13.8600,14.4900,40865891
2015-11-03,14.0700,14.7100,13.6750,14.3600,40205612
2015-11-04,14.3900,14.5100,13.6100,13.6600,31516491
2015-11-05,13.6400,13.8900,13.1200,13.2800,22189959
2015-11-06,13.1800,14.4800,13.1500,14.4000,30049669
2015-11-09,14.2600,14.4800,14.1300,14.2000,17528088
2015-11-10,14.1300,14.4400,14.0100,14.4100,14777765
2015-11-11,14.2000,14.3100,14.0900,14.1100,11009387
2015-11-12,13.8100,13.8200,13.5900,13.7000,20371666
2015-11-13,13.6100,13.7600,13.1500,13.3900,14924533
2015-11-16,13.3700,13.6100,13.1400,13.3800,13781375
2015-11-17,13.3800,13.4900,13.1200,13.2200,12420759
2015-11-18,13.4800,13.7300,13.1886,13.6400,13020475
2015-11-19,13.5300,13.8900,13.5200,13.7800,13171491
2015-11-20,13.7800,14.6300,13.6800,14.2100,18558586
2015-11-23,14.1700,14.2100,13.5700,13.8500,15317345
2015-11-24,13.5800,14.0250,13.5000,13.6900,24108918
2015-11-25,13.9100,14.8600,13.8400,14.1200,22674894
2015-11-27,14.1200,14.6400,14.0500,14.3500,6041718
2015-11-30,14.2300,15.0000,14.1800,14.8600,29096030
2015-12-01,14.8800,15.8800,14.8500,15.6100,25106264
2015-12-02,15.3700,15.5400,14.8700,14.9500,12681067
2015-12-03,15.0000,15.3400,14.5800,14.6200,18905240
2015-12-04,14.3900,15.2950,14.2400,15.2200,12001085
2015-12-07,15.0000,15.4800,14.9200,15.4500,9545947
2015-12-08,15.0900,15.2900,14.6200,15.1700,11617601
2015-12-09,14.9900,15.3900,14.6800,14.8500,14261925
2015-12-10,14.7900,14.8100,14.5300,14.7200,11350207
2015-12-11,14.9900,15.4000,14.1400,14.1800,10614763
2015-12-14,14.3000,14.5000,13.9200,14.4400,11527694
2015-12-15,14.5100,14.9800,14.4850,14.5600,12888739
2015-12-16,14.6200,14.8100,14.5500,14.7000,7840968
2015-12-17,14.6100,14.7200,14.2200,14.3100,7625458
2015-12-18,14.2700,14.3850,14.0000,14.1600,19307237
2015-12-21,14.1200,14.4000,13.8700,14.0200,9863255
2015-12-22,14.0400,14.1400,13.9201,14.0600,7292476
2015-12-23,14.1900,14.9700,14.0500,14.9100,11252128
2015-12-24,14.8100,15.1700,14.7901,15.0200,2178459
