date,open,high,low,close,volume
2021-07-01,22.0000,35.0000,16.0000,26.9900,2339614
2021-07-02,29.8000,29.8000,23.5000,23.9600,2002741
2021-07-06,23.3900,23.7500,19.7800,21.7500,1569996
2021-07-07,21.1000,22.7000,20.1800,21.4500,846900
2021-07-08,21.4500,21.4500,19.1100,19.2300,765377
2021-07-09,19.1000,21.4300,18.6000,20.9000,904756
2021-07-12,20.2500,23.7400,20.2500,21.3500,633661
2021-07-13,23.0000,23.0000,19.8000,20.1000,343321
2021-07-14,21.0000,21.0000,19.0801,19.4300,414120
2021-07-15,19.5000,19.5000,19.0000,19.1200,266101
2021-07-16,19.1200,20.0000,18.8100,19.0000,221270
2021-07-19,18.2500,18.9900,17.3500,17.9200,575603
2021-07-20,18.0000,18.7000,17.8100,17.8800,470727
2021-07-21,17.8250,18.2400,17.3200,17.8500,292194
2021-07-22,18.0000,18.2400,17.1800,17.2600,240814
2021-07-23,18.1800,18.1800,16.6000,16.7700,250722
2021-07-26,16.0000,16.7500,15.0000,15.0000,846197
2021-07-27,15.0000,15.9900,14.1500,15.6300,370220
2021-07-28,15.9900,17.7500,15.8100,16.0000,643036
2021-07-29,16.7900,18.5000,15.9000,17.7900,467005
2021-07-30,17.7800,19.1000,17.7500,18.7500,291799
2021-08-02,18.7000,19.2500,17.5000,18.1000,242099
2021-08-03,20.0000,20.0000,16.7000,17.5500,273778
2021-08-04,17.3500,17.9900,16.4700,16.6000,396067
2021-08-05,16.1800,17.5000,16.1800,16.5200,206306
2021-08-06,17.0000,17.0000,16.3600,16.4400,197886
2021-08-09,17.2500,17.8500,16.4800,16.7500,418353
2021-08-10,17.2000,17.3000,16.7100,16.8300,292289
2021-08-11,18.0000,18.0000,16.1000,16.6500,166005
2021-08-12,17.0000,17.0000,16.0500,16.4000,110457
2021-08-13,16.4000,16.5900,16.0000,16.0000,351962
2021-08-16,16.0000,16.8500,15.0000,15.9500,266665
2021-08-17,15.3950,15.4000,14.7500,15.2500,402908
2021-08-18,15.0500,15.3000,15.0500,15.1900,141785
2021-08-19,15.2500,15.3000,14.9150,15.0100,117532
2021-08-20,17.0000,17.0000,15.0100,15.0900,79328
2021-08-23,15.1000,15.8500,15.1000,15.5600,124194
2021-08-24,15.1000,16.2500,15.1000,16.1100,105141
2021-08-25,16.1000,17.0000,16.1000,16.9500,232376
2021-08-26,16.7500,17.0000,16.0000,16.0800,227248
2021-08-27,16.1400,17.0000,15.5100,15.8000,86833
2021-08-30,16.0500,16.9900,16.0500,16.9000,242264
2021-08-31,16.5000,17.0100,16.5000,16.8000,146574
2021-09-01,16.6000,16.9500,16.5500,16.7000,137154
2021-09-02,16.6000,17.0000,16.5600,16.6900,104119
2021-09-03,16.9600,16.9600,16.3000,16.5700,112812
2021-09-07,16.2800,16.9000,16.1000,16.9000,275570
2021-09-08,17.0000,17.0000,16.2000,16.5000,200657
2021-09-09,16.1000,16.9000,15.7500,15.7600,333614
2021-09-10,15.7600,16.1000,15.6500,15.9100,66098
2021-09-13,15.8000,16.3500,15.7700,15.8500,212792
2021-09-14,15.8000,15.9000,15.6600,15.6820,97326
2021-09-15,15.0000,16.0000,15.0000,15.7500,95368
2021-09-16,15.2000,16.2000,15.2000,16.2000,165840
