date,open,high,low,close,volume
2017-09-22,0.0001,0.0001,0.0001,0.0001,160000
2017-09-26,0.0000,0.0001,0.0000,0.0000,30782
2017-09-27,0.0001,0.0001,0.0001,0.0001,101134
2017-10-10,0.0001,0.0001,0.0001,0.0001,3
2017-10-12,0.0001,0.0001,0.0001,0.0001,7000000
2017-10-18,0.0001,0.0001,0.0001,0.0001,2100000
2017-10-19,0.0001,0.0001,0.0001,0.0001,97500
2017-10-20,0.0001,0.0001,0.0001,0.0001,0
2017-10-24,0.0001,0.0001,0.0001,0.0001,2
2017-10-30,0.0000,0.0000,0.0000,0.0000,800000
2017-11-01,0.0001,0.0001,0.0001,0.0001,10000
2017-11-09,0.0001,0.0001,0.0001,0.0001,64699891
2017-11-21,0.0001,0.0001,0.0001,0.0001,4
2017-12-06,0.0001,0.0001,0.0001,0.0001,150002
2017-12-08,0.0001,0.0001,0.0000,0.0000,7319461
2017-12-11,0.0001,0.0001,0.0001,0.0001,1002000
2017-12-12,0.0000,0.0000,0.0000,0.0000,3187569
2017-12-13,0.0001,0.0001,0.0001,0.0001,210000
2017-12-14,0.0001,0.0001,0.0001,0.0001,27235477
2017-12-15,0.0001,0.0001,0.0001,0.0001,3435003
2017-12-18,0.0001,0.0001,0.0001,0.0001,388028
2017-12-19,0.0001,0.0001,0.0001,0.0001,670003
2017-12-20,0.0001,0.0001,0.0001,0.0001,687144
2017-12-21,0.0001,0.0001,0.0001,0.0001,3
2017-12-26,0.0001,0.0001,0.0001,0.0001,100110
2017-12-27,0.0001,0.0001,0.0001,0.0001,2000000
2017-12-28,0.0001,0.0001,0.0001,0.0001,10
2017-12-29,0.0001,0.0001,0.0001,0.0001,780000
2018-01-02,0.0001,0.0001,0.0001,0.0001,3100012
2018-01-03,0.0000,0.0001,0.0000,0.0000,110300
2018-01-11,0.0001,0.0001,0.0001,0.0001,10089
2018-01-12,0.0001,0.0001,0.0001,0.0001,156222
2018-01-23,0.0001,0.0001,0.0001,0.0001,405000
2018-01-29,0.0001,0.0001,0.0001,0.0001,7000000
2018-02-02,0.0001,0.0001,0.0001,0.0001,1
2018-02-07,0.0001,0.0001,0.0001,0.0001,6
2018-02-14,0.0001,0.0001,0.0001,0.0001,210650059
2018-02-15,0.0001,0.0001,0.0001,0.0001,3515000
2018-02-20,0.0001,0.0001,0.0001,0.0001,3500000
2018-02-26,0.0001,0.0001,0.0001,0.0001,20534343
2018-02-28,0.0000,0.0001,0.0000,0.0000,155008
2018-03-01,0.0001,0.0001,0.0001,0.0001,15794886
2018-03-06,0.0001,0.0001,0.0001,0.0001,730000
2018-03-14,0.0001,0.0001,0.0001,0.0001,5103633
2018-04-05,0.0001,0.0001,0.0001,0.0001,3000002
2018-04-11,0.0001,0.0001,0.0001,0.0001,21822
2018-04-23,0.0001,0.0001,0.0001,0.0001,3243153
2018-04-27,0.0001,0.0001,0.0001,0.0001,4
2018-05-09,0.0001,0.0001,0.0001,0.0001,60604
2018-05-11,0.0001,0.0001,0.0001,0.0001,2000911
2018-05-18,0.0001,0.0001,0.0001,0.0001,1011822
2018-05-21,0.0001,0.0001,0.0001,0.0001,5000000
2018-05-23,0.0001,0.0001,0.0001,0.0001,1
2018-05-24,0.0001,0.0001,0.0001,0.0001,23490000
2018-05-25,0.0001,0.0002,0.0001,0.0001,241645521
2018-05-29,0.0001,0.0001,0.0001,0.0001,10399993
2018-06-04,0.0001,0.0001,0.0001,0.0001,1300000
2018-06-14,0.0001,0.0001,0.0001,0.0001,5
2018-06-15,0.0001,0.0001,0.0001,0.0001,4
2018-07-09,0.0001,0.0001,0.0001,0.0001,1500000
2018-07-24,0.0001,0.0001,0.0001,0.0001,4500000
2018-07-27,0.0001,0.0001,0.0001,0.0001,500
2018-08-28,0.0000,0.0000,0.0000,0.0000,250000
2018-08-29,0.0001,0.0001,0.0001,0.0001,2700000
2018-09-14,0.0001,0.0001,0.0001,0.0001,2603001
2018-09-19,0.0001,0.0001,0.0001,0.0001,1
2018-09-28,0.0000,0.0000,0.0000,0.0000,2000000
2018-10-01,0.0001,0.0001,0.0001,0.0001,33000
2018-10-05,0.0001,0.0001,0.0001,0.0001,9824999
2018-10-08,0.0001,0.0001,0.0001,0.0001,1000000
2018-10-10,0.0001,0.0001,0.0001,0.0001,5
2018-10-16,0.0001,0.0001,0.0001,0.0001,31
2018-10-30,0.0001,0.0001,0.0001,0.0001,4
2018-11-21,0.0001,0.0001,0.0001,0.0001,1
2018-11-23,0.0001,0.0001,0.0001,0.0001,10100
2018-11-28,0.0001,0.0001,0.0001,0.0001,9
2018-11-30,0.0000,0.0000,0.0000,0.0000,1501
2018-12-13,0.0000,0.0000,0.0000,0.0000,2988089
2019-01-07,0.0001,0.0001,0.0001,0.0001,2
