date,open,high,low,close,volume
2001-07-13,52.4000,52.5500,51.6100,52.4000,120700
2001-07-16,51.8300,51.8300,50.1600,50.1600,60300
2001-07-17,50.7500,50.7500,50.6400,50.6400,300
2001-07-18,48.7300,48.7300,48.4300,48.4300,200
2001-07-19,47.7500,47.7500,47.7500,47.7500,100
2001-07-20,46.8500,47.1200,46.8500,47.1200,50100
2001-07-23,47.1200,47.1200,47.1200,47.1200,0
2001-07-24,46.1200,46.5500,46.1200,46.5500,50000
2001-07-25,46.8800,46.8800,46.8800,46.8800,5000
2001-07-26,47.7000,48.7500,47.7000,48.7500,100000
2001-07-27,48.9000,49.5000,48.9000,49.4000,30400
2001-07-30,48.4000,48.4000,48.4000,48.4000,300
2001-07-31,48.6900,49.3000,48.6900,49.3000,5200
2001-08-01,49.6500,49.9500,48.9000,48.9000,20700
2001-08-02,50.3500,50.3900,49.7000,49.7000,51400
2001-08-03,49.7000,49.7000,49.0000,49.0000,400
2001-08-06,48.5000,48.5500,48.4000,48.4000,1100
2001-08-07,48.4000,48.4000,48.4000,48.4000,0
2001-08-08,47.1000,47.5000,46.1500,46.1500,125100
2001-08-09,45.2000,45.7000,45.2000,45.7000,600
2001-08-10,45.0600,45.0600,43.4500,44.3000,2200
2001-08-13,44.3000,44.3000,44.3000,44.3000,0
2001-08-14,45.1500,45.1500,45.1500,45.1500,200
2001-08-15,44.5000,44.5000,43.4500,43.4500,1500
2001-08-16,41.8600,42.6500,41.8600,42.6500,196200
2001-08-17,41.7500,41.8500,41.6500,41.6500,300
2001-08-20,41.6500,41.6500,41.6500,41.6500,0
2001-08-21,42.2500,42.2500,40.2500,40.2500,101100
2001-08-22,40.1000,40.1000,40.0900,40.1000,700
2001-08-23,41.7500,41.7500,40.3500,40.3500,1100
2001-08-24,40.3500,40.3500,40.3500,40.3500,0
2001-08-27,42.0500,42.9500,42.0500,42.9500,5100
2001-08-28,41.6300,41.6300,41.6300,41.6300,97900
2001-08-29,40.6000,40.6000,40.3000,40.3000,7300
2001-08-30,38.6900,38.6900,38.6100,38.6900,1300
2001-08-31,39.3000,39.3000,39.3000,39.3000,1000
2001-09-04,39.3000,39.3000,39.3000,39.3000,0
2001-09-05,37.2500,37.7600,37.2500,37.2500,1200
2001-09-06,36.7000,36.7000,35.7600,35.8500,2300
2001-09-07,35.4500,35.8900,35.4500,35.8900,5500
2001-09-10,35.8000,35.8000,35.8000,35.8000,200
2001-09-17,33.6500,34.2800,33.2000,33.2000,1400
2001-09-18,33.2000,33.2000,32.9000,32.9000,500
2001-09-19,31.0000,31.0000,31.0000,31.0000,100
2001-09-20,30.7100,30.7100,30.1500,30.1500,16700
2001-09-21,29.5000,29.5000,29.5000,29.5000,2600
2001-09-24,31.3500,31.3500,30.8500,30.8500,600
2001-09-25,31.6500,31.6500,31.6500,31.6500,100
2001-09-26,29.6500,29.6500,29.2500,29.5000,2600
2001-09-27,28.4500,28.4500,28.4500,28.4500,100
2001-09-28,30.1500,30.1500,30.0000,30.0000,2000
2001-10-01,29.5000,29.5000,29.0000,29.3500,5300
2001-10-02,30.3500,30.3500,30.3500,30.3500,700
2001-10-03,33.7500,33.7500,30.2500,33.7400,1500
2001-10-04,35.3900,35.3900,33.8500,34.4500,31100
2001-10-05,34.7900,34.7900,32.8800,34.6500,12200
2001-10-08,35.0500,35.0500,34.8500,35.0500,400
2001-10-09,34.1500,34.1500,33.8000,34.1000,1400
2001-10-10,34.8500,34.9500,34.5600,34.8900,10300
2001-10-11,36.2000,37.6500,36.2000,37.5400,6500
2001-10-12,36.6500,37.2000,35.8700,35.8700,3200
2001-10-15,36.9100,37.2900,36.9100,37.2900,5000
2001-10-16,37.1500,37.8500,36.9600,37.2100,5600
2001-10-17,38.6000,38.6000,35.8000,35.8000,2400
2001-10-18,35.7500,36.3000,35.7500,35.8000,2500
2001-10-19,35.8000,35.8000,35.8000,35.8000,0
2001-10-22,37.4000,37.5000,37.3500,37.4500,4100
2001-10-23,37.8500,38.3900,37.3000,37.3000,9800
2001-10-24,38.8500,38.8500,37.8000,38.8500,2700
2001-10-25,38.0000,38.0900,37.8500,38.0900,4100
2001-10-26,40.0000,40.0500,39.3000,39.5000,3000
2001-10-29,38.7000,38.7500,37.9000,37.9000,600
2001-10-30,36.6100,36.6100,36.1500,36.5500,3400
2001-10-31,36.7000,37.5000,36.3000,37.0400,6400
2001-11-01,37.0000,37.9900,37.0000,37.7700,1000
2001-11-02,37.6500,38.3500,37.6500,38.3500,2500
2001-11-05,39.4000,39.8500,39.3000,39.5600,3300
2001-11-06,39.2500,41.0000,39.2500,41.0000,600
2001-11-07,42.1800,42.1800,40.6900,41.5300,4400
2001-11-08,42.2200,42.5000,40.2500,40.2500,5200
2001-11-09,41.0000,41.0000,40.8000,40.8000,300
2001-11-12,39.7500,41.1900,39.4600,41.1900,8500
2001-11-13,42.2500,42.5800,41.8200,41.8200,1206200
2001-11-14,42.3000,42.7000,42.0000,42.7000,600
2001-11-15,42.3500,42.7500,42.1500,42.4000,3200
2001-11-16,42.6500,42.6500,42.2500,42.3500,1100
2001-11-19,43.3100,43.9200,43.3000,43.8300,8100
2001-11-20,43.9000,44.1400,42.4100,42.4100,4200
2001-11-21,42.2800,42.2800,41.4000,41.7900,49700
2001-11-23,42.5700,42.5700,42.1500,42.5700,2100
2001-11-26,43.1500,43.8000,42.8900,43.8000,439200
2001-11-27,43.5000,44.8800,43.0000,44.2500,219500
2001-11-28,44.0000,44.0000,42.8000,42.8000,16000
2001-11-29,43.1000,44.1000,43.1000,44.0600,2100
2001-11-30,44.2000,44.2000,43.0600,43.0600,26700
2001-12-03,42.6700,42.6700,42.4000,42.4000,26200
2001-12-04,42.6500,43.6500,42.6500,43.6500,200700
2001-12-05,45.5000,47.0100,45.5000,46.9700,210900
2001-12-06,47.6000,47.6000,46.7100,47.0000,205400
2001-12-07,46.6700,46.6700,45.7800,45.8200,206200
2001-12-10,45.6500,46.1600,45.5000,45.5000,6800
2001-12-11,46.3500,47.1000,46.2500,46.2500,55800
2001-12-12,46.3500,46.9400,45.9800,46.9400,8000
