date,open,high,low,close,volume
2020-05-20,0.4941,0.4941,0.4941,0.4941,10000
2020-05-26,0.5841,0.5841,0.5841,0.5841,10000
2020-05-29,0.5189,0.5189,0.5100,0.5100,3025
2020-06-01,0.5000,0.5000,0.5000,0.5000,10000
2020-06-05,0.5836,0.5910,0.5836,0.5910,113500
2020-06-08,0.5999,0.6465,0.5999,0.6465,97166
2020-06-09,0.6492,0.6683,0.6492,0.6576,165500
2020-06-11,0.6900,0.6948,0.6900,0.6948,42197
2020-06-12,0.6950,0.7050,0.6950,0.7050,40000
2020-06-19,0.7918,0.7918,0.7918,0.7918,1200
2020-06-23,0.9978,0.9978,0.9556,0.9556,20800
2020-06-25,0.7975,0.8552,0.7975,0.8000,10600
2020-07-08,0.9233,0.9308,0.9233,0.9308,20000
2020-07-09,0.9300,0.9300,0.9300,0.9300,38000
2020-07-10,0.9300,0.9300,0.9300,0.9300,5000
2020-07-13,0.9193,0.9352,0.9193,0.9300,6350
2020-07-14,0.9181,0.9181,0.9181,0.9181,282
2020-07-15,0.9941,1.0612,0.9941,1.0541,8474
2020-07-16,1.0541,1.0541,1.0541,1.0541,30
2020-07-17,1.0541,1.0541,1.0541,1.0541,3050
2020-07-20,1.0869,1.0878,1.0869,1.0878,3000
2020-07-21,1.1025,1.1025,1.0348,1.0724,8800
2020-07-22,1.1405,1.3120,1.1405,1.2030,14000
2020-07-23,1.2700,1.2700,1.2700,1.2700,900
2020-07-24,1.2254,1.2800,1.2254,1.2756,253733
2020-07-27,1.2799,1.2826,1.2669,1.2826,5855
2020-07-28,1.2814,1.2814,1.2800,1.2800,1355
2020-07-29,1.2530,1.2530,1.1800,1.1834,1400
2020-07-30,1.1900,1.1900,1.1600,1.1600,1660
2020-07-31,1.1600,1.1600,1.1600,1.1600,55
2020-08-03,1.1600,1.1600,1.1600,1.1600,0
2020-08-04,1.1614,1.1620,1.1614,1.1620,1431
2020-08-05,1.1369,1.1369,1.1300,1.1300,1500
2020-08-06,1.1300,1.1300,1.1300,1.1300,0
2020-08-07,1.1683,1.1683,1.1683,1.1683,1000
2020-08-10,1.1683,1.1683,1.1683,1.1683,10
2020-08-11,1.2072,1.2072,1.2072,1.2072,750
2020-08-12,1.1873,1.1873,1.1873,1.1873,1500
2020-08-13,1.2272,1.2272,1.1988,1.1989,13500
2020-08-14,1.2000,1.2000,1.2000,1.2000,100
2020-08-17,1.2226,1.2226,1.2226,1.2226,222
2020-08-18,1.2226,1.2226,1.2226,1.2226,1
2020-08-19,1.2226,1.2226,1.2226,1.2226,0
2020-08-20,1.2226,1.2226,1.2226,1.2226,0
2020-08-21,1.1400,1.1400,1.1300,1.1300,10006
2020-08-24,1.1300,1.1300,1.1300,1.1300,4
2020-08-25,1.1300,1.1300,1.1300,1.1300,0
2020-08-26,1.1500,1.1500,1.1500,1.1500,15000
2020-08-27,1.1500,1.1500,1.1500,1.1500,176
2020-08-28,1.1500,1.1500,1.1500,1.1500,75
2020-08-31,0.9999,1.0900,0.9000,1.0800,58195
2020-09-01,1.0800,1.0800,1.0800,1.0800,0
2020-09-02,1.0800,1.0800,1.0800,1.0800,0
2020-09-03,1.1215,1.1215,1.1215,1.1215,900
2020-09-04,1.1215,1.1215,1.1215,1.1215,4
2020-09-08,1.0630,1.0630,1.0590,1.0600,600
2020-09-09,1.0600,1.0600,1.0600,1.0600,0
2020-09-10,1.0385,1.0500,1.0385,1.0500,1500
2020-09-11,1.0500,1.0500,1.0500,1.0500,0
2020-09-14,1.0500,1.0500,1.0500,1.0500,0
2020-09-15,1.0500,1.0500,1.0500,1.0500,0
2020-09-16,1.0500,1.0500,1.0500,1.0500,89
2020-09-17,0.9149,0.9532,0.9149,0.9532,20300
2020-09-18,0.9446,0.9446,0.9233,0.9233,1600
2020-09-21,0.9357,0.9357,0.9357,0.9357,200
2020-09-22,0.9717,0.9717,0.7840,0.8880,65000
2020-09-23,0.8880,0.8880,0.8880,0.8880,6
2020-09-24,0.9689,0.9689,0.9689,0.9689,2600
2020-09-25,0.9969,0.9969,0.9969,0.9969,270
2020-09-28,1.0227,1.0277,1.0227,1.0276,2000
2020-09-29,1.0276,1.0276,1.0276,1.0276,0
2020-09-30,0.9559,0.9826,0.9334,0.9826,3500
2020-10-01,0.9679,0.9767,0.9679,0.9767,2000
2020-10-02,0.9836,0.9836,0.9836,0.9836,2000
2020-10-05,0.9539,0.9539,0.9200,0.9200,1700
2020-10-06,0.9200,0.9200,0.9200,0.9200,0
2020-10-07,0.9595,1.0208,0.9595,1.0208,5200
2020-10-08,1.0208,1.0208,1.0208,1.0208,0
2020-10-09,1.2740,1.2992,1.2399,1.2399,3334
2020-10-12,1.2500,1.2500,1.2400,1.2400,431
2020-10-13,1.2884,1.2884,1.2884,1.2884,336
2020-10-14,1.2884,1.2884,1.2884,1.2884,15
2020-10-15,1.2500,1.2500,1.2100,1.2100,762
2020-10-16,1.2100,1.2100,1.2100,1.2100,20
2020-10-19,1.3171,1.3171,1.3171,1.3171,2120
2020-10-20,1.3619,1.3619,1.3619,1.3619,2500
2020-10-21,1.3619,1.3619,1.3619,1.3619,30
2020-10-22,1.3800,1.3800,1.3752,1.3800,5300
2020-10-23,1.3800,1.3800,1.3800,1.3800,0
2020-10-26,1.2920,1.2951,1.2200,1.2951,690
2020-10-27,1.2100,1.2100,1.2100,1.2100,160
2020-10-28,1.2100,1.2100,1.2100,1.2100,0
2020-10-29,1.2200,1.2200,1.2106,1.2106,1828
2020-10-30,1.2400,1.2400,1.2300,1.2300,5603
2020-11-02,1.2500,1.2982,1.2500,1.2982,4100
2020-11-03,1.2993,1.3100,1.2993,1.3100,2500
2020-11-04,1.3000,1.3000,1.2841,1.2843,3058
2020-11-05,1.2843,1.2843,1.2843,1.2843,60
2020-11-06,1.2843,1.2843,1.2843,1.2843,75
2020-11-09,1.2843,1.2843,1.2843,1.2843,0
2020-11-10,1.3552,1.3552,1.3552,1.3552,800
2020-11-11,1.3552,1.3552,1.3552,1.3552,0
2020-11-12,1.3531,1.3573,1.3496,1.3573,4676
2020-11-13,1.3200,1.3200,1.3200,1.3200,2300
2020-11-16,1.3200,1.3200,1.3200,1.3200,0
2020-11-17,1.3529,1.3529,1.3342,1.3342,800
2020-11-18,1.3342,1.3342,1.3342,1.3342,134
2020-11-19,1.3200,1.3200,1.3200,1.3200,100
2020-11-20,1.3200,1.3200,1.3019,1.3019,1515
2020-11-23,1.3210,1.3606,1.3210,1.3606,1423
2020-11-24,1.3606,1.3606,1.3606,1.3606,1423
2020-11-25,1.5000,1.5000,1.3800,1.3800,2214
2020-11-27,1.5000,1.6945,1.5000,1.6945,3550
2020-11-30,1.7047,1.7700,1.7047,1.7500,9238
2020-12-01,1.7037,1.7037,1.6317,1.6932,2725
2020-12-02,1.6932,1.6932,1.6932,1.6932,0
2020-12-03,1.7100,1.7100,1.7100,1.7100,400
2020-12-04,1.7085,1.7085,1.7085,1.7085,360
2020-12-07,1.6500,1.6800,1.6500,1.6800,3130
2020-12-08,1.6372,1.6500,1.6300,1.6438,2254
2020-12-09,1.6099,1.6099,1.5953,1.6000,3662
2020-12-10,1.6399,1.6399,1.6000,1.6000,13182
2020-12-11,1.5656,1.5816,1.5577,1.5581,20000
2020-12-14,1.6897,1.7000,1.6896,1.7000,2000
2020-12-15,1.6932,1.6932,1.6920,1.6920,955
2020-12-16,1.6900,1.6900,1.6836,1.6836,3200
2020-12-17,1.6987,1.7200,1.6987,1.7200,3433
2020-12-18,1.7700,1.8000,1.7700,1.8000,19545
2020-12-21,1.8500,1.9073,1.8500,1.8500,11341
2020-12-22,1.8500,1.8500,1.8500,1.8500,0
2020-12-23,2.0000,2.0456,1.9485,2.0456,1447
2020-12-24,2.0900,2.1020,2.0900,2.1000,5200
2020-12-28,2.1000,2.5000,2.1000,2.5000,9800
2020-12-29,2.5000,2.5000,1.9916,1.9916,2655
2020-12-30,1.9695,2.1000,1.9695,2.0000,18383
2020-12-31,2.1000,2.1788,1.9500,1.9500,19215
2021-01-04,2.0500,2.2500,2.0051,2.1000,32371
2021-01-05,2.1500,2.1500,2.0019,2.0019,20906
2021-01-06,2.0041,2.0837,2.0041,2.0800,820
2021-01-07,2.1774,2.2443,2.1774,2.2430,5288
2021-01-08,2.1000,2.1863,2.0344,2.1863,3648
2021-01-11,2.2000,2.2800,1.9969,1.9969,15544
2021-01-12,2.0920,2.1120,2.0030,2.1120,4236
2021-01-13,2.0500,2.1500,1.9800,2.0345,12926
2021-01-14,2.0500,2.0500,2.0480,2.0480,1849
2021-01-15,2.0000,2.1161,2.0000,2.0000,1033
2021-01-19,2.0380,2.0400,1.9500,1.9950,11776
2021-01-20,2.1000,2.1000,1.9702,1.9702,3122
2021-01-21,1.9500,1.9500,1.9400,1.9400,1073
2021-01-22,1.9500,1.9500,1.9500,1.9500,115
2021-01-25,1.9500,1.9500,1.9448,1.9448,766
2021-01-26,1.9747,1.9941,1.9747,1.9859,2316
2021-01-27,2.0000,2.0000,1.9500,1.9840,1071
2021-01-28,2.0600,2.0600,1.8391,1.8391,9479
2021-01-29,2.0000,2.0000,1.9412,1.9452,3670
2021-02-01,1.9700,1.9700,1.8352,1.8352,5130
2021-02-02,1.8500,1.8500,1.7500,1.8500,9184
2021-02-03,1.8487,1.9200,1.8487,1.9147,7676
2021-02-04,2.0000,2.0000,1.9281,1.9600,16904
2021-02-05,2.1900,2.1900,1.9600,1.9600,6135
2021-02-08,2.0000,2.2200,1.9200,1.9200,22458
2021-02-09,1.9990,2.3000,1.7500,2.0960,86727
2021-02-10,2.2130,2.2780,2.1440,2.1700,67272
2021-02-11,2.1731,2.2499,2.1100,2.1292,69261
2021-02-12,2.2100,8.3810,2.2100,8.1790,9410
2021-02-16,8.1790,8.1790,8.1790,8.1790,34
2021-02-17,32.7158,32.7158,32.7158,32.7158,23
2021-02-18,8.1790,8.1790,8.1790,8.1790,0
2021-02-19,8.1790,8.1790,8.1790,8.1790,42
2021-02-22,7.9400,7.9400,7.9360,7.9360,300
2021-02-23,7.5100,7.6735,7.5100,7.6735,3226
2021-02-24,7.6950,7.6950,7.6950,7.6950,120
2021-02-25,7.6952,7.6952,7.6952,7.6952,120
2021-02-26,7.6952,7.6952,7.6952,7.6952,218
2021-03-01,8.6500,9.7500,8.2250,9.4000,50612
2021-03-02,9.8900,10.0000,9.0005,9.7500,107999
2021-03-03,11.4000,11.6300,10.0000,10.2559,107183
2021-03-04,10.7400,10.7400,9.1400,9.4400,68506
2021-03-05,10.3800,10.3800,8.1310,8.7400,27323
2021-03-08,9.5000,9.5000,8.1400,8.2000,42713
2021-03-09,8.2000,8.2000,7.5400,8.2000,32095
2021-03-10,8.2000,8.3318,8.0100,8.2000,38709
2021-03-11,8.0100,8.7499,7.7901,8.1400,66907
2021-03-12,8.1000,8.3610,7.9500,8.0000,38272
2021-03-15,8.4000,8.4000,7.7500,8.1000,33066
2021-03-16,8.1000,8.3000,7.6001,8.0600,20468
