date,open,high,low,close,volume
1999-11-01,144.0000,152.3000,143.0000,147.9000,28800
1999-11-02,149.0000,155.0000,145.0000,145.0000,67200
1999-11-03,146.3000,160.9000,146.3000,150.5000,98600
1999-11-04,158.5000,159.0000,150.0000,150.8000,48100
1999-11-05,155.0000,157.9000,153.3000,155.5000,25000
1999-11-08,153.0000,166.0000,151.0000,162.0000,63800
1999-11-09,164.0000,172.0000,162.1000,168.8000,49500
1999-11-10,173.9000,182.0000,169.0000,179.0000,47800
1999-11-11,179.1000,186.0000,178.6000,180.0000,44800
1999-11-12,177.3000,179.0000,171.6000,179.0000,14200
1999-11-15,182.5000,190.0000,179.6000,189.3000,54000
1999-11-16,189.5000,189.5000,182.8000,184.3000,54600
1999-11-17,188.1000,208.9000,188.1000,204.5000,93200
1999-11-18,198.5000,218.0000,193.2000,210.0000,51300
1999-11-19,217.0000,234.0000,216.0000,228.5000,77000
1999-11-22,234.5000,235.0000,219.9000,230.1000,121800
1999-11-23,231.0000,232.5000,219.0000,223.5000,49000
1999-11-24,219.5000,222.8000,212.0000,212.1000,54300
1999-11-26,227.8000,228.3000,217.3000,219.3000,70600
1999-11-29,223.0000,224.0000,210.0000,218.4000,100000
1999-11-30,220.0000,220.0000,206.0000,206.0000,52000
1999-12-01,210.1000,214.0000,204.1000,211.5000,70500
1999-12-02,210.6000,219.9000,210.6000,218.3000,91600
1999-12-03,218.0000,228.0000,217.6000,226.0000,57500
1999-12-06,230.5000,252.6000,230.0000,252.4000,151600
1999-12-07,258.2000,301.0000,254.5000,290.0000,115700
1999-12-08,283.0000,288.5000,260.0000,266.0000,122200
1999-12-09,277.0000,287.0000,260.3000,266.0000,96900
1999-12-10,272.0000,280.0000,266.3000,270.0000,27100
1999-12-13,279.9000,280.0000,255.0000,264.0000,46200
1999-12-14,248.0000,256.5000,244.3000,251.3000,54000
1999-12-15,237.0000,244.8000,235.1000,240.5000,69700
1999-12-16,251.1000,257.0000,245.0000,250.0000,34500
1999-12-17,259.0000,260.3000,254.4000,260.0000,36900
1999-12-20,266.5000,291.5000,266.0000,284.0000,99700
1999-12-21,295.0000,317.0000,290.0000,316.1000,63000
1999-12-22,316.6000,351.0000,312.8000,347.0000,57800
1999-12-23,360.0000,360.0000,328.0000,337.1000,104600
1999-12-27,336.9000,336.9000,301.0000,301.0000,75600
1999-12-28,301.0000,330.0000,300.0000,315.3000,35100
1999-12-29,329.0000,350.0000,325.0000,339.0000,80200
1999-12-30,344.0000,350.0000,306.0000,327.0000,58400
1999-12-31,317.0000,330.0000,313.0000,330.0000,21000
2000-01-03,375.0000,378.0000,364.0000,369.1000,83300
2000-01-04,361.0000,402.0000,356.5000,372.0000,79000
2000-01-05,350.5000,363.0000,341.0000,360.1000,94600
2000-01-06,358.3000,365.0000,330.0000,330.0000,73500
2000-01-07,316.5000,353.0000,301.0000,353.0000,123200
2000-01-10,372.0000,374.3000,355.0000,358.0000,55200
2000-01-11,348.3000,348.3000,329.6000,337.0000,133000
2000-01-12,344.0000,355.0000,314.0000,331.0000,62000
2000-01-13,342.0000,342.0000,312.0000,318.0000,40000
2000-01-14,326.4000,337.3000,297.3000,298.1000,110800
2000-01-18,281.0000,310.0000,266.0000,308.3000,171600
2000-01-19,306.0000,316.0000,298.8000,303.8000,36200
2000-01-20,303.3000,313.0000,292.8000,295.8000,74700
2000-01-21,294.5000,313.0000,290.0000,303.5000,120200
2000-01-24,307.0000,319.6000,305.0000,318.0000,105600
2000-01-25,309.8000,319.0000,307.8000,313.0000,32000
2000-01-26,319.5000,325.5000,313.6000,324.0000,52600
2000-01-27,320.0000,350.0000,316.0000,348.6000,102000
2000-01-28,349.0000,356.1000,335.9000,338.0000,65500
2000-01-31,335.0000,339.5000,306.6000,324.9000,33800
2000-02-01,327.9000,327.9000,318.5000,321.0000,33500
2000-02-02,327.0000,339.5000,323.0000,335.5000,45500
2000-02-03,341.0000,350.0000,328.4000,350.0000,48000
2000-02-04,356.5000,385.0000,352.0000,380.0000,84800
2000-02-07,382.5000,411.3000,375.0000,409.8000,60200
2000-02-08,425.9000,426.1000,396.0000,410.0000,104200
2000-02-09,399.1000,448.3000,399.1000,446.0000,64900
2000-02-10,441.5000,528.5000,434.0000,528.5000,183700
2000-02-11,534.5000,681.0000,534.5000,670.1000,369800
2000-02-14,620.5000,634.0000,520.0000,543.0000,478000
2000-02-15,269.3000,269.4000,239.1000,247.0000,125650
2000-02-16,255.1000,305.0000,255.0000,290.0000,383700
2000-02-17,322.6000,330.0000,291.6000,298.1000,351600
2000-02-18,304.5000,309.0000,279.9000,293.0000,157200
2000-02-22,282.0000,297.0000,267.0000,282.0000,160600
2000-02-23,285.0000,299.9000,270.3000,284.1000,166700
2000-02-24,300.5000,304.0000,270.8000,277.3000,258900
2000-02-25,270.3000,277.0000,264.0000,273.0000,151100
2000-02-28,265.0000,274.9000,263.0000,268.0000,66000
2000-02-29,276.5000,280.8000,267.0000,270.3000,96400
2000-03-01,287.0000,290.5000,279.0000,283.0000,222800
2000-03-02,299.0000,305.0000,285.3000,302.3000,233000
2000-03-03,313.0000,333.8000,310.3000,328.5000,165200
2000-03-06,335.0000,365.0000,330.5000,345.0000,126300
2000-03-07,375.0000,375.0000,329.6000,335.0000,284100
2000-03-08,342.0000,346.0000,315.0000,340.0000,162700
2000-03-09,335.0000,349.9000,329.5000,340.0000,81300
2000-03-10,340.0000,343.0000,320.1000,330.0000,36300
2000-03-13,315.0000,319.0000,285.1000,297.0000,249300
2000-03-14,281.9000,298.0000,280.0000,283.1000,84700
2000-03-15,285.5000,289.0000,268.0000,269.0000,89000
2000-03-16,260.0000,269.0000,250.0000,257.0000,137300
2000-03-17,264.0000,299.8000,260.4000,291.9000,175200
2000-03-20,297.9000,307.0000,286.6000,298.5000,139100
2000-03-21,300.0000,302.6000,263.0000,285.0000,186000
2000-03-22,300.0000,307.0000,286.5000,297.0000,92300
2000-03-23,292.0000,294.9000,274.5000,275.0000,144500
2000-03-24,277.0000,279.3800,260.5000,266.7500,444500
2000-03-27,267.0000,267.0000,255.1000,256.5000,188900
2000-03-28,255.4000,278.5000,252.5000,271.0000,103600
2000-03-29,269.0000,278.0000,249.8000,250.0000,164900
2000-03-30,232.0000,253.0000,220.6000,223.0000,177200
2000-03-31,223.9000,224.0000,180.0000,193.0000,389300
2000-04-03,180.8000,185.0000,155.0000,160.5000,455300
2000-04-04,179.0000,183.3000,131.1000,168.3000,397700
2000-04-05,160.9000,217.4000,155.0000,197.0000,321500
2000-04-06,221.9000,250.0000,217.5000,248.0000,434600
2000-04-07,265.0000,284.0000,265.0000,276.9000,351700
2000-04-10,280.0000,284.6000,239.6000,242.3000,360100
2000-04-11,220.0000,243.2000,205.0000,228.6000,569400
2000-04-12,224.9000,225.0000,209.0000,215.1000,326300
2000-04-13,206.0000,230.0000,201.3000,210.8000,400400
2000-04-14,192.9000,193.0000,170.0000,172.9000,495300
2000-04-17,152.0000,185.0000,146.0000,175.4000,452700
2000-04-18,190.0000,199.1000,170.1000,195.1000,404100
2000-04-19,196.0000,196.0000,181.0000,182.0000,263100
2000-04-20,197.5000,197.5000,175.3000,183.0000,156900
2000-04-24,172.0000,175.0000,160.0000,164.0000,157000
2000-04-25,170.0000,185.0000,167.1000,184.0000,206100
2000-04-26,190.0000,200.0000,186.1000,187.0000,324200
2000-04-27,173.0000,202.0000,165.0000,198.5000,245100
2000-04-28,199.0000,210.5000,199.0000,203.0000,133200
2000-05-01,211.8000,214.5000,205.0000,209.0000,112800
2000-05-02,201.4000,205.0000,190.0000,191.0000,102500
2000-05-03,181.7000,188.3000,175.1000,183.0000,141300
2000-05-04,183.0000,202.0000,181.5000,197.1000,214100
2000-05-05,200.9000,211.0000,196.8000,201.8000,90500
2000-05-08,188.1000,195.0000,188.0000,189.9000,77200
2000-05-09,192.5000,199.0000,190.1000,195.1000,80300
2000-05-10,190.9000,196.5000,171.8000,195.0000,209000
2000-05-11,190.0000,198.0000,185.0000,185.0000,87800
2000-05-12,187.0000,191.5000,178.1000,179.0000,116400
2000-05-15,182.9000,184.5000,173.0000,179.8000,115500
2000-05-16,185.5000,193.0000,183.3000,189.8000,126100
2000-05-17,186.6000,188.0000,181.5000,183.1000,76900
2000-05-18,185.8000,186.3000,175.0000,177.0000,181900
2000-05-19,170.0000,172.0000,160.4000,162.3000,211600
2000-05-22,161.3000,161.8000,138.4000,147.4000,307400
2000-05-23,145.0000,156.4000,140.1000,141.0000,196000
2000-05-24,142.5000,146.9000,130.8000,143.6000,265000
2000-05-25,148.0000,156.1000,146.0000,149.5000,245200
2000-05-26,148.0000,148.0000,134.0000,138.0000,188900
2000-05-30,149.9000,156.4000,142.8000,154.0000,285400
2000-05-31,156.5000,158.0000,150.0000,153.4000,266800
2000-06-01,154.4000,164.0000,154.4000,160.0000,141600
2000-06-02,176.9000,194.9000,174.3000,186.0000,315700
2000-06-05,197.0000,198.0000,189.8000,192.4000,91500
2000-06-06,197.3000,199.9000,186.0000,188.3000,98200
2000-06-07,188.0000,192.0000,185.0000,186.5000,73800
2000-06-08,193.0000,198.0000,184.8000,188.0000,72900
2000-06-09,195.0000,196.8000,188.5000,190.0000,72900
2000-06-12,193.0000,193.0000,187.0000,189.0000,45900
2000-06-13,184.6000,186.5000,178.5000,184.9000,79200
2000-06-14,184.6000,188.0000,179.0000,182.3000,65200
2000-06-15,183.6000,186.9000,179.0000,179.0000,88100
2000-06-16,181.0000,184.5000,176.0000,176.0000,62700
2000-06-19,177.9000,187.0000,177.0000,186.0000,68100
2000-06-20,187.0000,197.0000,185.3000,193.6000,120800
2000-06-21,192.0000,196.8000,189.5000,195.0000,47000
2000-06-22,195.9000,196.0000,184.5000,185.3000,63700
2000-06-23,184.1000,186.0000,177.1000,178.9000,60700
2000-06-26,177.6000,185.3000,170.1000,175.4000,77400
2000-06-27,175.0000,178.8000,172.6000,172.8000,60200
2000-06-28,174.6000,185.1000,174.3000,184.5000,78600
2000-06-29,184.3000,184.3000,173.3000,177.5000,75700
2000-06-30,174.0000,180.9000,171.0000,177.3000,28400
2000-07-03,181.9000,185.3000,179.3000,181.8000,38600
2000-07-05,182.5000,183.9000,176.6000,177.0000,92300
2000-07-06,175.8000,184.0000,175.8000,181.0000,65400
2000-07-07,184.3000,186.9000,181.0000,181.0000,40400
2000-07-10,182.1000,184.0000,180.1000,182.0000,24200
2000-07-11,184.5000,185.0000,174.0000,176.5000,100300
2000-07-12,181.5000,182.5000,175.1000,175.4000,51600
2000-07-13,175.3000,175.4000,162.0000,166.9000,222800
2000-07-14,166.0000,166.0000,155.5000,161.5000,165200
2000-07-17,162.1000,164.0000,158.0000,162.3000,93100
2000-07-18,158.5000,159.0000,150.2000,153.0000,106500
2000-07-19,150.3000,152.0000,144.5000,148.6000,108100
2000-07-20,149.9000,157.0000,149.0000,156.3000,79400
2000-07-21,155.3000,155.5000,145.1000,148.0000,117900
2000-07-24,140.6000,141.0000,129.5000,130.0000,288800
2000-07-25,136.1000,139.0000,132.8000,133.5000,243600
