date,open,high,low,close,volume
1999-11-01,3.1250,3.1250,3.0000,3.1250,11200
1999-11-02,3.0000,3.1250,2.9380,3.0630,20800
1999-11-03,3.0000,3.0000,2.6880,2.8130,24000
1999-11-04,2.8750,2.9380,2.8130,2.9380,19200
1999-11-05,2.8130,2.9380,2.7500,2.7500,14400
1999-11-08,2.7500,2.8750,2.7500,2.8750,9600
1999-11-09,2.8750,2.8750,2.8130,2.8130,20800
1999-11-10,3.0000,3.0000,2.8750,3.0000,52800
1999-11-11,2.8750,3.0000,2.8130,2.9380,44800
1999-11-12,3.0000,3.1250,2.8750,3.0630,84800
1999-11-15,3.1250,3.1250,3.0000,3.1250,35200
1999-11-16,3.0630,3.1880,3.0630,3.1250,48000
1999-11-17,3.0630,3.0630,2.9380,3.0000,8000
1999-11-18,3.0000,3.1250,3.0000,3.0630,11200
1999-11-19,3.1250,3.1250,3.0000,3.0630,76800
1999-11-22,3.0000,3.0000,3.0000,3.0000,6400
1999-11-23,3.0630,3.0630,2.9380,3.0000,17600
1999-11-24,2.9380,2.9380,2.8750,2.8750,25600
1999-11-26,3.0000,3.0000,2.9380,3.0000,8000
1999-11-29,2.8750,2.9380,2.8750,2.9380,16000
1999-11-30,2.8130,3.0000,2.8130,2.8750,46400
1999-12-01,2.9380,2.9380,2.8130,2.8130,1600
1999-12-02,2.7500,2.9380,2.7500,2.8130,24000
1999-12-03,2.8130,2.9380,2.8130,2.8130,11200
1999-12-06,2.8130,2.8750,2.8130,2.8750,1600
1999-12-07,2.9380,3.0000,2.8750,3.0000,75200
1999-12-08,2.9380,3.0000,2.8750,3.0000,54400
1999-12-09,2.8130,2.9380,2.8130,2.8130,9600
1999-12-10,2.8130,2.8130,2.8130,2.8130,1600
1999-12-13,2.8130,2.9380,2.8130,2.8130,9600
1999-12-14,2.8130,2.8130,2.8130,2.8130,22400
1999-12-15,2.8130,2.8750,2.8130,2.8750,27200
1999-12-16,3.0000,3.0000,2.8130,3.0000,20800
1999-12-17,2.9380,2.9380,2.9380,2.9380,6400
1999-12-20,2.9380,3.0000,2.9380,3.0000,14400
1999-12-21,2.9380,3.5000,2.9380,3.5000,164800
1999-12-22,3.5000,3.5000,3.0630,3.0630,59200
1999-12-23,3.0630,3.0630,2.9380,3.0630,110400
1999-12-27,3.0000,3.3750,3.0000,3.1880,11200
1999-12-28,3.1880,3.2500,3.0000,3.0000,94400
1999-12-29,3.1250,3.3750,3.1250,3.2500,60800
1999-12-30,3.2500,3.2500,3.1250,3.1880,12800
1999-12-31,3.1880,3.2500,3.1880,3.2500,1600
2000-01-03,3.2500,3.3750,3.2500,3.3750,20800
2000-01-04,3.2500,3.2500,3.0630,3.1250,49600
2000-01-05,3.0630,3.0630,2.9380,3.0630,67200
2000-01-06,3.1250,3.2500,3.0000,3.0000,27200
2000-01-07,3.1250,3.2500,3.0630,3.1880,27200
2000-01-10,3.2500,3.3750,3.1880,3.3130,54400
2000-01-11,3.3130,4.1880,3.3130,4.1250,251200
2000-01-12,4.2500,4.2500,3.8130,3.8280,99200
2000-01-13,3.5630,4.1250,3.5000,4.0630,104000
2000-01-14,4.0630,4.1880,3.8750,3.8750,89600
2000-01-18,3.9380,4.0000,3.7500,3.7500,70400
2000-01-19,3.8750,3.8750,2.9380,3.1880,339200
2000-01-20,3.1250,3.1880,3.0000,3.1880,105600
2000-01-21,3.1880,3.6250,3.1250,3.5000,120000
2000-01-24,3.6250,3.7500,3.5000,3.6250,28800
2000-01-25,3.6250,3.6880,3.5630,3.6880,56000
2000-01-26,3.6880,3.6880,3.5630,3.5630,6400
2000-01-27,3.6250,3.6880,3.5000,3.5000,12800
2000-01-28,3.3750,3.5000,3.3130,3.3130,84800
2000-01-31,3.3130,3.4380,3.2500,3.4380,67200
2000-02-01,3.3130,3.5630,3.3130,3.5000,65600
2000-02-02,3.5630,3.7500,3.5630,3.7500,51200
2000-02-03,4.0000,4.3750,4.0000,4.3130,395200
2000-02-04,4.4380,4.4380,4.1250,4.1250,102400
2000-02-07,4.1880,4.2500,4.1880,4.2500,60800
2000-02-08,4.2500,5.5630,4.2500,5.5630,348800
2000-02-09,5.5630,5.6250,5.0000,5.3130,288000
2000-02-10,5.4380,5.4380,4.8750,5.0000,152000
2000-02-11,5.5000,5.7500,5.2500,5.3750,395200
2000-02-14,5.6250,7.6880,5.5000,7.6250,868800
2000-02-15,8.4380,9.0000,7.3130,9.0000,780800
2000-02-16,9.4380,9.9380,8.3750,9.3750,972800
2000-02-17,10.5000,10.5000,9.6250,10.1900,699200
2000-02-18,10.1900,10.1900,8.2500,8.8750,548800
2000-02-22,8.8750,8.8750,7.1250,7.5630,390400
2000-02-23,7.5000,7.6880,6.6250,7.0000,249600
2000-02-24,6.9380,6.9380,6.0000,6.2500,326400
2000-02-25,6.2500,7.4380,5.8130,7.2500,436800
2000-02-28,7.5000,7.6250,7.1250,7.2500,217600
2000-02-29,7.2500,7.6250,7.0000,7.3750,216000
2000-03-01,7.5000,9.5000,7.2500,8.9380,340800
2000-03-02,9.4380,9.6880,8.5630,9.2500,414400
2000-03-03,9.4380,12.0000,9.3750,11.9400,760000
2000-03-06,12.0000,12.2500,10.5000,10.9400,635200
2000-03-07,10.9400,11.0000,9.7500,9.8750,342400
2000-03-08,9.9380,9.9380,8.7500,9.0000,228800
2000-03-09,9.0630,9.6880,8.7500,9.0000,187200
2000-03-10,9.1880,10.0000,9.0000,9.2500,272000
2000-03-13,9.0000,9.0630,7.8750,8.0630,211200
2000-03-14,8.3130,8.6880,7.4380,7.4380,316800
2000-03-15,7.3750,7.6250,6.5630,7.0630,208000
2000-03-16,7.0630,7.4380,6.6880,7.1250,123200
2000-03-17,7.4380,7.7500,6.8750,7.0000,289600
2000-03-20,7.0000,7.1880,6.0000,6.2500,132800
2000-03-21,6.0000,6.5630,5.1880,5.5000,297600
2000-03-22,5.6900,7.2500,5.6900,7.0600,326400
2000-03-23,7.1880,7.2500,6.6250,6.8750,121600
2000-03-24,7.1250,7.1250,6.5630,6.6880,62400
2000-03-27,6.6250,6.6250,6.0000,6.1880,124800
2000-03-28,6.1250,6.3130,6.1250,6.1250,212800
