date,open,high,low,close,volume
2016-06-24,2.1100,2.1100,2.1100,2.1100,583
2016-06-27,2.1100,2.1100,2.1100,2.1100,4
2016-06-28,1.9070,1.9100,1.9070,1.9100,1143
2016-06-29,2.0400,2.0400,2.0400,2.0400,1500
2016-06-30,2.0400,2.0400,2.0400,2.0400,118
2016-07-01,2.0400,2.0400,2.0400,2.0400,2
2016-07-05,2.0400,2.0400,2.0400,2.0400,3
2016-07-12,2.0400,2.0400,2.0400,2.0400,7
2016-07-13,2.0400,2.0400,2.0400,2.0400,1
2016-07-14,1.9100,1.9100,1.9100,1.9100,100
2016-07-15,1.9100,1.9100,1.9100,1.9100,95
2016-07-19,1.9100,1.9100,1.9100,1.9100,2
2016-07-21,1.8400,1.8400,1.8400,1.8400,100
2016-07-22,1.8200,1.8200,1.7900,1.7900,300
2016-07-26,1.8054,1.8054,1.8054,1.8054,100
2016-07-28,1.7600,1.7600,1.7600,1.7600,3600
2016-07-29,1.8000,1.8000,1.8000,1.8000,800
2016-08-02,1.8231,1.8231,1.8231,1.8231,135
2016-08-03,1.8000,1.8000,1.8000,1.8000,100
2016-08-04,1.7908,1.7908,1.7908,1.7908,107
2016-08-05,1.7600,1.7908,1.7600,1.7908,700
2016-08-08,1.7908,1.7908,1.7600,1.7600,800
2016-08-11,1.8000,1.8000,1.8000,1.8000,271
2016-08-12,1.7800,1.7800,1.7800,1.7800,100
2016-08-15,1.7600,1.7600,1.7600,1.7600,3100
2016-08-16,1.7300,1.7300,1.7300,1.7300,200
2016-08-17,1.7300,1.7300,1.7300,1.7300,20
2016-08-18,1.8200,1.8200,1.8200,1.8200,245
2016-08-23,1.7576,1.7576,1.7576,1.7576,165
2016-08-25,1.7576,1.7576,1.7576,1.7576,15
2016-08-26,1.6900,1.6900,1.6721,1.6721,200
2016-08-29,1.6721,1.6721,1.6721,1.6721,28
2016-09-02,1.6500,1.6500,1.6500,1.6500,271
2016-09-06,1.6400,1.6400,1.6400,1.6400,245
2016-09-07,1.6400,1.6400,1.6400,1.6400,1
2016-09-08,1.6400,1.6400,1.6400,1.6400,1
2016-09-13,1.6400,1.6400,1.6400,1.6400,1
2016-09-23,1.6400,1.6400,1.6400,1.6400,9
2016-09-26,1.6400,1.6400,1.6400,1.6400,20
2016-10-04,1.6400,1.6400,1.6400,1.6400,14
2016-10-17,1.6400,1.6400,1.6400,1.6400,109
2016-10-18,1.6400,1.6400,1.6400,1.6400,1
2016-10-19,1.6600,1.6600,1.6600,1.6600,2000
2016-10-27,1.6600,1.6600,1.6600,1.6600,6
2016-10-28,1.6600,1.6600,1.6600,1.6600,32
2016-12-02,1.4400,1.4400,1.4400,1.4400,14
2016-12-05,1.4400,1.4400,1.4400,1.4400,7
2016-12-07,1.4400,1.4400,1.4400,1.4400,1
2016-12-09,1.4400,1.4400,1.4400,1.4400,30
2016-12-13,1.5860,1.5860,1.5860,1.5860,1005
2016-12-14,1.5860,1.5860,1.5860,1.5860,51
2016-12-19,1.5200,1.5200,1.5200,1.5200,468
2016-12-22,1.5200,1.5200,1.5200,1.5200,5
2016-12-23,1.5200,1.5200,1.5200,1.5200,1
2016-12-27,1.5200,1.5200,1.5200,1.5200,1
2016-12-28,1.5000,1.5000,1.5000,1.5000,4708
2016-12-29,1.5000,1.5000,1.5000,1.5000,2
2016-12-30,1.4800,1.4800,1.4800,1.4800,577
2017-01-03,1.4950,1.4950,1.4781,1.4932,1200
