date,open,high,low,close,volume
1999-11-01,1.0600,1.0600,1.0600,1.0600,0
1999-11-02,1.0630,1.0630,1.0630,1.0630,6000
1999-11-03,1.0940,1.0940,1.0630,1.0630,1100
1999-11-04,1.0630,1.1250,1.0630,1.1250,2600
1999-11-05,1.1250,1.1250,1.1250,1.1250,27500
1999-11-08,1.2190,1.4060,1.1880,1.4060,86700
1999-11-09,1.4060,1.5000,1.2500,1.3750,31200
1999-11-10,1.3750,1.5000,1.3750,1.3750,17900
1999-11-11,1.4380,1.4380,1.4380,1.4380,1000
1999-11-12,1.4400,1.4400,1.4400,1.4400,0
1999-11-15,1.4380,1.5000,1.4380,1.5000,3000
1999-11-16,1.5630,1.6250,1.4380,1.4380,11600
1999-11-17,1.4380,1.4380,1.4380,1.4380,2700
1999-11-18,1.4380,1.4380,1.3750,1.3750,9600
1999-11-19,1.2500,1.3130,1.2500,1.2500,9600
1999-11-22,1.3750,1.3750,1.3750,1.3750,2200
1999-11-23,1.3750,1.3750,1.3750,1.3750,55300
1999-11-24,1.4380,1.4380,1.1880,1.2500,12600
1999-11-26,1.2500,1.2500,1.2500,1.2500,6000
1999-11-29,1.3130,1.3750,1.2500,1.2500,7300
1999-11-30,1.2500,1.2500,1.2500,1.2500,11600
1999-12-01,1.2500,1.2500,1.2500,1.2500,0
1999-12-02,1.2500,1.2500,1.2500,1.2500,7000
1999-12-03,1.3130,1.3130,1.2500,1.2500,11500
1999-12-06,1.3130,1.3750,1.3130,1.3750,6200
1999-12-07,1.3130,1.3130,1.3130,1.3130,3700
1999-12-08,1.3750,1.5000,1.3130,1.3130,4500
1999-12-09,1.5000,1.5310,1.3130,1.3130,21800
1999-12-10,1.5000,1.5000,1.5000,1.5000,14800
1999-12-13,1.6250,2.1250,1.5630,2.1250,128800
1999-12-14,2.1250,2.2500,1.6250,1.6250,85600
1999-12-15,2.0630,2.2500,1.7500,2.0000,18700
1999-12-16,2.1560,2.6250,1.8750,2.5000,220200
1999-12-17,2.6250,2.6250,2.3750,2.5000,32800
1999-12-20,2.4380,2.8130,2.3750,2.8130,118900
1999-12-21,2.8750,3.7500,2.8750,3.3130,245900
1999-12-22,3.4380,4.0000,3.4380,3.6880,246800
1999-12-23,3.7810,3.8750,3.6250,3.8440,101300
1999-12-27,3.9380,3.9380,3.6250,3.8750,128800
1999-12-28,3.8440,3.8750,3.5000,3.8750,20900
1999-12-29,3.7810,3.9380,3.5000,3.7500,36300
1999-12-30,3.7500,3.7500,3.5310,3.6560,37400
1999-12-31,3.6250,3.7500,3.3750,3.5630,24400
2000-01-03,3.6250,3.6250,3.3750,3.5000,36100
2000-01-04,3.5000,3.5000,3.2500,3.3750,18700
2000-01-05,3.4380,3.5630,3.2500,3.3750,29100
2000-01-06,3.5000,3.5000,3.3750,3.5000,23400
2000-01-07,3.5630,4.6250,3.5630,4.1250,96500
2000-01-10,4.1250,4.1250,4.0000,4.0000,35000
2000-01-11,4.1250,4.2500,3.6250,3.8130,35100
2000-01-12,4.0000,4.0000,3.6250,3.7500,10400
2000-01-13,3.8750,3.8750,3.8130,3.8750,14200
2000-01-14,3.8750,3.9690,3.6880,3.6880,18600
2000-01-18,3.9380,4.0000,3.5000,3.6250,33300
2000-01-19,3.6880,3.6880,3.5630,3.5630,26100
2000-01-20,3.5630,3.6250,3.3750,3.3750,14700
2000-01-21,3.5000,3.6250,3.3130,3.3130,48800
2000-01-24,3.3750,3.5630,3.2500,3.5630,46200
2000-01-25,3.3130,3.5000,3.2500,3.5000,33600
2000-01-26,3.4380,3.5630,3.2500,3.3130,20300
2000-01-27,3.2500,3.2500,3.2500,3.2500,2000
2000-01-28,3.3130,3.3130,3.1880,3.1880,1800
2000-01-31,3.2810,3.2810,3.0940,3.1250,1600
2000-02-01,3.3130,3.3130,3.2500,3.3130,11800
2000-02-02,3.2500,3.3750,3.2500,3.3750,19200
2000-02-03,3.2500,3.3750,3.0940,3.2500,19400
2000-02-04,3.1880,3.1880,3.1250,3.1880,9000
2000-02-07,3.2500,3.2500,2.7500,2.7500,78400
2000-02-08,3.0310,3.0630,2.8440,3.0310,13500
2000-02-09,2.8750,3.0000,2.8130,2.8130,9300
2000-02-10,3.0000,3.0310,2.8750,2.8750,3500
2000-02-11,2.8750,3.1250,2.8750,3.0630,37100
2000-02-14,3.0630,3.2500,3.0000,3.0000,33800
2000-02-15,2.8750,2.8750,2.6250,2.8750,11600
2000-02-16,2.8130,2.9380,2.6250,2.9380,11100
2000-02-17,2.8750,2.8750,2.8750,2.8750,2000
2000-02-18,2.7500,2.8130,2.7500,2.8130,2700
2000-02-22,2.9380,3.5000,2.8130,3.5000,22900
2000-02-23,3.2500,3.3750,3.0000,3.2500,32600
2000-02-24,3.3750,3.3750,3.1250,3.1250,31100
2000-02-25,3.2500,3.4380,3.2500,3.4380,16500
2000-02-28,3.3440,3.5000,3.1250,3.4380,58900
2000-02-29,3.3750,3.6880,3.3750,3.6880,44200
2000-03-01,3.8130,4.3750,3.8130,4.1880,79400
2000-03-02,4.3750,4.4380,4.0000,4.0630,99300
2000-03-03,4.0000,4.1250,3.8750,4.0000,17900
2000-03-06,4.1880,4.1880,3.8750,4.0000,12200
2000-03-07,3.9380,4.2500,3.9380,4.2500,8200
2000-03-08,4.2500,4.5000,4.2500,4.3750,14300
2000-03-09,4.3750,4.3750,4.0000,4.1250,127700
2000-03-10,4.3750,4.5000,4.0000,4.0000,17500
2000-03-13,4.0000,4.6250,4.0000,4.0630,61400
2000-03-14,4.0000,4.2500,4.0000,4.0000,34200
2000-03-15,4.0000,4.2500,4.0000,4.2500,22200
2000-03-16,4.2500,4.2500,4.0000,4.1250,19000
2000-03-17,4.1250,4.1250,4.0000,4.0000,700
2000-03-20,4.0000,4.1250,3.8750,3.8750,23000
2000-03-21,4.0000,4.0000,3.8750,3.8750,2300
2000-03-22,3.8750,3.8750,3.3750,3.3750,23600
2000-03-23,3.3750,3.9380,3.3750,3.9380,25300
2000-03-24,3.9380,3.9380,3.7500,3.7500,700
2000-03-27,3.6250,4.0000,3.6250,3.8750,17000
2000-03-28,3.6250,3.8750,3.5000,3.5000,28200
2000-03-29,3.5000,3.6250,3.3750,3.3750,26500
2000-03-30,3.3750,3.6880,3.3750,3.6880,32000
2000-03-31,3.5000,3.8750,3.5000,3.8750,18600
2000-04-03,3.8130,3.8130,3.6250,3.6250,1400
2000-04-04,3.6250,3.8130,3.5630,3.8130,10300
2000-04-05,3.5630,3.8130,3.3750,3.8130,112400
2000-04-06,3.6250,4.2500,3.6250,4.1250,64500
2000-04-07,4.0630,4.1250,4.0000,4.0630,6000
2000-04-10,4.0000,4.3130,4.0000,4.1880,186400
2000-04-11,4.1880,4.3750,4.1880,4.2810,14000
2000-04-12,4.2500,4.2500,3.7500,3.8130,24200
2000-04-13,4.1250,4.1250,3.7500,4.0000,10200
2000-04-14,3.8750,3.8750,3.3750,3.3750,48400
2000-04-17,3.2500,3.2500,3.0000,3.0000,45400
2000-04-18,3.1880,3.5000,3.1880,3.1880,34800
2000-04-19,3.4380,3.4380,3.1250,3.3750,114800
2000-04-20,3.4380,3.4380,3.4380,3.4380,100
2000-04-24,3.4380,3.4690,3.4380,3.4380,32500
2000-04-25,3.4400,3.4400,3.4400,3.4400,0
2000-04-26,3.4690,3.4690,3.2500,3.2500,9600
2000-04-27,3.2500,3.2500,3.0630,3.2500,50300
2000-04-28,3.4690,3.4690,3.4690,3.4690,400
2000-05-01,3.4690,3.5630,3.4690,3.5630,11800
2000-05-02,3.5000,3.5630,3.5000,3.5000,3900
2000-05-03,3.5000,3.5000,3.2500,3.2500,35000
2000-05-04,3.4380,3.4380,3.3750,3.3750,16900
2000-05-05,3.4380,3.4380,3.4380,3.4380,8300
2000-05-08,3.4380,3.5000,3.3750,3.3750,36200
2000-05-09,3.5000,3.5000,3.3750,3.3750,41800
2000-05-10,3.3800,3.3800,3.3800,3.3800,0
2000-05-11,3.4690,3.5000,3.1880,3.3750,5400
2000-05-12,3.2500,3.2500,3.2500,3.2500,600
2000-05-15,3.2500,3.6250,3.0000,3.6250,68800
2000-05-16,3.6250,4.2500,3.6250,4.1880,201200
2000-05-17,4.0000,5.4380,4.0000,5.3750,442700
2000-05-18,5.2500,5.7500,4.8130,5.2500,154400
2000-05-19,4.8750,5.0000,4.8750,4.9380,26300
2000-05-22,5.1250,5.1880,4.8750,5.1250,57400
2000-05-23,5.1250,5.2500,4.8750,5.0000,20300
2000-05-24,4.8750,4.9380,4.5630,4.8750,33700
2000-05-25,4.8750,5.0000,4.3750,4.5000,30500
2000-05-26,4.7500,4.7500,4.0000,4.2500,30800
2000-05-30,4.5000,5.0000,4.5000,4.7500,35500
2000-05-31,4.8750,4.9380,4.8130,4.8750,9500
2000-06-01,4.9380,4.9690,4.8750,4.9690,7500
2000-06-02,5.0000,5.0000,4.8750,5.0000,12800
2000-06-05,4.9380,5.0000,4.7500,4.7500,3300
2000-06-06,4.7500,4.7500,4.6880,4.6880,1800
2000-06-07,4.8750,6.0000,4.7500,5.9380,225800
2000-06-08,6.0000,6.0000,5.6880,5.8750,97700
2000-06-09,5.7500,6.1880,5.7500,6.0630,147200
2000-06-12,6.1880,6.1880,6.0000,6.1250,43000
2000-06-13,6.0630,7.1250,6.0000,7.1250,197700
2000-06-14,7.3440,7.3750,6.7500,7.0000,80800
2000-06-15,6.8750,6.9380,6.7500,6.8750,31600
2000-06-16,6.9380,7.0000,6.7500,6.8750,69100
2000-06-19,6.9380,7.0630,6.9380,7.0630,79000
2000-06-20,7.1250,7.8750,6.9380,7.8130,170500
2000-06-21,7.8750,7.8750,7.6250,7.8750,143500
2000-06-22,7.8130,7.8750,7.1250,7.6250,70900
2000-06-23,7.7500,7.7500,7.2500,7.3130,22100
2000-06-26,7.5000,7.5000,7.1250,7.4380,28500
2000-06-27,7.4380,7.4380,7.2500,7.2500,9000
2000-06-28,7.3130,7.3750,7.2500,7.3750,44700
2000-06-29,7.1250,7.3130,6.7500,7.1250,51700
2000-06-30,7.0000,7.2500,6.8750,7.0000,47300
2000-07-03,6.8750,6.9060,6.8750,6.8750,3300
2000-07-05,6.8750,7.3750,6.8750,7.3750,37100
2000-07-06,7.3750,7.3750,7.1250,7.2500,12900
2000-07-07,7.3130,7.3750,7.1880,7.3750,16600
2000-07-10,7.4380,7.4690,7.0000,7.4380,31800
2000-07-11,7.3130,7.3130,7.1250,7.2500,27900
2000-07-12,7.1880,7.2500,7.0000,7.1250,29000
2000-07-13,7.1250,7.2500,7.0630,7.0630,13700
2000-07-14,7.0000,7.2500,7.0000,7.2500,25000
2000-07-17,7.2500,7.2500,7.1250,7.1250,12100
2000-07-18,7.1250,7.4380,7.1250,7.2500,49500
2000-07-19,7.3750,7.4380,7.2500,7.2500,11200
2000-07-20,7.2500,7.3750,7.1250,7.2500,22300
2000-07-21,7.2500,7.3750,7.1250,7.1250,5400
2000-07-24,7.2500,7.3130,6.9380,6.9380,22000
2000-07-25,6.8130,6.8130,6.0000,6.2500,28000
2000-07-26,6.3750,6.3750,5.5000,5.5630,56800
2000-07-27,5.7500,6.0000,4.5310,5.7500,200900
2000-07-28,5.7500,5.8750,5.4380,5.8750,41500
2000-07-31,5.7500,6.1250,5.7500,6.1250,30900
2000-08-01,6.1880,6.1880,5.9380,6.0000,16300
2000-08-02,6.1880,6.1880,6.0000,6.0000,63200
2000-08-03,6.0630,6.0630,5.7500,6.0000,30800
2000-08-04,6.0000,6.0000,5.7030,5.8130,196800
2000-08-07,5.8130,6.0630,5.7810,5.8130,4800
2000-08-08,6.1880,6.2500,6.0000,6.0000,14300
2000-08-09,6.2500,6.2500,6.2500,6.2500,500
2000-08-10,6.2500,6.2500,6.0630,6.0630,3500
2000-08-11,6.0000,6.1250,6.0000,6.0000,3300
2000-08-14,6.2500,6.2500,5.7500,5.8130,24800
2000-08-15,5.5310,5.6880,5.2500,5.5000,98100
2000-08-16,5.4380,5.4380,5.0000,5.2500,73400
2000-08-17,5.8750,5.8750,5.5630,5.5630,4100
2000-08-18,5.5630,6.6880,5.5630,6.6250,117200
2000-08-21,6.5310,6.6880,6.1250,6.4380,46700
2000-08-22,6.3750,6.8750,6.2500,6.8130,50500
2000-08-23,6.6250,6.9380,6.5630,6.7500,21500
2000-08-24,6.9380,6.9380,6.4380,6.5630,10500
2000-08-25,6.7500,6.7500,6.5000,6.6250,30000
2000-08-28,6.6250,7.2500,6.6250,7.0000,75000
2000-08-29,7.0000,7.4380,7.0000,7.3750,25900
2000-08-30,7.4380,8.2500,7.4380,8.0000,84100
2000-08-31,7.8130,7.8130,7.0000,7.2500,55300
2000-09-01,7.1250,7.3750,7.1250,7.1250,11300
2000-09-05,7.1250,7.5630,7.1250,7.3750,17300
2000-09-06,7.4380,7.5000,7.1250,7.1250,28800
2000-09-07,7.0000,7.2500,7.0000,7.2500,10900
2000-09-08,7.0000,7.2500,6.7500,7.1250,14900
2000-09-11,7.1880,7.1880,6.6250,6.6880,63300
2000-09-12,7.0000,7.0000,6.6880,6.6880,9600
2000-09-13,6.6250,6.8750,6.5000,6.6250,23400
2000-09-14,6.6250,6.8750,6.5000,6.7500,9000
2000-09-15,6.7500,6.8750,6.6250,6.7500,31700
2000-09-18,6.8750,7.3130,6.8750,6.8750,38500
2000-09-19,7.0000,7.1250,6.9060,7.0000,25500
2000-09-20,6.9060,7.0000,6.9060,7.0000,19400
2000-09-21,7.0000,7.0000,6.8750,6.8750,3500
2000-09-22,6.8750,7.0000,6.5630,7.0000,43800
2000-09-25,7.0000,7.2500,6.9380,7.2500,85100
2000-09-26,7.1250,7.1250,6.8750,7.1250,21600
2000-09-27,6.8750,7.0000,6.8750,6.8750,8000
2000-09-28,7.0000,7.3130,6.8750,7.0000,38700
2000-09-29,7.2500,7.8750,7.1250,7.6880,206600
2000-10-02,7.8130,7.8130,7.0000,7.0000,27000
2000-10-03,7.4060,7.5310,7.1880,7.3130,49200
2000-10-04,7.4060,7.4380,7.0630,7.3750,19400
2000-10-05,7.3130,7.5630,7.3130,7.5000,110300
2000-10-06,7.5630,7.6250,7.3750,7.5000,69200
2000-10-09,7.4380,7.5000,7.0000,7.3750,49100
2000-10-10,7.3750,7.3750,7.0000,7.0940,21100
2000-10-11,7.0470,7.2500,7.0310,7.1250,24300
2000-10-12,7.1250,7.5000,7.0630,7.5000,103700
2000-10-13,7.5000,7.8750,7.3750,7.8750,103700
2000-10-16,7.9380,7.9690,7.6250,7.6880,14000
2000-10-17,7.6880,7.8750,7.3130,7.3130,35200
2000-10-18,7.2500,7.2500,7.0000,7.1250,20700
2000-10-19,7.3750,7.8750,7.3130,7.7500,97900
2000-10-20,7.8440,8.0000,7.6560,7.7500,63400
2000-10-23,7.6880,7.6880,7.3130,7.4380,22700
2000-10-24,7.3130,7.5000,7.3130,7.3130,5000
2000-10-25,7.2500,7.5630,7.1880,7.3130,23800
2000-10-26,7.1250,7.2970,7.0000,7.2970,31700
2000-10-27,7.2500,7.2500,7.1250,7.1880,29300
2000-10-30,7.1250,7.1250,6.4380,6.5000,23200
2000-10-31,6.7500,7.1250,6.5630,7.1250,46700
2000-11-01,7.0000,7.1250,7.0000,7.1250,2500
2000-11-02,7.1250,7.1250,6.8750,6.8750,18500
2000-11-03,6.9380,7.0000,6.8750,6.8750,11400
2000-11-06,6.8130,7.0000,6.8130,6.9380,12900
2000-11-07,6.9380,6.9380,6.8750,6.8750,1000
2000-11-08,6.8750,7.0000,6.8750,7.0000,8300
2000-11-09,6.9380,7.0000,6.8130,6.8130,3000
2000-11-10,6.7500,6.7500,6.7500,6.7500,2700
2000-11-13,6.6880,6.7500,6.6250,6.7500,4500
2000-11-14,6.7500,6.7500,6.6250,6.7500,8900
2000-11-15,6.7500,6.7500,6.7500,6.7500,0
2000-11-16,6.7500,6.7500,6.7500,6.7500,500
2000-11-17,6.7500,6.7500,6.7500,6.7500,0
2000-11-20,6.6250,6.6250,6.2500,6.2500,15700
2000-11-21,6.2500,6.5000,6.2500,6.2500,1400
2000-11-22,6.2500,6.2500,5.9380,6.1250,16300
2000-11-24,6.1250,6.1250,6.1250,6.1250,20000
2000-11-27,6.0000,6.5000,6.0000,6.5000,16900
2000-11-28,6.4380,6.4380,5.8130,6.0000,40100
2000-11-29,6.0000,6.2500,6.0000,6.2190,11200
2000-11-30,6.0630,6.0630,5.8750,5.9380,8200
2000-12-01,5.2500,6.0000,5.1880,5.7500,50100
2000-12-04,5.7500,5.7500,4.5000,5.3750,28300
2000-12-05,5.5000,6.0000,5.3750,5.8130,43200
2000-12-06,5.8440,6.1880,5.7500,6.1880,17400
2000-12-07,6.2190,6.4690,6.2190,6.3130,55100
2000-12-08,6.3130,6.3130,6.0000,6.2500,15900
2000-12-11,6.1250,6.5000,6.1250,6.5000,10300
2000-12-12,6.4690,6.4690,6.4220,6.4690,2900
2000-12-13,6.4690,6.6250,6.4380,6.6250,15500
2000-12-14,6.6880,6.7500,6.5000,6.5630,17800
2000-12-15,6.5000,6.5000,6.5000,6.5000,1000
2000-12-18,6.5000,6.5000,6.2500,6.5000,9500
2000-12-19,6.2500,6.6250,6.2500,6.5000,4800
2000-12-20,6.2500,6.2500,5.7500,5.7500,11100
2000-12-21,5.8130,6.0000,5.7500,5.7500,9800
2000-12-22,5.7500,5.8750,5.7500,5.7500,16200
2000-12-26,5.7500,6.0000,5.7500,5.7500,18400
2000-12-27,5.7500,5.7500,5.6250,5.6250,3400
2000-12-28,5.6250,5.6250,5.5630,5.5630,8500
2000-12-29,5.8750,5.8750,4.9690,4.9690,33500
2001-01-02,5.3750,5.3750,5.0000,5.1880,9000
2001-01-03,5.2030,5.5630,5.1250,5.1250,12000
2001-01-04,5.1250,5.5000,4.8750,5.1250,12300
2001-01-05,5.1880,5.6250,5.1250,5.6250,25400
2001-01-08,5.3750,5.6250,5.3750,5.3750,4700
2001-01-09,5.6250,5.8130,5.3750,5.8130,46400
2001-01-10,5.7500,5.8750,5.7500,5.7500,11300
2001-01-11,5.8750,6.1880,5.8750,5.9380,29400
2001-01-12,6.0000,6.0000,5.8750,5.8750,2100
2001-01-16,6.0940,6.2500,5.8750,6.1250,19800
2001-01-17,6.2500,6.3130,6.0630,6.3130,25000
2001-01-18,6.5000,7.6250,6.4380,7.5000,294600
2001-01-19,7.5600,7.5600,7.1200,7.2500,57400
2001-01-22,7.1250,7.3750,7.0000,7.3750,26400
2001-01-23,7.3750,7.3750,7.0630,7.1880,36500
2001-01-24,7.1250,7.1250,6.9380,7.0310,35900
2001-01-25,7.1880,7.3750,7.0310,7.1880,30200
2001-01-26,7.0310,7.3750,6.9380,7.0310,35100
2001-01-29,7.0000,7.0630,7.0000,7.0630,14500
2001-01-30,7.0630,7.5630,7.0000,7.5630,31600
2001-01-31,7.5000,7.6250,7.2500,7.5310,39000
2001-02-01,7.4380,7.4380,7.1250,7.1250,11700
2001-02-02,7.1250,7.1250,7.0000,7.0000,3100
2001-02-05,7.1250,7.1250,7.0630,7.0630,1800
2001-02-06,6.8750,6.9380,6.8130,6.9380,1000
2001-02-07,6.8750,7.2500,6.7500,7.1880,50600
2001-02-08,7.0630,7.1250,7.0630,7.1250,700
2001-02-09,7.0630,7.2500,7.0630,7.2500,14700
2001-02-12,7.0000,7.3750,7.0000,7.3750,102100
2001-02-13,7.3130,7.7500,7.3130,7.5000,167700
2001-02-14,7.5630,7.6250,7.5000,7.5630,13200
2001-02-15,7.6880,7.9690,7.6880,7.8750,51100
2001-02-16,7.9380,8.1880,7.8750,8.1880,51600
2001-02-20,8.2340,8.3750,7.8750,8.1250,63300
