date,open,high,low,close,volume
2015-07-10,4.0000,4.3500,3.8000,3.8000,21320
2015-07-13,3.8000,3.9500,3.4000,3.6700,4425
2015-07-14,3.7100,3.9900,3.4775,3.4775,2007
2015-07-15,3.9199,5.0000,3.8500,4.7500,66855
2015-07-16,5.0500,5.6500,5.0500,5.3499,77584
2015-07-17,5.4000,5.7400,5.1100,5.5100,41711
2015-07-20,5.2400,5.6900,5.2400,5.5000,42481
2015-07-21,5.5000,5.8500,5.5000,5.8500,23322
2015-07-22,5.7015,6.4000,5.7015,5.8482,31627
2015-07-23,5.8500,6.1500,5.2376,5.4700,72617
2015-07-24,5.5800,5.9499,5.2300,5.8700,24151
2015-07-27,5.7600,5.9800,5.6100,5.8500,13230
2015-07-28,5.9500,5.9500,5.3677,5.5000,22221
2015-07-29,5.5200,5.6000,5.3000,5.3000,3440
2015-07-30,5.4999,5.4999,5.1500,5.2000,5747
2015-07-31,5.1100,5.1100,4.7500,4.8900,10065
2015-08-03,4.7200,4.7200,4.5400,4.5500,6127
2015-08-04,4.4200,5.0000,4.4200,5.0000,8786
2015-08-05,5.0000,5.0000,4.1700,4.2700,10823
2015-08-06,4.2600,4.6400,4.2600,4.3801,17177
2015-08-07,4.5000,4.6700,4.3800,4.5800,11465
2015-08-10,4.4500,4.5500,4.4400,4.4400,32247
2015-08-11,4.3100,4.3100,4.1600,4.1600,962
2015-08-12,4.1301,4.3003,4.1301,4.2200,4397
2015-08-13,4.2100,4.5000,4.0036,4.0036,16320
2015-08-14,4.0600,4.1220,3.8600,3.9900,9920
2015-08-17,3.9200,4.3100,3.9200,4.2000,4605
2015-08-18,4.2399,4.3800,4.2200,4.3100,2726
2015-08-19,4.2800,4.3400,4.2800,4.3300,1433
2015-08-20,4.3455,4.4600,4.3455,4.4000,7000
2015-08-21,4.3500,4.3500,4.1000,4.1600,7517
2015-08-24,3.8400,4.1200,3.8400,4.1200,5520
2015-08-25,4.0000,4.0000,3.8830,3.9600,2968
2015-08-26,4.0900,4.0900,4.0900,4.0900,100
2015-08-27,4.2000,4.2000,3.8500,4.0800,11075
2015-08-28,4.0300,4.1500,4.0000,4.0300,10486
2015-08-31,4.0000,4.2000,4.0000,4.1900,1896
2015-09-01,4.0001,4.0300,3.9500,3.9800,4200
2015-09-02,4.0499,4.0800,3.9700,3.9700,4420
