date,open,high,low,close,volume
2017-09-28,0.0264,0.0280,0.0264,0.0275,50200
2017-09-29,0.0275,0.0275,0.0275,0.0275,15000
2017-10-02,0.0275,0.0600,0.0210,0.0300,189516
2017-10-03,0.0227,0.0227,0.0127,0.0127,21157
2017-10-09,0.0127,0.0127,0.0127,0.0127,25
2017-10-10,0.0131,0.0131,0.0131,0.0131,1680
2017-10-17,0.0169,0.0169,0.0169,0.0169,1212
2017-10-24,0.0298,0.0450,0.0251,0.0300,656407
2017-10-25,0.0200,0.0320,0.0200,0.0255,22000
2017-10-26,0.0250,0.0250,0.0150,0.0150,72521
2017-10-27,0.0200,0.0250,0.0200,0.0250,3200
2017-10-30,0.0150,0.0150,0.0150,0.0150,2500
2017-11-01,0.0150,0.0185,0.0150,0.0185,5100
2017-11-03,0.0150,0.0150,0.0150,0.0150,7142
2017-11-06,0.0130,0.0130,0.0130,0.0130,7142
2017-11-07,0.0330,0.0330,0.0330,0.0330,2000
2017-11-13,0.0110,0.0300,0.0110,0.0300,35000
2017-11-16,0.0130,0.0130,0.0130,0.0130,775
2017-11-17,0.0130,0.0130,0.0130,0.0130,20
2017-11-22,0.0130,0.0130,0.0130,0.0130,7800
2017-11-28,0.0290,0.0290,0.0290,0.0290,10000
2017-11-29,0.0290,0.0290,0.0200,0.0200,4322
2017-12-01,0.0200,0.0200,0.0200,0.0200,3
2017-12-04,0.0200,0.0200,0.0200,0.0200,40
2017-12-08,0.0110,0.0200,0.0110,0.0200,11680
2017-12-12,0.0110,0.0150,0.0110,0.0150,50000
2017-12-13,0.0190,0.0190,0.0190,0.0190,200
2017-12-14,0.0190,0.0200,0.0190,0.0200,54508
2017-12-15,0.0200,0.1250,0.0100,0.0300,582389
2017-12-18,0.0300,0.0600,0.0200,0.0450,511361
2017-12-19,0.0400,0.0400,0.0260,0.0300,349437
2017-12-20,0.0300,0.0300,0.0300,0.0300,49
2017-12-21,0.0350,0.0400,0.0270,0.0270,80922
2017-12-22,0.0300,0.0339,0.0300,0.0339,35493
2017-12-26,0.0350,0.0350,0.0210,0.0350,582785
2017-12-28,0.0300,0.0300,0.0200,0.0200,544198
2017-12-29,0.0230,0.0440,0.0224,0.0320,1169197
2018-01-02,0.0250,0.0250,0.0195,0.0200,472161
2018-01-03,0.0205,0.0230,0.0172,0.0230,248310
2018-01-04,0.0230,0.0230,0.0150,0.0220,1252456
2018-01-05,0.0200,0.0230,0.0200,0.0200,748000
2018-01-08,0.0240,0.0240,0.0200,0.0230,172668
2018-01-09,0.0200,0.0210,0.0200,0.0210,176629
2018-01-10,0.0210,0.0210,0.0210,0.0210,38556
2018-01-11,0.0210,0.0210,0.0150,0.0210,314412
2018-01-12,0.0151,0.0175,0.0151,0.0175,6700
2018-01-17,0.0150,0.0200,0.0050,0.0149,1004333
2018-01-18,0.0195,0.0240,0.0190,0.0230,58298
2018-01-19,0.0230,0.0230,0.0230,0.0230,7982
2018-01-22,0.0230,0.0350,0.0180,0.0280,1326407
2018-01-23,0.0215,0.0269,0.0200,0.0220,877323
2018-01-24,0.0250,0.0290,0.0160,0.0200,631536
2018-01-25,0.0250,0.0300,0.0175,0.0300,1816009
2018-01-26,0.0300,0.0500,0.0300,0.0404,445469
2018-01-29,0.0452,0.0590,0.0340,0.0340,312396
2018-01-30,0.0590,0.0590,0.0336,0.0400,24800
2018-01-31,0.0400,0.0500,0.0400,0.0500,33061
2018-02-01,0.0500,0.1000,0.0450,0.0476,166588
2018-02-02,0.0480,0.0625,0.0450,0.0450,7061
2018-02-05,0.0400,0.0500,0.0400,0.0500,5750
2018-02-07,0.0850,0.0850,0.0400,0.0500,68750
2018-02-08,0.0500,0.0700,0.0500,0.0700,2984
2018-02-09,0.0700,0.0700,0.0650,0.0650,16526
2018-02-12,0.0700,0.0850,0.0700,0.0800,306610
2018-02-13,0.0849,0.1230,0.0849,0.1150,329892
2018-02-14,0.1150,0.1190,0.0800,0.0800,203377
2018-02-15,0.0800,0.1095,0.0800,0.1000,14001
2018-02-16,0.1000,0.1000,0.0700,0.0997,99896
2018-02-20,0.0974,0.0998,0.0800,0.0900,53900
2018-02-21,0.0993,0.0993,0.0900,0.0900,50490
2018-02-22,0.0810,0.0900,0.0800,0.0900,59005
2018-02-23,0.0900,0.1199,0.0850,0.1199,134641
2018-02-26,0.1199,0.1199,0.0900,0.1074,80137
2018-02-27,0.1150,0.1200,0.0950,0.1050,80817
2018-02-28,0.1050,0.1320,0.1045,0.1200,93332
2018-03-01,0.1200,0.1200,0.0755,0.1150,28930
2018-03-02,0.1000,0.1200,0.0900,0.1194,45700
2018-03-05,0.1194,0.1850,0.1194,0.1850,107160
2018-03-06,0.1850,0.1990,0.1375,0.1600,90145
2018-03-07,0.1650,0.1990,0.1501,0.1950,72369
2018-03-08,0.2000,0.2450,0.1700,0.2400,151586
2018-03-09,0.3000,0.3400,0.2275,0.3375,199677
2018-03-12,0.3650,0.4600,0.3650,0.4300,244653
2018-03-13,0.5000,0.5000,0.3750,0.4400,193264
2018-03-14,0.4500,0.4500,0.2700,0.3200,108157
2018-03-15,0.3348,0.3499,0.2350,0.2500,228097
2018-03-16,0.2750,0.3500,0.2520,0.3340,98202
