date,open,high,low,close,volume
2000-05-26,91.0600,91.4400,90.6300,91.4400,37400
2000-05-30,92.7500,94.8100,92.7500,94.8100,28800
2000-05-31,95.1300,96.3800,95.1300,95.7500,18000
2000-06-01,97.1100,97.3100,97.1100,97.3100,3500
2000-06-02,101.7000,102.4000,101.7000,102.4000,14700
2000-06-05,102.1000,103.1000,101.9000,102.0000,24200
2000-06-06,103.6000,104.8000,102.7000,103.0000,75900
2000-06-07,102.4000,103.1000,101.4000,103.1000,65500
2000-06-08,104.3000,104.3000,102.9000,102.9000,45700
2000-06-09,103.9000,104.7000,103.8000,104.7000,20800
2000-06-12,105.0000,105.0000,101.5000,101.6000,42600
2000-06-13,101.3000,102.9000,100.4000,102.9000,84100
2000-06-14,103.7000,103.7000,102.4000,102.4000,21600
2000-06-15,101.8000,102.5000,100.8000,102.5000,13400
2000-06-16,102.9000,103.0000,101.9000,101.9000,15100
2000-06-19,102.5000,104.5000,102.0000,104.5000,29600
2000-06-20,104.7000,105.3000,104.3000,105.2000,23500
2000-06-21,104.3000,105.9000,104.3000,105.7000,33400
2000-06-22,106.0000,106.0000,102.5000,102.5000,69800
2000-06-23,103.5000,103.5000,101.0000,101.8000,117900
2000-06-26,102.2000,103.1000,101.8000,103.1000,46800
2000-06-27,103.2000,104.1000,101.4000,101.4000,56400
2000-06-28,101.9000,104.4000,101.9000,104.0000,85300
2000-06-29,103.5000,103.7000,102.1000,102.4000,106100
2000-06-30,102.4000,103.4000,101.6000,103.4000,585900
2000-07-03,103.1000,104.8000,103.0000,104.8000,7900
2000-07-05,104.2000,104.3000,103.3000,103.6000,69400
2000-07-06,103.7000,104.8000,102.7000,104.8000,77300
2000-07-07,104.9000,105.9000,104.9000,105.5000,35900
2000-07-10,105.4000,106.6000,105.4000,106.2000,22400
2000-07-11,106.0000,106.6000,105.7000,106.1000,126600
2000-07-12,106.6000,108.2000,106.5000,108.2000,22600
2000-07-13,108.3000,108.5000,108.0000,108.5000,51300
2000-07-14,109.1000,109.1000,107.8000,108.6000,27400
2000-07-17,108.7000,109.2000,108.4000,109.0000,23300
2000-07-18,108.3000,108.3000,107.1000,107.1000,117700
2000-07-19,106.8000,106.8000,105.3000,105.3000,17700
2000-07-20,106.3000,107.0000,106.3000,107.0000,75200
2000-07-21,106.4000,106.4000,104.1000,104.1000,75300
2000-07-24,104.6000,104.6000,102.3000,102.5000,18500
2000-07-25,103.4000,103.4000,102.1000,102.8000,18400
2000-07-26,102.0000,102.6000,100.9000,102.6000,7900
2000-07-27,102.4000,102.4000,99.7500,99.7500,137500
2000-07-28,100.3000,100.3000,97.7500,98.0000,85800
2000-07-31,98.5000,100.5000,97.3800,100.5000,83200
2000-08-01,99.7500,100.1000,99.2800,99.8400,131700
2000-08-02,99.2500,100.6000,99.0000,100.0000,194300
2000-08-03,98.0600,100.1000,98.0600,99.9400,542100
2000-08-04,101.1000,101.2000,99.8400,100.4000,285200
2000-08-07,100.8000,102.3000,100.8000,102.3000,44100
2000-08-08,102.0000,102.3000,101.8000,101.8000,24800
2000-08-09,102.6000,102.6000,101.1000,101.1000,11500
2000-08-10,101.1000,101.2000,100.2000,100.5000,21500
2000-08-11,99.5000,102.3000,99.5000,102.3000,88000
2000-08-14,101.9000,103.3000,101.9000,103.3000,28400
2000-08-15,103.1000,103.3000,101.8000,101.8000,94600
2000-08-16,102.3000,103.1000,102.3000,102.4000,109700
2000-08-17,102.7000,103.7000,102.4000,103.3000,179400
2000-08-18,103.6000,103.9000,102.9000,103.1000,26100
2000-08-21,103.8000,103.8000,102.8000,103.5000,64600
2000-08-22,103.5000,104.2000,103.3000,103.3000,97800
2000-08-23,103.2000,103.5000,102.8000,103.2000,76500
2000-08-24,103.7000,105.3000,103.7000,104.7000,138100
2000-08-25,104.8000,105.4000,104.4000,105.1000,104300
2000-08-28,105.6000,106.3000,105.1000,105.3000,78000
2000-08-29,105.6000,106.3000,105.3000,106.3000,70100
2000-08-30,106.2000,106.8000,105.8000,106.4000,309500
2000-08-31,106.8000,108.3000,106.8000,107.5000,75600
2000-09-01,108.0000,108.6000,107.5000,108.4000,93400
2000-09-05,108.2000,108.6000,107.6000,107.6000,55200
2000-09-06,108.1000,108.1000,107.0000,107.2000,108900
2000-09-07,107.6000,108.8000,107.6000,108.8000,106900
2000-09-08,108.2000,108.4000,106.9000,106.9000,64300
2000-09-11,107.4000,107.8000,106.6000,107.0000,157300
2000-09-12,107.6000,107.6000,106.5000,106.7000,46500
2000-09-13,106.2000,107.4000,106.2000,107.2000,40600
2000-09-14,107.7000,108.2000,107.2000,107.8000,57000
2000-09-15,107.3000,107.4000,105.6000,105.8000,33500
2000-09-18,106.3000,106.3000,103.0000,103.3000,100700
2000-09-19,104.0000,105.4000,103.3000,105.0000,27400
2000-09-20,104.6000,104.6000,103.3000,103.8000,20200
2000-09-21,104.0000,104.0000,101.9000,101.9000,103700
2000-09-22,100.0000,103.2000,100.0000,103.2000,63800
2000-09-25,104.4000,104.4000,103.3000,103.3000,56900
2000-09-26,103.3000,103.3000,101.3000,101.8000,32600
2000-09-27,102.3000,102.8000,101.0000,101.4000,21800
2000-09-28,101.6000,104.3000,101.6000,104.1000,60500
2000-09-29,104.0000,104.4000,103.6000,103.6000,65200
2000-10-02,104.4000,104.4000,101.9000,101.9000,84800
2000-10-03,103.2000,103.2000,100.5000,100.5000,75500
2000-10-04,100.9000,101.2000,99.6300,101.2000,49900
2000-10-05,101.3000,101.6000,100.1000,100.1000,204400
2000-10-06,100.3000,100.3000,97.5600,97.6900,92800
2000-10-09,97.7500,97.7500,96.6300,97.4700,180900
2000-10-10,97.5900,98.1100,95.1300,95.1300,210200
2000-10-11,95.4400,95.6300,94.0000,94.8100,84100
2000-10-12,95.6900,95.6900,91.9400,91.9400,80700
2000-10-13,92.1900,96.2800,92.1300,95.5000,189400
2000-10-16,96.0000,97.0600,95.4400,96.2500,549000
2000-10-17,96.2500,96.5200,93.1400,93.8300,132900
2000-10-18,91.6400,93.6300,91.2500,93.0600,171800
2000-10-19,94.5600,96.1900,94.5600,95.9400,75300
2000-10-20,96.6900,98.0600,96.6400,97.1600,132400
2000-10-23,97.6900,98.2500,97.3300,98.1300,71600
2000-10-24,98.4400,99.0600,96.6900,96.6900,36900
2000-10-25,96.5000,97.0000,94.5300,94.5300,16500
2000-10-26,95.4200,96.0000,93.6900,96.0000,52900
2000-10-27,95.2500,96.5000,95.2500,96.0600,69400
2000-10-30,95.8800,97.0600,95.0600,96.5000,36800
2000-10-31,96.8800,99.3600,96.8800,99.0000,142500
2000-11-01,98.6900,99.4400,98.5600,99.0600,264100
2000-11-02,99.7800,101.6000,99.7500,101.4000,105900
2000-11-03,101.6000,101.6000,100.8000,101.3000,112100
2000-11-06,102.2000,102.2000,100.4000,100.5000,34100
2000-11-07,100.6000,101.4000,100.1000,101.4000,39700
2000-11-08,101.4000,101.5000,99.5600,99.5600,96300
2000-11-09,98.7500,99.3800,97.0600,98.5000,124500
2000-11-10,98.7500,98.7500,96.0000,96.0000,94500
2000-11-13,95.0000,95.7800,92.6300,95.0300,80400
2000-11-14,96.8800,97.6300,96.7500,97.3100,64800
2000-11-15,97.4400,98.8800,97.1300,98.5600,271100
2000-11-16,97.2800,98.4800,95.7000,95.7000,82700
2000-11-17,97.0000,97.8000,96.0600,96.3100,107700
2000-11-20,95.3800,95.6900,93.7500,93.8100,39900
2000-11-21,94.1300,94.1300,92.8800,93.2700,42200
2000-11-22,92.5600,93.0000,90.9400,91.3100,61700
2000-11-24,92.4200,94.1900,92.1900,93.8800,41100
2000-11-27,95.8100,96.1100,94.1300,94.1400,117800
2000-11-28,93.7500,94.4400,91.0000,91.3100,85500
2000-11-29,92.0000,92.0000,90.1300,91.0600,263400
2000-11-30,90.0000,90.5600,87.9400,89.1300,107300
2000-12-01,90.3800,92.5000,90.2500,91.1300,154600
2000-12-04,91.4700,91.4700,90.0000,90.1300,264100
2000-12-05,91.5000,94.5000,91.5000,94.5000,196200
2000-12-06,94.1900,95.0600,92.3100,92.3100,155400
2000-12-07,91.4400,92.8100,91.4400,92.0600,118100
2000-12-08,93.9400,95.7500,93.3100,93.3100,179800
2000-12-11,95.9400,97.5600,95.5600,97.5600,125400
2000-12-12,97.5600,97.5600,95.4400,95.4400,161600
2000-12-13,95.7800,95.7800,93.1900,93.2300,262700
2000-12-14,93.0000,93.6900,91.7500,91.7500,296900
2000-12-15,90.6900,91.4100,90.0000,91.2500,194500
2000-12-18,91.6900,92.9400,91.6300,92.6300,119800
2000-12-19,92.5000,93.5000,91.0000,91.0000,226900
2000-12-20,89.4700,90.0000,87.8100,88.1300,130700
