date,open,high,low,close,volume
2000-07-28,77.7300,77.7300,75.0000,75.5300,4300
2000-07-31,75.1300,76.3100,75.1300,76.3100,51100
2000-08-01,76.3800,76.7500,75.5600,75.5600,47600
2000-08-02,76.0000,77.0900,75.9200,75.9200,1000
2000-08-03,74.2500,75.3800,73.9100,75.0300,16000
2000-08-04,76.3800,76.9400,76.3400,76.7200,145700
2000-08-07,77.6900,78.4400,77.2700,78.2000,168200
2000-08-08,77.9500,78.6100,77.4500,77.4500,7800
2000-08-09,78.3900,78.5000,77.2500,77.2700,47600
2000-08-10,76.3100,76.7200,75.9700,75.9700,1600
2000-08-11,76.1300,76.5300,75.2800,76.5300,1500
2000-08-14,77.8800,78.1900,77.5000,78.0000,20600
2000-08-15,78.4800,78.4800,77.3800,77.3800,4100
2000-08-16,78.1300,78.3300,78.0000,78.1300,60100
2000-08-17,77.8800,79.1600,77.8800,78.9400,21400
2000-08-18,79.3100,79.6100,78.9700,78.9700,14300
2000-08-21,79.9700,79.9700,79.3400,79.3400,2200
2000-08-22,80.0000,80.1900,79.5600,79.5600,2300
2000-08-23,79.5500,79.8800,79.5500,79.8800,12900
2000-08-24,80.8100,81.5000,80.8100,81.2200,13000
2000-08-25,81.6300,81.8800,81.4400,81.7500,63000
2000-08-28,82.2800,82.8800,81.9400,82.4400,57700
2000-08-29,82.9700,83.2500,82.2500,83.0200,34000
2000-08-30,83.0000,83.8800,83.0000,83.5000,84300
2000-08-31,84.0000,85.1300,84.0000,84.8100,45000
2000-09-01,86.5000,86.5000,84.7500,85.5200,132100
2000-09-05,85.5000,85.9200,84.8800,84.8800,154400
2000-09-06,84.8400,84.9400,83.6700,83.7000,62300
2000-09-07,84.3600,85.2500,84.3600,85.0800,14800
2000-09-08,84.5600,84.6900,83.3100,83.3100,64800
2000-09-11,82.7500,84.2500,82.5300,82.5300,25900
2000-09-12,83.2800,83.3600,82.4200,82.4200,2000
2000-09-13,81.6400,82.8100,81.6400,82.8100,2400
2000-09-14,83.8400,84.5000,83.7000,83.8800,4700
2000-09-15,83.3100,83.3100,82.2200,82.2200,4600
2000-09-18,82.0000,82.0000,79.5300,79.5800,6700
2000-09-19,80.0300,80.8400,79.6400,80.8400,1700
2000-09-20,81.0900,81.1300,80.6300,80.7700,1400
2000-09-21,80.9700,80.9700,79.7500,80.0600,39100
2000-09-22,77.5000,80.0600,77.5000,80.0600,22400
2000-09-25,81.1600,81.6100,80.0600,80.0600,11500
2000-09-26,79.6300,79.6300,78.8800,78.8800,19200
2000-09-27,79.8100,79.8800,78.2700,78.2700,150900
2000-09-28,79.1900,81.3800,79.1900,81.3800,29500
2000-09-29,80.7500,81.0000,80.5000,80.9100,152900
2000-10-02,80.8100,80.8100,78.3800,78.6200,121000
2000-10-03,78.0000,78.6900,78.0000,78.3800,17700
2000-10-04,75.7500,77.6300,75.7500,77.6300,1900
2000-10-05,77.8100,77.8100,77.1400,77.1400,800
2000-10-06,74.9800,74.9800,73.6300,73.8400,41200
2000-10-09,72.7500,73.2500,71.9700,72.9700,167300
2000-10-10,73.3600,73.6700,71.5000,71.5000,28500
2000-10-11,70.5900,71.3000,69.9400,70.6100,4100
2000-10-12,71.0000,71.0900,68.0600,68.3400,4200
2000-10-13,68.0300,72.0000,67.6600,71.6900,23500
2000-10-16,72.1600,73.4400,71.9800,73.0000,5500
2000-10-17,72.9700,72.9700,70.0000,70.3300,10300
2000-10-18,67.0000,69.7800,67.0000,69.5600,3700
2000-10-19,71.1900,72.4400,71.0000,72.4400,12400
2000-10-20,72.8800,74.3800,72.8800,74.0600,11400
2000-10-23,74.5000,74.5600,74.3800,74.5600,2900
2000-10-24,74.8800,75.5900,74.2500,74.2500,17500
2000-10-25,72.0000,73.1900,70.5900,71.0000,9500
2000-10-26,71.1900,71.5900,69.3400,71.5900,35500
2000-10-27,73.1100,73.1100,71.2200,71.2200,41600
2000-10-30,71.2500,71.3800,70.4100,70.8100,26800
2000-10-31,71.7800,74.1900,71.7500,74.0900,65500
2000-11-01,73.5300,74.2500,73.0000,73.5600,9600
2000-11-02,74.6300,76.1300,74.6300,75.9400,63100
2000-11-03,76.2500,76.6900,76.0000,76.3100,103100
2000-11-06,76.9100,76.9400,75.4700,75.4700,68800
2000-11-07,75.5000,76.1300,74.9400,75.8300,43100
2000-11-08,76.3100,76.3100,74.0000,74.0000,43000
2000-11-09,72.4700,73.4400,71.0600,72.5000,35000
2000-11-10,72.2200,72.2200,69.8800,69.8800,73100
2000-11-13,67.6300,69.3800,66.0000,68.5000,59200
2000-11-14,70.3100,71.2500,70.3100,71.0000,20400
2000-11-15,71.2500,72.7800,71.1900,71.8800,26200
2000-11-16,71.0900,72.0600,69.6300,69.6300,5200
2000-11-17,70.3100,70.4700,69.3800,69.4400,4800
2000-11-20,68.6300,68.6300,66.5600,66.5600,9800
2000-11-21,67.5000,67.5000,65.7500,65.7500,4300
2000-11-22,65.3800,65.3800,63.1900,63.5600,9600
2000-11-24,64.4400,66.4400,64.4400,66.4400,19800
2000-11-27,68.3800,68.4400,66.5600,66.5600,37800
2000-11-28,66.3800,66.4400,63.3800,63.3800,25500
2000-11-29,62.9400,63.6300,61.9400,62.1900,110900
2000-11-30,60.7500,61.3100,59.3800,60.6300,75800
2000-12-01,61.9400,64.0000,61.8800,62.7500,60300
2000-12-04,62.6600,62.6900,61.1300,61.1300,63000
2000-12-05,62.6300,65.6300,62.6300,65.3100,75500
2000-12-06,65.3800,66.3100,64.0600,64.3800,82900
