date,open,high,low,close,volume
2013-10-03,40.5400,41.2402,40.5400,41.2402,1500
2013-10-04,43.2500,46.2700,43.2500,44.5000,3900
2013-10-07,47.1700,47.5600,44.3800,45.0200,9700
2013-10-08,44.3500,50.7400,44.3500,50.1600,10400
2013-10-09,53.6200,55.0700,51.6300,52.2300,14700
2013-10-10,54.1200,54.3900,50.8400,54.1200,6100
2013-10-11,57.5500,60.4200,57.2796,60.4200,15600
2013-10-14,56.2700,59.7800,56.2700,59.7800,10200
2013-10-15,60.6500,60.6500,54.5000,54.6700,14000
2013-10-16,55.3900,58.3000,55.2600,57.4200,10500
2013-10-17,48.5400,48.7400,44.5701,46.9200,19100
2013-10-18,47.9400,49.5700,46.7100,48.9300,13800
2013-10-21,46.3800,46.5000,43.3000,43.3000,35700
2013-10-22,39.7800,40.3900,35.0801,35.3700,76300
2013-10-23,36.8700,38.3199,36.1200,38.3099,33400
2013-10-24,35.8800,35.8800,32.7200,33.3500,18800
2013-10-25,34.5300,34.8200,32.6701,32.8040,14200
2013-10-28,33.6100,33.7500,31.9100,33.3800,18200
2013-10-29,34.3500,37.9499,33.8300,37.8000,24300
2013-10-30,36.0200,41.0500,34.2537,36.9600,20000
2013-10-31,40.0699,42.6000,39.9400,42.5000,29300
2013-11-01,43.9600,47.0500,43.8000,46.6600,22100
2013-11-04,45.3500,46.5400,43.2400,43.2900,17700
2013-11-05,44.3301,46.5000,44.3301,45.3000,8300
2013-11-06,43.8700,44.3400,42.9000,43.5600,10700
2013-11-07,46.3100,48.7300,45.3500,48.5100,40900
2013-11-08,50.7500,53.9200,47.0400,47.5700,20800
2013-11-11,50.4000,50.5400,47.8600,47.8600,6900
2013-11-12,49.3400,52.2850,47.1501,51.6950,12600
2013-11-13,50.8900,51.2500,49.6000,49.7556,6900
2013-11-14,47.5000,48.1600,44.1860,45.4600,27300
2013-11-15,45.8800,47.3100,45.3200,47.3100,10500
2013-11-18,48.9100,50.4800,48.4400,49.7200,11800
2013-11-19,49.6601,51.0300,49.2400,50.9300,7600
2013-11-20,54.0400,59.5500,51.9900,58.1600,22400
2013-11-21,60.1500,63.3100,58.7000,59.3700,17500
2013-11-22,58.7900,62.8400,57.0000,62.3223,17500
2013-11-25,66.8100,68.6400,62.5000,64.1499,26900
2013-11-26,67.1200,68.7900,65.8700,68.2100,13100
2013-11-27,66.5000,69.8900,66.3200,69.3000,10900
2013-11-29,67.2300,67.2300,60.0100,61.0000,16800
2013-12-02,65.9400,75.5099,65.9400,75.0000,22800
2013-12-03,77.2400,84.4500,73.8200,82.3900,24600
2013-12-04,79.4550,83.9299,71.5500,74.2300,34000
2013-12-05,80.3400,82.1199,76.4712,81.5900,15500
2013-12-06,79.3600,84.3100,76.6800,83.5100,20600
2013-12-09,81.4800,82.0501,77.0100,78.2700,17500
2013-12-10,67.0200,68.5608,64.8900,68.2400,25100
2013-12-11,67.7304,73.3600,67.7304,73.3500,20700
2013-12-12,78.5301,81.4699,74.5401,75.3300,16900
2013-12-13,72.0700,73.0400,70.3100,72.1900,14300
2013-12-16,71.9000,71.9000,65.5400,69.1000,15800
2013-12-17,70.0000,74.1900,70.0000,73.0000,10600
2013-12-18,72.0200,75.5300,64.5200,75.5000,60400
2013-12-19,77.7600,81.2800,77.7600,80.8200,57100
2013-12-20,78.4800,80.5800,76.9677,78.0200,17500
2013-12-23,79.9000,81.7100,77.7500,81.7100,6700
2013-12-24,78.9200,78.9800,72.5000,72.5000,7200
2013-12-26,68.8200,73.8379,68.1801,72.1600,14900
2013-12-27,70.6300,71.5000,67.3900,67.4200,11100
2013-12-30,68.2000,70.8900,67.0000,70.6400,16500
2013-12-31,72.7600,73.1000,63.7000,64.2200,22500
2014-01-02,58.4200,58.4200,54.1100,54.4220,54800
2014-01-03,52.6700,54.7840,51.5900,54.2001,24100
2014-01-06,53.1000,54.6400,51.0000,53.8700,19600
2014-01-07,56.0950,57.8900,54.7800,54.7800,27200
2014-01-08,58.2700,59.2400,57.0700,59.0400,24300
2014-01-09,59.8400,62.2200,58.7000,61.7000,18900
2014-01-10,59.0900,59.0900,53.1700,53.1700,31500
2014-01-13,52.8300,52.8300,43.5500,43.8100,74000
2014-01-14,44.5550,47.5000,42.2500,46.8300,50900
2014-01-15,48.9205,48.9205,44.9810,45.3400,24500
2014-01-16,44.8400,44.8400,43.0000,43.5200,18100
2014-01-17,40.8800,40.8800,35.7300,36.1400,106900
2014-01-21,38.4400,38.4400,31.4700,31.7200,172700
2014-01-22,32.3600,36.3400,32.3600,36.0400,135600
2014-01-23,32.8500,34.0085,30.3300,33.6500,152800
2014-01-24,32.0000,38.5800,31.6200,35.6200,127600
2014-01-27,35.9000,41.6200,35.9000,41.3700,165500
2014-01-28,39.6700,41.7200,37.9701,38.8400,171000
2014-01-29,36.3500,38.3800,33.0000,33.3000,230300
2014-01-30,36.4100,37.3800,35.6300,36.2800,130000
2014-01-31,34.9700,38.7699,34.4900,37.0000,131500
2014-02-03,36.1700,37.1200,32.7000,36.8500,116400
2014-02-04,37.1100,37.1400,32.9000,33.4700,104800
2014-02-05,32.0300,34.7700,31.3600,34.7700,109100
2014-02-06,33.0000,34.6600,32.5500,33.6200,50500
2014-02-07,32.9400,33.2400,28.3100,28.4000,213700
2014-02-10,26.0000,26.4800,24.0501,24.7700,327400
2014-02-11,23.7500,23.9800,21.0000,21.5000,435600
2014-02-12,21.5000,24.3301,21.2701,24.1700,351500
2014-02-13,23.5000,24.0000,19.2801,19.6200,491200
2014-02-14,17.7600,18.4500,16.6200,17.4500,530300
2014-02-18,17.4700,18.6599,17.1400,18.2800,391700
2014-02-19,18.7500,21.8700,17.8700,21.7500,621200
2014-02-20,20.9400,21.3500,17.0400,17.8500,657200
2014-02-21,17.5100,18.8900,17.1300,17.7200,511700
2014-02-24,16.7000,16.9600,16.2000,16.6800,386400
2014-02-25,17.2200,18.2700,17.0500,18.0500,358300
2014-02-26,19.0000,20.5900,18.5600,19.8500,645500
2014-02-27,19.6100,20.5900,18.1200,19.9100,652200
2014-02-28,19.7300,20.4000,19.1500,19.6900,440700
2014-03-03,16.8600,18.8000,16.5000,18.8000,738100
2014-03-04,19.9600,20.1000,18.5000,18.7400,406400
2014-03-05,18.5600,19.0176,17.2600,17.7700,428800
2014-03-06,16.8400,17.2600,16.5712,16.7500,564700
2014-03-07,18.1400,18.4195,17.6800,17.7900,429100
2014-03-10,18.0200,19.5000,18.0200,19.1500,419800
2014-03-11,18.1500,19.4202,17.8200,18.9900,307700
2014-03-12,17.3900,17.9500,16.7200,16.8300,640200
2014-03-13,16.9300,16.9550,14.6650,15.0100,1092500
2014-03-14,13.8700,15.4600,13.8100,15.0700,753900
2014-03-17,15.3500,17.1201,14.9400,17.0300,744600
2014-03-18,18.2100,18.9000,16.9000,17.6300,755500
2014-03-19,18.8500,21.1600,18.4500,21.1600,635100
