date,open,high,low,close,volume
2013-10-03,39.5000,39.8200,39.4700,39.4900,500
2013-10-04,37.0000,37.0000,34.3000,35.3300,7200
2013-10-07,33.9900,36.2600,33.0600,35.2000,12000
2013-10-08,35.0200,35.5400,31.1300,31.1300,8800
2013-10-09,30.9000,30.9000,28.0800,29.7500,29000
2013-10-10,29.5200,30.6100,28.5800,28.8000,9500
2013-10-11,27.8000,27.8000,25.7900,26.0700,11300
2013-10-14,27.0600,27.3100,25.8000,26.2900,12200
2013-10-15,25.8600,28.0000,25.7500,28.0000,14100
2013-10-16,27.1900,27.8499,26.0900,26.7500,16500
2013-10-17,30.4500,32.6500,30.1900,31.4400,47900
2013-10-18,31.0001,32.1280,29.7700,30.0800,16500
2013-10-21,31.0000,33.7400,31.0000,33.3600,46200
2013-10-22,36.4700,40.2100,36.4200,39.7900,73500
2013-10-23,38.9400,39.2300,36.5000,36.5000,49400
2013-10-24,39.2400,41.7400,38.4100,40.8200,44600
2013-10-25,39.5900,42.1900,38.9080,41.6845,65000
2013-10-28,41.6000,42.9800,40.5000,40.8036,25400
2013-10-29,39.8300,40.5000,35.5600,35.7000,47400
2013-10-30,37.8600,38.9200,32.2200,36.1200,58500
2013-10-31,32.3500,33.7600,30.5200,30.9100,61700
2013-11-01,29.9200,30.2700,27.5100,28.0200,53700
2013-11-04,28.5400,29.6900,27.7000,29.6000,37200
2013-11-05,29.4200,29.4200,27.5000,28.2600,19800
2013-11-06,29.5200,29.7500,29.0100,29.2800,10700
2013-11-07,27.6200,28.0300,25.8500,26.2300,70200
2013-11-08,24.9500,26.8600,23.0800,26.5500,69300
2013-11-11,25.8600,26.5580,24.4500,26.4400,33300
2013-11-12,25.6000,26.6100,23.8000,24.4000,71400
2013-11-13,24.8000,25.6800,24.6880,25.1400,41300
2013-11-14,26.7300,27.9000,26.1100,27.3900,58600
2013-11-15,28.0000,28.0000,26.2441,26.3300,41900
2013-11-18,25.2500,25.9000,24.2201,24.9790,35900
2013-11-19,24.8400,25.2090,24.0900,24.2500,31400
2013-11-20,22.9900,24.0000,20.3218,20.8500,85600
2013-11-21,20.6100,20.7200,19.0100,20.4100,65500
2013-11-22,20.6300,21.3263,19.1520,19.2000,60400
2013-11-25,18.3800,19.4400,17.3599,18.6800,93400
2013-11-26,18.3900,18.4200,17.4500,17.5600,40100
2013-11-27,18.0800,18.1800,17.2000,17.3375,76800
2013-11-29,18.1400,19.6400,18.0000,19.4500,42900
2013-12-02,17.5400,17.7400,15.0100,15.3500,121700
2013-12-03,14.8100,15.3000,13.5900,13.5900,222300
2013-12-04,14.2900,15.5000,13.4901,14.9500,225700
2013-12-05,13.6000,14.4800,13.3600,13.4100,120300
2013-12-06,14.0000,14.5200,13.1000,13.1500,99200
2013-12-09,13.4400,14.1490,13.3500,13.9600,92800
2013-12-10,15.7900,16.3800,15.6500,15.8200,194700
2013-12-11,15.9700,15.9700,14.4000,14.6500,97200
2013-12-12,13.1100,14.3999,12.9700,14.3999,105800
2013-12-13,14.7900,15.1700,14.3301,14.9100,100400
2013-12-16,15.0800,16.1799,14.5300,15.2900,65200
2013-12-17,14.8500,15.4200,14.2400,14.4200,54200
2013-12-18,14.6900,16.1200,13.9000,13.9500,160200
2013-12-19,13.3600,13.5700,12.8600,13.0500,125800
2013-12-20,13.2501,13.5500,13.0090,13.4300,84400
2013-12-23,13.3000,13.5500,12.8000,12.8800,67700
2013-12-24,13.0600,14.2900,12.9280,14.1200,67300
2013-12-26,14.8400,15.1000,14.0100,14.2264,78900
2013-12-27,14.5300,15.2400,14.3100,15.2400,72500
2013-12-30,15.0100,15.3000,14.3400,14.4700,77600
2013-12-31,14.0500,15.8212,13.9100,15.6000,125700
2014-01-02,17.2600,18.3200,17.1800,18.2500,206400
2014-01-03,18.7700,19.1000,17.9800,18.2300,141100
2014-01-06,18.5000,19.4300,18.1007,18.3400,89500
2014-01-07,17.6000,17.9800,16.8000,17.9400,134100
2014-01-08,16.7400,17.2200,16.4700,16.6700,106700
2014-01-09,16.6700,16.6990,15.6300,15.7400,198300
2014-01-10,16.5000,18.0500,16.5000,17.9400,175300
2014-01-13,18.0600,21.3500,18.0500,21.2600,240000
2014-01-14,20.6500,21.9340,19.3150,19.6000,279600
2014-01-15,18.8200,20.4300,18.7300,20.3300,133100
2014-01-16,20.8500,21.4100,20.5400,21.1200,166400
2014-01-17,22.4200,25.0000,22.3800,24.6400,361300
2014-01-21,22.9600,27.9800,22.9600,27.6000,402100
2014-01-22,27.3200,27.3400,23.5900,23.8300,392200
2014-01-23,26.0100,27.8100,25.3000,25.4300,404700
2014-01-24,26.6800,27.1300,21.6200,23.8600,507600
2014-01-27,23.6900,23.6900,19.9110,20.1700,561000
2014-01-28,20.5300,21.6900,19.9240,21.4900,327200
2014-01-29,22.7000,24.5600,21.5100,24.3600,523200
2014-01-30,22.0900,22.7500,21.3242,21.9100,358700
2014-01-31,23.1800,23.1800,20.5700,21.6000,262200
2014-02-03,22.1700,24.1100,21.5100,21.6500,431600
2014-02-04,21.4000,24.0900,21.4000,23.8000,322900
2014-02-05,25.0000,25.2500,22.7100,22.7300,338200
2014-02-06,23.6400,24.3490,22.7900,23.4800,234000
2014-02-07,24.2100,27.3200,23.8000,27.1700,463200
2014-02-10,29.8300,31.3680,29.1000,30.7400,549800
2014-02-11,32.1600,35.3700,31.6000,34.7701,700800
2014-02-12,34.8900,34.9460,29.8500,30.5500,605200
2014-02-13,30.9000,36.3325,30.4240,36.0600,655600
2014-02-14,39.2000,41.3830,38.0700,39.9100,915100
2014-02-18,40.0000,40.5800,37.1100,38.2800,584200
2014-02-19,37.0100,38.9200,30.3820,30.8000,720300
2014-02-20,31.6200,37.2400,31.3300,35.8900,616100
2014-02-21,36.5400,37.3000,33.6800,36.0700,622000
2014-02-24,37.9600,39.1697,37.4800,37.9600,523700
2014-02-25,37.1800,37.3600,34.5500,35.0000,480700
