date,open,high,low,close,volume
2012-10-17,25.2500,25.2500,25.1499,25.1500,13600
2012-10-18,25.1000,25.3900,25.1000,25.3900,30202
2012-10-19,25.2500,25.3200,25.0500,25.2000,31315
2012-10-22,25.2900,25.2900,25.1500,25.2500,7179
2012-10-23,25.1500,25.2320,25.0500,25.2320,12252
2012-10-24,25.2500,25.2500,25.1000,25.1500,14745
2012-10-25,25.1500,25.2000,25.0700,25.1100,17950
2012-10-26,25.1900,25.3500,25.0000,25.1500,17620
2012-10-31,25.2500,25.4900,25.0700,25.2000,20585
2012-11-01,25.2500,25.4000,25.1500,25.3600,14600
2012-11-02,25.3000,25.4400,25.3000,25.4300,3700
2012-11-05,25.4500,25.4500,25.2100,25.2200,35930
2012-11-06,25.2100,25.3200,25.1600,25.2800,26155
2012-11-07,25.2500,25.2500,25.0200,25.2500,9650
2012-11-08,25.2000,25.2500,25.1799,25.2500,8450
2012-11-09,25.2300,25.2400,25.0000,25.1200,17300
2012-11-12,25.1300,25.1400,25.0800,25.0900,14920
2012-11-13,25.1200,25.1700,25.0200,25.0400,14263
2012-11-14,25.1000,25.1000,24.3900,25.0500,51481
2012-11-15,25.1000,25.1000,24.3800,25.0500,22965
2012-11-16,25.0500,25.1000,24.9000,25.1000,34709
2012-11-19,25.1000,25.1000,25.0200,25.1000,24290
2012-11-20,25.3000,25.3000,25.2300,25.2500,3167
2012-11-21,25.2400,25.5000,25.0000,25.4900,25614
2012-11-23,25.4900,25.4900,25.4900,25.4900,0
2012-11-26,25.3300,26.0300,25.3300,25.5000,7209
2012-11-27,25.2500,25.5600,25.2500,25.5600,17018
2012-11-28,25.3000,25.5900,25.3000,25.5500,5009
2012-11-29,25.9500,25.9500,25.4000,25.4000,11263
2012-11-30,25.8300,25.8300,25.2900,25.5500,8653
2012-12-03,25.4500,25.5100,25.3600,25.4100,5570
2012-12-04,25.4700,25.5500,25.3800,25.3800,13920
2012-12-05,25.4000,25.7300,25.3200,25.4500,10649
2012-12-06,25.4800,25.7500,25.4500,25.7200,5273
2012-12-07,25.7000,25.7000,25.4500,25.5000,3400
2012-12-10,25.5000,25.5800,25.5000,25.5799,3824
2012-12-11,25.6000,25.6000,25.3700,25.4800,11045
2012-12-12,25.2100,25.3200,25.0500,25.2000,6325
2012-12-13,25.2000,25.3200,25.2000,25.3200,11085
2012-12-14,25.4700,25.5500,25.4100,25.5500,3633
2012-12-17,25.5119,25.6500,25.5119,25.5500,3500
2012-12-18,25.5500,25.6000,25.5000,25.6000,11916
2012-12-19,25.4000,25.5800,25.0900,25.2000,4748
2012-12-20,25.4800,25.4800,25.2700,25.3200,7289
2012-12-21,25.0200,25.2800,25.0200,25.2100,11464
2012-12-24,25.2100,25.2100,25.2100,25.2100,0
2012-12-26,25.1200,25.2900,24.6000,25.2600,6800
2012-12-27,25.2674,25.2674,25.0600,25.0600,2436
2012-12-28,25.1200,25.2500,25.1000,25.2050,3050
2012-12-31,25.2001,25.3500,25.2000,25.2535,5800
2013-01-02,25.4500,25.4800,25.3500,25.4100,6144
2013-01-03,25.4100,25.4600,25.2600,25.4600,2615
2013-01-04,25.4700,25.5500,25.4700,25.5500,8471
2013-01-07,25.5600,25.5600,25.4952,25.5500,3403
2013-01-08,25.5900,26.5400,25.5600,26.0000,39400
2013-01-09,25.5800,25.9780,25.5800,25.9100,14799
2013-01-10,25.7000,25.9000,25.6300,25.6300,7268
2013-01-11,25.8800,25.8800,25.5600,25.5600,4490
2013-01-14,25.4000,25.5300,25.3400,25.4000,1600
2013-01-15,25.4300,25.5900,25.4300,25.5000,1700
2013-01-16,25.4900,25.4900,25.4500,25.4800,3000
2013-01-17,25.5000,25.8900,25.4300,25.8776,8135
2013-01-18,25.7000,26.0000,25.6500,25.7100,18496
2013-01-22,25.9600,26.1900,25.7500,26.1330,12702
2013-01-23,26.4300,26.4808,25.8500,26.2400,7763
2013-01-24,26.0200,26.2000,26.0200,26.2000,1938
2013-01-25,26.2500,26.2500,26.1000,26.1000,9988
2013-01-28,26.1000,26.1000,25.5300,25.6200,13396
2013-01-29,25.6000,25.7400,25.4800,25.5000,13225
2013-01-30,25.4000,25.6000,25.2900,25.4500,14800
2013-01-31,25.4500,25.5900,25.2800,25.2800,15000
2013-02-01,25.2900,25.5700,25.2800,25.3600,23514
2013-02-04,25.5000,25.7500,25.4000,25.6000,12247
2013-02-05,25.5900,25.6332,25.4900,25.5900,8424
2013-02-06,25.6000,25.7300,25.5500,25.6500,9184
2013-02-07,25.6800,25.7400,25.6600,25.7000,6663
2013-02-08,25.7085,25.7200,25.6400,25.6500,5942
2013-02-11,25.7500,25.7900,25.7000,25.7900,5103
2013-02-12,25.7096,25.9300,25.6900,25.9295,3580
2013-02-13,25.9000,25.9000,25.8000,25.8000,2300
2013-02-14,25.9000,25.9800,25.8000,25.9500,10600
2013-02-15,25.7200,25.8000,25.6100,25.8000,2370
2013-02-19,25.7800,25.9100,25.6500,25.8501,7390
2013-02-20,25.9700,26.1900,25.9600,26.0007,4732
2013-02-21,26.0012,26.0012,25.9000,26.0000,11888
2013-02-22,26.1400,26.2000,26.0600,26.0600,5243
2013-02-25,26.0200,26.2000,26.0200,26.0200,2950
2013-02-26,26.0200,26.0681,26.0200,26.0200,5702
2013-02-27,26.0863,26.1590,26.0500,26.1000,3606
2013-02-28,26.1800,26.2500,26.1000,26.1100,9173
2013-03-01,26.1101,26.1900,26.1100,26.1500,1047
2013-03-04,26.1600,26.2300,26.1600,26.2300,3780
2013-03-05,26.2100,26.2300,26.2100,26.2100,1432
2013-03-06,26.2100,26.2100,25.7500,26.1600,12547
2013-03-07,26.2400,26.2400,26.0000,26.2200,2035
2013-03-08,26.2500,26.3400,26.0800,26.2300,5455
2013-03-11,26.2200,26.2300,26.0300,26.2300,9286
2013-03-12,26.2000,26.2200,26.1800,26.1900,2525
2013-03-13,25.9900,25.9900,25.8100,25.8300,5784
2013-03-14,26.0799,26.0799,26.0799,26.0799,260
2013-03-15,25.7500,25.7800,25.7500,25.7500,2400
