date,open,high,low,close,volume
2020-05-08,20.3700,23.9500,20.3500,23.8400,15162502
2020-05-11,25.9300,26.8900,24.0000,25.9700,10437022
2020-05-12,25.3800,26.5000,24.3600,24.3600,3031302
2020-05-13,24.6800,25.2400,21.9450,24.0400,1820438
2020-05-14,23.7000,23.8000,21.7772,22.4900,2621922
2020-05-15,22.0000,24.1000,21.9366,23.1000,3326444
2020-05-18,23.4900,23.7500,22.3000,23.0200,1153398
2020-05-19,23.0500,23.4500,22.4300,22.6100,1002319
2020-05-20,22.8200,23.2200,18.7300,20.2600,5338578
2020-05-21,19.1700,20.0000,18.4800,18.5000,3436507
2020-05-22,18.0000,18.0700,17.0100,17.1800,3441868
2020-05-26,18.0800,19.6000,17.8000,19.5800,3437821
2020-05-27,19.0800,19.3000,18.0000,18.9800,1858933
2020-05-28,18.5000,18.6800,18.5000,18.5000,1116865
2020-05-29,18.2600,20.3500,18.2500,20.1400,1286135
2020-06-01,20.8000,21.6800,20.7601,21.3900,2452755
2020-06-02,21.3000,23.1000,21.2600,22.8600,3251983
2020-06-03,23.5000,23.6600,21.4600,22.0200,2080514
2020-06-04,22.0200,22.2600,20.5500,20.6000,1479733
2020-06-05,21.2500,21.2800,20.1200,20.2000,1332613
2020-06-08,20.6765,20.7700,19.7600,20.0000,1298085
2020-06-09,20.0500,20.7500,19.8000,20.6600,1135599
2020-06-10,20.7000,21.0900,20.1300,20.6500,895216
2020-06-11,20.0000,21.7500,19.9000,20.9400,1230965
2020-06-12,21.5000,21.6400,20.0000,20.4400,820518
2020-06-15,20.0000,22.0596,20.0000,21.5400,1025556
2020-06-16,22.4600,22.5250,21.0000,21.5000,1958884
2020-06-17,21.6900,24.9700,21.5900,24.2900,2530791
2020-06-18,24.3000,24.8800,22.6500,22.7000,1461048
2020-06-19,23.4300,26.7400,23.0900,26.1900,2343347
2020-06-22,27.8000,27.8000,25.0300,26.7800,1809351
2020-06-23,27.0100,31.6400,27.0100,30.7900,3352627
2020-06-24,29.1400,29.9700,26.5700,26.6700,2403915
2020-06-25,27.5000,29.5000,27.4900,28.9250,2404013
2020-06-26,28.5200,29.2500,26.2000,27.2100,1547952
2020-06-29,27.1100,29.0000,25.8800,27.7100,1512941
2020-06-30,28.1500,32.8800,28.0140,31.5200,3046935
2020-07-01,31.1300,34.5000,30.7510,32.2100,2543663
2020-07-02,32.6600,33.3000,31.5100,32.2400,1777778
2020-07-06,33.9200,38.8000,33.8100,37.3600,1987497
2020-07-07,36.5000,36.5000,34.3500,35.9900,1395212
2020-07-08,37.0000,40.2000,36.9300,40.0700,2162847
2020-07-09,41.0900,42.8000,37.8810,40.5600,1911659
2020-07-10,40.0000,40.0000,36.5000,36.6400,1897571
2020-07-13,38.7700,39.0000,32.6700,33.1500,1798489
2020-07-14,32.7000,33.9700,30.9000,33.0100,2087538
2020-07-15,33.6300,33.8000,30.3000,32.0000,1410961
2020-07-16,30.2500,31.2400,30.1000,30.5000,1583197
2020-07-17,32.2500,36.4470,31.4400,35.7300,3383397
2020-07-20,36.0500,36.8400,33.1100,35.5400,2200677
2020-07-21,35.9200,36.4900,34.8500,35.9800,1229537
2020-07-22,34.3000,35.3800,31.8000,32.3000,1776370
2020-07-23,32.9840,33.5900,30.4800,31.1400,1087402
2020-07-24,30.2100,31.7552,30.1000,31.0800,1268031
2020-07-27,31.0600,31.8900,30.8500,31.8800,367982
2020-07-28,33.0200,34.8800,32.3332,33.6300,1399597
2020-07-29,35.9900,38.6500,35.0001,35.8700,1708469
2020-07-30,35.1700,35.9400,34.1100,34.9100,752715
2020-07-31,35.8200,37.4000,34.9500,35.1000,1340367
2020-08-03,36.3900,39.5400,36.3900,39.2800,1356085
2020-08-04,40.8400,41.0000,37.6000,39.0700,1420019
2020-08-05,39.8800,39.9000,37.3000,38.2000,1064506
2020-08-06,39.2400,39.2400,37.6000,38.2600,637254
2020-08-07,36.2700,36.4900,32.7400,33.4600,1915026
2020-08-10,34.3900,35.0000,32.2000,33.0100,851526
2020-08-11,33.5000,33.9800,31.9200,32.0000,1101931
2020-08-12,32.3200,32.9800,31.7900,32.3600,815299
2020-08-13,32.7700,34.2461,32.5800,32.8600,809921
2020-08-14,33.0000,33.3900,32.0300,32.1600,545825
2020-08-17,32.2900,35.6800,32.2300,34.4500,1504077
2020-08-18,33.2600,33.8000,31.0000,31.8100,2785693
2020-08-19,32.2500,34.6600,32.0100,33.8000,1864407
2020-08-20,34.5000,35.4700,33.5800,35.3500,1254712
2020-08-21,35.0000,35.1800,34.2000,34.2600,734366
2020-08-24,34.8400,35.0000,33.0500,33.4100,892706
2020-08-25,33.1100,34.8479,33.1100,34.0800,795685
2020-08-26,34.8300,37.4800,34.4600,35.6700,1724593
2020-08-27,37.3200,37.4500,33.9500,35.8700,1435349
2020-08-28,35.6400,36.3700,34.3300,34.9200,1007730
2020-08-31,35.0800,36.8700,34.3400,34.4800,1595990
2020-09-01,35.4900,36.1650,34.3900,35.6000,1759492
2020-09-02,36.3500,38.2650,34.4000,35.1300,1276864
2020-09-03,34.1000,34.3099,31.6700,32.8400,1546277
2020-09-04,32.3200,33.8000,31.5850,33.1500,920464
2020-09-08,31.6000,33.5000,31.3500,31.8700,1514240
2020-09-09,32.3300,32.7300,31.0000,31.8400,1367591
2020-09-10,32.0400,32.5000,31.0601,31.5000,827158
2020-09-11,31.0500,32.2900,31.0500,32.1200,497419
2020-09-14,33.6100,37.3925,33.5500,35.4600,2542803
2020-09-15,35.8400,37.1700,35.7100,36.8900,1646072
2020-09-16,37.4600,39.1800,36.6900,39.0200,2390104
2020-09-17,36.8000,39.6300,36.2300,38.8300,1668218
2020-09-18,38.0700,39.8000,37.6000,38.6700,12242718
2020-09-21,37.1100,37.5900,35.0200,36.9000,1608836
2020-09-22,35.2300,35.9000,32.1700,32.2900,3480909
2020-09-23,33.0100,34.4090,32.1300,32.2900,1541022
2020-09-24,29.9900,30.6300,28.5800,29.6700,5765511
2020-09-25,29.5500,29.5800,27.6000,28.5700,3308401
2020-09-28,29.5400,29.9500,28.5700,29.9000,1834474
2020-09-29,29.7100,30.3000,28.7601,29.1500,1439292
2020-09-30,29.2600,30.5000,29.0300,29.5300,1824403
2020-10-01,29.8600,30.3700,28.7700,29.8300,806452
2020-10-02,29.0500,30.5900,28.5500,30.0300,1101923
2020-10-05,30.7400,31.4600,29.8500,30.9000,1260487
2020-10-06,31.1000,31.1799,29.9000,30.0600,648728
2020-10-07,30.4700,31.1200,30.4700,30.8400,929314
2020-10-08,31.3100,31.3100,29.7200,30.5000,1031818
2020-10-09,30.6000,31.2700,30.2000,31.2400,992908
2020-10-12,31.6400,32.0900,31.0650,31.5600,817864
2020-10-13,31.7816,32.0000,31.0000,31.3500,702404
2020-10-14,31.2800,31.3500,30.2600,30.4000,805983
2020-10-15,29.7000,29.8800,29.1000,29.7000,1037797
