date,open,high,low,close,volume
2006-06-22,48.0900,48.0900,47.7700,47.8700,1364900
2006-06-23,47.4300,47.4500,47.0100,47.2514,702000
2006-06-26,47.5000,47.8300,47.4500,47.7600,144200
2006-06-27,48.0000,48.0000,47.4300,47.4500,432500
2006-06-28,47.3800,47.5200,47.0400,47.3700,739000
2006-06-29,47.8500,48.4200,47.6900,48.4200,61200
2006-06-30,48.4600,48.5000,48.0900,48.1900,279000
2006-07-03,48.2200,48.5300,48.2200,48.5300,56500
2006-07-05,48.2500,48.2500,47.8900,47.9500,141800
2006-07-06,48.1000,48.2500,48.0500,48.0500,66400
2006-07-07,48.1500,48.2400,47.6500,47.7200,246300
2006-07-10,47.9300,47.9300,47.8000,47.8600,44200
2006-07-11,47.7100,47.9800,47.4000,47.9800,172200
2006-07-12,47.8800,47.8800,47.3600,47.3600,228600
2006-07-13,47.1100,47.1700,46.7500,46.8200,992100
2006-07-14,46.8300,46.9000,46.5000,46.8000,59200
2006-07-17,46.9200,47.0100,46.7000,47.0000,68900
2006-07-18,47.3200,47.3400,46.8700,47.3400,579300
2006-07-19,47.3500,48.5600,47.3300,48.5400,936400
2006-07-20,48.7300,48.7300,48.2000,48.2000,146000
2006-07-21,47.5500,47.8100,47.5000,47.7800,315900
2006-07-24,47.9800,48.3400,47.9800,48.3300,87100
2006-07-25,48.3100,48.5700,48.2300,48.5700,88400
2006-07-26,48.3000,48.7800,48.0900,48.5800,64000
2006-07-27,48.6500,48.8300,48.0800,48.0900,562400
2006-07-28,48.3700,49.1200,48.3700,49.0700,167500
2006-07-31,48.6500,48.7300,48.3200,48.6200,174900
2006-08-01,48.1700,48.4100,47.9800,48.2200,121500
2006-08-02,48.4499,48.6400,48.2200,48.4400,223300
2006-08-03,48.5000,49.1100,48.4800,49.0800,124500
2006-08-04,49.5200,49.5200,48.8500,49.0700,75600
2006-08-07,49.0100,49.0500,48.7300,48.8400,335100
2006-08-08,49.0200,49.2300,48.5100,48.5700,98100
2006-08-09,49.0000,49.0000,47.9600,48.0300,119200
2006-08-10,47.8300,48.4500,47.8300,48.3200,51500
2006-08-11,48.0700,48.2300,47.9800,48.1800,115300
2006-08-14,48.4000,48.6100,48.1000,48.1600,473400
2006-08-15,48.7000,48.9600,48.7000,48.9100,127200
2006-08-16,49.0225,49.2400,48.9000,49.1900,308000
2006-08-17,49.1400,49.3000,49.1400,49.2000,55100
2006-08-18,49.0200,49.2000,49.0200,49.2000,47400
2006-08-21,48.9500,48.9900,48.8400,48.8400,56600
2006-08-22,48.8101,49.0400,48.8101,48.9500,46300
2006-08-23,49.0300,49.0300,48.3500,48.3800,311700
2006-08-24,48.4000,48.4900,48.2900,48.4600,44000
2006-08-25,48.5400,48.5400,48.1800,48.2500,167100
2006-08-28,48.3400,48.6000,48.3200,48.6000,63200
2006-08-29,48.4700,48.4700,48.1000,48.4400,250900
2006-08-30,48.6100,48.9100,48.6100,48.8700,83900
2006-08-31,48.9100,49.0300,48.8300,48.9700,50700
2006-09-01,48.8400,49.0300,48.8400,48.9400,97200
2006-09-05,48.9700,49.1500,48.9700,49.0500,28400
2006-09-06,48.8000,48.9100,48.7500,48.7500,1500
2006-09-07,48.5800,48.6500,48.2700,48.2700,53000
2006-09-08,48.2000,48.3800,48.0900,48.3500,503800
2006-09-11,48.3000,48.4400,48.1400,48.4000,153200
2006-09-12,48.6300,49.0600,48.6300,49.0400,15600
2006-09-13,49.2000,49.4200,49.1000,49.4100,156100
2006-09-14,49.3800,49.3900,49.3700,49.3900,70100
2006-09-15,49.1300,49.2200,49.0500,49.1300,84000
2006-09-18,48.8700,49.0000,48.8200,48.8700,43900
2006-09-19,48.9000,48.9000,48.1700,48.7200,331000
2006-09-20,49.2300,49.5200,49.2300,49.4900,406200
2006-09-21,49.4800,49.4800,48.7700,48.9100,626700
2006-09-22,48.6400,48.7000,48.3000,48.5800,511600
2006-09-25,48.5000,49.2300,48.4700,49.2300,136300
2006-09-26,49.1800,49.3000,49.0100,49.2000,123400
2006-09-27,49.2600,49.5000,49.2500,49.4600,184500
2006-09-28,49.3400,49.5000,49.2100,49.4100,347400
2006-09-29,49.4200,49.4300,48.8400,48.8400,41600
2006-10-02,48.7000,48.7200,48.1700,48.3100,402100
2006-10-03,48.2100,48.6300,48.0900,48.3700,446600
2006-10-04,48.2000,48.8900,48.1200,48.8200,734600
2006-10-05,48.8900,49.1500,48.7700,49.1500,705200
2006-10-06,49.0000,49.0000,48.7300,48.8300,609700
2006-10-09,49.1100,49.4400,48.9500,49.4100,149100
2006-10-10,49.5000,49.5000,49.2300,49.3700,316800
2006-10-11,49.1700,49.3000,49.0000,49.2000,632700
2006-10-12,49.4600,49.6400,49.4500,49.6400,222700
2006-10-13,49.7800,49.9000,49.7300,49.8900,264800
2006-10-16,49.8700,49.8700,49.6500,49.7700,282000
2006-10-17,49.6400,49.6400,49.3600,49.5500,388900
2006-10-18,49.6400,49.6700,49.5900,49.6000,534300
2006-10-19,49.5700,49.5700,49.2900,49.4000,367600
2006-10-20,49.2400,49.2400,48.6710,48.7200,1267100
2006-10-23,48.4900,48.9200,48.4900,48.8900,401900
2006-10-24,48.6700,48.7400,48.6000,48.7200,264700
2006-10-25,48.7700,48.7700,48.5000,48.7400,259500
2006-10-26,48.7600,49.1600,48.4900,49.1600,462700
2006-10-27,49.1000,49.1100,48.7700,48.7700,547700
2006-10-30,48.8500,48.9700,48.8000,48.8500,207700
2006-10-31,49.0700,49.0700,48.7000,48.8000,100900
2006-11-01,48.7500,48.8900,48.1500,48.1500,201500
2006-11-02,48.0200,48.1700,47.9300,48.0000,323000
2006-11-03,48.1300,48.3800,47.9200,48.1500,223200
2006-11-06,48.4600,48.5500,48.4200,48.5500,103500
2006-11-07,48.7900,49.0500,48.6400,48.6400,182100
2006-11-08,48.7700,49.0000,48.7200,48.9700,84700
2006-11-09,49.0700,49.0700,48.5000,48.5300,12000
2006-11-10,48.6600,48.8300,48.6400,48.8300,215200
2006-11-13,48.9801,49.2700,48.9801,49.2700,253600
2006-11-14,49.1900,49.8700,49.0000,49.8700,533600
2006-11-15,49.7600,50.2500,49.7600,50.2500,515500
2006-11-16,50.2900,50.4200,50.2100,50.4200,308800
2006-11-17,50.3900,50.3900,50.1100,50.2800,44600
2006-11-20,50.3100,50.4700,50.3100,50.4200,8200
2006-11-21,50.2500,50.2700,50.2000,50.2100,16300
2006-11-22,50.1700,50.1700,49.9900,50.0600,159000
2006-11-24,49.9100,50.0500,49.7900,50.0300,95300
2006-11-27,49.9200,49.9200,49.0900,49.0900,24300
2006-11-28,48.9400,49.2100,48.9200,49.1600,356000
2006-11-29,49.2800,49.7500,49.2700,49.7500,335000
2006-11-30,49.8200,49.8200,49.4600,49.6200,85700
2006-12-01,49.6200,49.6200,49.0300,49.4000,421800
2006-12-04,49.4600,50.2800,49.3500,50.2800,85800
2006-12-05,50.1001,50.3645,50.1000,50.3000,10800
2006-12-06,50.1500,50.1500,49.9700,50.0100,48600
2006-12-07,49.9500,50.0800,49.6900,49.7200,120600
2006-12-08,49.5800,49.6400,49.3800,49.5700,1690900
2006-12-11,49.5500,49.7500,49.5500,49.7500,242500
2006-12-12,49.7500,49.8000,49.5800,49.8000,77200
2006-12-13,49.9500,49.9500,49.8500,49.8900,20100
2006-12-14,50.2200,50.2800,50.2000,50.2800,11500
2006-12-15,50.2600,50.2700,50.0700,50.0700,49500
2006-12-18,50.0700,50.1900,49.6800,49.7300,191500
2006-12-19,49.4400,49.6200,49.3000,49.5600,67400
2006-12-20,49.5600,49.7800,49.5500,49.6900,225600
2006-12-21,49.8000,50.1000,49.6700,49.8300,507400
2006-12-22,49.6500,49.8200,49.6200,49.6700,186700
2006-12-26,49.7300,50.3100,49.7300,50.2700,119400
2006-12-27,50.4000,50.9900,50.4000,50.9900,787400
2006-12-28,51.1000,51.1200,50.8400,50.8500,558600
2006-12-29,50.7300,50.7800,50.1200,50.1200,265900
2007-01-03,50.3200,50.9600,50.1900,50.5800,423700
2007-01-04,50.4800,50.7600,50.1800,50.7500,189900
2007-01-05,50.6600,50.6600,49.6600,49.7000,1188300
2007-01-08,49.7000,49.7300,49.2100,49.7200,215900
2007-01-09,49.7400,49.7900,48.9900,49.5000,1099100
2007-01-10,49.4700,49.6000,49.2900,49.5200,724100
2007-01-11,49.7100,50.0600,49.6600,49.9100,329500
