date,open,high,low,close,volume
2013-08-01,26.1300,26.2800,26.1200,26.2800,600
2013-08-02,26.5000,26.5000,26.3100,26.3100,1200
2013-08-05,26.3100,26.3100,26.3100,26.3100,0
2013-08-06,36.0000,36.0000,26.3700,26.3700,600
2013-08-07,25.9050,25.9050,25.9050,25.9050,100
2013-08-08,25.9600,25.9600,25.9600,25.9600,100
2013-08-09,25.9600,25.9600,25.9600,25.9600,0
2013-08-12,26.4195,26.4300,26.4195,26.4300,500
2013-08-13,26.4500,26.4700,26.4300,26.4700,600
2013-08-14,26.7200,26.7200,26.6000,26.6000,200
2013-08-15,25.9300,25.9300,25.9300,25.9300,100
2013-08-16,25.8500,26.0200,25.8500,26.0200,300
2013-08-19,26.0200,26.0200,26.0200,26.0200,0
2013-08-20,26.3098,26.3098,26.3098,26.3098,100
2013-08-21,26.4799,26.4799,26.2400,26.2500,1800
2013-08-22,26.4000,26.4600,26.4000,26.4600,1600
2013-08-23,26.7850,26.7850,26.7654,26.7654,200
2013-08-26,26.9400,27.0500,26.9400,26.9400,1300
2013-08-27,26.9400,26.9400,26.9400,26.9400,0
2013-08-28,26.4000,26.5000,26.4000,26.5000,700
2013-08-29,26.8000,26.8000,26.7100,26.7100,200
2013-08-30,26.7100,26.7100,26.7100,26.7100,0
2013-09-03,26.7100,26.7100,26.7100,26.7100,0
2013-09-04,27.0400,27.0400,27.0400,27.0400,100
2013-09-05,27.5500,27.5500,27.5500,27.5500,100
2013-09-06,27.7500,27.8900,27.6100,27.8900,3400
2013-09-09,29.1600,29.1600,29.1600,29.1600,200
2013-09-10,28.8500,28.8500,28.8200,28.8200,600
2013-09-11,28.8400,29.0999,28.8400,28.9600,500
2013-09-12,29.3600,29.3600,29.0600,29.0600,1500
2013-09-13,28.7500,28.7500,28.7500,28.7500,100
2013-09-16,29.2800,29.2800,29.1000,29.1000,10000
2013-09-17,29.1000,29.1000,29.1000,29.1000,0
2013-09-18,29.3000,29.7600,29.3000,29.7600,900
2013-09-19,30.5700,30.5700,30.1200,30.1200,700
2013-09-20,30.1100,30.1100,29.8499,29.8500,1000
2013-09-23,29.4600,29.4600,29.4600,29.4600,100
2013-09-24,29.6302,29.7300,29.6302,29.7100,1200
2013-09-25,30.0100,30.0878,29.9910,30.0878,2500
2013-09-26,30.2842,30.4800,30.1000,30.4500,6100
2013-09-27,30.3500,30.3700,30.3500,30.3689,400
2013-09-30,30.5100,30.5100,30.5100,30.5100,300
2013-10-01,30.5500,30.8700,29.9200,30.8700,9000
2013-10-02,31.3000,31.3600,31.3000,31.3600,2700
2013-10-03,32.4300,32.4300,30.9933,31.2700,3900
2013-10-04,31.5900,32.0790,31.5900,31.9590,1400
2013-10-07,32.3700,32.3700,31.7400,31.7800,2500
2013-10-08,31.7200,31.7200,29.9643,29.9643,5100
2013-10-09,29.5000,30.1900,29.3600,29.9700,1800
2013-10-10,30.8500,30.9400,30.8100,30.9300,4800
2013-10-11,30.8000,31.4100,30.8000,31.4000,8900
2013-10-14,31.0100,31.5900,31.0100,31.5880,1600
2013-10-15,31.9100,31.9100,31.1500,31.4100,3100
2013-10-16,31.5901,31.7600,31.5901,31.6800,2700
2013-10-17,34.6900,34.6900,31.6680,31.8880,600
2013-10-18,33.0700,33.3680,32.7700,33.2680,9300
2013-10-21,33.5500,33.5900,33.4500,33.4500,5500
2013-10-22,33.6999,33.6999,32.8700,33.2580,22900
