date,open,high,low,close,volume
2014-12-11,24.7500,25.4400,22.3100,23.4300,46538539
2014-12-12,24.1000,25.5500,23.3400,24.6900,12908378
2014-12-15,26.1900,27.7900,24.7700,24.9700,9919707
2014-12-16,25.6900,26.4500,24.4000,26.0000,5321617
2014-12-17,26.4000,27.9800,26.1600,27.9000,9229156
2014-12-18,29.0000,29.2900,26.5700,26.9400,7799525
2014-12-19,27.1800,27.4500,24.0900,25.2100,8437931
2014-12-22,25.9000,26.0000,24.0000,24.0600,3382517
2014-12-23,23.7700,24.4100,22.3200,23.0800,3887218
2014-12-24,23.5000,25.5000,22.6700,25.3200,2662789
2014-12-26,25.4500,26.1500,25.4000,25.7400,2599799
2014-12-29,25.8300,25.8800,24.5300,24.9800,2011293
2014-12-30,25.2300,26.5000,24.3000,25.8300,2437678
2014-12-31,26.0000,26.2000,25.1100,25.3000,1443153
2015-01-02,25.4200,25.7800,24.4000,24.9300,881830
2015-01-05,24.6300,24.7700,23.2800,24.0000,2838677
2015-01-06,24.1500,24.1700,22.4000,22.8900,3227794
2015-01-07,23.2700,24.0000,22.5500,22.8800,4169753
2015-01-08,23.1100,23.7800,22.9500,23.1600,3581506
2015-01-09,23.3500,23.7600,22.7000,23.0100,2108206
2015-01-12,22.5600,22.6700,20.6800,21.0100,4213413
2015-01-13,21.0300,21.8000,19.1500,21.1300,4730926
2015-01-14,20.9900,21.5600,19.5000,21.0600,3839339
2015-01-15,22.4100,22.9900,21.5800,22.0900,3429891
2015-01-16,22.0900,22.2700,21.6300,22.0900,1201293
2015-01-20,22.1000,22.2300,21.5100,22.0700,1783074
2015-01-21,22.0300,22.0500,20.1500,20.1700,3355242
2015-01-22,20.2200,20.7600,19.3300,19.4900,3427703
2015-01-23,19.2600,19.4400,18.6300,19.0800,3467985
2015-01-26,19.0800,20.0830,19.0000,19.9900,2000704
2015-01-27,19.7300,20.6800,19.6300,20.5900,1661058
2015-01-28,20.8000,20.8400,19.9300,20.0800,1993098
2015-01-29,19.9400,19.9780,18.8900,19.4400,2391391
2015-01-30,19.2400,19.3840,18.7000,18.7700,2589469
2015-02-02,18.7700,19.7500,18.3000,19.2600,1492465
