date,open,high,low,close,volume
2011-05-19,83.0000,122.6991,80.0000,94.2500,30149329
2011-05-20,101.9900,107.0000,92.5000,93.0900,8562779
2011-05-23,86.4500,92.1600,84.0000,88.3000,4436699
2011-05-24,86.5000,95.4500,84.3100,95.4500,3686510
2011-05-25,96.1300,98.2500,92.3500,94.3300,2524810
2011-05-26,95.3800,95.9900,85.2100,86.3700,1864283
2011-05-27,87.7600,89.3700,85.0000,88.3200,1735927
2011-05-31,89.9000,90.7200,81.5200,81.5800,2519652
2011-06-01,80.2000,81.6300,75.5100,77.4500,2867385
2011-06-02,78.0000,81.4000,75.2000,78.6300,2164600
2011-06-03,77.3636,80.3600,76.7100,77.9200,1184446
2011-06-06,77.8500,84.1600,77.5400,83.5400,2038390
2011-06-07,84.6300,85.1000,77.3400,77.8200,1536319
2011-06-08,78.7800,79.3200,75.7500,75.9100,825956
2011-06-09,76.0000,76.4899,71.7100,72.0100,1514319
2011-06-10,71.4800,75.0000,70.5000,72.8300,1027967
2011-06-13,74.9200,77.9800,74.0100,75.2700,1233508
2011-06-14,76.9000,78.0000,74.6700,76.3400,638241
2011-06-15,74.9200,75.5000,73.6900,74.6200,622044
2011-06-16,74.9700,75.5500,67.4900,68.2700,2178699
2011-06-17,69.8500,70.5000,65.1000,65.5300,1344291
2011-06-20,63.9600,64.7403,60.1400,63.7100,2155980
2011-06-21,64.0200,68.7100,64.0000,67.8100,1097519
2011-06-22,68.0100,70.4700,64.6100,66.8100,1191755
2011-06-23,65.8000,71.1800,65.0800,70.3200,925610
2011-06-24,70.7500,72.7300,68.0800,69.9400,1489532
2011-06-27,69.1500,78.9000,69.1500,76.3800,1605999
2011-06-28,81.4000,86.7900,80.1100,85.5600,2884955
2011-06-29,86.9100,91.3800,84.3500,87.9900,2265346
2011-06-30,89.0000,90.7290,87.0000,90.0900,1348636
2011-07-01,90.7500,95.5000,88.5000,94.5400,1501487
2011-07-05,94.9500,97.0000,89.9900,90.6600,1248484
2011-07-06,93.2800,94.0000,90.5000,93.7000,843609
2011-07-07,93.6900,95.0000,93.0200,93.9800,792313
2011-07-08,90.9900,101.5000,90.7100,99.6000,2279468
2011-07-11,97.7500,105.0000,97.6600,100.7100,2841959
2011-07-12,102.9900,103.0000,97.3000,99.5000,1615627
2011-07-13,102.7400,109.9700,100.2100,107.8700,3076323
2011-07-14,109.3600,109.7000,101.5100,103.8700,1838721
2011-07-15,106.9500,110.5000,102.4500,109.9700,1728526
2011-07-18,106.0100,106.8400,100.7400,102.4400,2036391
2011-07-19,104.2600,104.8200,100.2200,100.8600,998220
2011-07-20,101.8700,102.3800,96.6900,97.7800,1308321
2011-07-21,97.3800,102.9500,96.2000,101.6900,1030346
2011-07-22,101.9000,105.6000,100.5301,102.9700,867400
2011-07-25,100.0200,104.2000,98.9000,100.8600,813494
2011-07-26,101.9800,104.8000,101.4100,102.5200,664982
2011-07-27,102.5550,103.4000,100.0000,100.5500,355368
2011-07-28,100.1300,115.0500,99.0000,100.6300,3338522
2011-07-29,99.3400,105.0000,99.0000,101.0300,987132
2011-08-01,105.3000,108.2800,100.4100,104.0500,1333169
2011-08-02,104.3300,107.9900,101.0000,101.7600,1390325
2011-08-03,103.6000,106.4100,96.1300,105.6500,1620697
2011-08-04,104.2300,109.7700,94.6000,95.5200,3271488
2011-08-05,100.0100,100.4400,85.8464,91.3600,3075436
2011-08-08,87.3100,89.1600,73.1600,75.4700,2711690
2011-08-09,82.0700,84.6800,75.0000,83.4700,1778048
2011-08-10,82.7500,88.0000,80.0000,84.9100,1260271
2011-08-11,86.2900,89.6800,85.7301,88.4000,984506
2011-08-12,91.4100,93.2100,89.5100,91.2200,801420
2011-08-15,91.7700,93.5800,88.3300,90.4800,680239
2011-08-16,89.8800,89.9000,82.8400,83.5300,1354228
2011-08-17,85.0000,85.6100,78.7800,81.7500,1294933
2011-08-18,77.6400,79.5600,76.0000,78.8300,941194
2011-08-19,76.7600,83.5000,75.8900,79.0300,822087
2011-08-22,82.7400,82.7500,73.2000,74.9500,999413
2011-08-23,75.7700,78.9100,75.0100,78.6200,519230
2011-08-24,78.6000,79.7100,74.0000,74.1500,1055717
2011-08-25,75.9700,75.9800,70.0400,71.2700,737446
2011-08-26,70.0700,77.4300,70.0700,74.6100,1006694
2011-08-29,76.7700,82.6000,75.8900,82.5400,958147
2011-08-30,81.2900,88.5000,80.7300,87.4900,1405482
2011-08-31,89.0500,89.3100,82.3810,84.1200,780530
2011-09-01,84.5300,86.6200,83.0000,83.5800,401928
2011-09-02,81.4100,82.5000,79.1800,80.2700,442716
2011-09-06,78.6600,80.1600,77.1700,79.1400,410846
2011-09-07,82.6700,86.0100,82.0000,85.4700,797291
2011-09-08,84.3800,87.0000,83.0000,84.5200,664269
2011-09-09,83.6600,84.2600,80.3500,82.7200,512999
2011-09-12,81.8290,84.4100,80.6100,82.7800,507350
2011-09-13,82.7000,88.5000,81.8800,87.3800,1244869
2011-09-14,87.2900,89.2500,86.2000,87.5500,957269
2011-09-15,89.1400,89.9900,87.0100,87.5800,728700
2011-09-16,88.6400,88.6400,85.7500,87.6500,423483
2011-09-19,86.1900,86.8600,84.2500,85.7600,538216
2011-09-20,87.1400,87.5000,79.8000,80.7900,576307
2011-09-21,81.4000,81.7600,78.3200,78.5800,448313
2011-09-22,76.1500,78.5400,75.1200,76.0700,630142
2011-09-23,75.3600,77.7699,74.3388,75.3900,557566
2011-09-26,76.2400,79.0000,72.1400,78.7000,479994
2011-09-27,81.5000,82.0000,78.1400,80.5500,462942
2011-09-28,80.3800,80.3800,76.5000,77.3000,413649
2011-09-29,80.6100,81.7500,75.4800,79.6100,533112
2011-09-30,77.9900,82.0000,76.0000,78.0800,584455
2011-10-03,76.1500,78.2700,74.0200,75.6100,511299
2011-10-04,75.6100,76.1100,70.7500,75.5900,731130
2011-10-05,76.0000,76.7900,72.2000,75.6900,367415
2011-10-06,75.1900,78.0000,72.9000,77.4300,330984
2011-10-07,77.4200,80.0000,75.5400,76.4800,344897
2011-10-10,78.0000,79.8900,75.0000,77.1500,845965
2011-10-11,76.6500,76.8800,74.8100,75.0400,679141
2011-10-12,75.5000,84.2000,75.3700,82.3600,1615636
2011-10-13,80.0300,86.7999,80.0300,86.2200,1234488
2011-10-14,87.0200,92.6100,86.5500,90.3100,1209354
2011-10-17,88.7800,89.8000,84.1500,85.0700,526342
2011-10-18,84.5000,89.4600,82.9900,87.6200,533752
2011-10-19,85.7000,89.1800,85.0500,87.1300,379494
2011-10-20,87.5000,88.9100,83.7500,86.0700,484494
2011-10-21,86.2800,90.8900,85.3200,87.5500,773939
2011-10-24,87.5000,95.0000,87.0000,92.4100,1268376
