date,open,high,low,close,volume
2014-07-25,19.0000,24.4000,18.4800,24.0300,23673589
2014-07-28,26.8800,34.7300,26.2500,34.4800,26901000
2014-07-29,31.8400,32.4800,29.0500,29.9000,12108385
2014-07-30,31.7800,38.2500,31.6000,34.5630,15520065
2014-07-31,35.8300,39.9000,35.1600,38.7500,18345292
2014-08-01,39.0500,41.7000,38.3500,41.2000,14442314
2014-08-04,41.3500,41.4600,37.5500,38.4000,9088216
2014-08-05,36.2700,36.9000,33.5800,34.3100,7903511
2014-08-06,34.4400,37.8200,34.0400,36.9500,6227438
2014-08-07,39.4300,40.2500,38.2500,38.8680,6142174
2014-08-08,38.0000,38.2000,36.1300,36.9500,3057193
2014-08-11,38.4000,38.5299,35.7800,35.7900,2466556
2014-08-12,34.7600,34.8900,28.9900,34.0700,3265045
2014-08-13,34.5100,34.6400,33.0100,33.3100,1697520
2014-08-14,32.6100,32.6999,31.2500,31.9420,2851041
2014-08-15,33.2400,34.1000,32.5600,33.3600,2861958
2014-08-18,34.5800,34.6800,32.9600,33.2000,1479314
2014-08-19,30.5500,31.4100,29.6500,29.9100,3729396
2014-08-20,29.0000,31.1700,28.5600,30.1900,2851853
2014-08-21,30.7300,31.0900,29.7500,29.8700,1618439
2014-08-22,31.2200,31.5000,30.5000,30.6200,2104950
2014-08-25,31.3000,32.1900,31.0000,32.1900,2019970
2014-08-26,32.4900,33.7200,31.5000,31.5700,2295935
2014-08-27,32.1000,32.2500,31.5000,31.5400,826632
2014-08-28,31.0700,32.1500,31.0000,31.6500,864823
2014-08-29,32.0000,32.3300,31.3100,32.3100,830124
2014-09-02,32.9700,36.0800,31.6400,36.0200,4432551
2014-09-03,37.1800,37.6900,33.7000,34.3900,4193814
2014-09-04,35.0000,36.2000,33.3501,34.7900,4263227
2014-09-05,36.6400,37.4500,34.3500,36.2400,8674584
2014-09-08,35.5700,38.3500,34.6970,36.1900,5521931
2014-09-09,36.6000,37.4500,35.3500,35.7900,2897542
