date,open,high,low,close,volume
2017-01-25,6.1100,9.1000,6.1100,7.8600,5785
2017-01-26,10.1000,10.1000,8.2800,8.4701,32558
2017-01-27,8.3399,8.4700,7.5001,7.7700,17770
2017-01-30,7.7000,7.7000,7.1900,7.3001,8126
2017-01-31,7.1800,7.2300,6.1000,6.4235,25101
2017-02-01,6.1000,6.4500,6.0960,6.3500,15029
2017-02-02,6.0600,6.3020,6.0100,6.0300,12862
2017-02-03,6.4900,6.9400,6.4900,6.7900,15089
2017-02-06,6.8000,6.8000,6.6000,6.6050,4193
2017-02-07,6.6000,7.2400,6.5000,7.2400,12691
2017-02-08,7.7000,7.7000,7.0110,7.0110,7251
2017-02-09,7.3480,7.3480,7.0000,7.2000,16687
2017-02-10,7.2000,9.2000,7.0410,8.2000,66722
2017-02-13,8.3240,8.9000,8.0240,8.0940,39470
2017-02-14,7.9200,8.5810,7.8650,8.1120,7195
2017-02-15,8.2600,8.2600,7.6200,7.7800,12870
2017-02-16,7.7630,7.7630,7.5000,7.5100,3705
2017-02-17,7.5000,7.5200,7.5000,7.5200,5432
2017-02-21,7.5000,7.5200,7.0700,7.0840,13340
2017-02-22,7.0500,7.3000,7.0200,7.3000,11086
2017-02-23,7.3500,7.3830,7.0000,7.0000,20762
2017-02-24,6.8000,8.0300,6.7500,7.0700,13824
2017-02-27,6.9400,7.0700,6.8100,7.0700,9005
2017-02-28,7.0100,7.5000,6.8540,7.1400,13863
2017-03-01,7.6400,8.1400,7.2000,8.1400,73311
2017-03-02,8.2700,8.7000,7.7120,7.8600,89908
2017-03-03,7.6700,8.2030,7.5000,7.7880,11594
2017-03-06,7.5300,7.9900,7.5300,7.8500,14731
2017-03-07,7.8000,8.9500,7.7400,8.7700,258955
2017-03-08,8.9400,9.3000,8.7000,9.3000,88402
2017-03-09,9.3400,9.4400,9.0000,9.2900,79302
2017-03-10,9.0000,9.3000,8.7000,8.9000,37049
2017-03-13,9.0000,9.0000,8.1650,8.6600,36031
2017-03-14,8.9800,8.9800,8.4120,8.6700,12853
2017-03-15,8.4800,8.6700,8.4800,8.5500,27150
2017-03-16,8.3000,8.3000,8.0100,8.1000,25551
2017-03-17,8.0000,8.1000,7.6500,7.7000,63851
2017-03-20,7.7000,8.1000,7.5100,7.8500,17121
2017-03-21,7.8100,7.8700,7.5100,7.5100,15714
2017-03-22,7.5100,7.5100,7.2920,7.4500,6534
2017-03-23,7.4500,8.3690,7.3090,8.0080,30480
2017-03-24,8.0540,8.9000,7.9740,8.2600,49983
2017-03-27,8.2650,8.3500,7.8600,8.3400,13444
2017-03-28,7.8800,8.3300,7.8600,8.1300,10339
2017-03-29,8.1590,8.3500,7.9900,8.3000,8558
2017-03-30,8.1410,8.4700,8.1410,8.4600,2503
2017-03-31,8.8000,9.3490,8.1400,9.1800,65935
2017-04-03,9.3000,9.3600,8.3000,8.8000,45576
2017-04-04,8.5100,8.6300,8.2720,8.6000,6621
