date,open,high,low,close,volume
2002-05-22,15.0100,15.2700,13.8000,15.0300,5758000
2002-05-23,15.1000,15.1700,14.4500,14.9000,786800
2002-05-24,14.9900,15.2100,14.6000,15.2000,450400
2002-05-28,15.1500,15.5500,14.9000,15.3500,381500
2002-05-29,15.3400,15.5000,15.1000,15.1100,139900
2002-05-30,15.2400,15.2400,14.7500,15.1000,144600
2002-05-31,15.1400,17.7500,15.0000,17.7500,339500
2002-06-03,17.0000,18.0000,16.3900,18.0000,349600
2002-06-04,17.8100,18.6000,17.7000,18.3000,116800
2002-06-05,18.6000,21.6000,18.4500,21.0000,443100
2002-06-06,20.5300,22.5000,18.2100,21.0800,543700
2002-06-07,19.0000,20.2500,19.0000,19.8500,247500
2002-06-10,19.6300,20.0000,18.4000,18.6800,148200
2002-06-11,18.7500,19.0000,18.4000,18.4600,80600
2002-06-12,18.3600,19.0000,17.7500,18.4000,152200
2002-06-13,18.0000,18.4000,18.0000,18.2100,31800
2002-06-14,18.2500,18.3500,17.0400,17.5000,128400
2002-06-17,18.0400,18.0500,17.1900,17.1900,183500
2002-06-18,17.3500,17.3500,15.5500,15.5500,406100
2002-06-19,15.6000,16.0000,15.1100,15.1600,442600
2002-06-20,15.9500,16.1000,14.6600,14.6600,251700
2002-06-21,14.8000,14.8000,10.2500,11.5000,537700
2002-06-24,12.3000,12.3100,10.6500,11.1900,231000
2002-06-25,11.2000,11.3900,10.5600,10.5600,212400
2002-06-26,10.6000,10.6900,9.4000,9.9400,338500
2002-06-27,10.2000,10.2500,8.2600,10.2500,482000
2002-06-28,10.3000,12.2900,9.8000,11.6000,858200
2002-07-01,11.7900,12.2000,11.0000,12.1900,252200
2002-07-02,12.0400,12.2000,11.7300,11.9400,142100
2002-07-03,11.9300,12.3000,11.7500,12.3000,176400
2002-07-05,12.1500,13.3500,12.1100,12.5700,99000
2002-07-08,12.9600,13.6800,12.6100,12.7600,298300
2002-07-09,12.8000,12.8500,11.6500,11.8000,147000
2002-07-10,12.0000,12.0000,9.4600,9.4600,315300
2002-07-11,9.7500,9.7500,8.2500,8.6400,452300
2002-07-12,9.0100,9.6000,8.9500,9.0000,214700
2002-07-15,8.9900,9.1500,8.6000,9.1100,134100
2002-07-16,9.1900,10.2000,9.0000,10.0000,303100
2002-07-17,10.9100,11.7000,10.2800,10.7100,237500
2002-07-18,10.8000,11.1500,10.5000,10.7400,77100
2002-07-19,10.7500,10.9400,10.2000,10.4000,155200
2002-07-22,10.4500,11.0200,10.0000,10.3000,78000
2002-07-23,10.3300,11.0000,8.5000,9.4000,125300
2002-07-24,8.3000,9.4000,8.0000,8.6800,176800
2002-07-25,8.8000,9.3100,8.7500,8.7500,48500
2002-07-26,9.1700,9.4000,8.9000,9.1300,155700
2002-07-29,9.2200,9.2200,8.7500,8.8700,114500
2002-07-30,9.0300,9.0300,6.2500,7.0000,494500
2002-07-31,7.0500,8.5000,7.0400,7.2500,600800
2002-08-01,7.4400,7.5000,6.8800,6.8800,80200
2002-08-02,7.2400,7.2500,6.6000,6.7400,105300
2002-08-05,7.0900,7.0900,5.6000,5.6000,120600
2002-08-06,5.6900,5.6900,3.6000,4.0000,1461300
