date,open,high,low,close,volume
2013-06-06,0.0900,0.1000,0.0900,0.1000,44000
2013-06-07,0.1000,0.1000,0.1000,0.1000,20000
2013-06-10,0.0880,0.0880,0.0880,0.0880,30000
2013-06-11,0.0750,0.0750,0.0750,0.0750,45832
2013-06-12,0.0720,0.0900,0.0720,0.0900,21742
2013-06-13,0.0900,0.0913,0.0900,0.0913,15000
2013-06-14,0.0920,0.1000,0.0920,0.1000,12000
2013-06-17,0.1000,0.1020,0.1000,0.1020,17000
2013-06-18,0.1000,0.1020,0.1000,0.1020,0
2013-06-19,0.1000,0.1020,0.1000,0.1020,0
2013-06-20,0.0700,0.0700,0.0700,0.0700,5747
2013-06-21,0.0900,0.0950,0.0900,0.0950,311000
2013-06-24,0.0700,0.0700,0.0700,0.0700,1000
2013-06-25,0.0950,0.0950,0.0950,0.0950,16270
2013-06-26,0.0950,0.0950,0.0950,0.0950,500
2013-06-27,0.0950,0.0950,0.0950,0.0950,0
2013-06-28,0.0950,0.0950,0.0950,0.0950,0
2013-07-01,0.0950,0.0950,0.0950,0.0950,0
2013-07-02,0.0950,0.0950,0.0950,0.0950,0
2013-07-03,0.0950,0.0950,0.0950,0.0950,0
2013-07-05,0.0910,0.0910,0.0200,0.0200,44253
2013-07-08,0.1000,0.1000,0.1000,0.1000,34200
2013-07-09,0.1000,0.1000,0.1000,0.1000,20000
2013-07-10,0.1000,0.1000,0.1000,0.1000,0
2013-07-11,0.0500,0.0500,0.0500,0.0500,10000
2013-07-12,0.0500,0.0500,0.0500,0.0500,0
2013-07-15,0.0250,0.0260,0.0200,0.0200,347200
2013-07-16,0.0250,0.0250,0.0250,0.0250,405000
2013-07-17,0.0250,0.0300,0.0250,0.0300,300000
2013-07-18,0.0250,0.0250,0.0250,0.0250,140000
2013-07-19,0.0250,0.0250,0.0250,0.0250,10000
2013-07-22,0.0200,0.0200,0.0200,0.0200,265000
2013-07-23,0.0200,0.0200,0.0200,0.0200,0
2013-07-24,0.0200,0.0200,0.0200,0.0200,0
2013-07-25,0.0210,0.0210,0.0150,0.0150,500000
2013-07-26,0.0210,0.0210,0.0150,0.0150,0
2013-07-29,0.0210,0.0210,0.0150,0.0150,0
2013-07-30,0.0210,0.0210,0.0150,0.0150,0
2013-07-31,0.0210,0.0210,0.0150,0.0150,0
2013-08-01,0.0250,0.0250,0.0200,0.0200,209544
2013-08-02,0.0250,0.0250,0.0200,0.0200,0
2013-08-05,0.0250,0.0250,0.0200,0.0200,0
2013-08-06,0.0250,0.0250,0.0200,0.0200,0
2013-08-07,0.0250,0.0250,0.0200,0.0200,0
2013-08-08,0.0250,0.0300,0.0250,0.0300,78230
2013-08-09,0.0300,0.0300,0.0250,0.0250,41258
2013-08-12,0.0300,0.0300,0.0250,0.0250,0
2013-08-13,0.0300,0.0300,0.0250,0.0250,0
2013-08-14,0.0300,0.0300,0.0250,0.0250,0
2013-08-15,0.0250,0.0250,0.0250,0.0250,10000
2013-08-16,0.0250,0.0250,0.0250,0.0250,0
2013-08-19,0.0175,0.0175,0.0175,0.0175,8800
2013-08-20,0.0175,0.0175,0.0175,0.0175,0
2013-08-21,0.0175,0.0175,0.0175,0.0175,0
2013-08-22,0.0175,0.0175,0.0175,0.0175,0
2013-08-23,0.0175,0.0175,0.0175,0.0175,0
2013-08-26,0.0200,0.0255,0.0200,0.0210,70000
2013-08-27,0.0250,0.0290,0.0250,0.0290,124500
2013-08-28,0.0300,0.0300,0.0300,0.0300,50000
2013-08-29,0.0400,0.0400,0.0400,0.0400,25000
