date,open,high,low,close,volume
2018-06-13,9.7300,9.7600,9.7300,9.7500,934800
2018-06-14,9.7500,9.7600,9.7500,9.7500,322400
2018-06-15,9.7500,9.7600,9.7500,9.7500,710400
2018-06-18,9.7500,9.7500,9.7500,9.7500,0
2018-06-19,9.7500,9.7500,9.7500,9.7500,1025000
2018-06-20,9.7300,9.7500,9.7200,9.7500,2400
2018-06-21,9.7500,9.7500,9.7500,9.7500,50000
2018-06-22,9.7800,9.7800,9.7800,9.7800,250
2018-06-25,9.7410,9.7600,9.7410,9.7600,30300
2018-06-26,9.7600,9.7600,9.7400,9.7600,28600
2018-06-27,9.7600,9.7600,9.7600,9.7600,0
2018-06-28,9.7600,9.7600,9.7600,9.7600,0
2018-06-29,9.7500,9.7500,9.7500,9.7500,700
2018-07-02,9.7500,9.7500,9.7500,9.7500,25500
2018-07-03,9.7500,9.7600,9.7500,9.7600,863600
2018-07-05,9.7600,9.7600,9.7600,9.7600,0
2018-07-06,9.7500,9.7600,9.7500,9.7500,50000
2018-07-09,9.7500,9.7500,9.7500,9.7500,54400
2018-07-10,9.7500,9.7500,9.7500,9.7500,0
2018-07-11,9.7500,9.7500,9.7500,9.7500,100
2018-07-12,9.7500,9.7500,9.7500,9.7500,0
2018-07-13,9.7500,9.7500,9.7500,9.7500,0
2018-07-16,9.7500,9.7500,9.7500,9.7500,0
2018-07-17,9.7500,9.7800,9.7500,9.7500,81700
2018-07-18,9.7500,9.7500,9.7500,9.7500,0
2018-07-19,9.7500,9.7500,9.7500,9.7500,0
2018-07-20,9.7500,9.7500,9.7500,9.7500,0
2018-07-23,9.7500,9.7500,9.7500,9.7500,0
2018-07-24,9.7500,9.7500,9.7500,9.7500,0
2018-07-25,9.7500,9.7700,9.7500,9.7500,5200
2018-07-26,9.7500,9.7500,9.7400,9.7400,802900
2018-07-27,9.7400,9.7500,9.7300,9.7500,326400
2018-07-30,9.7400,9.7500,9.7400,9.7500,31525
2018-07-31,9.7500,9.7510,9.7460,9.7500,56125
2018-08-01,9.7500,9.7500,9.7500,9.7500,500
2018-08-02,9.7460,9.7460,9.7460,9.7460,3897
2018-08-03,9.7500,9.7700,9.7500,9.7600,361726
2018-08-06,9.8000,9.8000,9.8000,9.8000,8100
2018-08-07,9.8000,9.8000,9.8000,9.8000,10000
2018-08-08,9.8000,9.8000,9.8000,9.8000,0
2018-08-09,9.8000,9.8000,9.8000,9.8000,0
2018-08-10,9.8000,9.8000,9.8000,9.8000,0
2018-08-13,9.7900,9.7900,9.7600,9.7600,160140
2018-08-14,9.7600,9.8100,9.7400,9.8000,10924
2018-08-15,9.8000,9.8000,9.8000,9.8000,0
2018-08-16,9.8000,9.8000,9.8000,9.8000,0
2018-08-17,9.7500,9.7500,9.7500,9.7500,6000
2018-08-20,9.8000,9.8000,9.8000,9.8000,11125
2018-08-21,9.8000,9.8000,9.8000,9.8000,0
2018-08-22,9.8100,9.8100,9.8000,9.8000,2900
2018-08-23,9.8000,9.8000,9.7700,9.7700,7767
2018-08-24,9.8100,9.8100,9.7600,9.8000,104885
2018-08-27,9.8000,9.8000,9.7900,9.7900,3000
2018-08-28,9.8000,9.8000,9.7900,9.8000,12150
2018-08-29,9.8000,9.8000,9.8000,9.8000,2900
2018-08-30,9.8000,9.8100,9.8000,9.8100,2933
2018-08-31,9.8100,9.8100,9.8100,9.8100,10617
2018-09-04,9.8200,9.8500,9.8100,9.8300,305606
2018-09-05,9.8500,9.8500,9.8200,9.8200,300000
2018-09-06,9.8500,9.8500,9.8100,9.8200,372300
2018-09-07,9.8300,9.8300,9.8300,9.8300,52800
2018-09-10,9.8400,9.8400,9.8200,9.8200,229400
2018-09-11,9.8200,9.8200,9.8150,9.8200,105600
2018-09-12,9.8200,9.8200,9.8200,9.8200,0
2018-09-13,9.8500,9.8500,9.8200,9.8300,375554
2018-09-14,9.8200,9.8200,9.8000,9.8000,801
2018-09-17,9.8000,9.8000,9.7800,9.7800,541
2018-09-18,9.7800,9.8000,9.7400,9.8000,29000
2018-09-19,9.7800,9.8200,9.7800,9.8000,62644
2018-09-20,9.8000,9.8000,9.8000,9.8000,250051
2018-09-21,9.8200,9.8200,9.8200,9.8200,200
