date,open,high,low,close,volume
2019-07-25,40.5100,45.4600,37.7400,38.1000,14798181
2019-07-26,37.7500,40.5000,37.2600,38.1200,2633142
2019-07-29,38.8400,42.0000,38.2228,41.6300,1410637
2019-07-30,41.4600,42.8000,40.1000,41.0000,910374
2019-07-31,41.1100,45.6800,41.1100,44.2500,2864558
2019-08-01,43.9700,44.4999,41.0100,41.0100,526984
2019-08-02,41.0100,41.0100,36.6700,37.4900,1230676
2019-08-05,36.5000,36.5000,33.2000,33.5300,803876
2019-08-06,34.1600,35.9700,31.5982,33.1500,603363
2019-08-07,32.8000,34.7100,31.7800,33.2100,547428
2019-08-08,33.2200,35.3600,33.1200,33.2100,570651
2019-08-09,34.7100,38.4400,34.5000,37.5700,1155449
2019-08-12,37.5700,38.9690,35.5100,36.9400,574970
2019-08-13,36.8600,38.8900,36.0300,36.2500,472616
2019-08-14,36.0000,36.0800,32.5100,33.9200,816947
2019-08-15,34.0800,34.8672,33.5700,34.0300,258848
2019-08-16,34.5000,37.0400,34.5000,36.7900,406833
2019-08-19,37.7000,38.9800,34.3100,36.5000,813411
2019-08-20,36.3200,37.9900,34.9500,34.9900,383560
2019-08-21,35.2500,36.9549,34.5014,34.9500,493427
2019-08-22,35.5000,36.2465,35.2401,35.4200,351110
2019-08-23,35.5000,35.9750,34.3700,34.6400,139083
2019-08-26,34.8800,35.5000,31.3400,31.3400,1446215
2019-08-27,31.8200,32.2500,29.5200,29.6900,1054095
2019-08-28,30.9900,31.5000,29.8000,30.0400,812186
2019-08-29,30.5000,31.2300,30.0100,30.8400,424123
2019-08-30,30.9600,31.9900,29.6300,30.6400,682046
2019-09-03,30.6100,31.3763,30.0100,30.2300,508047
2019-09-04,30.9100,31.0000,29.8500,30.8900,894970
2019-09-05,30.0100,31.2900,23.7000,25.5500,5734689
2019-09-06,25.9900,27.3600,25.8212,26.0600,1169419
2019-09-09,26.2900,26.8000,23.2200,23.4700,1517642
2019-09-10,23.3600,24.0000,22.8800,23.3500,1377301
2019-09-11,23.5000,24.3977,23.4500,23.9300,1222543
2019-09-12,24.1600,25.6000,24.1600,25.2800,1333561
2019-09-13,25.2100,26.1900,24.3600,24.6400,553592
2019-09-16,24.8100,25.2200,23.4500,23.4800,957158
2019-09-17,23.5200,24.0000,22.3000,22.5700,1174829
2019-09-18,22.5500,23.1800,21.9000,22.5900,1013085
2019-09-19,22.6900,23.3000,22.4500,23.0600,880475
2019-09-20,22.9700,23.9300,22.6900,23.8600,2578694
2019-09-23,23.8500,24.3500,22.3000,22.4900,771966
2019-09-24,22.4700,22.4900,19.2300,19.3900,3099681
2019-09-25,19.6900,19.6900,18.1500,19.0000,1668189
2019-09-26,18.9100,19.0500,17.5780,17.8900,1152400
2019-09-27,17.8900,18.1542,16.6500,17.0500,1440486
2019-09-30,17.1100,17.6874,16.8539,17.4400,924670
2019-10-01,17.5300,17.5350,15.7000,15.9200,1387253
2019-10-02,15.5700,16.9900,15.1200,16.8700,1484119
