date,open,high,low,close,volume
1999-11-01,43.1900,43.8800,42.1300,42.6300,832700
1999-11-02,43.4400,45.6900,43.2500,44.5600,1956800
1999-11-03,45.5000,45.5000,43.9400,44.0000,1245900
1999-11-04,44.5000,45.0000,43.6300,44.0000,1133700
1999-11-05,44.5000,45.3800,44.5000,44.8100,749200
1999-11-08,44.3800,44.4400,43.3800,43.6300,806900
1999-11-09,42.8800,42.9400,41.3100,41.6300,1368200
1999-11-10,42.1900,43.6300,41.6900,43.0600,1097200
1999-11-11,43.1300,43.1300,42.0000,42.0600,981500
1999-11-12,42.3100,43.3800,42.3100,42.6900,951600
1999-11-15,42.6900,43.9400,42.5000,43.0000,1643000
1999-11-16,43.2500,43.5000,40.9400,42.0000,1264800
1999-11-17,41.7500,42.7500,41.0600,41.4400,1461300
1999-11-18,41.5000,42.2500,41.5000,42.0000,594100
1999-11-19,42.2500,43.0000,41.8800,42.8800,606900
1999-11-22,42.2500,42.2500,41.0600,41.2500,1171700
1999-11-23,41.9400,42.8800,41.6300,42.0000,1981600
1999-11-24,42.2500,42.6300,41.6300,41.8100,973100
1999-11-26,41.8100,42.6300,41.6900,42.5600,410500
1999-11-29,42.6900,46.1300,42.6900,45.6300,1894600
1999-11-30,45.8800,47.1300,45.8800,47.0600,1389200
1999-12-01,46.7500,46.7500,45.6900,45.9400,2686900
1999-12-02,45.5000,45.6300,45.0000,45.5000,1626900
1999-12-03,47.3800,47.4400,45.5000,45.5000,1200800
1999-12-06,44.5000,45.7500,44.3100,45.0600,1323100
1999-12-07,45.0000,45.0000,43.0900,43.8100,930700
1999-12-08,43.3100,44.8800,43.3100,44.7700,869200
1999-12-09,43.8800,44.8100,43.8800,44.6300,1052000
1999-12-10,44.7500,46.1300,44.7500,46.0600,1247400
1999-12-13,46.0600,46.4400,45.4400,45.9500,1175300
1999-12-14,46.5000,46.5000,45.0600,45.0600,1248100
1999-12-15,45.5600,45.9400,45.0600,45.5600,963100
1999-12-16,45.7500,46.7500,45.0000,46.1300,1268200
1999-12-17,46.3700,48.1300,46.1200,47.7500,1400500
1999-12-20,48.5000,49.3100,47.5000,47.6300,1217700
1999-12-21,47.6300,49.6300,47.5600,49.3100,1468300
1999-12-22,49.5000,49.7500,48.2500,48.7500,1023400
1999-12-23,48.7500,49.4400,48.7500,49.1800,798200
1999-12-27,49.0000,49.9400,49.0000,49.1300,717300
1999-12-28,49.6900,50.2500,49.0600,49.1300,717500
1999-12-29,49.1900,50.1300,48.4700,49.2500,746400
1999-12-30,49.4400,50.0600,49.0000,49.7500,451600
1999-12-31,49.7500,50.7500,49.7500,50.5600,288000
2000-01-03,50.2500,50.5000,49.9400,50.3800,1246600
2000-01-04,49.3800,49.7500,48.1900,48.9400,763500
2000-01-05,49.1300,49.8100,48.2500,49.5000,877700
2000-01-06,50.0000,50.0000,48.3100,49.4400,831600
2000-01-07,49.2500,51.0000,49.0600,50.8100,1039200
2000-01-10,50.8800,53.1900,50.8800,52.3800,1438600
2000-01-11,53.3100,53.8800,50.6300,50.6900,1316300
2000-01-12,50.8100,51.1300,49.6300,50.5600,1345800
2000-01-13,50.2500,51.6900,49.8100,51.2500,1378100
2000-01-14,51.2500,51.6300,46.0000,47.8800,5018900
2000-01-18,46.8100,48.1300,46.8100,47.9400,2090500
2000-01-19,48.1300,49.3100,47.3800,47.8100,1246100
2000-01-20,47.6300,47.6300,45.0000,46.2600,1366700
2000-01-21,45.0000,45.0000,43.3100,43.8800,1233800
2000-01-24,44.1300,44.5000,41.0600,41.2500,1140700
2000-01-25,42.1300,43.6900,41.5000,43.0600,923400
2000-01-26,43.6900,45.1300,42.7500,45.0000,1495600
2000-01-27,44.2500,44.2500,42.1300,42.6900,1117100
2000-01-28,42.4400,42.7500,41.3800,41.6300,666700
2000-01-31,41.5000,42.4400,41.0000,41.6300,801200
2000-02-01,41.6300,43.3100,41.4400,42.1300,871200
2000-02-02,42.0000,42.8800,41.5000,42.8100,591900
2000-02-03,42.9400,42.9400,41.0000,41.3100,1431200
2000-02-04,41.0600,41.2500,39.3800,39.9400,1591000
2000-02-07,39.9400,39.9400,36.9400,37.3100,1616300
2000-02-08,38.0600,39.0000,37.8100,38.8800,3037300
2000-02-09,39.0000,39.0600,36.8800,37.9400,1738700
2000-02-10,38.0000,38.3100,37.0600,37.6900,815400
2000-02-11,37.9400,38.0000,36.8100,36.9400,848700
2000-02-14,37.0000,37.3800,36.0600,36.8100,716500
2000-02-15,36.5600,38.3100,36.3800,37.9400,1118700
2000-02-16,37.5600,37.6900,35.2500,35.6900,808300
2000-02-17,36.3100,36.4400,34.0000,34.3100,1645500
2000-02-18,34.5600,35.2500,33.6900,33.8100,927300
2000-02-22,34.0000,35.0600,33.3100,35.0000,1309400
2000-02-23,35.1300,35.2500,33.8100,34.1900,1488400
2000-02-24,33.9400,34.0000,31.6300,32.4400,1980400
2000-02-25,33.1900,33.3800,32.5600,32.5600,1045800
2000-02-28,33.6300,35.6300,33.3800,35.2500,1584900
2000-02-29,37.3800,37.7500,36.1900,36.6900,2146100
2000-03-01,38.3800,38.4400,35.8100,36.3100,1737500
2000-03-02,36.0600,36.9400,36.0000,36.4400,741400
2000-03-03,36.4400,37.3100,36.1300,36.1300,734900
2000-03-06,35.9400,36.2500,34.0600,34.4400,937200
2000-03-07,33.7500,34.3100,33.0000,33.0000,1105900
2000-03-08,33.2500,34.5000,32.8800,34.0600,873800
2000-03-09,33.8100,34.5000,33.3800,34.1900,1103100
