date,open,high,low,close,volume
1999-11-01,7.0000,7.1250,6.9380,7.1250,44000
1999-11-02,7.0630,7.8130,7.0630,7.8130,74000
1999-11-03,7.6880,7.6880,7.5000,7.6250,205000
1999-11-04,7.6250,7.6250,7.3750,7.5000,115000
1999-11-05,7.5000,7.5000,7.4380,7.5000,49000
1999-11-08,7.3750,7.3750,6.9380,7.0000,20000
1999-11-09,7.1250,7.5000,7.1250,7.5000,137000
1999-11-10,7.3750,7.3750,6.8130,6.9380,177000
1999-11-11,7.0000,7.0000,6.7500,6.8750,383000
1999-11-12,6.8130,6.8130,6.3750,6.4380,100000
1999-11-15,6.4380,6.4380,6.3750,6.4380,214000
1999-11-16,6.5630,6.6250,6.3750,6.3750,66000
1999-11-17,6.5000,6.6250,6.4380,6.5630,137000
1999-11-18,6.6880,6.6880,6.3750,6.5000,112000
1999-11-19,6.5000,6.6880,6.5000,6.6250,121000
1999-11-22,6.5630,6.9380,6.5630,6.8130,48000
1999-11-23,6.9380,6.9380,6.5630,6.7500,44000
1999-11-24,6.7500,6.7500,6.5000,6.6250,58000
1999-11-26,6.5630,6.6880,6.5000,6.6880,35000
1999-11-29,6.6250,6.6250,6.1250,6.6250,119000
1999-11-30,6.5630,6.6880,6.2500,6.6880,268000
1999-12-01,6.5630,7.0000,6.5000,7.0000,1035000
1999-12-02,7.0000,7.0630,6.7500,7.0000,194000
1999-12-03,7.0000,7.2500,7.0000,7.0630,240000
1999-12-06,7.0630,7.1250,7.0000,7.0630,65000
1999-12-07,7.0630,7.0630,6.9380,7.0000,343000
1999-12-08,7.0000,7.0000,6.9380,6.9380,108000
1999-12-09,7.0000,7.0630,6.9380,6.9380,112000
1999-12-10,7.0000,7.0630,6.7500,6.8750,219000
1999-12-13,6.8750,7.1880,6.7500,7.0000,244000
1999-12-14,6.9380,7.1250,6.8750,6.8750,128000
1999-12-15,6.9380,7.7500,6.7500,7.0000,775000
1999-12-16,7.0000,7.1250,6.6250,6.8750,373000
1999-12-17,7.1250,7.1250,7.1250,7.1250,672000
1999-12-20,7.0000,7.1250,6.9380,6.9380,331000
1999-12-21,7.0000,7.1880,6.9380,7.0630,174000
1999-12-22,7.0000,7.1880,7.0000,7.0630,122000
1999-12-23,7.1250,7.7500,7.0630,7.6880,230000
1999-12-27,7.6880,8.4380,7.6880,8.0630,234000
1999-12-28,8.0630,8.2500,8.0000,8.1250,115000
1999-12-29,8.0630,8.0630,7.3130,7.3130,140000
1999-12-30,7.3750,8.0000,7.3750,7.5000,110000
1999-12-31,7.5000,7.9380,7.5000,7.6880,88000
2000-01-03,7.6880,7.6880,7.4380,7.4380,84000
2000-01-04,7.3750,7.6880,7.2500,7.5000,83000
2000-01-05,7.5630,7.6880,7.3130,7.6250,47000
2000-01-06,7.6250,7.9380,7.5000,7.8130,124000
2000-01-07,7.8130,8.1880,7.7500,8.0000,74000
2000-01-10,7.9380,8.1250,7.9380,8.0630,74000
2000-01-11,8.0000,8.1250,7.8750,8.0630,405000
2000-01-12,8.0630,8.1880,8.0000,8.1250,54000
