date,open,high,low,close,volume
2009-10-07,0.0600,1.8000,0.0500,1.6000,125900
2009-10-08,2.0000,5.0000,2.0000,3.0000,361400
2009-10-09,3.4400,3.7500,2.3000,2.6500,90600
2009-10-12,2.3000,2.7000,1.5000,1.7500,66100
2009-10-13,1.5000,1.9400,1.5000,1.8000,23300
2009-10-14,1.8500,1.8500,1.2500,1.8000,55600
2009-10-15,1.6500,1.7000,1.5000,1.5100,14300
2009-10-16,1.4000,1.5000,1.2000,1.2000,91800
2009-10-19,1.1800,1.2500,1.1000,1.2500,54900
2009-10-20,1.2500,1.6500,1.2500,1.3000,25700
2009-10-21,1.0200,1.0800,0.9900,1.0300,46400
2009-10-22,1.0300,1.0500,0.5100,1.0000,12600
2009-10-23,0.5200,1.0500,0.5200,1.0000,20800
2009-10-26,0.8000,0.9900,0.6000,0.6000,7600
2009-10-27,0.6000,0.6500,0.5900,0.5900,9800
2009-10-28,0.6000,0.8000,0.5900,0.6000,32500
2009-10-29,0.6500,0.6500,0.6500,0.6500,4400
2009-10-30,0.6500,0.6500,0.6500,0.6500,1400
2009-11-02,0.7500,0.7500,0.6000,0.6000,2300
2009-11-03,0.6000,0.6100,0.6000,0.6000,3000
2009-11-04,0.6000,0.9500,0.6000,0.9500,1300
2009-11-05,0.6000,1.5000,0.6000,0.7000,47800
2009-11-06,0.7000,0.7000,0.6000,0.6100,25800
2009-11-09,0.5200,0.7000,0.5200,0.6000,35700
2009-11-10,0.6000,0.6000,0.4500,0.5000,51100
2009-11-11,0.3200,0.6000,0.3200,0.3200,42500
2009-11-12,0.3500,0.9000,0.3500,0.5100,4100
2009-11-13,0.5000,1.0100,0.4000,0.5000,29600
2009-11-16,1.0100,1.0100,0.4500,0.5500,27100
2009-11-17,1.0100,1.0100,0.5100,0.9000,23300
2009-11-18,0.5800,0.7500,0.5400,0.6000,16200
2009-11-19,0.8300,0.8300,0.5500,0.8000,1300
2009-11-20,0.6000,0.8000,0.6000,0.8000,6300
2009-11-23,0.6500,0.7000,0.6500,0.7000,13900
2009-11-24,0.6800,0.8000,0.6800,0.6900,12000
2009-11-25,0.6900,0.6900,0.6300,0.6300,1700
2009-11-27,0.6300,0.6500,0.5500,0.5500,20900
2009-11-30,0.5500,0.5500,0.5500,0.5500,4300
2009-12-01,0.6000,0.6500,0.5500,0.5500,9900
2009-12-02,0.5500,0.5500,0.5500,0.5500,6900
2009-12-03,0.5500,0.5500,0.5500,0.5500,800
2009-12-04,0.5500,0.6000,0.5500,0.5900,12000
