date,open,high,low,close,volume
2021-07-08,12.0000,27.3076,12.0000,24.0000,2479361
2021-07-09,24.4200,25.5000,15.1900,15.9500,2648750
2021-07-12,15.0400,19.8000,10.1000,10.8400,5954513
2021-07-13,9.8400,10.3000,6.7000,7.2000,2550657
2021-07-14,6.1300,7.3000,4.5000,5.0100,2707209
2021-07-15,5.1900,7.3100,4.7500,5.4900,8100264
2021-07-16,5.5000,5.5500,4.8000,5.3000,1017356
2021-07-19,4.9300,5.0000,3.7878,4.1700,2716285
2021-07-20,4.0900,4.5300,3.9000,4.1000,2663274
2021-07-21,3.9900,4.6300,3.8500,4.6100,2937524
2021-07-22,4.4700,4.7800,4.1368,4.1600,1983596
2021-07-23,4.1600,5.2800,4.1300,4.2300,3123539
2021-07-26,4.1000,5.6300,4.0500,4.2900,12148814
2021-07-27,4.2500,4.4200,3.8800,4.0400,929559
2021-07-28,3.9600,4.1400,3.9300,4.0700,436401
2021-07-29,4.1200,4.1818,3.9500,4.0100,227471
2021-07-30,3.9400,4.0500,3.8200,3.8800,309500
2021-08-02,3.8900,3.9990,3.7901,3.8700,290482
2021-08-03,3.7900,3.9000,3.5600,3.6300,421946
2021-08-04,3.5100,3.5500,3.2750,3.3800,463628
2021-08-05,3.3100,3.4900,3.2500,3.2800,327693
2021-08-06,3.2900,3.4000,3.2800,3.3400,197498
2021-08-09,3.3600,3.3733,3.2336,3.2900,225492
2021-08-10,3.3500,3.8500,3.2800,3.8300,1294087
2021-08-11,3.7300,3.9800,3.4200,3.6500,1235968
2021-08-12,3.6900,3.9100,3.5100,3.6650,678239
2021-08-13,3.6200,3.6300,3.2800,3.3000,313751
2021-08-16,3.3300,3.4500,3.3000,3.3600,152647
2021-08-17,3.3600,3.3700,3.1000,3.1000,228931
2021-08-18,3.0900,3.2800,3.0601,3.2200,176187
2021-08-19,3.1500,3.2500,2.9600,2.9800,293187
2021-08-20,3.0100,3.1300,2.9538,3.0100,222382
2021-08-23,3.0300,3.3500,2.9500,3.1100,1201872
2021-08-24,3.0900,3.2000,3.0100,3.1000,271235
2021-08-25,3.1400,3.2899,3.1200,3.2200,251461
2021-08-26,3.2200,3.3900,3.1000,3.1100,292735
2021-08-27,3.1600,3.2500,3.0695,3.1300,213325
2021-08-30,3.1700,3.6000,3.1300,3.3900,763885
2021-08-31,3.3200,3.7200,3.2800,3.3900,814200
2021-09-01,3.4300,3.4400,3.2500,3.3100,239802
2021-09-02,3.3200,3.5300,3.3000,3.4800,617954
2021-09-03,3.5000,3.5000,3.3000,3.3600,182377
2021-09-07,3.3900,3.5800,3.3238,3.3700,436490
2021-09-08,3.5000,3.6500,3.2900,3.6000,977232
2021-09-09,3.7000,3.8700,3.5500,3.5700,615091
2021-09-10,3.5800,3.5900,3.3804,3.4300,406879
2021-09-13,3.4000,3.4850,3.2300,3.3700,168008
2021-09-14,3.3700,3.3950,3.0500,3.0700,405946
2021-09-15,3.0700,3.1900,3.0200,3.0400,161657
2021-09-16,3.0500,3.1100,2.8600,2.9500,530409
2021-09-17,3.1400,3.1400,2.9200,2.9200,714770
2021-09-20,2.8000,2.8600,2.6000,2.6200,717114
2021-09-21,2.7400,2.9500,2.6501,2.8900,669034
2021-09-22,2.9800,2.9800,2.6995,2.7200,729633
2021-09-23,2.7200,2.8100,2.7100,2.7600,244933
2021-09-24,2.8000,2.8000,2.7200,2.7400,118480
2021-09-27,2.7100,2.7700,2.6700,2.7100,358269
2021-09-28,2.7000,2.8700,2.6800,2.8200,465484
2021-09-29,2.7500,3.4100,2.7500,3.0700,3927088
2021-09-30,2.8800,3.0200,2.7500,2.8200,857455
2021-10-01,2.9500,2.9500,2.7501,2.7900,270665
2021-10-04,2.7600,2.7900,2.5500,2.6500,692673
2021-10-05,2.4800,2.8100,2.4800,2.6900,929798
2021-10-06,2.6600,3.0900,2.5101,2.6100,3459051
2021-10-07,2.6400,2.9900,2.5500,2.9000,918902
2021-10-08,2.9300,2.9800,2.8283,2.9000,451197
2021-10-11,2.8600,3.0300,2.7700,2.8200,356508
2021-10-12,2.9200,3.1200,2.8100,3.0200,912702
2021-10-13,2.9800,3.2300,2.9500,3.2000,604252
2021-10-14,3.2000,3.2000,3.0300,3.1027,266684
2021-10-15,3.0600,3.0616,2.9000,2.9700,369978
2021-10-18,2.9500,3.0031,2.8700,2.9300,127728
2021-10-19,2.9200,2.9700,2.6700,2.7050,673622
2021-10-20,2.8500,2.8794,2.8000,2.8500,419015
2021-10-21,2.8300,2.8900,2.7000,2.7100,151180
2021-10-22,2.7100,2.7976,2.6200,2.6600,356628
2021-10-25,2.6500,2.7900,2.6400,2.7000,141006
2021-10-26,2.7400,2.7400,2.6000,2.6500,138764
