date,open,high,low,close,volume
2009-02-11,26.0000,27.0700,25.9000,26.4300,21745900
2009-02-12,26.3600,27.1900,26.0000,27.1600,3970800
2009-02-13,26.7700,27.1900,26.6700,26.8100,1064800
2009-02-17,26.4400,27.6300,26.3000,27.2600,1264600
2009-02-18,27.6300,28.2200,27.2000,27.9500,1465800
2009-02-19,27.9100,28.9800,27.8800,28.5600,1156200
2009-02-20,28.4300,29.6300,27.8700,29.6300,1547800
2009-02-23,29.6600,29.8500,27.2700,27.3000,1100500
2009-02-24,27.4100,28.0000,27.0600,27.4900,911300
2009-02-25,27.8200,28.3500,26.8500,27.9200,985000
2009-02-26,28.2700,28.3000,27.0000,27.5600,601600
2009-02-27,27.3500,27.8500,27.0200,27.5900,457000
2009-03-02,27.6000,27.8400,26.8601,27.0000,585300
2009-03-03,27.2600,27.3000,26.0000,26.4400,750100
2009-03-04,26.9700,27.4500,26.7200,27.0000,544600
2009-03-05,27.0000,27.1900,26.6100,27.0300,910600
2009-03-06,26.9000,27.1800,26.2500,26.4400,526200
2009-03-09,26.2500,27.1000,26.1200,26.3600,166500
2009-03-10,26.3700,27.1300,26.3000,26.4600,251600
2009-03-11,26.2500,26.9800,26.1600,26.5800,812200
2009-03-12,26.3600,28.0200,26.3500,27.9800,1003600
2009-03-13,28.2500,28.3300,27.3400,27.4200,430200
2009-03-16,27.7000,27.7000,26.2100,26.3200,437400
2009-03-17,26.3000,27.6000,26.2500,27.5400,336800
2009-03-18,27.1500,27.7500,27.0200,27.5800,333700
2009-03-19,27.4000,27.7600,27.1100,27.4200,326700
2009-03-20,27.5700,28.3800,27.1300,27.6700,442200
2009-03-23,27.7700,27.9700,26.5000,27.3700,623400
2009-03-24,26.9600,27.5000,26.5100,27.1000,742300
2009-03-25,26.9900,28.0000,26.7600,27.2800,557200
2009-03-26,27.2600,27.7000,26.7500,27.5500,462300
2009-03-27,27.2500,27.7500,27.1500,27.5300,332000
2009-03-30,26.9100,28.0000,26.7100,27.2800,516600
2009-03-31,27.7300,28.9800,27.5500,28.8700,3027700
2009-04-01,28.8600,28.8600,27.6850,27.8800,760500
2009-04-02,28.3800,28.4300,27.0800,27.3500,517400
2009-04-03,27.4800,27.5800,27.0600,27.3500,370600
2009-04-06,27.0500,28.0800,26.8100,28.0500,353200
2009-04-07,27.5500,28.3300,27.1100,27.1500,664300
2009-04-08,27.5700,27.5700,26.8400,26.9000,378500
2009-04-09,27.1000,27.2100,26.2600,26.6000,789500
2009-04-13,26.8400,27.0000,26.2000,26.4800,394100
2009-04-14,26.4300,27.3600,26.1500,26.5000,377000
2009-04-15,26.7400,26.8400,26.0000,26.6100,754400
2009-04-16,26.6500,27.3200,26.4600,27.0000,228800
2009-04-17,27.1400,27.1400,26.3600,26.4700,658400
2009-04-20,26.3800,26.3800,25.7200,26.2200,354600
2009-04-21,26.0000,26.9100,25.9600,26.3600,276400
2009-04-22,26.0000,26.8600,25.9800,26.6100,464400
2009-04-23,26.9400,27.0600,26.1950,26.3300,391000
2009-04-24,26.8700,26.8700,26.0400,26.2800,615300
2009-04-27,26.0000,26.8600,26.0000,26.2500,536700
2009-04-28,27.6200,29.5400,27.1000,28.4700,1585700
2009-04-29,28.9800,29.0500,27.7500,28.9600,951000
2009-04-30,28.8100,29.3000,28.0000,28.2500,571100
2009-05-01,28.2900,28.4500,27.7500,28.3600,242800
2009-05-04,28.8000,30.1300,28.7000,30.1300,384000
2009-05-05,30.4400,31.0000,29.0500,30.8000,496500
2009-05-06,31.1900,31.3500,28.7900,29.7500,906500
2009-05-07,29.9800,30.0500,28.8200,29.9700,395100
2009-05-08,30.0600,30.7600,29.4800,30.7600,490900
2009-05-11,30.4400,30.8600,29.7400,29.9500,277000
2009-05-12,29.7400,30.1100,29.3500,29.8200,189000
2009-05-13,29.9000,29.9581,28.0200,29.4500,593600
2009-05-14,29.6700,29.6700,28.7400,28.8400,392600
2009-05-15,29.2400,29.2400,28.8000,28.8200,498900
2009-05-18,28.8000,29.2100,28.7000,29.2100,162100
2009-05-19,28.7700,29.8600,28.5200,29.4200,342500
2009-05-20,29.2700,29.8100,28.5000,28.5800,317000
2009-05-21,28.1000,29.7775,27.7000,29.7300,311600
2009-05-22,29.4100,29.8800,29.2920,29.7000,97100
2009-05-26,29.5900,31.1700,29.5600,30.7400,399300
2009-05-27,30.3900,31.2000,30.0000,30.4100,269100
2009-05-28,30.7400,31.0000,30.2300,30.4200,500700
2009-05-29,30.0500,31.1600,29.7785,31.1600,921000
