date,open,high,low,close,volume
2010-11-08,1.0100,1.0100,1.0100,1.0100,500
2010-11-09,1.0100,1.0100,1.0100,1.0100,0
2010-11-10,1.0100,1.0100,1.0100,1.0100,0
2010-11-11,1.0100,1.0100,1.0100,1.0100,0
2010-11-12,1.0100,1.0100,1.0100,1.0100,0
2010-11-15,1.0100,1.0100,1.0100,1.0100,0
2010-11-16,1.0100,1.0100,1.0100,1.0100,0
2010-11-17,1.0100,1.0100,1.0100,1.0100,0
2010-11-18,1.0100,1.0100,1.0100,1.0100,0
2010-11-19,1.0100,1.0100,1.0100,1.0100,0
2010-11-22,1.0100,1.0100,1.0100,1.0100,0
2010-11-23,1.0100,1.0100,1.0100,1.0100,0
2010-11-24,1.0500,1.0500,1.0500,1.0500,1000
2010-11-26,1.0500,1.0500,1.0500,1.0500,0
2010-11-29,1.0500,1.0500,1.0500,1.0500,0
2010-11-30,1.0500,1.0500,1.0500,1.0500,1000
2010-12-01,1.0500,1.0500,1.0500,1.0500,0
2010-12-02,1.0500,1.0500,1.0500,1.0500,0
2010-12-03,1.0500,1.0500,1.0500,1.0500,0
2010-12-06,1.0500,1.0500,1.0500,1.0500,0
2010-12-07,1.0500,1.0500,1.0500,1.0500,0
2010-12-08,1.0500,1.0500,1.0500,1.0500,0
2010-12-09,2.5500,4.5000,2.5500,4.5000,6500
2010-12-10,5.5000,5.5000,5.5000,5.5000,500
2010-12-13,4.1000,7.0000,4.1000,6.5000,3200
2010-12-14,7.0000,12.0000,6.8000,11.0000,4200
2010-12-15,3.0000,3.0000,3.0000,3.0000,1625
2010-12-16,3.0500,3.0500,3.0000,3.0000,2000
2010-12-17,2.8500,3.0000,2.8500,3.0000,7000
2010-12-20,2.9500,2.9500,2.9500,2.9500,4800
2010-12-21,2.8600,2.8600,2.7500,2.7500,3200
2010-12-22,2.6000,2.6000,2.5000,2.5000,2000
2010-12-23,2.8000,2.8000,2.8000,2.8000,3000
2010-12-27,2.7500,2.7500,2.7500,2.7500,100
2010-12-28,2.5500,2.8500,2.5500,2.8500,2200
2010-12-29,2.8500,2.8500,2.8500,2.8500,0
2010-12-30,2.8500,2.8500,2.8500,2.8500,0
2010-12-31,2.8500,2.8500,2.8500,2.8500,0
2011-01-03,2.6500,2.6500,2.0000,2.6500,2500
2011-01-04,2.6500,2.7000,2.5200,2.6000,27400
2011-01-05,2.6500,2.6500,2.5500,2.5500,3600
2011-01-06,2.6500,2.8000,2.6500,2.8000,14200
2011-01-07,2.9000,2.9500,2.8000,2.9500,6100
2011-01-10,2.9000,3.0500,2.9000,3.0500,6400
2011-01-11,2.9500,2.9500,2.9500,2.9500,1000
2011-01-12,2.8500,2.9500,2.8500,2.9500,3900
2011-01-13,3.3000,3.3000,2.9000,2.9000,800
2011-01-14,2.8000,2.9500,2.8000,2.9500,3500
2011-01-18,3.0000,3.1000,2.8100,3.0000,11800
2011-01-19,3.0000,3.0000,3.0000,3.0000,0
2011-01-20,3.0000,3.0000,2.8500,2.8500,2300
2011-01-21,2.8500,2.8500,2.8500,2.8500,0
2011-01-24,2.9500,2.9500,2.9500,2.9500,2500
2011-01-25,2.9500,2.9500,2.9500,2.9500,0
2011-01-26,2.9500,2.9500,2.9500,2.9500,0
2011-01-27,2.9500,2.9500,2.9500,2.9500,0
2011-01-28,2.8000,2.8000,2.8000,2.8000,1100
2011-01-31,2.8000,2.8000,2.8000,2.8000,0
2011-02-01,2.7500,2.7500,2.7500,2.7500,600
2011-02-02,2.7000,2.7000,2.5000,2.5000,1000
2011-02-03,2.5000,2.5000,2.4900,2.5000,2500
2011-02-04,2.5000,2.5000,2.5000,2.5000,0
2011-02-07,2.5000,2.5000,2.5000,2.5000,0
2011-02-08,2.5000,2.5000,2.5000,2.5000,0
2011-02-09,2.5000,2.8200,2.5000,2.8000,5500
2011-02-10,2.8000,2.8000,2.8000,2.8000,0
2011-02-11,2.8000,2.8800,2.8000,2.8500,5500
2011-02-14,2.8000,2.8000,2.8000,2.8000,1500
2011-02-15,2.8000,3.0500,2.8000,3.0500,5300
2011-02-16,3.0500,3.0500,3.0500,3.0500,700
2011-02-17,3.0000,3.0000,2.8500,2.8500,1700
2011-02-18,2.9000,2.9000,2.8500,2.8500,3000
2011-02-22,2.8500,2.8500,2.8500,2.8500,0
2011-02-23,2.9500,2.9500,2.8000,2.8100,6100
2011-02-24,2.8500,3.0000,2.8500,3.0000,3500
2011-02-25,3.1000,3.5500,3.1000,3.4000,19631
2011-02-28,3.5500,3.5500,3.5000,3.5500,4500
2011-03-01,3.5500,3.5500,3.5000,3.5000,6000
2011-03-02,3.5000,3.5000,3.5000,3.5000,0
2011-03-03,3.5000,3.5000,3.5000,3.5000,1000
2011-03-04,3.4500,3.4500,3.1100,3.4000,14200
2011-03-07,3.3000,3.4000,3.3000,3.4000,3500
2011-03-08,3.3500,3.3500,3.3500,3.3500,300
2011-03-09,3.3000,3.3000,3.3000,3.3000,1000
2011-03-10,3.5000,3.5000,3.5000,3.5000,200
2011-03-11,3.5000,3.5000,3.5000,3.5000,0
2011-03-14,3.3100,3.3100,3.3100,3.3100,200
2011-03-15,3.3100,3.3100,3.3100,3.3100,0
2011-03-16,3.3100,3.3100,3.3100,3.3100,0
