date,open,high,low,close,volume
2013-03-22,19.0000,19.9500,16.2600,16.2600,10992000
2013-03-25,16.6500,16.6500,15.1500,15.8700,1244200
2013-03-26,16.1500,17.3800,16.0100,17.0400,349100
2013-03-27,17.0000,17.0000,16.4900,16.5500,202900
2013-03-28,16.5600,16.7100,16.1500,16.4300,111100
2013-04-01,16.1900,16.4300,15.8800,15.9900,124000
2013-04-02,15.9900,16.0800,15.6000,15.6100,163000
2013-04-03,15.6000,15.7100,14.6800,14.8000,640800
2013-04-04,14.7700,15.3700,14.6510,15.3500,180900
2013-04-05,14.6743,15.2200,14.6743,15.1200,107200
2013-04-08,15.0400,15.8300,15.0400,15.7500,124600
2013-04-09,15.5500,15.9000,15.5500,15.7000,93500
2013-04-10,15.5500,15.8000,15.3649,15.5500,128000
2013-04-11,15.5000,15.5400,14.9400,15.4400,171700
2013-04-12,15.3600,15.5000,14.7400,14.9000,590400
2013-04-15,14.7000,15.0400,14.7000,14.7300,201500
2013-04-16,15.1300,15.2300,14.8500,14.9500,628500
2013-04-17,14.9600,15.5000,14.6700,14.8900,694000
2013-04-18,14.9900,15.1690,14.6100,14.6200,164700
2013-04-19,14.9000,15.1000,14.5510,14.9100,203300
2013-04-22,14.8900,15.0600,14.6100,14.6100,128300
2013-04-23,14.6100,14.9600,14.6100,14.9600,143400
2013-04-24,14.9900,15.0200,14.6610,14.7300,105700
2013-04-25,14.7100,14.9000,14.5000,14.5200,115500
2013-04-26,14.6500,14.6500,14.0500,14.1400,167300
2013-04-29,14.3100,14.4501,14.1600,14.3100,105600
2013-04-30,14.3800,14.7500,14.1100,14.7000,86800
2013-05-01,14.7000,14.8200,14.2700,14.2800,81700
2013-05-02,14.4300,15.0800,14.1900,14.8400,248800
2013-05-03,15.1200,15.1200,13.7800,14.0500,391800
2013-05-06,14.0900,14.4500,13.5500,14.0500,302100
2013-05-07,14.1200,14.3700,14.1000,14.1800,45300
2013-05-08,14.2200,14.2700,13.9500,14.2700,75100
2013-05-09,14.5100,14.5100,11.2500,11.4400,1554500
2013-05-10,11.4400,11.4400,9.6500,9.9900,1368500
2013-05-13,10.0000,10.1100,9.1100,9.4100,1031600
2013-05-14,9.3200,9.5500,8.7500,9.3700,850300
2013-05-15,9.9900,11.2900,9.9800,10.6200,2266600
2013-05-16,10.8500,11.4900,10.7000,11.3200,646400
2013-05-17,11.5000,12.1600,11.3200,12.0000,473800
2013-05-20,12.0600,12.1600,11.8700,11.9900,265500
2013-05-21,11.9900,12.5100,11.2205,12.4100,449400
2013-05-22,12.3400,12.4299,12.1600,12.2800,140200
2013-05-23,12.0400,12.2800,11.7000,12.2500,359400
2013-05-24,12.1400,12.2290,12.0400,12.1600,116200
2013-05-28,12.2700,12.3100,12.1200,12.1800,107700
2013-05-29,12.1500,12.1900,11.9500,12.1500,72200
2013-05-30,12.1420,12.1500,11.9800,11.9900,96100
2013-05-31,12.0000,12.1000,11.8500,11.9900,89600
2013-06-03,11.9700,12.0100,11.5000,11.5800,668100
2013-06-04,11.7500,11.8000,11.6200,11.7000,128300
2013-06-05,11.6400,11.7500,11.0100,11.1300,70000
2013-06-06,11.1500,11.2700,10.6200,10.8500,84600
2013-06-07,10.2500,10.9500,10.2500,10.6000,233300
2013-06-10,10.6400,10.9200,10.5400,10.8700,125200
2013-06-11,10.7500,11.2500,10.7300,11.0600,81600
2013-06-12,11.1000,11.1000,10.6500,10.7000,44100
2013-06-13,10.6700,10.6999,10.3700,10.5100,42100
2013-06-14,10.5000,10.6400,10.4880,10.5400,41500
2013-06-17,10.6600,10.6600,10.3800,10.4200,131500
2013-06-18,10.3700,10.5000,9.8800,10.3900,202800
2013-06-19,10.3300,10.8500,10.3100,10.4800,259700
2013-06-20,10.2800,10.5300,10.2700,10.4900,66500
2013-06-21,10.5600,10.6299,10.4100,10.4100,127100
2013-06-24,10.3200,10.4000,9.6220,10.3300,123100
2013-06-25,10.4300,10.5660,9.9700,10.1700,61400
2013-06-26,10.1900,10.3300,9.9500,10.1600,93600
2013-06-27,10.2600,10.2600,9.9500,10.1100,82400
2013-06-28,10.1500,10.5600,9.9300,10.2400,846000
2013-07-01,10.2600,11.0250,10.2200,10.9500,149500
2013-07-02,10.9200,11.2100,10.8700,11.1400,135800
2013-07-03,11.1100,11.4900,11.1100,11.4100,91900
2013-07-05,11.5100,12.0900,11.3900,11.6800,339000
2013-07-08,11.6400,11.7850,11.4400,11.5700,101300
2013-07-09,11.5600,11.5600,10.9600,11.0000,106600
2013-07-10,10.9400,11.3300,10.9400,11.1900,53300
2013-07-11,11.3200,11.9900,11.3200,11.7600,199100
