date,open,high,low,close,volume
2020-09-02,25.2000,25.3450,24.5300,24.6700,201691
2020-09-03,24.9000,24.9200,23.2600,23.7100,90943
2020-09-04,23.9200,23.9800,22.3500,23.7700,93352
2020-09-08,23.8000,24.1936,21.9700,22.7500,87977
2020-09-09,22.8500,23.0500,22.6500,22.6999,53953
2020-09-10,23.1500,23.1500,22.3000,22.3700,36667
2020-09-11,22.6400,22.6400,22.0200,22.2009,19350
2020-09-14,22.4800,22.5600,22.2900,22.2900,28290
2020-09-15,22.7500,22.7500,22.1990,22.2150,15314
2020-09-16,22.5800,22.9000,22.4150,22.7300,60318
2020-09-17,22.6300,22.6300,22.2200,22.4750,24223
2020-09-18,22.9301,22.9600,22.0601,22.3224,43380
2020-09-21,22.0400,22.1000,21.4801,21.7452,43914
2020-09-22,21.6850,22.2200,21.6850,22.1100,33599
2020-09-23,22.0000,22.0800,21.1300,21.1300,33106
2020-09-24,21.2100,21.2100,20.4500,20.8800,97200
2020-09-25,20.8523,21.4300,20.8100,21.3600,47387
2020-09-28,21.6500,21.8300,21.5230,21.7600,63020
2020-09-29,21.8400,22.0500,21.8185,21.8900,35346
2020-09-30,22.0800,22.1800,21.8300,21.8900,28805
2020-10-01,21.9000,22.0800,21.7400,21.7754,23966
2020-10-02,21.9500,21.9500,21.4400,21.8476,30769
2020-10-05,22.0500,22.1800,21.9700,22.0987,34689
2020-10-06,22.2000,22.3680,21.8700,21.9185,94522
2020-10-07,22.1300,22.8391,22.1300,22.7700,44118
2020-10-08,23.0600,24.1300,23.0600,24.1300,169361
2020-10-09,24.6100,25.2500,24.5900,25.0900,211506
2020-10-12,25.4300,25.8290,25.3530,25.5800,120108
2020-10-13,25.6500,25.8690,25.0000,25.7800,68383
2020-10-14,25.8500,26.0900,25.3500,25.4500,116090
2020-10-15,25.2300,25.2900,25.0000,25.2200,39523
2020-10-16,25.4000,25.6400,25.3000,25.3600,62940
2020-10-19,25.5900,25.7400,25.3400,25.4000,61786
2020-10-20,25.5500,25.9099,25.5250,25.8000,66548
2020-10-21,25.8400,26.0900,25.5100,26.0100,141446
2020-10-22,26.1200,26.2400,25.5913,26.1800,81110
2020-10-23,26.3100,26.3100,26.0000,26.2900,69185
2020-10-26,26.3800,26.3800,25.0101,25.3300,91387
2020-10-27,25.2100,25.5050,25.2100,25.3200,30681
2020-10-28,25.0000,25.0000,24.3000,24.3000,69619
2020-10-29,24.5347,25.2200,24.3000,25.1700,46814
2020-10-30,25.1300,25.1300,24.7001,25.0400,56411
2020-11-02,25.3100,26.5000,25.3000,26.4500,116793
2020-11-03,27.0000,27.0000,26.4100,26.5500,202263
