date,open,high,low,close,volume
2010-01-05,1.0500,1.0500,1.0000,1.0000,1000
2010-01-06,1.0000,1.0000,1.0000,1.0000,0
2010-01-07,1.0000,1.0000,1.0000,1.0000,0
2010-01-08,1.0000,1.0000,1.0000,1.0000,0
2010-01-11,1.0000,1.0000,1.0000,1.0000,0
2010-01-12,1.5000,1.5000,1.5000,1.5000,500
2010-01-13,3.0500,3.0500,3.0500,3.0500,1000
2010-01-14,2.9500,2.9500,2.9500,2.9500,500
2010-01-15,2.9500,2.9500,2.7500,2.7500,1100
2010-01-19,1.1500,1.1500,1.0500,1.0500,2000
2010-01-20,1.0500,1.0500,1.0000,1.0000,500
2010-01-21,1.0000,1.0000,1.0000,1.0000,0
2010-01-22,1.0000,1.0000,1.0000,1.0000,200
2010-01-25,1.0000,1.0000,1.0000,1.0000,0
2010-01-26,1.0000,1.0000,1.0000,1.0000,0
2010-01-27,1.0000,1.0000,1.0000,1.0000,0
2010-01-28,1.0000,1.0000,1.0000,1.0000,0
2010-01-29,1.0000,1.0000,1.0000,1.0000,0
2010-02-01,1.0000,1.0000,1.0000,1.0000,0
2010-02-02,1.0000,1.0000,1.0000,1.0000,0
2010-02-03,1.0000,1.0000,1.0000,1.0000,0
2010-02-04,1.0000,1.0000,1.0000,1.0000,0
2010-02-05,1.0000,1.0000,1.0000,1.0000,0
2010-02-08,1.0000,1.0000,1.0000,1.0000,0
2010-02-09,1.0000,1.0000,1.0000,1.0000,0
2010-02-10,1.0000,1.0000,1.0000,1.0000,0
2010-02-11,1.0000,1.0000,1.0000,1.0000,0
2010-02-12,1.0000,1.0000,1.0000,1.0000,0
2010-02-16,1.1000,1.1500,0.8000,1.1500,2200
2010-02-17,1.1500,1.1500,1.1500,1.1500,0
2010-02-18,1.1500,1.1500,1.1500,1.1500,200
2010-02-19,1.1500,1.1500,1.1500,1.1500,0
2010-02-22,1.1500,1.1500,1.1500,1.1500,0
2010-02-23,1.1500,1.1500,1.1500,1.1500,0
2010-02-24,1.1500,1.1500,1.1500,1.1500,0
2010-02-25,1.1500,1.1500,1.1500,1.1500,0
2010-02-26,1.1500,1.1500,1.1500,1.1500,0
2010-03-01,1.1500,1.1500,1.1500,1.1500,0
2010-03-02,1.1500,1.1500,1.1500,1.1500,0
2010-03-03,1.1500,1.1500,1.1500,1.1500,0
2010-03-04,1.1500,1.1500,1.1500,1.1500,0
2010-03-05,1.1500,1.1500,1.1500,1.1500,0
2010-03-08,1.1500,1.1500,1.1500,1.1500,0
2010-03-09,1.1500,1.1500,1.1500,1.1500,0
2010-03-10,1.1500,1.1500,1.1500,1.1500,0
2010-03-11,1.1500,1.1500,1.1500,1.1500,0
2010-03-12,1.1500,1.1500,1.1500,1.1500,0
2010-03-15,1.1500,1.1500,1.1500,1.1500,0
2010-03-16,1.1500,1.1500,1.1500,1.1500,0
2010-03-17,1.1500,1.1500,1.1500,1.1500,0
2010-03-18,1.1500,1.1500,1.1500,1.1500,0
2010-03-19,1.1500,1.1500,1.1500,1.1500,0
2010-03-22,1.1500,1.1500,1.1500,1.1500,0
2010-03-23,1.1500,1.1500,1.1500,1.1500,0
2010-03-24,1.1500,1.1500,1.1500,1.1500,0
2010-03-25,1.3000,1.3000,1.3000,1.3000,100
2010-03-26,1.3000,1.3000,1.3000,1.3000,0
2010-03-29,1.3000,1.3000,1.3000,1.3000,0
2010-03-30,1.3000,1.3000,1.3000,1.3000,0
2010-03-31,1.3000,1.3000,1.3000,1.3000,0
2010-04-01,1.3000,1.3000,1.3000,1.3000,0
2010-04-05,1.3000,1.3000,1.3000,1.3000,0
2010-04-06,1.3000,1.3000,1.3000,1.3000,0
2010-04-07,1.3000,1.3000,1.3000,1.3000,0
2010-04-08,1.3000,1.3000,1.3000,1.3000,0
