date,open,high,low,close,volume
2013-04-18,50.9200,50.9200,50.9200,50.9200,400
2013-04-19,51.5400,51.5400,51.5400,51.5400,0
2013-04-22,50.9200,50.9200,50.9200,50.9200,0
2013-04-23,52.2200,52.2200,52.2199,52.2199,600
2013-04-24,51.7000,51.7000,51.5600,51.5600,1100
2013-04-25,51.8100,51.8100,51.8100,51.8100,400
2013-04-26,51.7700,51.7700,51.7700,51.7700,100
2013-04-29,51.8500,52.2000,51.8500,52.0700,4800
2013-04-30,51.6200,51.9300,51.6200,51.8400,1400
2013-05-01,51.8000,51.8000,51.8000,51.8000,100
2013-05-02,51.8200,52.0400,51.8200,52.0300,2500
2013-05-03,52.6500,52.7300,52.6000,52.6200,1000
2013-05-06,53.0600,53.0600,52.4999,52.5400,19500
2013-05-07,52.5900,52.5900,52.5500,52.5600,1500
2013-05-08,52.7400,52.8190,52.7400,52.8190,1600
2013-05-09,52.8600,52.9100,52.7710,52.8300,4700
2013-05-10,53.4900,53.4900,52.9500,52.9500,700
2013-05-13,53.1900,53.2000,53.0943,53.0943,4200
2013-05-14,53.3200,53.5600,53.3199,53.5540,2200
2013-05-15,53.7400,54.0290,53.7100,53.7300,3400
2013-05-16,53.5800,53.6200,53.5000,53.5000,5700
2013-05-17,53.6000,53.6000,53.3700,53.3900,2800
2013-05-20,53.4000,53.4000,53.3000,53.3199,4300
2013-05-21,53.5400,53.5499,53.5400,53.5499,600
2013-05-22,53.8800,53.8800,53.2632,53.2632,1900
2013-05-23,52.6700,53.1370,52.6700,53.1370,700
2013-05-24,53.1800,53.1800,53.1300,53.1700,1200
2013-05-28,53.8100,53.8600,53.2600,53.4090,4000
2013-05-29,53.0000,53.0000,52.6180,52.6900,2500
2013-05-30,52.8900,52.9200,52.7300,52.7300,13000
2013-05-31,52.5300,52.5400,52.0000,52.0000,2400
2013-06-03,51.5000,51.7100,51.4400,51.7100,2100
2013-06-04,51.6400,51.6800,51.2750,51.6800,8400
2013-06-05,51.2600,51.2700,50.8100,50.9700,5400
2013-06-06,50.6600,51.3500,50.6600,51.3500,9900
2013-06-07,52.0100,52.2100,51.9100,52.2100,1300
2013-06-10,53.0000,53.0000,52.0000,52.1100,8500
2013-06-11,51.5900,52.1300,51.5900,51.8700,14500
2013-06-12,52.1400,52.1400,51.3001,51.3300,3400
2013-06-13,51.0200,51.9800,51.0200,51.9800,2100
2013-06-14,52.1320,52.1320,52.0300,52.0300,700
2013-06-17,52.4999,52.5000,52.1500,52.1500,600
2013-06-18,52.4199,52.4199,52.3720,52.3720,1000
2013-06-19,52.5000,52.5000,51.8700,51.8700,1100
2013-06-20,51.1000,51.1000,50.1900,50.1900,2300
2013-06-21,50.6199,50.6200,50.0501,50.4400,1600
2013-06-24,50.0700,50.1201,49.7100,50.1201,600
2013-06-25,50.5200,50.5700,50.5100,50.5700,14600
2013-06-26,51.4900,51.4900,50.9800,51.0200,1400
2013-06-27,51.4490,51.5000,51.3700,51.3700,2500
2013-06-28,51.1400,51.4700,51.1400,51.3700,2500
2013-07-01,51.5240,51.5240,51.4740,51.4740,900
2013-07-02,51.6000,51.6000,51.3720,51.3720,1300
2013-07-03,51.2100,51.4310,51.2100,51.4310,700
2013-07-05,51.8300,51.9400,51.7000,51.9400,2200
2013-07-08,52.2020,52.2290,52.1300,52.2290,700
2013-07-09,52.5580,52.6700,52.5580,52.5900,1900
2013-07-10,52.6200,52.6800,52.6080,52.6080,201100
2013-07-11,53.2900,53.5800,53.2800,53.5784,27300
2013-07-12,53.6200,53.7200,53.5400,53.6999,11000
2013-07-15,53.7100,53.9100,53.7020,53.8200,102400
2013-07-16,53.9000,53.9300,53.5000,53.6100,37100
2013-07-17,53.7500,53.8600,53.7400,53.8600,33400
