date,open,high,low,close,volume
2021-10-28,24.8400,25.0090,24.8400,24.9600,103817
2021-10-29,25.2500,25.2500,24.5500,24.6400,42225
2021-11-01,24.8700,25.4400,24.8100,25.0950,26071
2021-11-02,25.0100,25.0800,24.8347,24.8755,74300
2021-11-03,24.7700,24.8324,24.6011,24.8324,5275
2021-11-04,24.9500,24.9500,24.7990,24.8350,14767
2021-11-05,25.0300,25.1700,24.9800,25.0200,7742
2021-11-08,26.2700,26.2700,25.1000,25.1000,10854
2021-11-09,25.4500,25.4500,25.1810,25.3212,8550
2021-11-10,25.2300,25.2890,24.8500,24.9500,6588
2021-11-11,25.2700,25.3000,25.1200,25.1469,3786
2021-11-12,25.2800,25.5041,25.1900,25.4576,5585
2021-11-15,25.7200,25.7300,25.5155,25.5155,13164
2021-11-16,25.8100,25.8100,25.7200,25.7597,15594
2021-11-17,26.0200,26.0200,25.6400,25.6700,17353
2021-11-18,25.9300,26.0000,25.4000,25.5900,18240
2021-11-19,25.4800,25.5700,25.3000,25.3900,8132
2021-11-22,25.3400,25.3400,24.6854,24.7700,11949
2021-11-23,24.6600,24.7300,24.3550,24.5400,4896
2021-11-24,24.3800,24.5600,24.2000,24.5600,4432
2021-11-26,24.3600,24.3600,23.9400,24.0940,4439
2021-11-29,24.4000,25.7000,24.1100,24.2200,28798
2021-11-30,24.1100,24.1400,23.8100,23.8802,6825
2021-12-01,24.1400,24.1400,23.3339,23.3339,7148
2021-12-02,23.2100,23.3650,23.1400,23.2253,5692
2021-12-03,23.3200,23.3200,22.7600,22.9891,5507
2021-12-06,23.0100,23.2750,22.8240,23.2156,10498
2021-12-07,23.7100,23.8000,23.7100,23.7800,5388
2021-12-08,23.9200,24.2600,23.9200,24.1902,19559
2021-12-09,24.5000,24.5000,23.9500,23.9500,10691
2021-12-10,23.9800,23.9900,23.6821,23.8800,89110
2021-12-13,23.8800,23.8800,23.3300,23.6600,131556
2021-12-14,23.1700,23.2500,23.0000,23.1623,4849
2021-12-15,23.3800,23.3800,22.7500,23.3118,10069
2021-12-16,23.5000,23.5000,23.0500,23.0942,6020
2021-12-17,22.9100,23.1402,22.6927,23.1402,7089
2021-12-20,23.0900,23.0900,22.7977,22.8899,4753
2021-12-21,23.0500,23.5399,23.0500,23.4300,3254
2021-12-22,23.5300,23.6500,23.2950,23.5019,10911
2021-12-23,23.6400,23.6400,23.5000,23.5100,1867
2021-12-27,23.6900,23.8200,23.4900,23.7000,15002
2021-12-28,23.8300,24.0100,23.5700,23.5700,10335
2021-12-29,23.5800,23.6600,23.3633,23.4528,5560
2021-12-30,23.4900,23.8900,23.4900,23.7038,3905
2021-12-31,23.7000,23.7000,23.5150,23.5200,2990
2022-01-03,23.6500,23.7499,23.5400,23.6461,3664
2022-01-04,23.5500,23.5500,23.1201,23.3152,9948
2022-01-05,23.1400,23.2499,22.6300,22.6300,9591
2022-01-06,22.3400,22.4000,22.1200,22.3175,3368
2022-01-07,22.3000,22.3799,22.1600,22.2428,3152
2022-01-10,22.1700,22.3699,21.7700,22.3307,6159
2022-01-11,22.3200,22.8300,22.3200,22.6941,10370
2022-01-12,23.0300,23.2500,22.7201,23.0322,5771
2022-01-13,23.0000,23.0000,22.2987,22.2987,5914
2022-01-14,22.2100,22.4100,22.0921,22.2785,2391
2022-01-18,22.1900,22.2200,21.8873,21.8873,6656
2022-01-19,22.1500,22.3600,21.9663,21.9663,9846
2022-01-20,21.9500,22.6700,21.9500,22.0649,4136
2022-01-21,22.1500,22.1500,21.4500,21.4500,20049
2022-01-24,21.1100,21.3036,20.4800,21.3036,7557
2022-01-25,20.9900,21.2500,20.8289,20.9687,3544
2022-01-26,21.3400,21.4999,20.8262,20.8262,6705
2022-01-27,20.8600,20.8600,20.3150,20.3600,7124
2022-01-28,20.5300,20.6900,20.2900,20.6800,33620
2022-01-31,21.2100,21.5726,21.1800,21.5726,23227
2022-02-01,21.7800,21.9500,21.6100,21.8850,10398
2022-02-02,22.2300,22.2999,21.7300,21.9376,7361
2022-02-03,22.1300,22.1300,21.0387,21.0387,6141
2022-02-04,21.2753,21.7300,21.2753,21.6694,5824
2022-02-07,21.6300,21.6950,21.3300,21.4926,3195
