date,open,high,low,close,volume
1999-11-01,15.8800,16.0000,15.0000,15.0000,32000
1999-11-02,15.0000,15.5000,15.0000,15.2500,28000
1999-11-03,15.0000,15.2500,13.0600,13.6300,143200
1999-11-04,13.9400,14.8800,13.5000,14.3100,144800
1999-11-05,14.7500,15.0600,14.1300,14.5000,41600
1999-11-08,14.3800,14.9400,14.3800,14.6900,34400
1999-11-09,15.1900,15.1900,14.6300,14.6900,24800
1999-11-10,15.0600,15.8800,14.9400,15.7500,138400
1999-11-11,16.0000,17.2500,15.7500,17.0000,169600
1999-11-12,17.2200,18.2500,17.2200,17.6900,175200
1999-11-15,18.6300,18.8800,17.7500,18.0000,240000
1999-11-16,18.3100,18.5000,17.0000,17.6300,90400
1999-11-17,17.6900,18.0000,16.6300,16.6300,126400
1999-11-18,16.6300,16.8800,16.0000,16.2500,117600
1999-11-19,16.6900,16.6900,15.8100,16.0000,189600
1999-11-22,16.0000,16.5000,15.5000,15.5000,186400
1999-11-23,15.4700,15.5600,15.0000,15.2500,142400
1999-11-24,15.2500,15.5000,15.0600,15.2500,72000
1999-11-26,15.3800,15.7500,15.1900,15.7500,38400
1999-11-29,16.1900,17.6300,16.1900,17.5000,124800
1999-11-30,17.5600,17.6300,15.9400,16.3800,113600
1999-12-01,16.4400,16.4400,15.7500,15.9400,56000
1999-12-02,15.9400,16.0000,15.4400,15.8800,60800
1999-12-03,15.8800,16.6300,15.6300,16.6300,44000
1999-12-06,15.5600,16.5600,15.3800,16.4400,67200
1999-12-07,16.3100,17.1300,16.3100,16.8800,50400
1999-12-08,16.3800,17.0000,16.2500,16.2500,46400
1999-12-09,16.2800,17.0000,16.0600,16.6300,83200
1999-12-10,16.7200,18.3800,16.2500,18.3100,212800
1999-12-13,18.8800,22.9400,18.5600,22.0000,692800
1999-12-14,22.2500,22.4400,19.6300,20.3100,180800
1999-12-15,19.8100,20.4400,18.8800,19.6900,162400
1999-12-16,19.6600,20.0000,19.1900,19.7500,72000
1999-12-17,20.0000,21.0600,19.6300,20.5600,104800
1999-12-20,20.8800,20.8800,19.0000,19.5000,93600
1999-12-21,19.1300,22.3800,19.0000,21.7500,111200
