date,open,high,low,close,volume
2003-10-09,2.8300,2.8400,2.5600,2.6100,342400
2003-10-10,2.6100,2.6900,2.5500,2.6000,325900
2003-10-13,2.6800,2.6900,2.5800,2.6800,261900
2003-10-14,2.6900,2.7100,2.6400,2.6900,243300
2003-10-15,2.6500,2.6900,2.6000,2.6500,333800
2003-10-16,2.6600,2.6800,2.6100,2.6800,193300
2003-10-17,2.7400,2.8200,2.6700,2.8000,150100
2003-10-20,2.8400,3.0200,2.7800,3.0200,356200
2003-10-21,3.0200,3.1100,3.0000,3.1100,593300
2003-10-22,3.1200,3.2800,3.0800,3.2800,416900
2003-10-23,3.2900,3.6400,3.2600,3.5800,684500
2003-10-24,3.6400,3.9200,3.6000,3.6000,748600
2003-10-27,3.7500,3.7500,3.6000,3.6700,314600
2003-10-28,3.6700,3.6700,3.4500,3.5500,247100
2003-10-29,3.5200,3.7500,3.5200,3.7500,189300
2003-10-30,3.8400,3.8800,3.6800,3.8200,194300
2003-10-31,3.8300,4.4000,3.6100,4.2000,266200
2003-11-03,4.2500,4.6000,4.1000,4.4000,422400
2003-11-04,4.4000,5.0000,4.4000,4.6500,438600
2003-11-05,4.7500,5.3100,4.7000,5.2300,486900
2003-11-06,5.3000,5.5500,4.5100,4.6000,607700
2003-11-07,4.6000,4.6000,3.4100,4.2000,782600
2003-11-10,4.3500,4.6300,4.1500,4.5700,252000
2003-11-11,4.5700,4.9700,4.5700,4.7000,155200
2003-11-12,4.7500,4.9100,4.6500,4.7000,230200
2003-11-13,4.8700,4.9500,4.6100,4.6500,137600
2003-11-14,4.6800,4.8000,3.9700,4.0400,437000
2003-11-17,4.0500,4.3200,4.0400,4.2500,255400
2003-11-18,4.2300,4.5000,4.2300,4.3700,170800
2003-11-19,4.4900,4.4900,4.0400,4.1500,114300
2003-11-20,4.1000,4.3000,3.6500,3.8000,356400
2003-11-21,3.8500,3.8500,3.4500,3.6900,412100
2003-11-24,3.6500,3.7800,3.5500,3.7500,256100
2003-11-25,3.7500,4.0300,3.6000,4.0000,149100
2003-11-26,4.1000,4.3000,3.9500,4.1500,166900
2003-11-28,4.1400,4.2300,4.1400,4.1600,72900
2003-12-01,4.2700,4.4500,4.1700,4.1700,257400
2003-12-02,4.2000,4.3500,4.1500,4.1500,225800
2003-12-03,4.2000,4.2500,4.0200,4.1500,122700
2003-12-04,4.0800,4.1500,3.8000,3.8600,165100
2003-12-05,3.8500,4.1200,3.7000,3.9500,118800
2003-12-08,4.1000,4.2700,4.1000,4.2400,144000
2003-12-09,4.2500,4.2900,4.0000,4.0000,111000
2003-12-10,4.0400,4.1400,3.7000,3.8500,207800
2003-12-11,3.6300,3.9600,3.4300,3.8500,247700
2003-12-12,3.9300,4.1500,3.8500,4.0600,98300
2003-12-15,4.0000,4.4000,4.0000,4.2700,270300
2003-12-16,4.3000,4.4000,4.2500,4.3100,81200
2003-12-17,4.4000,4.4000,4.2000,4.2000,81100
2003-12-18,4.2000,4.3000,4.1000,4.2000,65300
2003-12-19,4.1200,4.2000,3.9500,4.0000,238600
2003-12-22,4.0000,4.0500,3.9000,4.0300,67800
2003-12-23,3.9500,4.0500,3.9000,3.9700,76100
2003-12-24,4.0000,4.1000,3.9500,4.0000,25000
2003-12-26,4.0500,4.0500,3.9500,3.9500,18000
2003-12-29,4.0500,4.2300,3.9500,4.2100,100800
2003-12-30,4.2500,4.3800,4.2100,4.3700,146000
2003-12-31,4.3400,4.4500,4.2700,4.3500,61800
2004-01-02,4.4000,4.8000,4.3500,4.6600,208600
2004-01-05,5.1500,5.2000,4.8000,5.0000,326100
2004-01-06,4.9000,5.1000,4.8000,4.9100,72500
2004-01-07,5.0000,5.0000,4.8500,4.9500,104500
2004-01-08,4.9800,5.1000,4.8300,5.1000,103600
2004-01-09,5.0000,5.4800,5.0000,5.3500,196100
2004-01-12,5.4800,5.9300,5.1500,5.8500,152000
2004-01-13,5.8700,5.9900,5.8400,5.9000,229400
2004-01-14,5.9100,5.9800,5.3000,5.5000,224800
2004-01-15,4.9500,5.1500,4.7000,4.8400,245300
2004-01-16,4.8000,5.3000,4.6000,5.3000,224400
2004-01-20,5.2000,5.7500,5.0500,5.6000,168800
2004-01-21,5.7000,7.2000,5.7000,7.2000,1004100
2004-01-22,8.5000,9.0000,7.1100,7.5000,1214700
2004-01-23,7.1500,7.4000,6.0000,6.3000,646700
2004-01-26,6.0000,6.2500,5.6000,5.6500,529200
2004-01-27,5.6500,6.2000,5.5000,5.9000,567300
2004-01-28,6.0500,6.1000,5.8500,6.0000,272400
2004-01-29,6.0000,6.0200,5.7500,5.8500,180300
2004-01-30,5.9500,6.1500,5.8000,6.1500,100000
2004-02-02,6.2000,6.2000,5.7500,6.0000,156600
2004-02-03,5.9500,6.0000,5.8500,6.0000,152500
2004-02-04,6.0000,6.0500,5.7500,5.7500,110500
2004-02-05,5.7500,5.8000,5.1000,5.5000,215400
2004-02-06,5.6300,5.7500,5.6000,5.6500,150200
2004-02-09,5.7000,6.5000,5.7000,6.5000,273000
2004-02-10,6.7000,6.8000,6.5000,6.7000,344800
2004-02-11,6.8000,7.0000,6.7000,6.8600,175900
2004-02-12,6.9500,6.9500,6.6000,6.7500,115700
2004-02-13,6.8500,6.8500,6.6000,6.6500,96300
2004-02-17,6.7000,6.9500,6.7000,6.8000,332900
2004-02-18,6.9000,6.9000,6.7500,6.8200,142400
2004-02-19,6.8700,6.8700,6.6300,6.6300,105500
2004-02-20,6.6500,6.7000,6.3500,6.4500,124000
2004-02-23,6.4700,6.4700,6.0500,6.1900,165000
2004-02-24,6.2000,6.6000,6.1000,6.4900,85900
