date,open,high,low,close,volume
2014-12-12,30.1600,35.2500,30.0000,33.9900,8348556
2014-12-15,33.0700,33.4800,30.3600,30.5200,993426
2014-12-16,30.1900,31.7300,30.0300,31.1000,285501
2014-12-17,30.8700,31.6600,30.2500,31.2200,262175
2014-12-18,31.2700,32.7000,30.0000,30.4200,284338
2014-12-19,30.6000,31.8400,30.4700,31.4700,184924
2014-12-22,31.7400,31.9965,30.7700,31.2500,80744
2014-12-23,31.7500,32.4350,31.2900,32.1000,175007
2014-12-24,32.1500,34.0000,32.1450,33.7600,86716
2014-12-26,34.0000,34.0000,33.0200,33.5200,99970
2014-12-29,33.7500,37.0000,33.5100,35.9200,303644
2014-12-30,35.9200,36.9900,34.5300,35.1800,109874
2014-12-31,35.7100,36.0700,34.6700,34.8400,63968
2015-01-02,35.8000,36.4700,34.9800,36.4700,104508
2015-01-05,37.0100,37.5000,34.1700,37.2500,246244
2015-01-06,37.0000,37.0000,34.5700,35.6000,694788
2015-01-07,35.6000,36.9499,35.2900,35.8400,156564
2015-01-08,36.3200,36.6600,33.5000,35.4200,374697
2015-01-09,35.2600,35.3500,33.0100,33.8600,152817
2015-01-12,34.3100,34.8100,31.5200,34.3400,232460
2015-01-13,34.9400,35.2099,32.1700,32.8000,133091
2015-01-14,32.8500,32.8500,31.0100,31.2500,186634
2015-01-15,31.2400,32.0900,30.5300,31.2700,260321
2015-01-16,30.9400,32.2000,30.3301,31.9000,314163
2015-01-20,32.3900,32.5200,30.9400,31.0200,146687
2015-01-21,31.3000,32.0000,30.3700,31.8800,201726
2015-01-22,31.7300,31.9020,30.8100,31.1100,141975
2015-01-23,31.2500,33.0800,30.5358,32.8000,247864
2015-01-26,32.8000,32.9900,32.0700,32.3400,86391
2015-01-27,32.3900,32.4000,31.1100,32.0700,69883
2015-01-28,31.8200,32.3700,30.7500,31.0400,108889
2015-01-29,31.1200,32.0200,30.2000,31.7100,149372
2015-01-30,31.2400,31.8490,30.6540,31.0600,37064
2015-02-02,31.6000,31.9000,29.6630,30.3300,101650
2015-02-03,30.3000,31.5900,30.1800,31.4900,63325
2015-02-04,31.3200,31.8300,31.1720,31.3300,29788
2015-02-05,31.2000,32.9580,31.2000,32.8400,94037
2015-02-06,33.0000,34.3300,33.0000,33.8500,133783
2015-02-09,34.1900,34.9900,33.4000,34.9400,96050
2015-02-10,34.6800,35.3300,34.1220,34.8700,97756
2015-02-11,35.4900,35.5000,34.1700,35.1000,111463
2015-02-12,35.0800,35.9800,34.9000,35.8500,130688
2015-02-13,37.0000,38.6500,33.0300,33.7500,389484
2015-02-17,34.2000,35.3000,33.2300,35.0500,316747
2015-02-18,34.8000,35.4300,34.8000,35.2200,115927
2015-02-19,35.3700,36.0000,34.2200,34.6800,133638
2015-02-20,34.8900,35.2500,34.3100,34.8900,83544
2015-02-23,34.9800,35.9800,34.8200,35.4600,74595
2015-02-24,35.7700,35.8800,35.0300,35.3000,77419
2015-02-25,35.2500,35.8400,35.0000,35.2000,50887
2015-02-26,35.4800,35.4800,34.9300,35.3900,33599
2015-02-27,35.4000,35.4150,34.1600,34.4600,77549
2015-03-02,34.1200,34.6800,33.5500,34.0800,53883
2015-03-03,34.1400,35.7200,34.1400,35.0900,123223
