date,open,high,low,close,volume
1999-11-01,27.6600,27.9400,26.8800,26.8800,89500
1999-11-02,26.7500,27.4400,26.5600,27.2500,36200
1999-11-03,27.3800,28.0000,27.1200,27.8800,65100
1999-11-04,27.7500,28.6200,26.5000,27.7500,182700
1999-11-05,28.0000,28.7500,27.3800,28.2500,90700
1999-11-08,27.9400,32.1200,27.6200,31.6200,160300
1999-11-09,32.2200,32.2500,30.0000,30.4400,88800
1999-11-10,30.2500,31.0000,29.5600,30.6200,54900
1999-11-11,31.2500,31.2500,29.6200,30.0000,67900
1999-11-12,30.2500,31.3800,29.6200,31.0000,117300
1999-11-15,32.0000,35.0000,31.8800,32.3800,387800
1999-11-16,32.3800,32.9400,31.1200,31.1900,178800
1999-11-17,31.6200,32.6200,31.3800,31.3800,166900
1999-11-18,31.6900,32.0000,31.3800,31.5000,144600
1999-11-19,31.5000,31.5600,30.4400,30.6200,72800
1999-11-22,30.6200,30.6200,28.6200,29.9400,181400
1999-11-23,30.0300,30.0600,28.3800,29.0000,123500
1999-11-24,28.9400,30.3800,28.6200,30.0600,165300
1999-11-26,30.6200,30.9400,28.6200,29.6200,66700
1999-11-29,29.2500,31.7500,28.2500,31.7500,398900
1999-11-30,31.9400,31.9400,30.2500,30.6200,133100
1999-12-01,31.1900,31.3800,30.2500,30.8100,72700
1999-12-02,30.3800,30.8100,29.8800,30.1200,63800
1999-12-03,30.8800,31.0600,29.5000,29.8800,144500
1999-12-06,30.4700,31.7500,30.1200,30.6900,112100
1999-12-07,30.6900,31.2500,30.6200,31.1200,157200
1999-12-08,31.3100,31.6200,30.8800,31.3800,70700
1999-12-09,31.5000,31.6200,30.7500,31.1200,85600
1999-12-10,30.7500,31.4400,30.7500,31.1200,70400
1999-12-13,31.2500,31.5000,30.3100,30.3100,79500
1999-12-14,30.2500,31.5000,30.0000,31.5000,106500
1999-12-15,31.7200,40.8100,31.6200,37.7500,1242800
1999-12-16,39.0000,50.7500,37.0000,41.8800,2870800
1999-12-17,42.0000,45.1200,39.0000,39.8800,333600
1999-12-20,40.0000,42.3800,40.0000,42.0600,131800
1999-12-21,42.1900,45.3800,42.0000,42.9400,187200
1999-12-22,43.0000,44.0000,42.2500,42.3800,152600
1999-12-23,43.0000,43.5000,42.3800,43.1200,172500
1999-12-27,43.2500,44.8800,43.1200,43.6900,163500
1999-12-28,43.5300,44.4400,41.9400,41.9400,128900
1999-12-29,41.9700,42.0000,41.2500,41.9400,60400
1999-12-30,41.7500,42.6200,41.7500,42.5000,108200
1999-12-31,42.4700,42.6200,42.3800,42.5600,47300
2000-01-03,42.8800,43.0000,40.7500,41.6900,53800
2000-01-04,41.0000,45.8100,40.8800,44.0000,271000
2000-01-05,44.0300,44.0600,42.0000,44.0300,90300
2000-01-06,44.1200,46.0000,43.3800,45.6900,101500
2000-01-07,46.0000,49.2500,43.8800,46.0000,229100
2000-01-10,46.8100,51.4400,46.5600,50.0000,266200
2000-01-11,52.3800,54.2500,50.0000,50.3800,251700
2000-01-12,51.3800,52.2500,50.3800,52.2500,118200
2000-01-13,53.8100,56.5000,53.7500,55.3800,384500
2000-01-14,56.8800,60.2500,56.7500,60.2500,745900
2000-01-18,60.7500,74.7500,59.5000,67.1200,806600
2000-01-19,73.5000,75.1200,66.2500,71.3800,815500
2000-01-20,73.1200,73.5000,67.8800,72.2500,468500
2000-01-21,72.1900,72.3800,68.5000,72.2500,278300
2000-01-24,70.5000,81.0000,70.2500,74.8800,412900
2000-01-25,75.0600,75.7500,72.5000,72.9400,382500
2000-01-26,72.8100,73.0000,64.5000,66.0000,247400
2000-01-27,62.8800,63.5000,60.3800,61.5000,324800
2000-01-28,61.0000,65.2500,59.5000,62.1200,180500
2000-01-31,61.5000,61.6200,55.0000,58.4400,588300
2000-02-01,58.4400,58.5000,55.2500,58.0000,547600
2000-02-02,58.6200,67.0000,57.8800,66.1900,2065100
2000-02-03,65.2500,68.1900,64.3800,65.7500,694200
2000-02-04,65.0000,71.6200,65.0000,71.1900,2513300
2000-02-07,70.8100,75.0000,68.8800,74.0000,912000
2000-02-08,76.0000,82.5000,75.2500,81.5000,1440900
2000-02-09,83.0000,88.1200,82.6900,85.1200,874800
2000-02-10,84.5000,85.6200,79.7500,84.8800,628100
2000-02-11,84.5000,84.5000,81.0000,81.4400,408100
2000-02-14,81.1600,81.2500,79.0000,81.2500,390900
2000-02-15,80.6900,81.3800,79.8800,81.3800,290100
2000-02-16,81.6200,89.3800,80.2500,89.3800,474700
2000-02-17,92.0600,104.0000,92.0000,103.6900,1252600
2000-02-18,104.8800,109.6900,99.5000,100.1200,778500
2000-02-22,102.1200,104.6200,84.3800,94.5600,628300
2000-02-23,94.0000,95.6200,85.8800,94.4400,466500
2000-02-24,93.1200,95.5000,89.8800,93.8100,496000
2000-02-25,93.5000,98.6200,93.2500,98.1200,546000
2000-02-28,99.5900,109.1200,98.8800,99.0000,732300
2000-02-29,102.0000,105.2500,99.6200,101.2500,282500
2000-03-01,105.5000,107.5000,100.1200,102.2500,219700
2000-03-02,103.5600,108.5000,103.0000,105.2500,423100
2000-03-03,107.6200,108.8800,106.2500,108.1900,246300
2000-03-06,106.0000,118.2500,106.0000,118.2500,706300
2000-03-07,122.0000,141.5000,121.3800,126.6200,608000
2000-03-08,123.0000,128.0000,119.5000,123.2500,434100
2000-03-09,124.0000,125.3800,116.5000,121.7500,789200
2000-03-10,120.2500,128.7500,119.8800,121.0000,353000
2000-03-13,113.0000,118.0000,111.0000,114.0600,302000
2000-03-14,114.1200,114.1200,84.0000,99.7500,804200
2000-03-15,101.0000,102.3800,78.2500,89.2500,589200
2000-03-16,94.5000,96.6200,64.6200,80.3800,2032700
2000-03-17,80.7500,81.0000,72.5900,76.2500,471600
2000-03-20,76.0000,86.0000,73.0000,74.2500,702600
2000-03-21,72.7500,78.7500,70.5000,77.0600,582500
2000-03-22,78.7500,98.0000,78.6200,97.5000,786400
2000-03-23,96.7500,100.0000,93.0000,96.8800,420600
2000-03-24,97.7500,97.7500,92.2500,92.7500,325900
2000-03-27,92.6200,93.0000,86.7500,89.3800,182500
2000-03-28,90.8800,90.8800,85.8800,86.0000,132200
2000-03-29,88.8800,91.0000,74.0600,75.1200,563500
2000-03-30,71.0000,75.2500,68.0000,71.0000,793000
2000-03-31,75.6900,78.5000,70.9400,74.5000,872500
2000-04-03,76.0000,77.6900,74.0000,74.6900,462800
2000-04-04,75.6900,75.6900,67.6900,75.1200,476400
2000-04-05,72.0000,83.5000,70.5000,83.1200,603100
2000-04-06,84.7500,88.8800,80.0000,82.3800,315000
2000-04-07,85.0000,86.5000,79.6900,81.7500,277800
2000-04-10,79.4100,86.0000,76.0000,79.3800,179000
2000-04-11,77.0000,77.5000,70.6200,71.5000,179700
2000-04-12,72.0000,72.2500,65.5000,65.7500,381300
2000-04-13,66.0000,66.7500,62.5000,64.8100,231100
2000-04-14,60.2500,60.7500,42.1200,47.0000,813100
2000-04-17,43.1900,57.8800,43.0000,46.3100,638500
2000-04-18,48.6200,55.3800,47.6900,55.0000,642100
2000-04-19,57.5000,60.5000,54.5000,58.0000,529600
2000-04-20,58.0000,58.0000,50.0000,52.1200,161600
2000-04-24,49.3100,50.5000,46.1200,49.8800,153700
2000-04-25,51.1200,53.8800,48.3800,53.3800,177100
2000-04-26,54.0000,56.6200,53.0000,53.2500,239100
2000-04-27,50.0000,55.2500,49.0000,54.8100,81100
2000-04-28,55.7500,62.6200,54.7500,61.8800,498500
2000-05-01,62.5000,70.5000,62.3100,70.0000,388300
2000-05-02,70.1200,73.2500,66.5000,67.8800,489700
2000-05-03,65.2800,71.0000,62.8800,70.6200,92400
2000-05-04,70.1600,76.5000,69.8800,73.4100,177700
2000-05-05,71.6200,76.3800,71.5000,74.9400,308000
2000-05-08,72.6200,73.3100,68.7500,70.2500,115400
2000-05-09,71.7500,74.0000,65.6200,67.4400,99200
2000-05-10,67.9400,68.0000,60.7500,62.3800,159300
2000-05-11,62.7500,64.1200,60.2500,62.0000,191400
2000-05-12,61.0000,66.2500,60.2500,64.5000,177700
2000-05-15,66.2500,70.0000,66.0600,67.8800,103400
2000-05-16,74.5000,74.7500,71.6200,72.2500,128500
2000-05-17,73.5600,74.0000,71.9400,73.5000,346500
2000-05-18,73.5000,74.3800,70.8800,71.5000,122800
2000-05-19,70.5000,72.0000,68.7500,71.0000,109200
2000-05-22,72.5000,72.5600,63.0000,71.0000,150100
2000-05-23,69.1200,74.7500,69.0000,70.6200,238700
2000-05-24,68.5000,69.0600,64.0600,67.5600,135500
2000-05-25,68.1900,69.9400,66.1200,68.0000,128000
2000-05-26,67.5000,69.7500,66.0000,69.6200,109300
2000-05-30,71.7500,82.6200,71.7500,82.6200,410100
2000-05-31,77.2500,80.8800,72.7500,72.7500,341300
2000-06-01,75.5000,81.8800,75.5000,81.6200,283800
2000-06-02,83.1200,91.0000,82.7500,86.1900,348700
2000-06-05,86.5000,86.8100,81.6900,85.0000,182900
2000-06-06,85.2500,92.1200,85.0000,87.1200,203200
2000-06-07,89.5000,89.7500,82.3800,87.0000,138600
2000-06-08,85.8800,88.0000,84.0000,84.0000,245500
2000-06-09,84.0000,86.1200,83.8100,84.1200,580300
2000-06-12,84.8800,84.8800,76.7500,80.0000,534600
2000-06-13,79.0000,80.1200,77.1200,79.3100,325800
2000-06-14,80.2500,82.3800,78.5000,78.5000,255400
2000-06-15,81.0000,82.1200,79.8800,80.7500,307300
2000-06-16,80.8100,85.3800,80.1200,84.6200,155500
2000-06-19,84.6200,89.5000,82.7500,89.5000,87200
2000-06-20,89.3100,98.8800,88.8100,95.0000,321800
2000-06-21,95.1900,95.2500,91.6200,94.7500,133600
2000-06-22,94.3800,94.5000,85.7500,86.0000,167900
2000-06-23,86.5600,94.5000,86.5600,89.3800,205600
2000-06-26,92.0000,97.6200,90.7500,97.2000,355900
2000-06-27,97.2500,103.6200,95.6200,101.0000,423400
2000-06-28,100.7500,109.7500,99.5000,108.6900,321000
2000-06-29,104.8800,108.3800,102.5000,102.5000,312300
2000-06-30,101.7800,102.8400,96.5000,101.4700,392500
2000-07-03,100.0000,102.4400,97.2500,100.0600,56200
2000-07-05,100.0000,100.7500,97.5000,98.2500,338800
2000-07-06,99.2500,99.7500,97.5000,98.6900,238600
2000-07-07,99.6900,100.2500,98.6900,99.2700,334100
2000-07-10,100.0000,103.5600,97.5000,99.5600,409600
2000-07-11,99.3800,105.2500,99.3800,104.3100,515900
2000-07-12,105.6200,108.6200,100.0000,101.0000,395600
2000-07-13,101.0000,102.0000,93.6200,95.3800,368100
2000-07-14,95.7500,96.6200,90.0000,92.6200,197100
2000-07-17,91.1200,96.5000,90.2500,95.5000,337400
2000-07-18,97.5000,102.5000,95.0600,95.5000,191700
2000-07-19,97.3800,97.7500,93.3800,93.4400,343000
2000-07-20,93.0000,96.5000,92.3800,96.0000,153400
2000-07-21,95.7200,96.1200,93.0000,93.0000,275300
2000-07-24,95.8800,95.8800,91.0000,94.5000,146200
2000-07-25,94.5300,94.5300,89.4400,91.7500,161800
2000-07-26,91.6900,96.4400,86.5000,90.3800,204000
2000-07-27,90.5000,91.5000,86.0000,86.0000,86600
2000-07-28,85.8800,88.3800,82.5000,84.0000,247000
2000-07-31,84.8800,86.6200,80.0000,81.1900,228000
2000-08-01,81.0000,89.5000,81.0000,87.3100,331400
2000-08-02,87.1900,93.8800,83.5600,91.1200,167500
2000-08-03,88.7500,90.5000,85.5000,89.0000,102400
2000-08-04,90.5000,92.2500,86.2500,90.1200,74900
2000-08-07,90.1200,93.0000,90.0000,92.8800,56100
2000-08-08,94.0000,94.5000,92.0000,94.0000,81100
2000-08-09,94.8100,95.1200,86.9400,87.5000,202600
2000-08-10,87.5300,87.8100,82.0000,85.5000,165800
2000-08-11,83.5000,85.5000,82.8100,85.0000,164600
2000-08-14,87.0000,89.8800,84.1200,84.1900,88300
2000-08-15,84.0000,84.7500,81.5000,81.7500,77200
2000-08-16,83.3800,85.0000,81.5000,85.0000,99800
2000-08-17,83.0000,88.5000,82.5000,86.5600,66700
2000-08-18,87.7800,90.0000,87.5000,89.8100,108300
2000-08-21,89.9400,90.7500,87.0600,89.7500,136400
2000-08-22,86.2800,92.6200,86.2500,92.6200,137000
2000-08-23,46.5000,47.0000,44.2500,47.0000,155000
2000-08-24,47.5000,52.1200,46.9400,50.0000,760100
2000-08-25,50.8800,56.0600,50.7500,53.0000,775700
2000-08-28,52.8800,53.7500,47.2500,48.5000,467300
2000-08-29,48.0900,53.1200,48.0000,50.1200,256600
2000-08-30,50.0600,50.1200,48.7500,50.0600,168000
