date,open,high,low,close,volume
1999-11-01,112.9000,114.4000,111.8000,112.8000,3619900
1999-11-02,111.7000,115.0000,111.5000,112.0000,2545800
1999-11-03,112.8000,114.8000,112.0000,114.3000,2490400
1999-11-04,114.9000,116.6000,113.9000,115.6000,2527600
1999-11-05,117.0000,117.5000,115.8000,115.9000,1755500
1999-11-08,115.2000,118.2000,115.1000,116.5000,1926800
1999-11-09,116.6000,117.4000,113.0000,113.5000,2110100
1999-11-10,112.4000,118.6000,112.4000,117.6000,2889500
1999-11-11,117.8000,119.4000,117.3000,118.0000,1951200
1999-11-12,117.5000,123.8000,115.1000,122.3000,3962300
1999-11-15,121.0000,122.4000,118.8000,120.2000,2246000
1999-11-16,119.9000,127.0000,119.3000,125.4000,3237700
1999-11-17,126.8000,130.5000,126.5000,127.2000,3387300
1999-11-18,133.3000,140.0000,133.3000,137.0000,3886200
1999-11-19,132.3000,134.3000,129.5000,133.5000,4611800
1999-11-22,130.0000,132.8000,130.0000,130.8000,2182900
1999-11-23,136.0000,139.6000,134.9000,136.5000,4869100
1999-11-24,137.8000,140.3000,135.5000,139.3000,3199700
1999-11-26,144.9000,147.1000,144.5000,146.8000,1935000
1999-11-29,150.0000,151.6000,148.6000,150.5000,4027700
1999-11-30,144.1000,145.4000,135.9000,138.0000,6086000
1999-12-01,138.0000,143.0000,138.0000,141.8000,4074100
1999-12-02,143.5000,145.4000,140.8000,144.6000,2606500
1999-12-03,153.5000,161.0000,152.9000,161.0000,5709300
1999-12-06,165.5000,179.1000,165.5000,176.4000,8775900
1999-12-07,173.5000,175.1000,170.1000,173.0000,5639800
1999-12-08,166.5000,177.0000,166.5000,174.8000,5662500
1999-12-09,170.0000,172.8000,168.3000,171.3000,5489600
1999-12-10,167.5000,169.0000,164.9000,168.0000,4275800
1999-12-13,161.9000,168.5000,161.9000,167.1000,3088900
1999-12-14,163.0000,165.4000,155.9000,160.0000,4979900
1999-12-15,151.0000,158.2000,150.0000,155.0000,5304100
1999-12-16,159.5000,164.0000,156.1000,164.0000,3470700
1999-12-17,167.7500,170.8800,165.0000,168.5000,3366800
1999-12-20,172.0000,174.3000,170.1000,171.7000,2592400
1999-12-21,170.0000,174.9000,169.5000,169.5000,2057700
1999-12-22,172.0000,173.9000,164.9000,165.0000,2510300
1999-12-23,170.1000,175.3000,169.0000,174.0000,2129700
1999-12-27,174.3000,175.2000,169.4000,170.9000,1843800
1999-12-28,170.6000,171.0000,165.9000,167.3000,1506300
1999-12-29,170.5000,187.0000,169.4000,183.0000,2501900
1999-12-30,182.0000,184.0000,178.8000,180.0000,2218900
1999-12-31,180.0000,196.0000,180.0000,191.1000,1855900
2000-01-03,192.5000,193.0000,182.0000,187.0000,5297000
2000-01-04,177.0000,180.6000,172.8000,173.0000,5071100
2000-01-05,168.2000,174.5000,160.8000,171.1000,6540400
2000-01-06,168.0000,171.0000,153.0000,153.0000,5047700
2000-01-07,161.8000,172.0000,161.8000,171.0000,4718100
2000-01-10,178.5000,180.3000,174.3000,178.9000,4046500
2000-01-11,173.9000,175.9000,167.9000,169.5000,2968000
2000-01-12,172.0000,175.3000,169.3000,170.6000,2716600
2000-01-13,177.9000,179.0000,174.1000,178.0000,2557400
2000-01-14,181.4000,184.9000,181.0000,184.0000,2654000
2000-01-18,180.0000,181.3000,177.8000,178.9000,2930700
2000-01-19,175.3000,180.5000,175.3000,180.0000,2330000
