date,open,high,low,close,volume
2011-05-05,11.5000,11.9000,8.3000,9.3000,6221286
2011-05-06,9.3500,10.2500,8.4000,8.4000,1678765
2011-05-09,8.6500,8.7500,8.2000,8.2500,243812
2011-05-10,8.3000,8.4900,7.6000,7.6600,376770
2011-05-11,7.5100,8.0900,7.5100,8.0000,605413
2011-05-12,8.0700,8.1700,6.7500,6.9900,609190
2011-05-13,7.0700,7.5000,6.8200,7.4400,169442
2011-05-16,7.2500,8.0800,7.2500,7.9700,444569
2011-05-17,8.0800,8.0900,7.4000,7.6400,235341
2011-05-18,7.5800,7.6600,7.0000,7.0900,335010
2011-05-19,7.1000,7.1000,6.0000,6.0000,1296082
2011-05-20,6.2500,6.3600,5.9400,6.0700,566903
2011-05-23,5.9700,6.0100,5.6700,5.7000,439599
2011-05-24,5.7500,5.8000,5.4400,5.6400,396652
2011-05-25,5.7200,6.0100,5.2790,5.3600,475303
2011-05-26,5.4600,5.7300,5.0600,5.3400,671043
2011-05-27,5.4300,5.8400,5.3000,5.6500,279825
2011-05-31,5.7500,6.3500,5.6401,6.0600,737915
2011-06-01,6.1500,6.1500,5.9000,6.0700,356713
2011-06-02,6.5900,6.6000,6.2600,6.4200,722596
2011-06-03,6.1700,6.2800,5.7100,5.7400,670257
2011-06-06,5.7300,5.7300,5.1000,5.2400,322267
2011-06-07,5.2500,5.3100,4.8200,5.1900,274421
2011-06-08,5.1600,5.1900,5.0500,5.1200,133216
2011-06-09,5.1000,5.1700,4.8200,4.9000,544478
2011-06-10,4.8200,4.8200,4.5300,4.6400,188720
2011-06-13,4.6000,4.6000,3.9500,4.0200,566585
2011-06-14,4.6300,4.9600,4.4600,4.6600,1058515
2011-06-15,4.6400,4.8400,4.2200,4.3700,415958
2011-06-16,4.6000,4.7485,4.3500,4.4200,270074
2011-06-17,4.6700,4.6700,4.3800,4.4900,178541
2011-06-20,4.6000,4.7800,4.3200,4.4900,134211
2011-06-21,4.5500,4.6700,4.3500,4.4000,249128
2011-06-22,4.3500,4.6100,4.3300,4.4500,175350
2011-06-23,4.4400,4.5800,4.3500,4.3800,201510
2011-06-24,4.3500,4.6400,4.3500,4.4500,191856
2011-06-27,4.3900,5.1500,4.3900,5.1200,619091
2011-06-28,5.1200,5.5300,4.9300,5.1300,712372
2011-06-29,5.1300,5.5600,5.1300,5.4200,334671
2011-06-30,5.4200,5.8800,5.3300,5.5000,292955
2011-07-01,5.4400,5.6400,5.1300,5.3400,345127
2011-07-05,5.2200,5.6000,5.2200,5.5600,209012
2011-07-06,5.5700,6.0500,5.3500,5.9100,396339
2011-07-07,6.1000,6.4600,6.0400,6.4600,625017
